CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,,,,,,,,
Beverly Hills,Beverly Gardens Park,,CA,US,2020-11-01,estimated 4000,4000,,4000,,,general protesters,for President Trump,2,rally,0,0,0,0,0,1,20201101-beverlyhills-trump,at least one fight broke out between protesters and counter-protesters,,https://abc7.com/society/pro-and-anti-trump-protesters-clash-in-beverly-hills/7524318/,https://abc7.com/politics/trump-supporters-hold-car-rally-across-san-fernando-valley/7578815/,,,,,,,,,,,,,,,,,
Beverly Hills,Roxbury Park; Beverly Gardens Park,,CA,US,2020-11-01,approximately 40,40,,40,,,general protesters,against President Trump,1,counter-protest,0,0,0,0,1,1,20201101-beverlyhills-trump,marched to confront pro-Trump rally; at least one fight broke out between protesters and counter-protesters,,https://abc7.com/society/pro-and-anti-trump-protesters-clash-in-beverly-hills/7524318/,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-11-01,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,,,,,,,,,,,,,
Boston,"Parkman Bandstand, Boston Common",,MA,US,2020-11-01,,,,,,,Refuse Fascism New England; Refuse Fascism,"against President Trump, against fascism",1,protest,,,,,1,1,,,,https://www.facebook.com/events/763185514238628/,,,,,,,,,,,,,,,,,,
Bryan,Brazos Center,,TX,US,2020-11-01,,,,,,,Republican Party of Brazos County,"for President Trump, for police",2,caravan; rally,0,0,0,0,1,1,,Back the Blue and First Responders Rally,,https://www.kbtx.com/2020/11/02/republican-party-of-brazos-county-hosts-back-the-blue-rally-to-support-first-responders/,,,,,,,,,,,,,,,,,,
Calexico,,,CA,US,2020-11-01,,,,,,,general protesters,for Joe Biden,1,rally,0,0,0,0,1,1,,,,https://kyma.com/news/2020/11/01/locals-rally-for-biden-harris-campaign/,,,,,,,,,,,,,,,,,,
Cape Coral,Del Prado Blvd from the post office to Walmart,,FL,US,2020-11-01,thousands,2000,,2000,,,general protesters,for President Trump,2,caravan,0,0,0,0,1,1,,hit and run reported,,https://www.fox4now.com/news/local-news/hit-and-run-reported-over-the-weekend-at-trump-rally-in-cape-coral,https://www.fox4now.com/news/election-2020/elections-local/truck-parade-for-president-trump-in-cape-coral,https://www.abc15.com/news/election-2020/hit-and-run-reported-at-trump-rally-in-florida,,,,,,,,,,,,,,,,
Chassell,"to Houghton, Hancock, South Range, and Painesdale",,MI,US,2020-11-01,about 180,180,,180,,,general protesters,for President Trump,2,caravan,0,0,0,0,1,1,,,,https://www.mininggazette.com/news/local-news/2020/11/trump-supporters-rally/,https://www.mininggazette.com/news/local-news/2020/11/trump-supporters-rally/,,,,,,,,,,,,,,,,,
Chicago,"1100 South Pulaski Ave, Mount Greenwood",,IL,US,2020-11-01,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,Feat. Rod Blagojevich,,https://www.nbcchicago.com/news/local/blagojevich-speaks-at-pro-trump-rally-in-chicagos-mount-greenwood/2362456/,,,,,,,,,,,,,,,,,,
Cleveland,Cuyahoga County Board of Elections,,OH,US,2020-11-01,,,,,,,Ohio Student Association; Tamir Rice Foundation; Black Lives Matter Cleveland; Cleveland Votes,"for voting rights, against racism, against police violence, in honor of Tamir Rice",1,rally,,,,,1,1,,,,https://www.cleveland.com/news/2020/10/tamir-rice-voter-turnout-rally-to-be-held-sunday-at-cuyahoga-county-board-of-elections.html,,,,,,,,,,,,,,,,,,
Creswell,,,OR,US,2020-11-01,,,,,,,general protesters,Black Lives Matter,1,protest,0,0,0,0,1,1,20201101-creswell-blm,dispersed in response to attack by counter-protesters,,Out of the Frying Pan Into the Fire – Eugene Weekly,,,,,,,,,,,,,,,,,,
Creswell,,,OR,US,2020-11-01,,,,,,,general protesters,"against Black Lives Matter, for President Trump, for patriotism",2,counter-protest,0,0,0,0,0,1,20201101-creswell-blm,some carried firearms; conversed with protesters; formed line to push protesters; assaulted protesters with flagpoles,,Out of the Frying Pan Into the Fire – Eugene Weekly,,,,,,,,,,,,,,,,,,
