CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,,,,,,,,
Detroit,Detroit Department of Elections,,MI,US,2020-11-04,hundreds,200,,200,,,Michigan Liberation; We Make Michigan; Detroit Will Breathe; Detroit Disability Power; SEIU Detroit; Sunrise Movement Detroit; Moratorium NOW! Coalition,"for election integrity, for voting rights, for democracy",1,march; rally,0,0,0,0,1,1,,,,https://www.facebook.com/events/341445730448609/,https://www.deadlinedetroit.com/articles/26529/to_the_streets_rallies_today_in_detroit_ferndale_ann_arbor_lansing_will_defend_full_vote-counting,https://detroit.cbslocal.com/video/4846469-community-organizations-rally-and-march-demanding-all-votes-be-counted/,https://www.detroitnews.com/picture-gallery/news/local/detroit-city/2020/11/05/count-every-vote-rally-and-march-detroit/6168730002/,https://www.freep.com/story/news/local/michigan/detroit/2020/11/04/rival-protesters-cry-count-every-vote-stop-count/6165558002/,,,,,,,,,,,,,,
Detroit,TCF Center,,MI,US,2020-11-04,dozens; few dozen,24,,36,,,general protesters,"for President Trump, against election fraud, stop the count",2,protest,0,0,0,0,0,1,20201104-detroit-trump,shouted at counter-protesters,,https://twitter.com/BryceHuffman313/status/1324084684150706176,https://www.newstribune.com/news/national/story/2020/nov/05/protesters-demand-michigan-vote-center-stop-the-count/848007/,https://twitter.com/salwangeorges/status/1324101336233889795,https://twitter.com/PattersonNBC/status/1324086177885003778,https://www.freep.com/story/news/local/michigan/detroit/2020/11/04/rival-protesters-cry-count-every-vote-stop-count/6165558002/,https://www.latimes.com/world-nation/00000175-95bc-d1ac-abf7-fdfcb1880000-123,More than a dozen arrested as protesters demand that votes be counted … or not – San Bernardino Sun (sbsun.com),,,,,,,,,,,,
Detroit,TCF Center,,MI,US,2020-11-04,,,,,,,general protesters,against Donald Trump; for election integrity; for counting all ballots,1,counter-protest,0,0,0,0,0,1,20201104-detroit-trump,gathered across the street and shouted at protesters,,More than a dozen arrested as protesters demand that votes be counted … or not – San Bernardino Sun (sbsun.com),,,,,,,,,,,,,,,,,,
Doylestown,Old Courthouse,,PA,US,2020-11-04,,,,,,,general protesters,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.ellwoodcityledger.com/story/news/state/2020/11/05/rallies-across-pennsylvania-demanded-every-vote-counted-before-candidate-declares-victo/6173736002/,,,,,,,,,,,,,,,,,,
Durham,CCB Plaza to Board of Elections office,,NC,US,2020-11-04,hundreds,200,,200,,,Durham for All; Equality NC; Carolina Federation; People's Alliance; UE 150-Durham City Worker's Union; NC Raise Up; Durham Beyond Policing; BYP100; North Carolina AFL-CIO,"for election integrity, for voting rights; Count Every Vote",1,march,0,0,0,0,1,1,,,,https://www.facebook.com/events/839636833446794/,https://www.wwaytv3.com/2020/11/05/hundreds-march-through-downtown-durham-in-count-every-vote-rally/,https://www.newsobserver.com/news/politics-government/election/article246981852.html,https://abc11.com/politics/hundreds-march-in-downtown-durham-count-every-vote-rally/7649800/,Election 2020: Durham protesters demand every vote be counted | Durham Herald Sun,,,,,,,,,,,,,,
Edinburg,,,TX,US,2020-11-04,,,,,,,Democrats,"for Democratic candidates for office, for voting",1,rally,0,0,0,0,1,1,,feat. Kamala Harris,,https://www.wdtn.com/news/your-local-election-hq/doug-emhoff-travels-to-columbus-as-part-of-final-election-day/,,,,,,,,,,,,,,,,,,
Erie,Perry Square,,PA,US,2020-11-04,about 50; nearly  100,50,,100,,,Erie County United,"for election integrity, for voting rights, against racism",1,rally,0,0,0,0,1,1,,,,https://www.erienewsnow.com/story/42864824/group-plans-noon-rally-at-perry-square-to-demand-every-vote-is-counted,https://twitter.com/ErieUnited/status/1324032384615043073,https://www.erienewsnow.com/clip/15152427/march-rally-at-perry-square-to-demand-all-pa-votes-counted,https://www.ellwoodcityledger.com/story/news/state/2020/11/05/rallies-across-pennsylvania-demanded-every-vote-counted-before-candidate-declares-victo/6173736002/,https://www.yourerie.com/news/local-news/your-local-election-hq/voters-in-erie-county-rally-in-perry-square-to-demand-their-voice-and-votes-be-counted/,,,,,,,,,,,,,,
Eugene,"Wayne Morse Federal Courthouse U.S. Courthouse, 8th Ave",,OR,US,2020-11-04,couple hundred,200,,200,,,Community Alliance of Lane County; Eugene Springfield NAACP; Showing Up for Racial Justice Eugene; Eugene Springfield Solidarity Network; Indivisible Eugene; Springfield Church of the Brethren; Temple Beth Israel's Sanctuary," for election integrity, for voting rights",1,rally,0,0,0,0,1,1,,Rally for Democracy,,https://www.registerguard.com/story/news/politics/elections/2020/11/04/community-activist-groups-hold-rally-democracy-wednesday/6163317002/,http://www.orangemedianetwork.com/daily_barometer/count-every-vote-rally-demands-all-ballots-be-counted-this-election/article_2bd03296-1f2a-11eb-86ea-77a1a85057c1.html,https://www.registerguard.com/story/news/politics/elections/2020/11/04/community-activist-groups-hold-rally-democracy-wednesday/6163317002/,http://www.eugeneweekly.com/2020/11/03/celebrate-the-right-to-vote/,,,,,,,,,,,,,,,
Eureka,Eureka High School to Humboldt County Courthouse,,CA,US,2020-11-04,nearly 75,75,,75,,,Humboldt County Democrats; Humboldt & Del Norte Central Labor Council; North Coast People's Alliance; 350 Humboldt; Cooperation Humboldt; People’s Strike Humboldt Centro del Pueblo,"for election integrity, for voting rights, for democracy",1,rally; caravan,0,0,0,0,1,1,,Protect the Results,,https://www.facebook.com/events/2933198370339890/,https://kymkemp.com/2020/10/29/rolling-justice-protect-the-election-results-rally/,https://krcrtv.com/north-coast-news/eureka-local-news/dozens-rally-in-eureka-to-respect-the-results-urging-officials-to-count-every-ballot,,,,,,,,,,,,,,,,
Falmouth,,,MA,US,2020-11-04,another 50,50,,50,,,general protesters,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.capeandislands.org/post/count-every-vote-rallies-held-falmouth-hyannis#stream/0,,,,,,,,,,,,,,,,,,
Ferndale,Nine Mile Road and Woodward Ave.,,MI,US,2020-11-04,couple hundred,200,,200,,,Protect the Results,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,,,https://www.deadlinedetroit.com/articles/26529/to_the_streets_rallies_today_in_detroit_ferndale_ann_arbor_lansing_will_defend_full_vote-counting,Hundreds rally in Ferndale to protect voting results | Representative Andy Levin (house.gov),,,,,,,,,,,,,,,,,
Framingham,Memorial Building,,MA,US,2020-11-04,about 70,70,,70,,,general protesters,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Count Every Vote,,https://www.wickedlocal.com/photogallery/WL/20201104/NEWS/110409986/PH/1,"Dozens rally in Framingham, Franklin urging the count of every vote (metrowestdailynews.com)",,,,,,,,,,,,,,,,,
Franklin,Town Common,,MA,US,2020-11-04,more than 30,30,,30,,,general protesters,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Count Every Vote,,https://www.wickedlocal.com/photogallery/WL/20201104/NEWS/110409986/PH/1,"Dozens rally in Framingham, Franklin urging the count of every vote (metrowestdailynews.com)",,,,,,,,,,,,,,,,,
Gainesville,Gainesville City Hall,,FL,US,2020-11-04,,18,,18,,,Blue Wave Coalition of Alachua County; Indivisible Gainesville,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.wcjb.com/2020/11/05/protect-the-vote-rallies-at-gainesville-city-hall-echo-nationwide-vote-counting-initiative/,https://www.wuft.org/news/2020/11/05/gainesville-activists-rally-in-favor-of-counting-votes-and-to-urge-action-post-election/,Progressive organizations host post-election rallies at Gainesville City Hall - The Independent Florida Alligator,,,,,,,,,,,,,,,,
Gainesville,Gainesville City Hall,,FL,US,2020-11-04,more than three dozen; about 35,35,,36,,,Gainesville Socialist Alternative,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,0,1,,Protect the Results,,https://www.wcjb.com/2020/11/05/protect-the-vote-rallies-at-gainesville-city-hall-echo-nationwide-vote-counting-initiative/,https://www.wuft.org/news/2020/11/05/gainesville-activists-rally-in-favor-of-counting-votes-and-to-urge-action-post-election/,Progressive organizations host post-election rallies at Gainesville City Hall - The Independent Florida Alligator,,,,,,,,,,,,,,,,
Grand Rapids,Roas Parks Circle to Calder Plaza,,MI,US,2020-11-04,about 60,60,,60,,,Socialist Alternative-Grand Rapids; Freedom Road Socialist Organization; Justice for Black Lives; Grand Rapids United Progressives; Grand Rapids MI Democratic Socialists of America,"for election integrity, for voting rights, against President Trump, against racism",1,rally; march,0,0,0,0,1,1,,Count Every Vote,,https://www.facebook.com/events/977592846052620/,https://www.woodtv.com/news/elections/activist-to-march-rally-in-downtown-gr-for-accurate-vote-count/,https://www.mlive.com/news/grand-rapids/2020/11/grand-rapids-count-every-vote-draws-crowd-concerned-about-trumps-tactics.html,https://www.mlive.com/galleries/4IE3APGPCRDFVFVIISWFXGTH74/,https://www.hollandsentinel.com/story/news/politics/elections/2020/11/04/activists-to-march-rally-in-gr-for-accurate-vote-count/42997015/,,,,,,,,,,,,,,
Great Falls,,,MT,US,2020-11-04,,,,,,,Indivisible,"for election integrity, for voting rights, against President Trump",1,rally,,,,,1,1,,,,https://www.greatfallstribune.com/story/news/2020/11/03/anti-trump-rally-planned-great-falls-wednesday-2020-election/6156482002/,,,,,,,,,,,,,,,,,,
Greensboro,municipal building,,NC,US,2020-11-04,more than 100,100,,100,,,general protesters,"for election integrity, for voting rights, against President Trump",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.wfmynews2.com/article/news/local/count-every-vote-guilford-county-organizations-hold-rally-to-protect-the-results-of-the-2020-election/83-fa416a89-6068-4d76-8bc9-c831b951e0d7,https://myfox8.com/video/demonstrators-rally-in-greensboro-as-presidential-election-remains-undecided/6001949/,,,,,,,,,,,,,,,,,
Greensburg,Westmoreland County Courthouse,,PA,US,2020-11-04,some 60,60,,60,,,Voice of Westmorelan,for counting all mail-in ballots that reach county election bureaus by Friday; against Trump,1,protest; rally,0,0,0,0,1,1,,,,,,https://triblive.com/local/westmoreland/greensburg-rally-count-all-the-votes-speakers-say/,,,,,,,,,,,,,,,,
Harrisburg,Pennsylvania State Capitol,,PA,US,2020-11-04,hundreds,200,,200,,,We the People PA; SEIU Healthcare PA; Black Voters Matter; For Our Future PA; Tuesdays with Toomey; Capital Region Stands Up; Hershey Indivisible Team; Why Courts Matter - PA; CASA; Cumberland Valley Rising; Capital Rebirth; March on Harrisburg; Bro2Go; UU Justice; Moms Rising; PA Council of Churches; POWER; Conservation Voters PA; Keystone Progress Education Fund; LGBTQ Center of Central PA; AFL-CIO of PA,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.abc27.com/news/us-world/politics/election/activists-rally-on-pa-capitol-steps-to-count-every-vote/,https://www.fox43.com/article/news/politics/elections/harrisburg-rally-aims-to-count-every-vote/521-1159a1fb-d0bd-4626-af36-68ff7e5fc9f1,https://www.pennlive.com/elections/2020/11/group-rallies-on-the-capitol-steps-in-support-of-every-vote-being-counted.html,,,,,,,,,,,,,,,,
Haverford,Haverford College,,PA,US,2020-11-04,,,,,,,Women of Color House; Black Students Refusing Further Inaction; Black Student League,"against racism, against police violence, for justice for Walter Wallace Jr., against university dean's call to avoid protests",1,strike; boycott,0,0,0,0,1,1,,,,https://whyy.org/articles/haverford-college-students-end-two-week-strike-after-administrators-insensitive-email/,,,,,,,,,,,,,,,,,,
Honolulu,Thomas Square,,HI,US,2020-11-04,,,,,,,Refuse Fascism; Refuse Fascism Honolulu,"against President Trump, for election integrity, against fascism, against racism",1,protest; march,,,,,1,1,,,,https://www.facebook.com/events/412625086403556/,,,,,,,,,,,,,,,,,,
Houston,Eleanor Tinsley Park,,TX,US,2020-11-04,count video,22,,22,,,"Indivisible Houston; Houston Youth Climate Strike; CAIR TEXAS-Houston; First Unitarian Universalist Church of Houston, Museum District; Sunrise Movement Houston","for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,,,https://abc13.com/anti-trump-protest-harris-county-votes-2020-presidential-election-results-president-donald/7638605/,https://www.facebook.com/events/1188480591537267/,https://abc13.com/politics/houstonians-protest-against-efforts-to-stop-vote-counts/7638605/,,,,,,,,,,,,,,,,
Houston,900 Smith St,,TX,US,2020-11-04,,,,,,,Coalition Against Trump and Fascism,"for election integrity, against President Trump, against racism, against sexism, against fascism",1,rally,0,0,0,0,0,1,,Some protesters were openly armed.,,https://abc13.com/anti-trump-protest-harris-county-votes-2020-presidential-election-results-president-donald/7638605/,https://www.facebook.com/events/1104429139977200/,https://www.chron.com/news/election2020/article/2020-election-results-Trump-protestors-Houston-15704120.php,,,,,,,,,,,,,,,,
Houston,City Hall,,TX,US,2020-11-04,,,,,,,Houston United Front Against Fascism,"for election integrity, against President Trump, against racism, against sexism, against fascism",1,protest,0,0,0,0,0,1,,,,Armed anti-Trump protestors rally outside of city hall Wednesday (chron.com),,,,,,,,,,,,,,,,,,
Hyannis,airport,,MA,US,2020-11-04,60,60,,60,,,Indivisible Outer Cape,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.capeandislands.org/post/count-every-vote-rallies-held-falmouth-hyannis#stream/0,,,,,,,,,,,,,,,,,,
Ithaca,Bernie Milton Pavilion,,NY,US,2020-11-04,about 100,100,,100,,,general protesters,"against capitalism, against racism, for housing justice, for defunding police, for democracy",1,rally,0,0,0,0,1,1,,Beyond the Ballot Box,,https://cornellsun.com/2020/11/05/post-election-abolitionist-groups-rally-for-efforts-beyond-the-ballot-box/,,,,,,,,,,,,,,,,,,
Jacksonville,Jacksonville City Hall,,FL,US,2020-11-04,over 100,100,,100,,,Jacksonville Community Action Committee; Democratic Black Caucus of Florida; Northside Coalition of Jacksonville,"against police brutality, for police accountability, Black Lives Matter, for community control of police, against state legislation criminalizing protest, for freedom of speech and assembly",1,protest,0,0,0,0,1,1,,,,http://www.fightbacknews.org/2020/11/8/jacksonville-holds-naarpr-national-day-action-demands-anti-protest-bill-florida-be-defeate,https://www.instagram.com/p/CHNwgc6B0lc/,https://www.instagram.com/p/CHMDDs-h91Z/,https://www.instagram.com/p/CHG8qjJhuaC/,,,,,,,,,,,,,,,
Kansas City,Mill Creek Park,,MO,US,2020-11-04,about 40,40,,40,,,general protesters,"for election integrity, for voting rights, against President Trump",1,rally,0,0,0,0,1,1,,,,https://www.kansascity.com/news/local/article246978207.html,,,,,,,,,,,,,,,,,,
Knoxville,Krutch Park,,TN,US,2020-11-04,more than 100,100,,100,,,general protesters,"for election integrity, for voting rights, for democracy",1,rally; march,0,0,0,0,1,1,,,,https://www.wbir.com/article/news/politics/elections/rally-calls-for-each-state-to-count-every-vote/51-f61dc3b6-07e3-413b-b7e7-c254be2b7caa,,,,,,,,,,,,,,,,,,
Lancaster City,Penn Square,,PA,US,2020-11-04,hundreds,200,,200,,,Lancaster Stands Up; CASA,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,,,https://www.fox43.com/article/news/politics/elections/lancaster-groups-organize-rally-in-penn-square-to-support-the-counting-of-every-vote-in-pennsylvania/521-3442440a-fd7a-4377-bab5-c62e3fc8ff94,https://lancasteronline.com/news/local/count-every-vote-hundreds-rally-in-lancaster-city-for-all-mail-in-ballots-to-be/article_9a830518-1f09-11eb-ba54-4bed62fa063c.html,,,,,,,,,,,,,,,,,
Lansing,Michigan State Capitol,,MI,US,2020-11-04,,,,,,,Sunrise Movement; Indivisible; MoveOn; Michigan Fight Back Table; SEIU; The Poor People’s Campaign,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Count Every Vote,,https://www.wlns.com/news/latest-news/people-in-lansing-peacefully-protest-demand-every-vote-be-counted/,,,https://www.lansingstatejournal.com/picture-gallery/news/local/2020/11/04/count-every-vote-rally-state-capitol/6168375002/,,,,,,,,,,,,,,,
Las Vegas,Clark County Election Center,,NV,US,2020-11-04,50; about 75,50,,75,,,general protesters,"for President Trump, against voter fraud, for patriotism, stop the steal",2,protest,0,0,0,0,1,1,20201104-lasvegas-trump,Stop the Steal,,https://www.rgj.com/story/news/2020/11/04/las-vegas-nevada-election-results-department-vote-clark-county-protest-unrest/6169870002/,https://lasvegassun.com/news/2020/nov/05/trump-biden-backers-converge-vote-center-nlv/,,,,,,,,,,,,,,,,,
Las Vegas,Clark County Election Center,,NV,US,2020-11-04,,,,,,,general protesters,"for election integrity, for counting all ballots",1,counter-protest,0,0,0,0,0,1,20201104-lasvegas-trump,"staged some distance from protesters, did not directly engage",,https://lasvegassun.com/news/2020/nov/05/trump-biden-backers-converge-vote-center-nlv/,,,,,,,,,,,,,,,,,,
Lewisburg,Hufnagle Park,,PA,US,2020-11-04,more than two dozen; over 50,24,,50,,,Green New Deal Lewisburg,"for election integrity, for voting rights, for democracy",1,protest,0,0,0,0,1,1,,,,https://www.dailyitem.com/news/local_news/lewisburg-rally-attendees-call-for-all-votes-to-be-counted/article_aa5a0b66-07e0-51e8-9ca2-b41f9c1e075c.html,https://www.standard-journal.com/news/local/article_cefd4a88-e8f9-55da-a64a-31d8be909866.html,https://bucknellian.net/102146/news/lewisburg-residents-hold-count-every-vote-rally/,,,,,,,,,,,,,,,,
Los Angeles,Pershing Square,,CA,US,2020-11-04,,,,,,,Socialist Alternative-Los Angeles,"for election integrity, for voting rights, against President Trump",1,rally,0,0,0,0,1,1,,Don't Let Trump Steal the Election,,https://twitter.com/waterspider__/status/1324205931576483840,,,https://www.facebook.com/events/354664265593484/,,,,,,,,,,,,,,,
Los Angeles,Hall of Justice,,CA,US,2020-11-04,around 200,200,,200,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,0,0,0,0,1,1,,last of weekly series starting 25 October 2017,,https://knock-la.com/jackie-lacey-did-go-but-the-fight-is-just-beginning-9efbd25b0668/,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,https://www.newmilfordspectrum.com/news/article/The-Latest-California-voters-reject-affirmative-15701553.php,,,,,,,,,,,,,,,,
Madison,City County Building,,WI,US,2020-11-04,count video,7,,7,,,Open Dane County Public and Private Schools,for in-person school option during coronavirus pandemic,2,rally,0,0,0,0,1,1,,,,https://www.channel3000.com/parents-rally-for-choice-on-school-format/,,,,,,,,,,,,,,,,,,
Madison,Wisconsin State Capitol,,WI,US,2020-11-04,,,,,,,Freedom Inc,"against racism, against police brutality",1,rally,0,0,0,0,1,1,,The People's Rally!,,https://www.facebook.com/events/1053814548396080/,https://www.channel3000.com/group-rallies-at-wisconsin-state-capitol-pushing-for-election-officials-to-ensure-all-votes-are-counted/,,,,,,,,,,,,,,,,,
Madison,"Apple Hildale, 702 N Midvale Blvd",,WI,US,2020-11-04,,,,,,,Allies for Black Lives-Madison; Indivisible Wisconsin; WI WILL WIN; Urban Triage; Freedom Inc,"against fascism, against racism, for defunding police and prisons, for election integrity, for voting rights",1,caravan,0,0,0,0,0,1,,,,https://www.facebook.com/events/2394422120867020/,https://www.nbc15.com/2020/11/05/protesters-block-traffic-in-madison-near-midvale-shopping-center/,,,,,,,,,,,,,,,,,
Madison,Wisconsin State Capitol,,WI,US,2020-11-04,count video,30,,30,,,Madison Socialist Alternative; Allies for Black Lives-Madison; Defend Democracy Alliance; Milwaukee Socialist Alternative; Our Wisconsin Revolution-Milwaukee; Indivisible Wisconsin; Democratic Socialists of America-Madison; People's Green New Deal-Madison; WI Bail Out the People Movement,"against President Trump, for election integrity, for defunding jails and police, against evictions and foreclosures and utility shutoffs during coronavirus pandemic, for taxing the rich, against budget cuts to public services",1,rally,0,0,0,0,0,1,,,,https://www.facebook.com/events/333500407947788/,https://wqow.com/2020/11/05/group-rallies-at-the-capitol-to-call-for-all-votes-to-be-counted/,https://www.channel3000.com/second-rally-at-capitol-calls-for-every-vote-to-be-counted-before-declaring-presidential-winner/,,,,,,,,,,,,,,,,
Mankato,Erlandson Park,,MN,US,2020-11-04,more than 40,40,,40,,,Indivisible of St. Peter/Greater Mankato,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.mankatofreepress.com/news/elections/making-it-count-area-residents-rally-for-election-votes/article_7faeb3ee-1f00-11eb-bee6-23b91e030197.html,,,,,,,,,,,,,,,,,,
Media,Delaware County Courthouse,,PA,US,2020-11-04,hundreds,200,,200,,,Delco PA Indivisible,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.delcotimes.com/news/rally-calls-on-commonwealth-to-count-all-votes/article_d26ac83a-1f04-11eb-83f3-d7a20949723c.html,,,,,,,,,,,,,,,,,,
Miami,Westchester Neighborhood,,FL,US,2020-11-04,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,,,https://www.sun-sentinel.com/news/politics/elections/fl-ne-police-election-demonstrations-20201106-sleru3wosrar7mby54z4dhndse-story.html,,,,,,,,,,,,,,,,,,
Middle Township,Route 9 and 47,,NJ,US,2020-11-04,a few,3,,3,,,Cape May County Indivisible,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,,,https://pressofatlanticcity.com/news/local/govt-and-politics/keep-counting-votes-middle-township-demonstrators-say/article_923e989c-a266-5d99-bcf6-2ae51a47835b.html,,,,,,,,,,,,,,,,,,
Middlebury,Middlebury Town Green,,VT,US,2020-11-04,about 200,200,,200,,,Protect Our Democracy,"for election integrity, for voting rights, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://vtdigger.org/press_release/protect-our-democracy-rally-set-for-nov-4-in-middlebury/,https://www.wcax.com/2020/11/04/vermonters-rally-to-make-sure-ballots-everywhere-are-counted/,,,,,,,,,,,,,,,,,
Milford,Superior Laminating,,PA,US,2020-11-04,a couple dozen,24,,24,,,Trump supporters,for Donald Trump; against voter fraud; against election results,2,protest,0,0,0,0,1,1,,,,Biden fans planned protest; had party; Trump fans rally (poconorecord.com),,,,,,,,,,,,,,,,,,
Milwaukee,Sherman Park,,WI,US,2020-11-04,more than 150,150,,150,,,Milwaukee Alliance Against Racist & Political Repression,"against racism, against police brutality, for police accountability, for universal healthcare, for extending unemployment insurance and ceasing evictions and utility cutoffs during coronavirus pandemic, for immigrants' rights",1,rally; march,0,0,0,0,1,1,,,,https://www.facebook.com/events/277887176746982/,http://www.fightbacknews.org/2020/11/6/milwaukee-alliance-leads-rally-and-march-demand-people-s-mandate,,,,,,,,,,,,,,,,,
Minneapolis,Cedar-Riverside to I-94,,MN,US,2020-11-04,"several hundred; 600-700; upwards of 1,000",300,,1000,,,Twin Cities Coalition for Justice 4 Jamar; Communities United Against Police Brutality; Families Supporting Families Against Police Violence; Minnesota Disability Justice Network; Women Against Military Madness,"against President Trump, for community control of police, against racism, for immigrants' rights, for economic relief from coronavirus pandemic, against evictions and foreclosures and utility shutoffs, for universal healthcare",1,protest,646,0,0,0,1,1,,National Day of Protest for a People's Mandate,,https://unicornriot.ninja/2020/protesters-demand-elections-remain-untampered-across-united-states/,https://bringmethenews.com/minnesota-news/protesters-arrested-after-blocking-interstate-94-in-minneapolis,https://www.startribune.com/hundreds-arrested-as-protesters-march-onto-i-94/572976312/,https://twitter.com/webster/status/1324141739339321345,https://minnesota.cbslocal.com/2020/11/04/demonstrators-taking-to-minneapolis-streets-to-protest-election-pandemic-recession/,https://mndaily.com/263624/news/its-outrageous-over-600-protesters-surrounded-detained-and-arrested-on-i-94/,,,,,,,,,,,,,
Minneapolis,downtown to I-94,,MN,US,2020-11-04,hundreds,200,,200,,,general protesters,"for election integrity, for voting rights, for democracy",1,rally; march,0,0,0,0,0,1,,,,https://unicornriot.ninja/2020/protesters-demand-elections-remain-untampered-across-united-states/,https://minnesota.cbslocal.com/2020/11/04/demonstrators-taking-to-minneapolis-streets-to-protest-election-pandemic-recession/,,,,,,,,,,,,,,,,,
Minneapolis,outside home of Hennepin County Commissioner Marion Greene,,MN,US,2020-11-04,,,,,,,general protesters,"against evicting unhoused people from hotel, against racism",1,protest,0,0,0,0,0,1,,,,https://unicornriot.ninja/2020/unhoused-community-forms-tenants-union-constituents-protest-at-politicians-home/,,,,,,,,,,,,,,,,,,
Modesto,Modesto City Hall,,CA,US,2020-11-04,,,,,,,general protesters,"for election integrity, for voting rights, for democracy",1,rally,,,,,1,1,,Modesto Count All Votes Rally,,https://www.rallylist.com/modesto-count-all-votes-rally/,,,,,,,,,,,,,,,,,,
Montpelier,Vermont State House,,VT,US,2020-11-04,more than 100,100,,100,,,VPIRG; 350 Vermont; Vermont Interfaith Action; Vermont Conservation Voters; Peace & Justice Center,"for election integrity, for democracy",1,rally,0,0,0,0,1,1,,Protect the Results,,https://www.facebook.com/events/700646487213599/,https://vtdigger.org/2020/11/04/count-every-vote-rallies-draw-crowds-in-10-cities-and-towns/,,,,,,,,,,,,,,,,,
Mountain View,San Antonio Rd and El Camino Real,,CA,US,2020-11-04,dozens,24,,24,,,general protesters,"for election integrity, for voting rights, for democracy",1,demonstration,0,0,0,0,1,1,,Protect the Results,,https://www.almanacnews.com/news/2020/11/04/mountain-view-protest-sparks-over-worries-that-trump-wont-accept-2020-election-results,Mountain View protest sparks over worries that Trump won't accept 2020 election results | News | Mountain View Online | (mv-voice.com),,,,,,,,,,,,,,,,,
Nevada City,,,CA,US,2020-11-04,,,,,,,general protesters,against tree removal by electric utility,0,occupation,0,0,0,0,1,1,,,,https://sacramento.cbslocal.com/2020/11/05/nevada-city-tree-protest-deal-pge-tarzan/,,,,,,,,,,,,,,,,,,
New Bedford,Rte 18 and Union St,,MA,US,2020-11-04,about 30,30,,30,,,New Bedford Democratic City Committee; Bristol County for Correctional Justice; Laborers’ Local 385; Dartmouth Democratic Town Committee; NAACP New Bedford Branch; New Bedford Shannon,"for election integrity, for voting rights, for democracy",1,demonstration,0,0,0,0,1,1,,Protect the Results,,https://www.southcoasttoday.com/news/20201105/greater-new-bedford-residents-rally-for-every-vote-to-be-counted,,,,,,,,,,,,,,,,,,
New Bern,Union Point Park,,NC,US,2020-11-04,nearly 20,20,,20,,,Pamlico Progressives,"for Joe Biden, for election integrity",1,rally; march,0,0,0,0,1,1,,,,https://www.newbernsj.com/story/news/2020/11/04/democrats-thrdemocrats-from-three-counties-to-march-in-new-bernee-counties-march-new-bern/6158496002/,Downtown rally is held 'to protect the vote' (newbernsj.com),,,,,,,,,,,,,,,,,
New Haven,New Haven Green,,CT,US,2020-11-04,about 100,100,,100,,,Connecticut Democratic Socialists of America; Connecticut Working Families Party,"for election integrity, against racism, for cancelling rent during coronavirus pandemic, for environmental justice, for reproductive rights, for workers' rights, against President Trump",1,rally,0,0,0,0,1,1,,Count Every Vote,,https://www.nhregister.com/news/article/Stand-up-for-what-you-believe-in-New-Haven-15701962.php,https://www.newhavenindependent.org/index.php/archives/entry/count_every_vote/,https://www.nhregister.com/news/slideshow/Stand-up-for-what-you-believe-in-New-Haven-212159.php,,,,,,,,,,,,,,,,
