CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,Source7
Toledo,Old Orchard Elementary to Mayor Wade Kapszukiewicz,OH,US,2018-08-01,about 60,60,,60,,,general protestors,protesting police shooting of Lamar Richardson,1,protest; march,0,0,0,0,0,1,http://www.toledoblade.com/local/2018/08/01/Group-takes-protest-over-shooting-to-outside-of-Toledo-mayor-s-home/stories/20180801200,,,,,,,
Traverse City,14th annual Traverse City Film Festival,MI,US,2018-08-01,na,50,,50,,,Vietnam Veterans,against award for actor Jane Fonda,0,protest,0,0,0,0,1,1,https://pagesix.com/2018/08/03/jane-fonda-honored-at-film-festival-amid-vietnam-veterans-protest/,http://www.shorelinemedia.net/ludington_daily_news/vietnam-veterans-planning-to-protest-jane-fonda-at-film-festival/article_c4d1b97a-94d9-11e8-ae58-efa1d24cf24d.html,https://upnorthlive.com/news/local/veterans-protest-jane-fondas-visit-to-traverse-city,Partial count estimated from video,,,,
Washington,outside US capitol; Senate office buildings,DC,US,2018-08-01,hundreds,200,,200,,,Planned Parenthood Action,against Kavanaugh's nomination to SCOTUS,1,protest,74,0,0,0,1,1,https://twitter.com/PPact/status/1024688253167910919,https://twitter.com/GwenCombs/status/1024813126422876165,https://twitter.com/funder/status/1024788848415584259,https://www.washingtonpost.com/local/public-safety/74-arrested-protesting-brett-kavanaughs-supreme-court-nomination-on-capitol-hill/2018/08/01/f43f70ec-95d5-11e8-86ab-42da8f0b33ea_story.html?utm_term=.32bb64f7d3d3,,,,
Allentown,3900 Hamilton Ave,PA,US,2018-08-01,FB: 279,279,,279,,,general protestors,protesting police shooting of Joseph Santos,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/195534244640470/,http://www.latimes.com/mc-nws-south-whitehall-police-protest-20180731-story.html,,,,,,
Boston,Faneuil Hall,MA,US,2018-08-02,na,19,,19,,,general protestors,calling for hearing to discuss name change for Faneuil Hall,1,protest,,,,,1,1,https://boston.cbslocal.com/2018/08/02/faneuil-hall-name-change-protest-boycott/,,,Partial count based on video,,,,
Centennial,"12445 E. Caley Ave., an Immigration and Customs Enforcement field office",CO,US,2018-08-02,na,20,,20,,,general protestors,Protesting ICE and immigrant family separation,1,protest,8,0,0,0,1,1,https://kdvr.com/2018/08/02/protesters-block-entrance-to-denver-area-ice-office-over-separation-of-families/,https://www.denverpost.com/2018/08/02/colorado-ice-protest-blockade-swat-arrests/,https://denver.cbslocal.com/video/3910795-protesters-gather-outside-ice-field-office-in-centennial/,civil dis,Partial count based on video,,,
Charles Town,Old Charles Town Library,WV,US,2018-08-02,na,15,,15,,,general protestors,Protesting plans for Rockwool facility,1,protest,0,0,0,0,1,1,http://www.journal-news.net/news/local-news/2018/08/citizens-protest-rockwool-at-jcc-meeting/,,,,,,,
Chicago,Lake Shore Drive,IL,US,2018-08-02,about 400,400,,400,,,general protestors,demand more government action against gun violence,0,march,0,0,0,0,1,1,https://www.usatoday.com/story/news/2018/08/02/chicago-protest-rahm-emanuel-wrigley-field-lake-shore-drive/890869002/,https://eu.usatoday.com/story/news/nation/2018/09/02/chicago-murders-protesters-hope-shut-down-ohare-airport/1180561002/,,,,,,
Duluth,Office of Rep. Rick Nolan,MN,US,2018-08-02,a dozen or more,12,,12,,,Take Action Minnesota; general protestors,calling for resignation of Rep. Rick Nolan,0,rally; protest,,,,,1,1,http://www.duluthnewstribune.com/news/government-and-politics/4480769-activists-march-call-nolan-resign,,,,,,,
Jackson,Presidential Hills Park,MS,US,2018-08-02,,,,,,,March For Our Lives,support gun control,1,rally,0,0,0,0,1,1,http://www.wlbt.com/story/38803086/march-for-our-lives-tour-makes-a-stop-in-jackson,,,,,,,
Louisville,Muhammad Ali Center,KY,US,2018-08-02,na,25,,25,,,Grandmothers,protesting family separation,1,protest,,,,,1,1,http://www.wdrb.com/story/38802370/traveling-grandmothers-stop-in-louisville-to-protest-us-immigration-policy,,,Partial count based on video,,,,
Merrifield,ICE field office,VA,US,2018-08-02,,,,,,,Metro DC Democratic Socialists of America,Protesting ICE and immigrant family separation,1,protest,2,0,0,0,1,1,https://twitter.com/mdc_dsa/status/1025009503186640896,,,civil dis; number arrested uncertain,,,,
New York,23 Wall Street,NY,US,2018-08-02,FB: 52,52,,52,,,Rise and Resist,"Abolish ICE Abolish ICE & ""Profiteers"" (banks,etc)",1,protest,,,,,1,1,https://www.facebook.com/events/277669842992207/,,,,,,,
New York,City Councilman Ydanis Rodriguez's office,NY,US,2018-08-02,several,4,,4,,,general protestors,protesting a rezoning proposal for inwood,0,protest,1,0,0,0,1,1,https://www.amny.com/news/inwood-rezoning-protest-1.20275205,,,,,,,
Niceville,Raider Arena - Northwest Florida State,FL,US,2018-08-02,nearly 1000,1000,,1000,,,general protestors,rally for congressional candidate Matt Gaetz,2,rally,0,0,0,0,1,1,http://www.nwfdailynews.com/news/20180803/gaetz-rally-leaves-okaloosa-gop-leader-with-hurt-feelings,,,,,,,
Rapid City,West Blvd & Omaha St,SD,US,2018-08-02,FB: 10,10,,10,,,Northern Heartland Circumcision Protests; Bloodstained Men & Their Friends,protesting circumcisions,0,protest,,,,,1,1,https://www.facebook.com/events/227563957671038/,,,,,,,
San Francisco,Chinese for Affirmative Action office,CA,US,2018-08-02,,,,,,,Chinese for Affirmative Action; general protestors,opposing inclusion of citizenship question on census,1,rally,,,,,1,1,http://www.sfexaminer.com/chiu-breed-call-san-franciscans-oppose-census-citizenship-question/,,,,,,,
Spokane,Spokane County Courthouse,WA,US,2018-08-02,dozens,24,,24,,,coalition of organizations,protesting white supremacy,1,rally,0,0,0,0,1,1,https://www.kxly.com/news/spokane-county-gop-chair-apologizes-for-hosting-controversial-speaker-as-groups-organize-protest/775745261,https://www.krem.com/article/news/local/spokane-county/dozens-gather-for-rally-against-white-nationalism-at-spokane-co-courthouse/293-579963067,,,,,,
St. Petersburg,Williams Park,FL,US,2018-08-02,about 200,200,,200,,,Democratic politicians,rallying for better health care policy; pro-Democratic Party,1,rally,0,0,0,0,1,1,http://www.tampabay.com/florida-politics/buzz/2018/08/07/democrats-hold-rally-to-spotlight-health-care-which-they-hope-will-be-a-key-2018-issue/,,,,,,,
Terre Haute,Root Hall to Crisis Pregnancy Center,ID,US,2018-08-02,,,,,,,general protestors,rally for better sexual education in schools,0,march; rally,,,,,1,1,http://www.wthitv.com/content/news/We-cant-really-ignore-these-issues-any-longer-because-its-grown-so-out-of-control-Local-teen-plans-to-raise-awareness-through-peaceful-protest-489697091.html,,,,,,,
Wilkes-Barre ,inside Mohegan Sun Arena ,PA,US,2018-08-02,"more than 10,000",10000,,10000,,,Trump campaign,"for Lou Barletta for U.S. Senate, for President Trump",2,rally,0,0,0,0,1,1,https://www.washingtonpost.com/politics/in-pennsylvania-trump-tries-to-rally-supporters-behind-gop-senate-candidate/2018/08/02/260175bc-9662-11e8-810c-5fa705927d54_story.html?utm_term=.9839727f877f,https://web.archive.org/web/20180803042435/https://www.standardspeaker.com/news/trump-barletta-speak-at-arena-rally-1.2369076,,feat. President Trump,,,,
Wilkes-Barre ,along Highland Park Boulevard; outside Mohegan Sun Arena ,PA,US,2018-08-02,dozens; several hundred,24,,300,,,general protestors,against Trump visit and Trump policies,1,protest,1,0,0,0,0,1,https://wnep.com/2018/08/02/president-trumps-visit-garners-protesters-in-luzerne-county/?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5b63f79a9ac564000750696f&utm_medium=trueAnthem&utm_source=facebook,https://www.republicanherald.com/news/woman-placed-in-handcuffs-at-trump-protest-1.2369298,,civil dis,,,,
Anderson,across from Madison County Government and Courts office,IN,US,2018-08-03,na,8,,8,,,general protestors,protesting CPS after toddler deaths,0,protest,0,0,0,0,1,1,https://www.wishtv.com/news/crime-watch-8/anderson-dcs-protest-after-deaths-of-2-toddlers/1345431248,,,Partial count estimated from video,,,,
Louisville,north side of Main Street past Ninth Street and to the Muhammed Ali Center,KY,US,2018-08-03,over 200,200,,200,,,Presbyterian Women in the PC(USA),march against social inequalities; against redlining policies that led to Louisville's segregation,1,march,0,0,0,0,1,1,https://www.courier-journal.com/picture-gallery/news/2018/08/03/marchers-rally-against-social-inequality-west-louisville/903119002/,https://www.presbyterianmission.org/story/presbyterian-women-march-draws-attention-to-the-ninth-street-divide/,,,,,,
Louisville,,KY,US,2018-08-03,,,,,,,"Westboro Baptist Church of Topeka, Kansas",protesting women in leadership roles within the Presbyterian Church,0,counter-protest,,,,,1,1,https://www.courier-journal.com/picture-gallery/news/2018/08/03/marchers-rally-against-social-inequality-west-louisville/903119002/,https://www.presbyterianmission.org/story/presbyterian-women-march-draws-attention-to-the-ninth-street-divide/,,,,,,
Merrifield,ICE field office,VA,US,2018-08-03,,,,,,,Metro DC Democratic Socialists of America,Protesting ICE and immigrant family separation,1,protest,6,0,0,0,1,1,https://twitter.com/mdc_dsa/status/1025388604661612545,,,civil dis,,,,
Murray,Murray State University,KY,US,2018-08-03,around 100,100,,100,,,general protestors,anti-NRA; against Oliver North speech,1,protest; march,0,0,0,0,1,1,https://www.usatoday.com/story/news/nation-now/2018/08/03/nra-president-ollie-north-draws-protesters-murray-state-speech/904151002/,,,,,,,
New York,,NY,US,2018-08-03,,,,,,,Black Lives Matter,March for love; commemorate anniversary of Charlottesville rally,1,rally; march,,,,,1,1,http://thehill.com/homenews/news/399365-black-lives-matter-to-march-from-new-york-city-to-dc-ahead-of-charlottesville,,,Multi-day march to Washington DC,,,,
Santa Monica,Pico Youth and Family Center to City Hall,CA,US,2018-08-03,na,20,,20,,,students,Marching for plastic straw ban,0,rally; march,0,0,0,0,1,1,http://www.smdp.com/pico-youth-rally-at-city-hall-to-ban-plastic-straws-2/168186,,,partial count from pic,,,,
Sparta,Sparta Memorial Football Field,WI,US,2018-08-03,,,,,,,general protestors,rally and fundraiser to support local cancer causes,0,rally,,,,,1,1,https://lacrossetribune.com/news/local/sparta-area-cancer-support-to-host-walk-rally-friday/article_8189d9ba-95df-5f11-b387-9317c8927a1b.html,,,,,,,
Tolono,outside office of Rep. Rodney Davis,IL,US,2018-08-03,about a dozen,12,,12,,,general protestors,calling on Davis to improve communication between his office and voters; focus on issues rather than party,0,protest,,,,,1,1,https://foxillinois.com/news/local/rep-rodney-davis-confronted-with-protesters-during-office-hours,,,,,,,
Austin,in front of Texas State Capitol building,TX,US,2018-08-03,FB: 76,76,,76,,,general protestors,protesting the STAAR standardized exam,0,protest,,,,,1,1,https://www.kvue.com/article/news/local/dozens-gather-in-austin-hoping-to-see-an-end-to-states-staar-standardized-testing/269-580599536,https://www.facebook.com/events/no-more-staar-rally-austin-texas-south-steps/248534735705623/,,,,,,
Bennington,Martin's Mobil,VT,US,2018-08-04,well under 100,99,,99,,,general protestors,pro-second amendment; pro guns,2,rally,0,0,0,0,1,1,https://vtdigger.org/2018/07/31/gop-house-candidate-expects-1000-gun-rights-campaign-rally/,https://vtdigger.org/2018/08/06/gun-rights-rally-turnout-bennington-falls-short/,,,,,,
Brea,Arovista Park; marched to California NRA HQ in Fullerton ,CA,US,2018-08-04,just over 200,200,,200,,,March 4 Our Lives Los Angeles,demand gun reform legislation,1,rally; march,0,0,0,0,1,1,https://www.ocregister.com/2018/08/04/gun-control-advocates-stage-protest-in-brea-and-fullerton/,,,,,,,
Brea,outside Arovista Park,CA,US,2018-08-04,more than 30,30,,30,,,general protestors,support Second Amendment,2,counter-protest,0,0,0,0,0,1,https://www.ocregister.com/2018/08/04/gun-control-advocates-stage-protest-in-brea-and-fullerton/,,,,,,,
Burleson,from the Burleson Kroger to Joshua High School,TX,US,2018-08-04,about 150,150,,150,,,"Johnson County Sheriff's Office deputies, employees, family members and community members ",rallying for better pay,0,march; rally,0,0,0,0,1,1,http://www.cleburnetimesreview.com/news/residents-join-deputies-in-pray-for-pay-march/article_adcf99f6-99be-11e8-b772-1fb7a8d01660.html,,,,,,,
Columbia,South Carolina Statehouse,SC,US,2018-08-04,FB: 60,60,,60,,,March on the NRA,demand gun reform legislation,1,march; rally,,,,,1,1,https://www.facebook.com/events/473312543113132/,,,,,,,
Dallas,Petland,TX,US,2018-08-04,,,,,,,Petland Going Down,protesting animal conditions,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/282047985682230/?event_time_id=282048002348895,,,"recurring August 11, 18, 25",,,,
Denver,state capitol,CO,US,2018-08-04,FB pic: 71,71,,71,,,general protestors,against NRA,1,protest,,,,,1,1,https://www.facebook.com/events/246575076158750/,http://www.pressmask.com/denvers-march-on-the-nra-helps-student-activists-counter-protesters-find-common-ground/,,,,,,
Denver,state capitol,CO,US,2018-08-04,,,,,,,Rally for Our Rights,pro-Second Amendment ,2,counter-protest,,,,,1,1,http://www.pressmask.com/denvers-march-on-the-nra-helps-student-activists-counter-protesters-find-common-ground/,,,,,,,
Fairfax,outside the National Rifle Association's headquarters,VA,US,2018-08-04,dozens; about 1500,24,,1500,,,March for Our Lives,against NRA,1,protest,0,0,0,0,1,1,https://www.usatoday.com/story/news/2018/08/04/nra-protesters-supporters-face-off-outside-gun-lobby-headquarters/906491002/,,,,,,,
Fairfax,outside the National Rifle Association's headquarters,VA,US,2018-08-04,about 25,25,,25,,,general protestors,pro-NRA,2,protest,0,0,0,0,1,1,https://www.usatoday.com/story/news/2018/08/04/nra-protesters-supporters-face-off-outside-gun-lobby-headquarters/906491002/,,,,,,,
Kearny,outside ICE detention center,NJ,US,2018-08-04,na,10,,10,,,Young Progressives of America,rally to end deportation proceedings against Edison Barros,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/742575066076744/?active_tab=discussion,,,Partial count estimated from photo,,,,
Lewis Center,Olentangy Orange High School,OH,US,2018-08-04,thousands,2000,,2000,,,Trump administration,"pro-Trump, pro-Republican candidates",2,rally,0,0,0,0,1,1,https://www.donaldjtrump.com/rallies/delaware-oh-aug-2018/,https://www.delgazette.com/top-stories/70208/trump-makes-local-stop,,feat. President Trump,,,,
Madison,University of Wisconsin to State Capitol,WI,US,2018-08-04,a hundred or so,100,,100,,,Students,Marching against the NRA,1,march,0,0,0,0,1,1,https://www.channel3000.com/news/madison-students-organize-march-on-nra/777197806,https://wkow.com/news/2018/08/04/students-march-on-capitol-demanding-gun-reform/,,,,,,
Newnan,Newnan High School,GA,US,2018-08-04,,,,,,,general protestors,prayer rally for safety in the coming school year,0,rally,,,,,1,1,http://times-herald.com/news/2018/08/prayer-rally-for-school-year-saturday,,,,,,,
Providence,outside Rhode Island State House,RI,US,2018-08-04,,,,,,,Resist Marxism,"protesting perceived threat to ""American"" culture",2,rally; march,,,,,1,1,https://www.facebook.com/events/381341672351351/,,,,,,,
Portland,South Waterfront Park,OR,US,2018-08-04,some 400,400,,400,,,Patriot Prayer,"for Joey Gibson for US Senate, for patriotism, for Second Amendment rights, for freedom, for Christian values",2,March,0,0,0,0,1,1,https://www.facebook.com/events/276767749553666/,https://www.pbs.org/newshour/nation/portland-police-city-officials-prepare-for-right-wing-rally-and-counter-protest,https://www.usatoday.com/story/news/2018/08/04/portland-right-wing-anti-fascist-rallies-patriot-prayer/904871002/,"""Members of the far-right group Patriot Prayer armed with sniper rifles had to be 'redirected' from a rooftop ahead of a planned march in Portland, Oregon, police have revealed. Portland Police Bureau Assistant Chief Ryan Lee said officers found a number of people positioned on top of a garage roof with a 'cache' of guns directly above where a planned rally was due to take place on the afternoon of August 4. All firearms were confiscated, and the people, who had permits to carry concealed weapons, were moved on without any arrests being made.""",https://www.newsweek.com/patriot-prayer-members-armed-snipers-positioned-themselves-roof-ahead-august-1171862,https://www.wsws.org/en/articles/2018/08/07/port-a07.html,https://www.newsweek.com/portland-police-investigating-accusations-they-targeted-counter-protesters-1058409,https://www.kgw.com/video/news/local/kgw-interview-with-joey-gibson-patriot-prayer-founder/283-8210210
Portland,South Waterfront Park,OR,US,2018-08-04,about 1000,1000,,1000,,,general protestors,"against Patriot Prayer, against white supremacy, against fascism, against KKK, against Nazis",1,counter-protest,4,unspecified,0,0,0,1,https://www.aljazeera.com/news/2018/08/portland-expect-patriot-prayer-rally-180803154247734.html,https://www.usatoday.com/story/news/2018/08/04/portland-right-wing-anti-fascist-rallies-patriot-prayer/904871002/,https://www.wsws.org/en/articles/2018/08/07/port-a07.html,"violent clashes between protesters and counter-protesters; police in riot gear used flash-bangs and other tools to separate groups; police charged counter-protesters, reportedly injuring unknown number",https://www.newsweek.com/portland-police-investigating-accusations-they-targeted-counter-protesters-1058409,,,
Sacramento,vineyard outside of Sacramento,CA,US,2018-08-04,,,,,,,Black Lives Matter,protesting wedding of police officer who shot and killed Stephon Clark,1,protest,0,0,0,0,1,1,https://www.cbsnews.com/news/black-lives-matter-protesters-crash-wedding-of-cop-who-shot-stephon-clark/,,,,,,,
San Antonio,Main Plaza ,TX,US,2018-08-04,dozens; around 60,24,,60,,,Students Demand Action for Gun Sense in America,Marching for Gun Control,1,rally; march,0,0,0,0,1,1,https://www.kens5.com/article/news/politics/students-march-against-gun-violence-downtown/273-580553113,https://www.mysanantonio.com/news/local/article/Students-march-in-downtown-San-Antonio-against-13132463.php,,,,,,
Swanzey,Cheshire Fairgrounds,NH,US,2018-08-04,about 20,20,,,,,Twin States Animal Liberation Outreach,protesting pig scramble,1,protest,,,,,1,1,https://www.facebook.com/events/1816162648453654/,https://www.sentinelsource.com/news/local/activists-plan-protest-of-cheshire-fair-pig-scramble/article_79412183-be87-595b-adb2-9d539bdfd3e0.html,https://www.sentinelsource.com/news/local/activists-protests-not-swaying-pig-scramble-crowd/article_06d84c81-59ab-5317-85ed-c50d5fcb9fa8.html,,,,,
Raleigh,Outside General Assembly building,NC,US,2018-08-04,several dozen,24,,24,,,general protestors,protesting state Republicans,1,protest,0,0,0,0,1,1,https://www.newsobserver.com/news/politics-government/article216102970.html,,,,,,,
Vineland,West Wood Street in Vineland NJ to the United States Department of Justice Building,NJ,US,2018-08-04,,,,,,,Stop Killing Us; Jamal Johnson; general protestors,march against police shootings ,1,protest; march,,,,,1,1,https://www.thedailyjournal.com/story/news/local/2018/08/03/activists-rally-march-washington-d-c-end-police-shootings/899304002/,https://www.facebook.com/umarjohnsonfraud/posts/in-addition-to-our-nationwide-stop-killing-us-sku-protest-and-demonstration-on-a/1953710611571849/,https://www.thedailyjournal.com/story/news/local/2018/07/14/reports-police-involved-shooting-vineland-new-jersey/785543002/,Start of 150 mile march to Washington DC,,,,
Berkeley,,CA,US,2018-08-05,thousands,2000,,2000,,,general protestors,counter-protesting alt-right,1,march;counter-protest,20,0,0,1,1,1,https://www.berkeleyside.com/2018/08/05/as-berkeley-prepares-for-sunday-rallies-police-warn-we-will-be-making-arrests,https://twitter.com/berkeleyside/status/1026191618037014528,,,,,,
Berkeley,,CA,US,2018-08-05,(see above),,,,,,general protestors,Demonstrating in support of the alt-right,2,demonstration,,,,,0,1,https://www.sfgate.com/bayarea/article/Berkeley-braces-for-demonstrations-13133346.php,,,,,,,
Clearwater,St. John Primitive Baptist Church,FL,US,2018-08-05,,,,,,,general protestors,Protesting the death of Markeis McGlockton,1,protest,0,0,0,0,1,1,https://www.wfla.com/news/pinellas-county/al-sharpton-coming-to-clearwater-to-rally-for-markeis-mcglockton/1332107997,,,,,,,
Clearwater,North Greenwood Recreation and Aquatic Center,FL,US,2018-08-05,FB: 309,309,,309,,,Black Lives Matter,Protesting the death of Markeis McGlockton,1,protest; march,0,0,0,0,1,1,https://www.facebook.com/events/685612365118299/,,,,,,,
Detroit,Coco Center,MI,US,2018-08-05,around 1400,1400,,1400,,,general protestors,rally for Michigan Democratic gubernatorial candidate Abdul El-Sayed,1,rally,0,0,0,0,1,1,https://www.mlive.com/news/index.ssf/2018/08/bernie_sanders_abdul_el-sayed.html,,,,,,,
Matlacha,Matlacha Bridge,FL,US,2018-08-05,more than 100,100,,100,,,general protestors,protesting poor water conditions,0,protest,0,0,0,0,1,1,https://www.news-press.com/story/news/2018/08/05/protest-along-matlacha-bridge-decries-algae/910915002/,,,,,,,
Oakland,Mercury 20 Gallery,CA,US,2018-08-05,,,,,,,Paint Congress Blue,"pro-Democrat, anti-Trump",1,rally,,,,,1,1,https://www.eventbrite.com/e/paint-congress-blue-art-action-festival-tickets-46700117308?aff=ebdssbdestsearch#,,,,,,,
Omaha,6116 Dodge St,NE,US,2018-08-05,about 40,40,,40,,,Seeing Red Nebraska,Protesting the Death Penalty,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/994722564021733/,https://www.omaha.com/news/metro/about-protesters-take-death-penalty-issue-to-gov-ricketts-church/article_91068d40-54dc-595a-8161-0405bb6d80ab.html,,,,,,
Spartanburg County,on a bridge overlooking I-85,SC,US,2018-08-05,,,,,,,South Carolina Secessionist Party Upstate division,support restoring Confederate monuments,2,protest,0,0,0,0,1,1,https://www.wyff4.com/article/upstate-confederate-sympathizers-protest-to-restore-monuments/22647600,,,,,,,
Sycamore,outside Ski's All American Pub,IL,US,2018-08-05,,,,,,,Bert's Brigade; general protestors,protesting unregistered animal shelter in Genoa,0,protest,,,,,1,1,http://www.daily-chronicle.com/2018/08/03/berts-brigade-to-protest-barn-on-baselines-hogs-for-dogs-event/as436bz/,,,,,,,
Brooklyn,outside 888 Happy Red Apple Nail Salon,NY,US,2018-08-06,about 50,50,,50,,,general protestors,protesting nail salon where attendants physically assaulted patrons,0,protest,0,0,1,0,1,1,https://www.amny.com/news/brooklyn-nail-salon-fight-1.20359482,,,,,,,
Charles Town,101 East Washington St,WV,US,2018-08-06,sixty,60,,60,,,general protestors,protesting development of Rockwool plant,0,protest,0,0,0,0,1,1,http://www.journal-news.net/news/local-news/2018/08/protesters-express-concerns-over-rockwool-at-council-meeting/,,,,,,,
Columbus,Ohio Stadium,OH,US,2018-08-06,more than 100,100,,100,,,Ohio State fans,rallying in support of coach,0,rally,0,0,0,0,1,1,http://www.timesreporter.com/news/20180807/ohio-state-fans-rally-for-urban-meyer-as-powell-police-correct-record/1,,,,,,,
Detroit,Lee's Summit Call Center,MI,US,2018-08-06,about 45,45,,45,,,Communications Workers of America union members,protest AT&T job cuts,0,protest,0,0,0,0,1,1,https://www.kansascity.com/news/business/workplace/article216364800.html,https://www.kansascity.com/news/business/workplace/article216364800.html,,,,,,
Detroit,Fort Street to Patrick V McNamara Federal building,MI,US,2018-08-06,dozens,24,,24,,,interfaith leaders,Marching against Trump immigration policies,1,march,0,0,0,0,0,1,https://www.detroitnews.com/story/news/local/detroit-city/2018/08/06/interfaith-groups-lead-detroit-procession-protest-immigration-policies/868394002/,,,,,,,
Kennewick,outside the Kennewick Education Association building,WA,US,2018-08-06,,,,,,,local teachers,rallying for better pay,1,rally,0,0,0,0,1,1,https://keprtv.com/news/local/local-teachers-rally-for-state-funded-salary-raise,,,,,,,
Fargo,outside  Federal Building,ND,US,2018-08-06,,,,,,,coalition of organizations,rally to encourage Sen. Heidi Heitkamp to vote for confirmation of Kavanaugh,2,rally,0,0,0,0,1,1,http://www.westfargopioneer.com/news/government-and-politics/4482069-heidi-middle-groups-both-sides-issue-hold-local-events-sway,,,,,,,
Grand Rapids,Rosa Parks Circle Ice Rink,MI,US,2018-08-06,FB: 32,32,,32,,,Movimiento Cosecha GR,Rally for drivers licenses for all,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/2210348035869066/,,,,,,,
Methuen,Methuen City Hall,MA,US,2018-08-06,about a dozen,12,,12,,,general protestors,protesting police officer raises,0,protest,0,0,0,0,1,1,http://www.eagletribune.com/news/merrimack_valley/outraged-methuen-residents-protest-police-raises/article_4f2ae358-4d9a-5d0e-abec-f0fca775bd11.html,,,,,,,
Naples,Wells Fargo,FL,US,2018-08-06,na,8,,8,,,Collier Students for Change,Protesting Wells Fargo for working with NRA,1,protest,0,0,0,0,1,1,https://www.naplesnews.com/story/news/local/2018/08/06/students-stage-die-outside-wells-fargo-protest-link-nra/868519002/,,,,,,,
Nashville,outside CoreCivic headquarters,TN,US,2018-08-06,a few dozen,36,,36,,,general protestors,against cooperation with ICE; against separation of immigrant families,1,protest,20,0,0,0,1,1,https://www.tennessean.com/story/news/2018/08/06/nashville-corecivic-private-prisons-headquarters-entrances-blocked-protesters/912735002/,https://www.wsmv.com/news/facing-charges-after-demonstration-outside-corecivic-headquarters/article_3f10388e-91ba-53fc-a9c3-4e800984f6a3.html,,civil dis,,,,
New York,,NY,US,2018-08-06,FB: ,,,,,,NYC Shut It Down,Protesting Police Brutality,0,protest,,,,,1,1,http://takeactionnyc.com/nyc-protest-event-calendar/,,,recurring protest: people's monday has occurred every monday since Jan. 2015,,,,
New York,Dyckman Street Station to intersection of Dyckman and Broadway,NY,US,2018-08-06,FB: 141,141,,141,,,general protestors,protesting Inwood rezoning plan,0,protest,9,0,0,0,0,1,https://patch.com/new-york/washington-heights-inwood/nine-arrested-during-inwood-rezoning-protest-police-say,https://www.facebook.com/events/297868454303666/,,,,,,
New York,Bensonhurst,NY,US,2018-08-06,,,,,,,general protestors,Rallying against racist graffiti,0,rally,0,0,0,0,0,1,https://pix11.com/2018/08/06/brooklyn-community-rallies-against-racism-after-discovery-of-profane-anti-chinese-graffiti/,,,,,,,
Philadelphia,Green Eggs Cafe,PA,US,2018-08-06,,,,,,,general protestors,against conservative PAC leaders,1,protest,0,0,0,0,1,1,https://www.washingtonpost.com/news/post-nation/wp/2018/08/06/conservatives-arent-safe-protesters-swarm-super-pac-leaders-at-a-philadelphia-restaurant/?utm_term=.39f413f8e8c1,,,,,,,
Washington,outside White House,DC,US,2018-08-06,count vid: hundreds,200,,200,,,general protestors,protesting Trump,1,protest,0,0,0,0,1,1,https://www.usatoday.com/videos/news/nation/2018/08/07/rosie-odonnell-leads-broadway-protest-white-house/37342769/,,,part of ongoing White House protests that began after Trump's mid-July summit w Putin,,,,
Boca Raton,"GEO Group, 4855 Technology Way",FL,US,2018-08-07,more than 100,100,,100,,,Dream Defenders,"against ICE, against GEO Group",1,protest,0,0,0,0,1,1,http://www.sun-sentinel.com/business/fl-bz-geo-protest-boca-raton-20180807-story.html,https://www.instagram.com/p/Bl52si6FOzT/,https://www.instagram.com/p/Bl-8deHlgaI/,,,,,
Decatur,outside Fairview Plaza Kroger,IL,US,2018-08-07,nearly 100,100,,100,,,general protestors,protesting closure of Kroger grocery store,0,protest,0,0,0,0,1,1,https://herald-review.com/news/local/save-our-kroger-dozens-of-residents-rally-to-support-fairview/article_ab2223db-9729-5159-ae37-62e240df6487.html,https://herald-review.com/news/local/watch-kroger-supporters-gather-at-fairview-plaza-for-save-our/article_ab2223db-9729-5159-ae37-62e240df6487.html,,,,,,
Everett,in front of Pilchuck UniServ Council,WA,US,2018-08-07,more than 100,100,,100,,,general protestors,rally for fair contracts and increases to teacher salaries,0,rally,0,0,0,0,1,1,https://www.heraldnet.com/news/mukilteo-teachers-rally-in-everett-for-salary-increase/,,,,,,,
Hartford,outside the U.S. Immigration and Customs Enforcement offices,CT,US,2018-08-07,,,,,,,general protestors,protesting ICE; protesting planned deportation of local woman,1,protest,0,0,0,0,1,1,https://ctmirror.org/2018/08/07/malloy-joins-demonstrators-planned-deportation-bangladeshi-immigrant/,,,,,,,
Hazlet,Hazlet Township Municipal Building,NJ,US,2018-08-07,nearly 200,200,,200,,,general protestors,protesting planned construction of affordable housing on working farm,0,protest,0,0,0,0,1,1,https://www.app.com/story/news/local/communitychange/2018/08/08/hazlet-affordable-housing/930806002/,,,,,,,
