CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,Source7
Phoenix,Outside City Council Chambers,AZ,US,2018-08-29,about 25,25,,25,,,general protestors,Rallying against police violence,1,rally,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/phoenix/2018/08/29/phoenix-activists-rally-wednesday-against-police-shootings/1135983002/,,,,,,,
Philadelphia,downtown,PA,US,2018-08-29,,,,,,,general protestors,Marching for safe injection sites,0,march,0,0,0,0,1,1,http://www2.philly.com/philly/columnists/mike_newall/city-council-opioid-crisis-heroin-safe-injection-site-20180829.html,,,,,,,
Wheeling,City-County Building ,WV,US,2018-08-29,dozens,24,,24,,,Susan B. Anthony List National Pro-Life Woman’s Caucus and other regional anti-abortion groups,pro-Kavanaugh nomination,2,rally,0,0,0,0,1,1,http://www.heraldstaronline.com/news/local-news/2018/08/wheeling-rally-offers-support-for-high-court-nominee/,,,,,,,
Boise,Ada County commission meeting,ID,US,2018-08-30,,9,,9,,,Dry Creek Valley Coalition,protest approval of new development,0,protest,0,0,0,0,1,1,https://www.idahostatesman.com/news/local/community/article215839435.html,photo headcount,,,,,,
Phoenix,outside Arizona Supreme Court,AZ,US,2018-08-30,dozens,24,,24,,,Red For ED,Protesting court ruling against prop 207,0,protest,0,0,0,0,1,1,https://www.azfamily.com/news/teachers-protest-following-az-supreme-court-ruling-to-throw-invest/article_35b92d50-871b-5ea1-ab04-b4a22402210f.html,,,,,,,
Chapel Hill,University of North Carolina,NC,US,2018-08-30,about 50,50,,50,,,general protestors,protesting removal of Confederate monument,2,protest,0,0,0,0,1,1,https://www.reuters.com/article/us-usa-protests-silentsam/university-of-north-carolina-to-relocate-toppled-confederate-statue-idUSKCN1LG2WH?__twitter_impression=true,https://www.heraldsun.com/news/local/article217627890.html,,,,,,
Chapel Hill,University of North Carolina,NC,US,2018-08-30,more than 200,200,,300,,,general protestors,counter-protesting,1,protest,3,0,0,0,0,1,https://www.reuters.com/article/us-usa-protests-silentsam/university-of-north-carolina-to-relocate-toppled-confederate-statue-idUSKCN1LG2WH?__twitter_impression=true,https://www.heraldsun.com/news/local/article217627890.html,https://www.cbs17.com/news/local-news/orange-county-news/unc-s-folt-silent-sam-has-place-in-history-not-at-front-door-/1409425303,,,,,
Clairton,,PA,US,2018-08-30,several hundred,300,,300,,,United Steelworkers,rally for contract agreement,0,rally; march,0,0,0,0,1,1,https://www.wtae.com/article/steelworkers-union-rally-and-march-in-clairton-us-steel-contract-soon-to-expire/22879661,,,,,,,
Coatesville,along Business Route 30,PA,US,2018-08-30,around 60,60,,60,,,United Steelworkers Union,Rallying for a better employment contract,1,rally,0,0,0,0,1,1,https://www.dailylocal.com/news/local/steelworkers-to-rally-in-coatesville-and-across-nation-as-contract/article_25bf3fca-ab99-11e8-9dce-572ae9d6d86c.html,https://www.dailylocal.com/news/steelworkers-rally-in-coatesville-for-new-contract/article_0c36fdd8-acb4-11e8-98a9-77171fc81380.html,,,,,,
Des Moines,State Capitol,IA,US,2018-08-30,,,,,,,general protestors,protesting violence against women; rallying for unity and immigration justice,1,protest; rally,0,0,0,0,1,1,https://www.desmoinesregister.com/story/news/2018/08/31/mollie-tibbetts-vigil-iowa-state-capitol-building-latino-community/1148253002/,,,,,,,
