CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Los Angeles,Metropolitan Detention Center,CA,US,2018-07-02,more than a dozen,12,,12,,,Councilman Mike Bonin,Protesting Zero Tolerance Immigration Policy,1,protest,17,0,0,0,0,1,http://www.latimes.com/local/lanow/la-me-ln-councilman-protest-20180702-story.html,http://abc7.com/society/la-city-councilman-mike-bonin-arrested-at-immigration-rally/3692460/,,,
Philadelphia,ICE office,PA,US,2018-07-02,na,75,,75,,,general protestors,Protesting ICE,1,protest,29,0,0,0,1,1,http://6abc.com/politics/demonstrators-rally-outside-of-ice-office/3694184/,https://www.metro.us/news/local-news/philadelphia/ice-protest-in-philly-ends-with-29-arrested,,,
Polson,Lake County Courthouse lawn,MT,US,2018-07-02,about 30,30,,30,,,general protestors,protest release of murder suspects,0,protest,0,0,0,0,1,1,http://www.leaderadvertiser.com/front_page_slider/20180706/justice_sought_during_protest_at_county_courthouse,,,,
Chicago,outside the Western Avenue office of Animal Care and Control,IL,US,2018-07-03,several dozen,36,,36,,,general protestors,Protesting the firing of Susan Russell,0,protest,0,0,0,0,1,1,https://chicago.cbslocal.com/2018/07/02/animal-control-director-fired/,http://www.chicagotribune.com/news/local/politics/ct-met-rahm-emanuel-animal-control-response-20180703-story.html,,,
Eugene ,Northwest Park Block,OR,US,2018-07-03,FB: 80,80,,80,,,general protestors,Families Belong Together,1,protest,,,,,1,1,https://www.facebook.com/events/227168417899937/,,,,
Iberville Parish,south of LA Highway 404,LA,US,2018-07-03,na,5,,5,,,general protestors,oppose construction of the Bayou Bridge Pipeline,0,protest,5,0,0,0,1,1,http://www.wbrz.com/news/protesters-cling-to-equipment-at-bayou-bridge-pipeline-4-reportedly-arrested/,http://www.wbrz.com/news/man-attached-to-equipment-in-second-bayou-bridge-pipeline-protest/,,,
Lewisburg,outside Greenbrier Valley Airport,WV,US,2018-07-03,na,7,,7,,,general protestors,Protesting Trump visit,1,protest,0,0,0,0,1,1,http://www.wdbj7.com/content/news/Group-gathers-to-protest-Presidents-visit-to-Greenbrier-487286361.html,,,,
Long Beach,City Hall,NY,US,2018-07-03,,,,,,,general protestors,protesting separation payments for city employees,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/nassau/long-beach-separation-pay-1.19589332,,,,
Philadelphia,outside Immigration and Customs Enforcement office on 8th and Cherry Streets,PA,US,2018-07-03,around 75,75,,75,,,general protestors,protesting ICE and separating immigrant families,1,protest,29,0,0,0,1,1,https://philadelphia.cbslocal.com/2018/07/03/protests-turn-violent-as-demonstrators-arrested-in-front-of-philadelphia-ice-building/,http://www.philly.com/philly/news/pennsylvania/philadelphia/occupy-ice-philadelphia-police-destroy-camp-20180705.html,,removed by police on July 5,
Port Neches,Summer's Abbey Flooring Center,TX,US,2018-07-03,,,,,,,general protestors,Protesting flag removal,0,protest,0,0,0,0,1,1,https://www.beaumontenterprise.com/news/article/Mid-County-residents-protest-request-to-remove-13046800.php,,,,
