CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,,,,,,,
Los Angeles,Getty House,,CA,US,2020-12-01,,,,,,,Black Lives Matter-LA; Ground Game LA,"against appointment of LA Mayor Eric Garcetti to any position in Biden administration, against racism, for defunding police, for housing rights",1,march; protest,0,0,0,0,1,1,,,,https://mynewsla.com/crime/2020/12/01/protest-held-outside-garcettis-official-residence-for-eighth-consecutive-day/,https://www.latimes.com/california/story/2020-11-30/black-lives-matter-los-angeles-garcetti-biden-protests,,,,,,,,,,,,,,,,,
Los Angeles,Los Angeles International Airport,,CA,US,2020-12-01,dozens,24,,24,,,Association of Flight Attendents-CWA,in support of fast-tracking COVID-19 relief package,0,rally,0,0,0,0,0,1,,,,https://www.sbsun.com/2020/12/01/flight-attendants-rally-for-covid-19-relief-package-as-stimulus-talks-continue/,,,,,,,,,,,,,,,,,,
Murfreesboro,Pepper and Peach Hot Chicken Store,,TN,US,2020-12-01,count pic,7,,7,,,general protesters,for payment of lost wages to restaurant workers,0,protest,0,0,0,0,1,1,,,,https://www.dnj.com/picture-gallery/news/2020/12/01/pepper-peach-hot-chicken-employees-protest-after-no-payment-work/3787702001/,,,,,,,,,,,,,,,,,,
New Rochelle,Montefiore New Rochelle Hospital,,NY,US,2020-12-01,around 200,200,,200,,,New York State Nurses Association,for safer working conditions and higher pay and benefits for nurses during coronavirus pandemic,0,strike,0,0,0,0,1,1,,,,https://www.nbcnewyork.com/on-air/as-seen-on/nurses-at-new-rochelle-hospital-to-strike-over-contract-ppe/2753393/,https://abc7ny.com/montefiore-new-rochelle-hospital-nurse-strike-ny-covid-19/8406009/,https://www.nbcnewyork.com/news/local/nurses-at-ny-hospital-to-strike-over-contract-negotiations-covid-protection/2753237/,https://bronx.news12.com/nurses-strike-at-montefiore-hospital-in-new-rochelle,https://www.timesunion.com/news/article/Albany-Med-nurses-strike-CEO-calls-it-15765304.php?IPID=Times-Union-HP-CP-Spotlight,,,,,,,,,,,,,,
New York,"1001 Bushwick Ave, Brooklyn",,NY,US,2020-12-01,around 15,15,,15,,,general protesters,against demolition of house considered a historic landmark,0,protest,0,0,0,0,0,1,,Charles Lindemann House,,https://www.brooklynpaper.com/bushwick-avenue-landmarks-rally/,,,,,,,,,,,,,,,,,,
New York,"3rd Ave and East 23rd St, Manhattan",,NY,US,2020-12-01,hundreds,200,,200,,,Sikhs for Justice,"in solidarity with protesting farmers in India, against Narendra Modi",0,caravan,0,0,0,0,0,1,,,,https://www.amny.com/new-york/manhattan/no-farmers-no-food-new-yorkers-hold-rally-in-solidarity-with-new-deli-protests/,https://twitter.com/protest_nyc/status/1333862375615836163,https://www.app.com.pk/global/sikhs-hold-big-rally-outside-indian-consulate-in-new-york-in-support-of-protesting-farmers-in-india/,,,,,,,,,,,,,,,,
New York,Brooklyn,,NY,US,2020-12-01,,,,,,,general protesters,for cancelling rent during coronavirus pandemic,0,banner drop,,,,,0,1,,,,https://twitter.com/protest_nyc/status/1333813978066280457,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-12-01,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police violence",1,vigil; march,,,,,1,1,,,,https://www.instagram.com/p/CIQXIdtlX52/,,,,,,,,,,,,,,,,,,
New York,"Chinatown, Manhattan",,NY,US,2020-12-01,,,,,,,general protesters,for cancelling rent during coronavirus pandemic,0,banner drop,,,,,0,1,,,,https://twitter.com/protest_nyc/status/1333843245143625729,,,,,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-12-01,,,,,,,general protesters,"against racism, against police violence",1,gathering,,,,,0,1,,,,https://twitter.com/protest_nyc/status/1333797412872220672,,,,,,,,,,,,,,,,,,
New York,Queens,,NY,US,2020-12-01,,,,,,,general protesters,for cancelling rent during coronavirus pandemic,0,banner drop,,,,,0,1,,,,https://twitter.com/protest_nyc/status/1333813978066280457,,,,,,,,,,,,,,,,,,
Oroville,Oroville City Hall,,CA,US,2020-12-01,50,50,,50,,,Oroville Southside Community Improvement Association,for saving the Oroville Southside Community Center,0,demonstration,0,0,0,0,1,1,,,,https://www.chicoer.com/2020/12/01/demonstrators-continue-to-press-oroville-council-on-southside-center/,,,,,,,,,,,,,,,,,,
Rockford,Rockford City Hall,,IL,US,2020-12-01,,,,,,,May 30th Alliance,"against racism, against police violence, for justice for Tyris Jones, for dropping charges against protesters",1,occupation,,,,,1,1,,no social media traces available in Sept 2021 again until June 2021,,https://twitter.com/OccupyRKFD/status/1329884344480112651,,,,,,,,,,,,,,,,,,
Santa Monica,outside home of LA County Supervisor Shiela Kuehl,,CA,US,2020-12-01,count video,10,,15,,,general protesters,"against county restrictions on businesses due to coronavirus pandemic, for recalling Governor Newsom",2,protest,0,0,0,0,1,1,,,,https://www.foxla.com/video/876478,,,,,,,,,,,,,,,,,,
