CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,,,,,,,
Jersey City,outside home of Hudson County Executive Tom DiGise,,NJ,US,2020-12-07,,,,,,,general protesters,"against county contract with ICE, for releasing ICE detainees during coronavirus pandemic, against racism",1,vigil,0,0,0,0,1,1,,,,https://twitter.com/protest_nyc/status/1336133727035006978,,,,,,,,,,,,,,,,,,
Lafayette,El Curtola Blvd & Highway 24,,CA,US,2020-12-07,,,,,,,Contra Costa County Patriots,for President Trump,2,demonstration,,,,,1,1,,,,https://www.sfgate.com/news/bayarea/article/Council-To-Ask-State-To-Remove-Highway-Overpass-16006373.php,,,,,,,,,,,,,,,,,,
Lilburn,Plaza Las Americas,,GA,US,2020-12-07,,,,,,,general protesters,"for Jon Ossoff for U.S. Senate, for registration of Latino voters",1,rally,0,0,0,0,1,1,,,,https://www.rockdalenewtoncitizen.com/local/latino-voters-take-the-spotlight-as-georgias-u-s-senate-runoffs-approach/article_e6fa5d52-e271-50ae-989f-421d07ca7fb9.html,,,,,,,,,,,,,,,,,,
Los Angeles,Getty House,,CA,US,2020-12-07,,,,,,,Black Lives Matter-LA; Ground Game LA,"against appointment of LA Mayor Eric Garcetti to any position in Biden administration, against racism, for defunding police, for housing rights",1,protest,0,0,0,0,1,1,,,,https://twitter.com/sw_ylf/status/1335809902040784896,https://laist.com/2020/12/09/mayor_responds_lapd_block_garcetti_protests_getty_house_los_angeles.php,,,,,,,,,,,,,,,,,
Lyons,Lyons Den Restaurant and Taphouse,,CO,US,2020-12-07,dozens,24,,24,,,general protesters,"against state restrictions on businesses during coronavirus pandemic, in support of restaurant penalized for violating state COVID restrictions",2,rally,0,0,0,0,1,1,,,,https://kdvr.com/video/protest-in-front-of-lyons-restaurant-to-show-support-for-business/6097079/,https://denver.cbslocal.com/2020/12/07/lyons-den-protest-liquor/,,,,,,,,,,,,,,,,,
Madison,Wisconsin State Capitol,,WI,US,2020-12-07,count pic,21,,21,,,Women for America First,"for President Trump, against election fraud, for Second Amendment rights, against COVID-related mandates",2,rally,0,0,0,0,1,1,,March for Trump Bus Tour,,https://trumpmarch.com/?fbclid=IwAR0mErtG_V5M0UlzUAyT_oNCVzmEGGdTGKsW-PsksnBVgdVygPuwF4B17SM,https://wisconsinexaminer.com/2020/12/08/spindell-conspiracies-political-violence/,https://youtube.com/Grm2kjNLuEo,https://wisconsinexaminer.com/2020/12/08/spindell-conspiracies-political-violence/,,,,,,,,,,,,,,,
Memphis,Vasco A. Smith Jr. County Administration Building,,TN,US,2020-12-07,count video,10,,20,,,business owners,against county restrictions on businesses during coronavirus pandemic,2,protest,0,0,0,0,1,1,20201207-memphis-covid,verbal clashes with counter-protesters; scuffled with counter-protesters,,https://www.fox13memphis.com/news/local/business-owners-counter-protesters-clash-calls-end-covid-restrictions-grow/XIQJ7SWBQFHZFINNOTRSSZTNX4/,,,,,,,,,,,,,,,,,,
Memphis,Vasco A. Smith Jr. County Administration Building,,TN,US,2020-12-07,,,,,,,general protesters,"in support of county restrictions on businesses during coronavirus pandemic, in support of county commisioners",1,counter-protest,0,0,0,0,0,1,20201207-memphis-covid,verbal clashes with protesters; scuffled with protesters,,https://www.fox13memphis.com/news/local/business-owners-counter-protesters-clash-calls-end-covid-restrictions-grow/XIQJ7SWBQFHZFINNOTRSSZTNX4/,,,,,,,,,,,,,,,,,,
Milwaukee,,,WI,US,2020-12-07,count video,60,,80,,,The Peoples Revolution,"against racism, against police violence, for justice for Andre Nicholson",1,march,,,,,1,1,,,,https://www.youtube.com/watch?v=Q6BuZp99Wxw,https://www.youtube.com/watch?v=k5UwfQJ6BvM&t=3s,,,,,,,,,,,,,,,,,
Nashville,School District main office,,TN,US,2020-12-07,count pic ,46,,46,,,Let Nashville Parents Choose,for re-opening schools in coronavirus  pandemic,0,rally,0,0,0,0,1,1,,,,https://www.newschannel5.com/news/parents-rally-urging-administrators-to-reopen-metro-schools,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-12-07,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police violence",1,vigil; march,,,,,1,1,,,,https://www.instagram.com/p/CIgQEWojMwc/,,,,,,,,,,,,,,,,,,
New York,"Mac's Public House, Staten Island",,NY,US,2020-12-07,roughly 20,20,,20,,,general protesters,against state restrictions imposed in response to coronavirus pandemic,2,protest,0,0,0,0,0,1,,,,https://twitter.com/protest_nyc/status/1336081856584962049,,,,,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-12-07,,,,,,,general protesters,"against racism, against police violence",1,gathering,,,,,0,1,,,,https://twitter.com/protest_nyc/status/1335964656570142720,,,,,,,,,,,,,,,,,,
New York,"Washington Square Park, Manhattan",,NY,US,2020-12-07,,,,,,,NYC Shut It Down,"against racial bias in policing, for justice for Quawan Charles",1,demonstration,,,,,0,1,,,,https://twitter.com/NYC_ShutItDown/status/1328689187088969729,,,,,,,,,,,,,,,,,,
Ogdensburg,Ogdensburg City Hall,,NY,US,2020-12-07,about 24,24,,24,,,general protesters,against workplace violence in city government,0,demonstration,0,0,0,0,1,1,,,,https://www.wwnytv.com/2020/12/08/demonstration-draws-attention-workplace-violence-ogdensburg-city-hall/,https://www.nny360.com/news/stlawrencecounty/ogdensburg-rallies-in-opposition-of-workplace-violence-before-monday-night-s-council-meeting/article_3f66ac6e-e321-5e3d-8ae4-ce7aa5a1a8c9.html,,,,,,,,,,,,,,,,,
Palisade,,,MN,US,2020-12-07,count pic,15,,20,,,Giniw Collective,"against construction of Line 3 pipeline, for native peoples' rights, for environmental protection",1,protest; direct action,0,0,0,0,1,1,,,,https://twitter.com/GiniwCollective/status/1336165135245774851,,,,,,,,,,,,,,,,,,
Port Chester,downtown,,NY,US,2020-12-07,about 50,50,,50,,,general protesters,"against state coronavirus mandates and shutdowns, against orange zone restrictions",0,protest,0,0,0,0,1,1,,,,https://westchester.news12.com/port-chester-small-businesses-protest-orange-zone-status,,,,,,,,,,,,,,,,,,
Rockford,Rockford City Hall,,IL,US,2020-12-07,,,,,,,May 30th Alliance,"against racism, against police violence, for justice for Tyris Jones, for dropping charges against protesters",1,occupation,,,,,1,1,,no social media traces available in Sept 2021 again until June 2021,,https://twitter.com/OccupyRKFD/status/1329884344480112651,,,,,,,,,,,,,,,,,,
Salt Lake City,"West High School, East High School, and Highland High School",,UT,US,2020-12-07,dozens; more than 100,24,,100,,,students; parents,for option for in-person schooling during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://www.ksl.com/article/50062404/slc-students-plan-to-rally-for-return-to-in-person-learning-amid-failing-grades,https://www.fox13now.com/news/local-news/salt-lake-city-students-hold-protest-to-attend-in-person-school,https://www.ksl.com/article/50062896/salt-lake-students-rally-to-return-to-classrooms-as-more-are-earning-failing-grades,https://www.deseret.com/utah/2020/12/7/22158987/salt-lake-city-district-students-rally-to-resume-in-person-learning-covid-19-failing-grades,https://www.abc4.com/news/top-stories/salt-lake-city-school-district-students-rally-in-hopes-for-in-person-learning-to-resume/,https://www.ksl.com/article/50062404/slc-students-plan-to-rally-for-return-to-in-person-learning-amid-failing-grades,,,,,,,,,,,,,
Scituate,Greenbush commuter rail station,,MA,US,2020-12-07,count pic,8,,8,,,general protesters,"against budget cuts to Greenbush commuter rail station, for public transit",0,protest,0,0,0,0,1,1,,,,https://www.patriotledger.com/story/news/2020/12/07/locals-rally-protect-greenbush-commuter-line/3856980001/,,,,,,,,,,,,,,,,,,
Seattle,Cal Anderson Park,,WA,US,2020-12-07,,,,,,,general protesters,against police sweep of homeless encampment,0,direct action,0,0,0,0,1,1,,,,https://twitter.com/justjae206/status/1335968500066603008,https://twitter.com/ENDDSeattle/status/1336034456084250624,https://twitter.com/RebellionBaby/status/1336184978804240385,,,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",CA,CA,US,2020-12-07,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,
Toledo,Erie St,,OH,US,2020-12-07,around 50,50,,50,,,parents; students,against county order pausing school sports due to coronavirus pandemic,0,protest,0,0,0,0,1,1,,Let Us Play,,https://www.13abc.com/2020/12/08/lucas-county-health-order-suspending-high-school-sports-sparks-protest/,,,,,,,,,,,,,,,,,,
Aberdeen,Stafford Creek Corrections Center,,WA,US,2020-12-08,,,,,,,inmates,against poor living conditions and lockdowns for prisoners,0,protest,0,0,0,0,1,1,,,,https://www.khq.com/news/state/prisoners-protest-after-covid-cases-triple-charges-officers-beat-inmate/article_7ee1ba7d-05be-5d1a-82b6-5918904983c8.html,https://www.union-bulletin.com/news/state/prisoners-protest-after-covid-cases-triple-charges-officers-beat-inmate/article_e3c9417f-1db9-53b6-9922-41c6548a9402.html,https://www.wenatcheeworld.com/news/prisoners-protest-after-covid-cases-triple-and-officers-beat-inmate/article_e6758c53-611f-509e-bd76-7151c6229b8a.html,https://www.spokesman.com/stories/2020/dec/08/prisoners-riot-after-covid-cases-triple-and-office/,https://www.heraldnet.com/northwest/aberdeen-prisoners-protest-amid-virus-and-beating-of-inmate/,https://www.tribstar.com/news/local_news/vigo-jail-inmates-death-prompts-protest/article_4e4e9bed-8aaa-56b3-bbe2-018e0164292b.html,,,,,,,,,,,,,
Ada,Chickasaw Nation Medical Center,,OK,US,2020-12-08,count pic,12,,16,,,general protesters,"for freedom of religious expression for Native Americans, respect indigenous culture and ceremony",0,protest,0,0,0,0,1,1,,,,https://www.theadanews.com/news/local_news/group-stages-protest-at-cnmc/article_6ff498b1-9ba7-5783-9f2b-196c66c10eb3.html,,,,,,,,,,,,,,,,,,
Albany,New York State Governor's Mansion,,NY,US,2020-12-08,,,,,,,general protesters,for emergency clemency for prisoners during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://wnyt.com/capital-region-comeback/demonstrators-in-greene-county-rally-for-gov-cuomo-to-grant-emergency-clemencies/5945544/,,,,,,,,,,,,,,,,,,
Atlanta,Georgia State Capitol,,GA,US,2020-12-08,,,,,,,general protesters,"for President Trump, against election fraud",2,demonstration,0,0,0,0,1,1,,,,https://georgiarecorder.com/brief/kemp-confronted-with-election-conspiracy-protest-at-covid-update/,,,,,,,,,,,,,,,,,,
Bloomington,Bloomington Center for the Performing Arts,,IN,US,2020-12-08,count video,20,,30,,,Stand Up for Social Justice,for federal financial relief from COVID-19 pandemic,0,rally,0,0,0,0,1,1,,,,https://www.pantagraph.com/news/local/watch-now-bloomington-rally-calls-for-federal-covid-relief-help/article_4e62a851-9577-5c34-bcb5-40a96e827f3b.html,,,,,,,,,,,,,,,,,,
Boise,Central District Health; homes of at least three health board members,,ID,US,2020-12-08,300-400,300,,400,,,People's Rights; Health Freedom Idaho,"against proposed county coronavirus mask mandate, for freedom, for patriotism, this is Idaho not California, you're not saving lives you're killing business",2,protest,5,0,0,0,1,1,20201208-boise-covidfreedom,noise demos outside homes of board members,,https://abcnews.go.com/Health/wireStory/idaho-health-board-meeting-halted-intense-protests-74617972,https://www.bakersfield.com/ap/national/amid-protests-at-board-members-homes-covid-19-health-order-vote-in-idaho-postponed/article_63cb6b4a-3c47-556b-b510-f9834dc38db6.html,https://www.ktvb.com/article/news/local/boise-mayor-mclean-central-district-health-meeting-safety-concerns-protests/277-1ddae395-8b92-4156-93ca-d56e3f4c7123?utm_campaign=snd-autopilot,https://www.cbsnews.com/news/idaho-health-board-covid-meeting-ended-due-to-intense-protests-at-site-and-members-homes/?ftag=CNM-00-10aab7e&linkId=106693461,https://lmtribune.com/coronavirus/police-ada-officials-respond-to-tuesday-s-health-order-protests/article_45fa71b8-156a-56d9-b4a1-4341c3210037.html,https://www.kivitv.com/news/police-3-arrest-warrants-issued-others-may-follow-after-covid-protests-at-boise-homes,https://www.idahostatesman.com/news/local/crime/article247782630.html,https://www.ktvb.com/article/news/crime/state-house-arrests/277-857e188b-bc48-4fa7-933b-e7ef01c7b538,https://www.dailykos.com/stories/2020/12/9/2000865/-Idaho-County-Commissioner-bolts-from-meeting-after-hearing-an-anti-mask-mob-was-outside-her-home,https://abcnews.go.com/Health/idaho-health-meeting-cut-short-protesters-board-members/story?id=74623569,https://www.idahostatesman.com/news/coronavirus/article247712060.html,https://www.khq.com/news/health-official-meeting-in-boise-interrupted-by-protesters/video_bc280922-3a32-11eb-8871-4f3b224094c5.html,,,,,,,
Boise,Central District Health,,ID,US,2020-12-08,hundreds,200,,200,,,general protesters,in support of county measures to prevent spread of coronavirus,0,counter-protest,0,0,0,0,0,1,20201208-boise-covidfreedom,assembled near rally with signs,,https://lmtribune.com/coronavirus/police-ada-officials-respond-to-tuesday-s-health-order-protests/article_45fa71b8-156a-56d9-b4a1-4341c3210037.html,https://www.idahopress.com/coronavirus/central-district-health-cancels-meeting-amid-protesters-at-district-office-board-members-homes/article_c68a4df5-d54c-5151-bfc5-5bcb24f1ec6c.html,https://www.dailykos.com/stories/2020/12/9/2000865/-Idaho-County-Commissioner-bolts-from-meeting-after-hearing-an-anti-mask-mob-was-outside-her-home,,,,,,,,,,,,,,,,
Bozeman,outside home of Gallatin City-County Health Officer Matt Kelley,,MT,US,2020-12-08,,,,,,,general protesters,against county public health restrictions in response to coronavirus pandemic,0,protest,0,0,0,0,1,1,,,,https://www.fairfieldsuntimes.com/news/state/protests-quiet-outside-health-officers-home-in-bozeman/article_25b4a286-bd36-553c-b5dd-9f6f8950725c.html,,,,,,,,,,,,,,,,,,
Cleveland,,,GA,US,2020-12-08,,,,,,,general protesters,for David Purdue for U.S. Senate,2,rally,0,0,0,0,1,1,,,,https://www.whitecountynews.net/local-newsletter/perdue-rallies-voters-runoff,,,,,,,,,,,,,,,,,,
Hackensack,Bergen County Jail,,NJ,US,2020-12-08,,,,,,,Ridgewood for Black Liberation,"for release of ICE detainees during coronavirus pandemic, for abolishing ICE, against racism, against fascism",0,protest,,,,,1,1,,,,https://twitter.com/protest_nyc/status/1336348986198913024,,,,,,,,,,,,,,,,,,
Jersey City,outside home of Hudson County Executive Tom DiGise,,NJ,US,2020-12-08,,,,,,,general protesters,"against county contract with ICE, for releasing ICE detainees during coronavirus pandemic, against racism",1,vigil,4,0,0,0,1,1,,,,https://www.northjersey.com/story/news/hudson/2020/12/08/hudson-county-judges-order-limits-protests-outside-officials-homes/6500354002/,https://www.pix11.com/news/local-news/new-jersey/nj-county-exec-files-restraining-order-against-anti-ice-protesters,https://twitter.com/protest_nyc/status/1336898894312206336,,,,,,,,,,,,,,,,
Knoxville,,,TN,US,2020-12-08,hundreds,200,,200,,,general protesters,"for President Trump, against election fraud, for Republican candidates for U.S. Senate in Georgia",2,rally,0,0,0,0,1,1,,,,https://www.wjhl.com/news/your-local-election-hq/hundreds-gather-in-knoxville-for-rally-supporting-president-trump/,,,,,,,,,,,,,,,,,,
Lansing,Michigan State Capitol,,MI,US,2020-12-08,count video,200,,200,,,Women for America First,"for President Trump, against election fraud, for Second Amendment rights, against COVID-related government mandates, for religious freedom",2,rally,0,0,0,0,1,1,,March for Trump Bus Tour,,https://twitter.com/BGOnTheScene/status/1336354093523234816,https://twitter.com/BGOnTheScene/status/1336378558483210241,https://twitter.com/BGOnTheScene/status/1336378747776282626,https://twitter.com/BGOnTheScene/status/1336368275102560260,https://twitter.com/BGOnTheScene/status/1336363994848833538,https://youtube.com/XBOWJgPjbpo,,,,,,,,,,,,,
Los Angeles,Getty House,,CA,US,2020-12-08,,,,,,,Black Lives Matter-LA; Ground Game LA,"against appointment of LA Mayor Eric Garcetti to any position in Biden administration, against racism, for defunding police, for housing rights",1,protest,0,0,0,0,1,1,,,,https://laist.com/2020/12/09/mayor_responds_lapd_block_garcetti_protests_getty_house_los_angeles.php,,,,,,,,,,,,,,,,,,
Lynn,Lynn City Hall,,MA,US,2020-12-08,dozens,24,,24,,,student-athletes; coaches,against cancellation of high school winter sports due to coronavirus pandemic,0,protest,0,0,0,0,1,1,,Let Us Play,,https://boston.cbslocal.com/2020/12/08/lynn-high-school-students-protest-cancellation-winter-sports/,,,,,,,,,,,,,,,,,,
Nashville,Vanderbilt University,,TN,US,2020-12-08,,,,,,,Vanderbilt University women's basketball team,against racial injustice,1,demonstration,0,0,0,0,1,1,,Players stayed in the locker room during national anthem.,,https://www.forbes.com/sites/tommybeer/2020/12/09/vanderbilt-womens-basketball-team-stays-in-locker-room-during-anthem-to-protest-racial-injustice/?sh=1dfc8c112324,,,,,,,,,,,,,,,,,,
New Rochelle,Montefiore New Rochelle Hospital,,NY,US,2020-12-08,count pic,30,,30,,,union members,in support of nurses striking during coronavirus pandemic,0,protest,0,0,0,0,1,1,,,,https://pix11.com/news/coronavirus/new-rochelle-nurses-rally-after-hospital-locks-out-dozens-who-went-on-strike/,,,,,,,,,,,,,,,,,,
New York,"341 W 36th St, Manhattan",,NY,US,2020-12-08,,,,,,,general protesters,"for more city support for unhoused people, against evicting unhoused people from hotel",0,rally,0,0,0,0,0,1,,,,https://www.amny.com/new-york/manhattan/neighborhoods/hells-kitchen/rally-in-garment-district-urges-city-to-protect-homeless-individuals-in-shelters/,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-12-08,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police violence",1,vigil; march,,,,,0,1,,,,https://www.instagram.com/p/CIipukEl_Em/,,,,,,,,,,,,,,,,,,
New York,Lower East Side Workers Center,,NY,US,2020-12-08,about 50,50,,50,,,general protesters,"against construction in East River Park, defending offensive poster",0,rally,0,0,0,0,0,1,,,,https://www.amny.com/new-york/manhattan/neighborhoods/lower-east-side/lower-east-side-protesters-say-anti-pol-poster-not-offensive-take-aim-at-development-issues/,,,,,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-12-08,,,,,,,general protesters,"against racism, against police violence",1,gathering,,,,,0,1,,,,https://twitter.com/protest_nyc/status/1336347260381224962,,,,,,,,,,,,,,,,,,
New York,"PS 71 Forest Elementary School, Queens",,NY,US,2020-12-08,about a dozen,12,,12,,,parents,against remote teaching for children in school during coronavirus pandemic,0,protest,0,0,0,0,1,1,,,,https://qns.com/2020/12/parents-protest-over-in-person-classes-taught-by-teachers-via-zoom-at-ridgewoods-p-s-71/,,,,,,,,,,,,,,,,,,
Oakland,East Oakland to school district headquarters on Broadway,,CA,US,2020-12-08,,,,,,,Oakland Education Association,against reopening schools during coronavirus pandemic,0,caravan,0,0,0,0,1,1,,,,https://www.ktvu.com/news/oakland-teachers-protest-districts-reopening-plan,,,,,,,,,,,,,,,,,,
Philadelphia,Sister Cities Park,,PA,US,2020-12-08,hundreds,200,,200,,,general protesters,against closure of John W. Hallahan Catholic girls high school,0,rally,0,0,0,0,1,1,,,,https://news.yahoo.com/rally-keep-john-w-hallahan-031700623.html,https://philadelphia.cbslocal.com/2020/12/09/hundreds-gather-for-prayer-vigil-protest-in-hopes-of-saving-john-w-hallahan-catholic-girls-high-school/,,,,,,,,,,,,,,,,,
Placerville,Placerville City Hall,,CA,US,2020-12-08,dozens,24,,24,,,general protesters,"against white supremacy, against Proud Boys",1,protest,0,0,0,0,1,1,,,,https://sacramento.cbslocal.com/2020/12/08/placerville-protest-proud-boys-toys-for-tots-mayor-condemns/,,,,,,,,,,,,,,,,,,
Portland,"Red House on Mississippi, 4406 N Mississippi Ave",,OR,US,2020-12-08,about 200; more than 100,200,,200,,,general protesters,"against forced eviction during coronavirus pandemic, against gentrification, against racism, for native peoples' rights",1,direct action,7,0,0,1,1,1,,sit-in,,https://www.opb.org/article/2020/12/08/portland-oregon-red-house-mississippi-avenue-eviction-arrests/,https://pamplinmedia.com/pt/9-news/490474-394437-portland-cops-arrest-7-at-mississippi-ave-eviction-protest,https://www.oregonlive.com/portland/2020/12/at-least-7-arrested-at-n-mississippi-home-where-protesters-have-camped-to-prevent-eviction.html,https://twitter.com/th1an1/status/1336398327815024641,https://twitter.com/R3volutionDaddy/status/1336355130560540673,https://www.opb.org/article/2020/12/08/portland-oregon-red-house-mississippi-avenue-eviction-arrests/,https://pamplinmedia.com/pt/9-news/490474-394437-barricades-rise-on-mississippi-ave-at-portland-eviction-protest,https://www.kgw.com/article/news/local/police-clear-private-property-make-arrests-in-north-portland/283-30b04465-0151-4286-82c8-018d7e32d2c0,https://www.seattletimes.com/seattle-news/portland-police-and-protesters-clash-in-broad-daylight/,https://www.columbian.com/news/2020/dec/08/portland-police-and-demonstrators-clash-in-daytime-protest/,https://www.nydailynews.com/news/national/ny-portland-police-clash-protesters-red-house-mississippi-foreclosure-20201208-ocodeqb3ebhrfojiuy7qr3colm-story.html,https://apnews.com/article/portland-oregon-c6c95a7593276dc311f4b7ef76636525,,,,,,,
Provo,Utah County Administration Building,,UT,US,2020-12-08,about a dozen,12,,12,,,Utah County residents,"against proposed private development at Bridal Veil Falls, for conservation of park",0,protest,0,0,0,0,1,1,,,,https://www.heraldextra.com/news/local/govt-and-politics/utah-county-residents-protest-against-proposed-bridal-veil-falls-development/article_c8f9bd72-352d-5c2e-9421-403d7e8ee361.html,https://www.heraldextra.com/news/2020/dec/08/utah-county-residents-protest-against-proposed-bridal-veil-falls-development/,https://www.hjnews.com/news/state/utah-protesters-oppose-development-at-bridal-veil-falls/article_5a1a8d2d-457f-5887-9180-8e3b3c0ed6cb.html,,,,,,,,,,,,,,,,
Ridgefield,Ridgefield Administrative & Civic Center,,WA,US,2020-12-08,dozens,24,,24,,,general protesters,for reopening schools during coronavirus pandemic,0,rally,0,0,0,0,1,1,,Ridgefield Rally to Open Schools,,https://www.columbian.com/news/2020/dec/08/parents-to-hold-ridgefield-rally-to-open-schools-event-today/,http://www.thereflector.com/community/article_0065099a-3a70-11eb-9a4b-6f5d786a9049.html,,,,,,,,,,,,,,,,,
Rockford,Rockford City Hall,,IL,US,2020-12-08,,,,,,,May 30th Alliance,"against racism, against police violence, for justice for Tyris Jones, for dropping charges against protesters",1,occupation,,,,,1,1,,no social media traces available in Sept 2021 again until June 2021,,https://twitter.com/OccupyRKFD/status/1329884344480112651,,,,,,,,,,,,,,,,,,
Sacramento,Sacramento County Supervisor's Office,,CA,US,2020-12-08,about 30,30,,30,,,general protesters,"against fines for businesses violating covid-19 restrictions, for First Amendment rights, COVID is a hoax",2,direct action,0,0,0,0,1,1,,broke into building and disrupted county commissioners' meeting,,https://sacramento.cbslocal.com/2020/12/08/protesters-business-owners-covid-fine-sacramento/,,,,,,,,,,,,,,,,,,
Saint Louis,Clyde C. Miller Academy,,MO,US,2020-12-08,,,,,,,teachers,against plan to close 10 public schools in St. Louis,0,demonstration,0,0,0,0,1,1,,,,https://www.ksdk.com/article/news/education/slps-holds-online-forum-about-consolidation-plan/63-5901499d-b359-479a-a2d7-26a8f2721ce2,,,,,,,,,,,,,,,,,,
Saint Paul,online,,MN,US,2020-12-08,,,,,,,Interfaith Coalition on Immigration; Edina Community Lutheran Church,"in solidarity with migrant detainees, against inhumane detention practices",1,virtual vigil,,,,,1,1,,second Tuesday of every month,,https://mnicom.org/programs/vigils/,https://mnicom.org/2020/12/02/zoom-vigil-december-8-2020/,,,,,,,,,,,,,,,,,
Seattle,Cal Anderson Park,,WA,US,2020-12-08,,,,,,,general protesters,against police sweep of homeless encampment,0,direct action,0,0,0,0,1,1,,,,https://twitter.com/RebellionBaby/status/1336380192948846594,,,,,,,,,,,,,,,,,,
Seattle,Kobe Terrace,,WA,US,2020-12-08,,,,,,,Morning March Seattle,"against racism, against police violence, for defunding police, for justice for Casey Goodson",1,march; caravan,,,,,0,1,,,,https://www.instagram.com/p/CIhJ_ZgpiPX/,https://www.instagram.com/p/CIjGPK-hfzk/,,,,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",CA,CA,US,2020-12-08,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,
South Bend,Purcell Pavilion,,IN,US,2020-12-08,,1,,1,,,college basketball player,"against racism, against police violence, for justice for Casey Goodson Jr.",1,demonstration,0,0,0,0,1,1,,,,https://www.espn.com/mens-college-basketball/story/_/id/30481516/ohio-state-basketball-player-seth-towns-takes-knee-protest-friend-killing-police-shooting,https://www.usatoday.com/story/sports/ncaab/bigten/2020/12/09/casey-goodson-death-seth-towns-ohio-state/6504976002/,,,,,,,,,,,,,,,,,
Springdale,George's Inc. poultry plant,,AR,US,2020-12-08,around two dozen; around 30,24,,30,,,workers,for safer working conditions for poultry plant workers during coronavirus pandemic,0,walkout,0,0,0,0,1,1,,,,https://www.nwahomepage.com/northwest-arkansas-news/georges-workers-walk-out-of-springdale-plant-in-protest/,https://www.5newsonline.com/article/news/georges-poultry-plant-workers-protest-conditions-during-an-ongoing-pandemic/527-ed570c92-b5dd-4c4a-93d1-4eaaadc3780f,https://www.nwaonline.com/news/2020/dec/09/chicken-line-protest-says-safety-flouted-nwa/,,,,,,,,,,,,,,,,
Tacoma,,,WA,US,2020-12-08,more than 40,40,,40,,,general protesters,"against proposal to split Tacoma-Pierce County Health Department during coronavirus pandemic, against politicization of health department",0,rally,0,0,0,0,1,1,,,,https://www.q13fox.com/video/878535,,,,,,,,,,,,,,,,,,
Tipp City,Tipp City Exempted Village Schools Board of Education office,,OH,US,2020-12-08,more than 50,50,,50,,,general protesters,"against giving local school board control over local library, against censorship",0,protest,0,0,0,0,1,1,,,,https://www.daytondailynews.com/news/tipp-city-library-protests-interruptions-police-called-to-meeting/XGMICVZRQVHN3F7SG2B4C4H6GY/,,,,,,,,,,,,,,,,,,
Washington,L St and M St underpasses NE,,DC,US,2020-12-08,,,,,,,general protesters,against sweep of homeless encampment,0,rally,0,0,0,0,1,1,,,,https://twitter.com/GoodTroubleCoop/status/1335668681758666760,https://twitter.com/blackhousenew/status/1336330691898789889,,,,,,,,,,,,,,,,,
Washington,U.S. Capitol,,DC,US,2020-12-08,,,,,,,general protesters,"for financial relief for restaurant owners during coronavirus pandemic, for passage of Restaurant Act",0,demonstration,0,0,0,0,0,1,,,,https://www.fox5dc.com/video/878496,,,,,,,,,,,,,,,,,,
Washington,U.S. Supreme Court,,DC,US,2020-12-08,,,,,,,Stop the Steal,"for President Trump, against election fraud",2,rally,0,0,0,0,0,1,,Stop the Steal,,https://twitter.com/ali/status/1336105693724741638,https://twitter.com/ali/status/1336369966501810177,,,,,,,,,,,,,,,,,
Wooster,Market St and Liberty St,,OH,US,2020-12-08,,,,,,,general protesters,"against racism, against police brutality, Black Lives Matter",1,protest,,,,,1,1,,,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,,,,,,,,,,,,,
,Macomb County,,MI,US,2020-12-08,,,,,,,Women for America First,"for President Trump, against election fraud, for Second Amendment rights, against COVID-related mandates, for religious freedom",2,rally,0,0,0,0,1,1,,,,https://youtube.com/ipwIKHWqAtg,,,,,,,,,,,,,,,,,,
Abeline,Dickenson County Courthouse,,KS,US,2020-12-09,count pic,9,,9,,,general protesters,against Dickenson County health officer's mask order,0,protest,0,0,0,0,1,1,,,,http://www.abilene-rc.com/mask-protest/image_e302f4ca-3bb9-11eb-8601-cb76a13959ed.html,,,,,,,,,,,,,,,,,,
