CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
Statesville,Broad St & Center St,,NC,US,2020-08-15,,,,,,,Statesville4Change,"for removal of Confederate statue, Black Lives Matter",1,demonstration,,,,,1,1,,https://statesville.com/news/local/as-protests-near-100-days-elowehi-onole-said-there-is-no-plan-to-stop-in/article_5dd17c3a-fe66-11ea-a0e8-4b7d70be3639.html,,,,,,1,,,,,,,,,,,,,,
Stone Mountain,,,GA,US,2020-08-15,about 75,75,,75,,,Confederate States III%,against Black Lives Matter,2,protest,0,unspecified,0,0,0,1,20200815-stonemtn-confederacy,https://www.wane.com/news/national-world/police-move-in-after-fights-break-out-during-georgia-protest/,https://www.localmemphis.com/article/news/local/stone-mountain-white-nationalist-demonstration-counterprotest-saturday/85-d3d466c8-5f84-407f-b1f3-345ad2f25397,https://www.localmemphis.com/article/news/local/stone-mountain-white-nationalist-demonstration-counterprotest-saturday/85-d3d466c8-5f84-407f-b1f3-345ad2f25397,Fighting broke out between protesters and counter-protesters. Members of both groups were heavily armed.,0,1,1,https://twitter.com/FordFischer/status/1294612948531503104,,,,,,,,,,,,,
Stone Mountain,,,GA,US,2020-08-15,a few hundred,300,,300,,,general protesters,"Black Lives Matter, against pro-Confederate militia",1,counter-protest,0,unspecified,0,0,1,1,20200815-stonemtn-confederacy,https://www.wane.com/news/national-world/police-move-in-after-fights-break-out-during-georgia-protest/,https://www.localmemphis.com/article/news/local/stone-mountain-white-nationalist-demonstration-counterprotest-saturday/85-d3d466c8-5f84-407f-b1f3-345ad2f25397,https://www.wsbtv.com/news/dozens-protesters-counter-protesters-face-off-defend-stone-mountain-rally/JBMRHJCD2ZAFDBCWTS6UIBGI5M/,Fighting broke out between protesters and counter-protesters. Members of both groups were heavily armed.,0,1,1,https://www.ajc.com/news/atlanta-news/after-clashes-between-armed-protesters-locals-paint-a-different-picture-of-life-in-stone-mountain/LMDOWQWUF5GLRMQ2QKZCFNKP3I/,https://twitter.com/FordFischer/status/1294612948531503104,,,,,,,,,,,,
Sturgis,Free Church Park,,MI,US,2020-08-15,twenty-eight,28,,28,,,area residents,"Police Lives Matter, for patriotism, we support and pray for our police, Thin Blue Line, for community unity during COVID-19 pandemic",2,rally,0,0,0,0,1,1,,https://www.sturgisjournal.com/news/20200815/community-members-gather-at-rally-to-support-police,,,,,,,,,,,,,,,,,,,,
Sturgis,,,SD,US,2020-08-15,,,,,,,general protesters,against allowing Sturgis motorcycle rally to proceed during coronavirus pandemic,0,protest,1,0,0,0,1,1,,https://www.kotatv.com/2020/08/17/chief-protester-kicks-at-biker-during-sturgis-rally/,,,,0,1,,,,,,,,,,,,,,,
Sturgis,,,SD,US,2020-08-15,,,,,,,Bikers for Trump,for President Trump,2,rally,0,0,0,0,1,1,,https://www.eldoradonews.com/galleries/30547/album/,,,,,,,,,,,,,,,,,,,,
Tillamook,Hoquarton Park,,OR,US,2020-08-15,about 120,120,,120,,,community members,"Back the Blue, for President Trump",2,march,,,,,1,1,,https://www.tillamookheadlightherald.com/news_paid/back-the-blue-rally-takes-place-third-rally-scheduled-for-september/article_22c0a282-e0cb-11ea-bfa2-1356742235f7.html,,,,,,,,,,,,,,,,,,,,
Ventura,Ventura City Hall,,CA,US,2020-08-15,around 150,150,,150,,,general protesters,against removal of Junipero Serra statue,0,rally,0,0,0,0,1,1,,https://www.vcstar.com/picture-gallery/news/local/2020/08/16/defend-serra-rally-attracts-around-150-people/5593431002/,,,,,,,,,,,,,,,,,,,,
Wallingford,Wallingford Town Hall,,CT,US,2020-08-15,about 100,100,,100,,,general protesters,"against hate, in support of Black Lives Matter",1,rally,0,0,0,0,1,1,,https://www.myrecordjournal.com/News/Wallingford/Wallingford-News/Second-Black-Lives-Matter-protest-in-Wallingford.html,,,,,,,,,,,,,,,,,,,,
Warrenton,Courthouse Square,,VA,US,2020-08-15,,,,,,,"Fauquier NAACP; League of Women Voters of the Fauquier and Prince William Area; Virginia Interfaith Center for Public Policy, Northern Piedmont chapter; Afro-American Historical Association of Fauquier County; Piedmont Race Amity Project",Black Lives Matter,1,vigil,,,,,1,1,,https://www.fauquier.com/news/photos-saturdays-march-for-black-lives-marks-1-year-since-first-blm-protest-in-warrenton/article_cc400d8a-c657-11eb-abaf-5356e970b69f.html,,,,,,1,,,,,,,,,,,,,,1
Washington,home of U.S. Postmaster General Louis DeJoy in Kalorama neighborhood,,DC,US,2020-08-15,dozens,24,,24,,,general protesters,support USPS; for postmaster general's resignation; for democracy,1,march,0,0,0,0,1,1,,https://twitter.com/KolbieReports/status/1294615470004469760,https://wtop.com/dc/2020/08/dozens-protest-outside-dc-condo-where-postmaster-general-lives/,https://mobile.reuters.com/news/picture/americans-protest-cuts-to-us-postal-serv-idUSRTX7QCX6,https://twitter.com/JDDsays/status/1294603967289270273,,,1,,,,,,,,,,,,,,
Waterloo,post office,,IA,US,2020-08-15,,,,,,,general protesters,"in support of the post office, for mail-in ballots, for voting rights",1,protest,0,0,0,0,1,1,,https://wcfcourier.com/news/local/equipment-removal-from-waterloo-post-office-sparks-saturday-protest/article_4ef6c6f6-c236-514e-bbcd-0943c6a4ccdf.html,,,,,,,,,,,,,,,,,,,,
Wauwatosa,,,WI,US,2020-08-15,,,,,,,general protesters,"against police brutality, against racism, for firing police officer Joseph Mensah",1,protest,0,0,0,0,1,1,,https://www.fox6now.com/news/wauwatosa-adjusts-city-protest-guidelines-after-back-to-back-nights-of-demonstrations,,,,,,,,,,,,,,,,,,,,
Wenatchee,Memorial Park,,WA,US,2020-08-15,almost 200,200,,200,,,general protesters,for farm worker rights and more protections amid the covid pandemic,0,protest,0,0,0,0,1,1,,https://www.wenatcheeworld.com/news/coronavirus/activists-protest-for-farmworker-rights/article_47a92b36-de7e-11ea-8a0b-6357f7165fd0.html,,,,,,,,,,,,,,,,,,,,
West Palm Beach,Flagler Park,,FL,US,2020-08-15,dozens,24,,24,,,general protesters,against child sex trafficking,0,rally,,,,,1,1,,https://www.wpbf.com/article/save-our-children-rally-held-in-west-palm-beach/33613962#,,,,,,1,,,,,,,,,,,,,,
West Plains,Aquatic Park,,MO,US,2020-08-15,dozens,24,,24,,,general protesters,againt human trafficking,0,march,0,0,0,0,1,1,,https://www.ky3.com/2020/08/15/dozens-march-around-west-plains-to-raise-awareness-on-human-trafficking/,,,,,,,,,,,,,,,,,,,,
Williamsburg,Merchants Square,,VA,US,2020-08-15,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,https://www.wtkr.com/sports/tribe-sprinter-felecia-hayes-hosts-protests-every-week-for-4-months-straight,,,,,,1,,,,,,,,,,,,,,
Wooster,Market St and Liberty St,Wayne,OH,US,2020-08-15,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,1,,,,,,,,,,,,,,
Yachats,downtown,,OR,US,2020-08-15,41,41,,41,,,general protesters,"Black Lives Matter, Black Trans Lives Matter",1,protest,0,0,0,0,1,1,,https://newportnewstimes.com/article/yachats-sees-12th-saturday-protest,,,,0,1,,,,,,,,,,,,,,,
York,York Catholic High School,,PA,US,2020-08-15,75,75,,75,,,general protesters,against school barring a student from wearing a Black Lives Matter mask to graduation,1,protest,0,0,0,0,1,1,,https://www.pennlive.com/news/2020/08/york-catholic-high-school-students-march-against-schools-alleged-discrimination.html,,,,,,,,,,,,,,,,,,,,
Acton,online,,MA,US,2020-08-16,,,,,,,Racial Justice for Black Lives,for racial justice and equity,1,virtual rally,,,,,1,1,,https://www.instagram.com/p/CDwWF5cl1Pr/,https://www.instagram.com/p/CDNP_lBgTeB/,,,,,,,,,,,,,,,,,,,
Belfast,High St and Main St,,ME,US,2020-08-16,,,,,,,general protesters,antiracism; against police brutality; against President Trump,1,demonstration,0,0,0,0,1,1,,https://bangordailynews.com/2021/01/13/news/midcoast/in-wake-of-deadly-capitol-riots-protesters-in-belfast-test-the-limits-of-free-speech/,,,,,,1,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-08-16,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,1,,,,,,,,,,,,,,
Boulder,Longmont post office,,CO,US,2020-08-16,about 20,20,,20,,,general protesters,"in support of the US Postal Service, for democracy",1,protest,0,0,0,0,1,1,,https://www.dailycamera.com/2020/08/17/democracy-needs-usps-residents-rally-for-u-s-postal-service-in-longmont/,,,,0,1,,,,,,,,,,,,,,,
Clarksburg,,,WV,US,2020-08-16,count video,20,,30,,,general protesters,against child sex trafficking,0,rally,,,,,1,1,,https://www.wboy.com/news/harrison/save-the-children-rally-raises-awareness-about-human-trafficking/,,,,,,1,,,,,,,,,,,,,,
Drexel HIll,Aronimink Elementary School; Drexel Hill Middle School,,PA,US,2020-08-16,,,,,,,UDTJ; ILM Healing Solutions LLC,"against racism and systemic oppression, Black Lives Matter",1,march,,,,,1,1,,https://www.instagram.com/p/CC3dJ0zFExZ/,,,,,,,,,,,,,,,,,,,,
Greensboro,outside Louis DeJoy's home,,NC,US,2020-08-16,hundreds,200,,200,,,general protesters,"against US Postmaster General Louis DeJoy, for voting rights, for democracy",1,protest,0,0,0,0,1,1,,https://greensboro.com/news/local_news/hundreds-protest-outside-of-louis-dejoys-greensboro-home-they-accuse-the-postmaster-general-of-trying/article_7fd5f092-df6a-11ea-9183-d3f75050cf88.html,https://www.pressherald.com/2020/08/17/as-the-house-demands-an-interview-with-postal-service-chief-louis-dejoy-protesters-picket-his-homes/,https://www.wfmynews2.com/article/news/local/as-seen-on-tv/greensboro-postmaster-general-protests-home-louis-dejoy/83-fb6efe96-e95d-41a5-8695-87858c9e9137,,,1,1,https://twitter.com/RedTRaccoon/status/1295057624279519232,https://twitter.com/RedTRaccoon/status/1294741457039917057,,,,,,,,,,,,
Harrisburg,Pennsylvania State Capitol,,PA,US,2020-08-16,about 35,35,,35,,,general protesters,against child sex trafficking,0,rally,,,,,1,1,,https://www.pennlive.com/news/2020/08/save-our-children-protest-in-harrisburg-calls-for-action-against-child-predators.html,,,,,,1,,,,,,,,,,,,,,
Henryville,Clark State Forest,,IN,US,2020-08-16,about 50,50,,50,,,general protesters,"against white supremacy, against Nazis",1,rally,0,0,0,0,1,1,,https://www.wdrb.com/news/henryville-against-nazis-rally-held-after-men-seen-wearing-swastikas-in-clark-state-forest/article_ca447c00-e01b-11ea-9cf5-837deb427709.html,,,,,,,,,,,,,,,,,,,,
Honolulu,Oahu Community Correctional Center,,HI,US,2020-08-16,,,,,,,inmates,against restrictions on prison inmates due to coronavirus pandemic,0,demonstration,0,0,0,1,1,1,,https://www.civilbeat.org/2020/08/inmates-start-fires-over-quarantine-lockdowns-cramped-conditions/,,,,,,1,,,,,,,,,,,,,,
Incline Village,,,CA,US,2020-08-16,,,,,,,full-time residents,"against risk of tourists spreading coronavirus, against tourist littering on Lake Tahoe",0,protest,,,,,1,0,,https://sfist.com/2020/08/14/tahoe-residents-plan-protests-over-covid-tourism/,https://www.kcra.com/article/tahoe-residents-fed-up-tourists-trash-plan-rallies/33605732,https://www.sacbee.com/news/coronavirus/article244964285.html,,,1,,https://www.rgj.com/story/news/2020/08/14/frustrated-lake-tahoe-residents-plan-protest-disrespectful-behavior-tourists/3375568001/,https://www.theunion.com/news/environment/tahoe-is-being-thrashed-trash-tourism-protesters-plan-demonstrations-at-4-locations-around-lake-tahoe/,http://www.southtahoenow.com/story/08/15/2020/group-rallies-ask-respect-tourists-when-visiting-lake-tahoe,,,,,,,,,,,
Ithaca,Ithaca Commons,,NY,US,2020-08-16,,,,,,,general protesters,"against racism, against police violence, for defunding police",1,rally; march,,1,,,1,1,,https://ithacavoice.com/2020/09/sunday-protests-return-avoid-ipd-hq-after-last-weeks-incident/,,,,,,1,,,,,,,,,,,,,,
Kings Beach,,,CA,US,2020-08-16,,,,,,,full-time residents,"against risk of tourists spreading coronavirus, against tourist littering on Lake Tahoe",0,protest,,,,,1,0,,https://sfist.com/2020/08/14/tahoe-residents-plan-protests-over-covid-tourism/,https://www.kcra.com/article/tahoe-residents-fed-up-tourists-trash-plan-rallies/33605732,https://www.sacbee.com/news/coronavirus/article244964285.html,,,1,,https://www.rgj.com/story/news/2020/08/14/frustrated-lake-tahoe-residents-plan-protest-disrespectful-behavior-tourists/3375568001/,https://www.theunion.com/news/environment/tahoe-is-being-thrashed-trash-tourism-protesters-plan-demonstrations-at-4-locations-around-lake-tahoe/,http://www.southtahoenow.com/story/08/15/2020/group-rallies-ask-respect-tourists-when-visiting-lake-tahoe,,,,,,,,,,,
Ledyard,Colonel Ledyard Park,,CT,US,2020-08-16,,,,,,,general protesters,Black Lives Matter,1,protest,0,0,0,0,1,1,,https://www.theday.com/local-news/20200816/rainy-protest,https://www.norwichbulletin.com/story/news/local/2020/08/14/ledyard-community-for-black-lives-matter-to-host-protest/42591481/,,,,,,,,,,,,,,,,,,,
Los Angeles,"Sepulveda & La Tijera, Westchester",,CA,US,2020-08-16,twenty-four,24,,24,,,Westside Activists,"for Democratic candidates for office, Black Lives Matter",1,demonstration,0,0,0,0,1,1,,https://www.instagram.com/p/CD0iL7Wg0y5/,https://www.instagram.com/p/CEE4FrDnkFj/,,,,,1,,,,,,,,,,,,,,
Macedon,Bullis Park,,NY,US,2020-08-16,several thousand,3000,,3000,,,motorcycle clubs,"Back the Blue, against defunding police, for patriotism",2,rally; motorcycle ride,0,0,0,0,1,1,,https://www.democratandchronicle.com/story/news/2020/08/16/thousands-back-the-blue-wayne-county-bike-rally/3355734001/,https://www.mpnnow.com/story/lifestyle/around-town/2020/08/16/thousands-rally-and-ride-to-back-blue-in-wayne-county/113444150/,,,,,,,,,,,,,,,,,,,
Mansfield,Park Ave West,,OH,US,2020-08-16,over a dozen,12,,12,,,general protesters,against child sex trafficking,0,rally,,,,,1,1,,https://www.mansfieldnewsjournal.com/story/news/2020/08/16/save-our-children-protest-aims-raise-awareness-trafficking/5596076002/,,,,,,1,,,,,,,,,,,,,,
Melbourne,Honor America Liberty Bell Museum,,FL,US,2020-08-16,about 300,300,,300,,,general protesters,"in support of police, for President Trump",2,rally,0,0,0,0,1,1,,https://www.floridatoday.com/story/news/2020/08/16/police-candidates-speak-back-blue-rally-held-melbourne/5596209002/,,,,,,,,,,,,,,,,,,,,
Meyers,,,CA,US,2020-08-16,about 80,80,,80,,,full-time residents,"against risk of tourists spreading coronavirus, against tourist littering on Lake Tahoe",0,protest,,,,,1,0,,https://sfist.com/2020/08/14/tahoe-residents-plan-protests-over-covid-tourism/,https://www.kcra.com/article/tahoe-residents-fed-up-tourists-trash-plan-rallies/33605732,https://www.sacbee.com/news/coronavirus/article244964285.html,,,1,,https://www.rgj.com/story/news/2020/08/14/frustrated-lake-tahoe-residents-plan-protest-disrespectful-behavior-tourists/3375568001/,https://www.theunion.com/news/environment/tahoe-is-being-thrashed-trash-tourism-protesters-plan-demonstrations-at-4-locations-around-lake-tahoe/,http://www.southtahoenow.com/story/08/15/2020/group-rallies-ask-respect-tourists-when-visiting-lake-tahoe,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-08-16,,,,,,,Upper East Side for Black Lives Matter,antiracism; against police brutality,1,vigil; march,,,,,0,1,,https://www.instagram.com/p/CD84Fd2D4F1/,https://www.instagram.com/p/CD9Fci3Dc2Z/,https://www.instagram.com/p/CD9TW2VDq4O/,,,,1,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-08-16,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,https://www.instagram.com/p/CDu3H5Fj-l3/,https://www.instagram.com/p/CD9V5itDYTw/,,,,,1,,,,,,,,,,,,,,
Pittsburgh,Mellon Park; Mayor Bill Peduto's home,,PA,US,2020-08-16,between 150-200; about 200,150,,200,,,general protesters,"Black Lives Matter, against police terrorism, for removal of Mayor Peduto",1,protest,0,0,0,0,1,1,,https://pittsburgh.cbslocal.com/2020/08/16/protesters-call-for-removal-of-mayor-peduto/,,,,0,1,,,,,,,,,,,,,,,
Portland,Multnomah County Justice Center,,OR,US,2020-08-16,,,,,,,general protesters,"against racism, against police violence",1,protest,11,0,0,1,1,1,,https://www.oregonlive.com/portland/2020/08/driver-of-crashed-car-is-beaten-blocks-from-downtown-portland-protests.html,https://www.clickorlando.com/news/politics/2020/08/19/portland-protesters-set-fire-to-county-government-building/,https://apnews.com/article/d640afdd85404f0b7ffde44eb75f9512,Person arrested for assaulting driver of pick-up truck that crashed near protest. Doesn't seem to have been counter-protester; Protesters set Mulnomah Building on fire,,1,1,https://www.statesmanjournal.com/story/news/2020/08/19/portland-protesters-set-fire-multnomah-building/3399355001/,https://www.inquirer.com/news/nation-world/portland-protests-fire-county-government-building-20200819.html,https://www.q13fox.com/news/portland-protesters-assault-driver-of-crashed-truck-downtown,https://www.kgw.com/article/news/local/protests/protesters-gather-at-colonel-summers-park-as-nightly-demonstrations-in-portland-continue/283-02393710-146d-46a9-a0b1-f07be26b76c2,https://www.washingtonpost.com/nation/2020/08/19/portland-multnomah-building-fire/,https://www.instagram.com/p/CD9Q0kABmuh/,,,,,,,,
Portola Valley,Portola Rd & Alpine Rd,,CA,US,2020-08-16,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,,https://www.almanacnews.com/news/2021/02/26/after-eight-months-portola-valleys-weekly-blm-demonstrators-stay-committed,,,,0,,1,,,,,,,,,,,,,,
Richmond,,,VA,US,2020-08-16,,,,,,,381 Movement,antiracism; against police brutality,1,protest,12,0,0,1,1,1,,https://www.wsls.com/news/2020/08/18/richmonds-police-chief-believes-protesters-arrested-were-antifa-members/,,,"12 people who ""fit the description of Antifa members"" were arrested during the Black Lives Matter protests",0,1,,,,,,,,,,,,,,,
Richmond,Virginia Commonwealth University,,VA,US,2020-08-16,nearly 100,100,,100,,,Virginia Student Power Network; students,"against Virginia Commonwealth University's reopening during coronavirus pandemic, defund VCU police, reallocate funds to mental health and LGBTQ+ issues; keep U.S. Immigration and Customs Enforcement off campus, abolish the P3 public safety application, release a line-item budget, defund Richmond police, against police violence, against racism, for justice for Marcus-David Peters",1,protest,0,0,0,0,0,1,,https://fredericksburg.com/news/local/education/watch-now-students-protest-on-first-day-of-classes-at-vcu-criticizing-its-reopening-during/article_e3e8e171-58f0-577c-beb9-a78b2ce7cac5.html,,,,0,1,,,,,,,,,,,,,,,
Salt Lake City,,,UT,US,2020-08-16,,,,,,,Our Streets,"against racism, against police violence",1,rally,,,,,1,1,,https://www.sltrib.com/news/2021/01/03/these-utahns-protested/,,,Dance Dance 4 Revolution,,,1,,,,,,,,,,,,,,
San Francisco,Koret Parking Lot,,CA,US,2020-08-16,count video,50,,70,,,University of San Francisco students,"against leadership of University of San Francisco, for discounted tuition during coronavirus pandemic, for university support for students with basic needs",0,march; rally,,,,,1,1,,https://www.instagram.com/p/CDujMI4h4Y0/,https://www.instagram.com/p/CEVAF_ijSCq/,,,,,1,,,,,,,,,,,,,,
Santa Cruz,Beach St,,CA,US,2020-08-16,,,,,,,general protesters,against arrest of street vendor,0,protest,,,,,1,1,,https://www.santacruzsentinel.com/2020/08/17/santa-cruz-beach-vendor-ban-ignites-protest/,,,,,,,,,,,,,,,,,,,,
Seattle,International District; Seattle Police Officers Guild,,WA,US,2020-08-16,about 100,100,,100,,,general protesters,against Seattle police union,1,protest; march,18,0,3,0,1,1,,https://lmtribune.com/northwest/seattle-officers-protesters-clash-near-sodo-police-union-building-18-arrested/article_cff67ea5-9211-5363-989f-443d869a0516.html,,,,0,1,,,,,,,,,,,,,,,
Seattle,Skyway Library,,WA,US,2020-08-16,,,,,,,Morning March Seattle,"against racism, against police violence, for defunding police, against new youth jail, against Mayor Durkan, for amnesty for protesters",1,march,,,,,0,1,,https://www.instagram.com/p/CD-UfNxJSIx/,,,,,,1,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,CA,US,2020-08-16,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,1,,,,,,,,,,,,,,
Sonora,Courthouse Park,,CA,US,2020-08-16,,,,,,,BLM Peaceful Protest Sonora,Black Lives Matter,1,protest,,,,,1,1,,https://twitter.com/RNeck161/status/1487921023412748288,https://www.facebook.com/groups/2556412371354428/,,,,,1,,,,,,,,,,,,,,
Southbury,Playhouse Corner,,CT,US,2020-08-16,,,,,,,Justice Southbury,"against systemic racism, for equal justice for all",1,rally,,,,,1,1,,https://www.rep-am.com/local/localnews/2021/05/30/southbury-social-justice-group-marks-a-year-of-protests/,,,,,,,,,,,,,,,,,,,,
Springfield,Springfield Public Library,,OR,US,2020-08-16,around 60,60,,60,,,Oregon Patriots,"for President Trump, for patriotism, Blue Lives Matter",2,rally,0,0,0,0,1,1,,https://www.dailyemerald.com/news/black-unity-hosts-abridged-know-your-rights-teach-in-in-11th-protest-week/article_71bd34dc-e354-11ea-82e5-0f882960de83.html,,,,,1,,,,,,,,,,,,,,,
Statesville,Broad St & Center St,,NC,US,2020-08-16,,,,,,,Statesville4Change,"for removal of Confederate statue, Black Lives Matter",1,demonstration,,,,,1,1,,https://statesville.com/news/local/as-protests-near-100-days-elowehi-onole-said-there-is-no-plan-to-stop-in/article_5dd17c3a-fe66-11ea-a0e8-4b7d70be3639.html,,,,,,1,,,,,,,,,,,,,,
Tahoe City,,,CA,US,2020-08-16,,,,,,,full-time residents,"against risk of tourists spreading coronavirus, against tourist littering on Lake Tahoe",0,protest,,,,,1,0,,https://sfist.com/2020/08/14/tahoe-residents-plan-protests-over-covid-tourism/,https://www.kcra.com/article/tahoe-residents-fed-up-tourists-trash-plan-rallies/33605732,https://www.sacbee.com/news/coronavirus/article244964285.html,,,1,,https://www.rgj.com/story/news/2020/08/14/frustrated-lake-tahoe-residents-plan-protest-disrespectful-behavior-tourists/3375568001/,https://www.theunion.com/news/environment/tahoe-is-being-thrashed-trash-tourism-protesters-plan-demonstrations-at-4-locations-around-lake-tahoe/,http://www.southtahoenow.com/story/08/15/2020/group-rallies-ask-respect-tourists-when-visiting-lake-tahoe,,,,,,,,,,,
Terre Haute,Kroger; Vigo County Courthouse,,IN,US,2020-08-16,dozens,24,,24,,,general protesters,against child and human sex trafficking,0,march,0,0,0,0,1,1,,https://www.wthitv.com/content/news/Dozens-march-to-SaveTheChildren-572133591.html,,,,,,,,,,,,,,,,,,,,
Trenton,2800 Third St; Trenton City Hall,,MI,US,2020-08-16,,,,,,,general protesters,against rezoning of former McLouth Steel property,0,protest,0,0,0,0,1,1,,https://www.thenewsherald.com/news/another-mclouth-rezoning-protest-set-for-sunday-in-trenton/article_f06ae3e0-de33-11ea-a6e7-ab1668e1cdc0.html,https://www.thenewsherald.com/news/protesters-rally-against-rezoning-of-mclouth-steel-property-in-trenton/article_5cfa6154-e17f-11ea-8034-4f5a807060e9.html,,,0,1,,,,,,,,,,,,,,,
Truckee,,,CA,US,2020-08-16,a few,3,,3,,,full-time residents,"against risk of tourists spreading coronavirus, against tourist littering on Lake Tahoe",0,protest,,,,,1,0,,https://sfist.com/2020/08/14/tahoe-residents-plan-protests-over-covid-tourism/,https://www.kcra.com/article/tahoe-residents-fed-up-tourists-trash-plan-rallies/33605732,https://www.sacbee.com/news/coronavirus/article244964285.html,,,1,,https://www.rgj.com/story/news/2020/08/14/frustrated-lake-tahoe-residents-plan-protest-disrespectful-behavior-tourists/3375568001/,https://www.theunion.com/news/environment/tahoe-is-being-thrashed-trash-tourism-protesters-plan-demonstrations-at-4-locations-around-lake-tahoe/,http://www.southtahoenow.com/story/08/15/2020/group-rallies-ask-respect-tourists-when-visiting-lake-tahoe,,,,,,,,,,,
Wooster,Market St and Liberty St,Wayne,OH,US,2020-08-16,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,1,,,,,,,,,,,,,,
Alhambra,1000 South Fremont Ave,,CA,US,2020-08-17,around 20,20,,20,,,Alhambra residents,against development of The Villages,0,protest,0,0,0,0,1,1,,https://www.pasadenastarnews.com/2020/08/18/alhambra-residents-protest-new-development-planning-commission-puts-issue-off-again/,,,,0,1,,,,,,,,,,,,,,,
Atlanta,Georgia Tech University,,GA,US,2020-08-17,,,,,,,students,against planned reopening of Georgia Tech University during coronavirus pandemic,0,demonstration,,,,,1,1,,https://twitter.com/mark_riedl/status/1294324661497606144,,,die-in,,,1,,,,,,,,,,,,,,
Augusta,Confederate Monument,,GA,US,2020-08-17,dozens,24,,24,,,general protesters,"against removal of Confederate monument, heritage not hate, against removing history",2,rally,0,0,0,0,1,1,,https://www.wrdw.com/2020/08/17/augustans-rally-behind-the-citys-confederate-monument/,,,lots of Confederate flags,,,,,,,,,,,,,,,,,
Boardman,Lockwood Blvd. and Tippecanoe Rd.,,OH,US,2020-08-17,dozens,24,,24,,,residents,against rezoning to allow construction of Meijer gas station ,0,rally,,,,,1,1,,https://www.wfmj.com/story/42504837/meijer,https://www.vindy.com/news/latest-news/2020/08/residents-protest-planned-meijer-gas-station/,,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-08-17,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,1,,,,,,,,,,,,,,
Brentwood,in front of UC Regent George Kieffer's home,,CA,US,2020-08-17,dozens,24,,24,,,University Council-American Federation of Teachers Local 1990,for job stability for lecturers at University of California,0,car caravan,0,0,0,0,1,1,,https://dailybruin.com/2020/08/17/uc-aft-local-1990-holds-protest-demanding-greater-job-security-outside-regents-home,,,,0,1,,,,,,,,,,,,,,,
Charlotte ,,,NC,US,2020-08-17,,,,,,,post office workers,against changes to U.S. Postal Service ahead of 2020 election,1,protest,0,0,0,0,1,1,,https://www.charlotteobserver.com/news/politics-government/article245050000.html,,,,0,1,,,,,,,,,,,,,,,
Clovis,Olde Town Clovis,,CA,US,2020-08-17,,,,,,,salon workers and supporters,for reopening buisnesses during coronavirus pandemic,0,protest,,,,,1,1,,https://www.fresnobee.com/latest-news/article245033115.html,,,,,,,,,,,,,,,,,,,,
Detroit,36th District Court,,MI,US,2020-08-17,dozens,24,,24,,,Detroit Eviction Defense,for expanded ban on evictions during coronavirus pandemic,0,protest; rally,0,0,0,0,1,1,,https://wwmt.com/news/state/lot-of-fear-people-rally-in-detroit-for-ban-on-evictions,,,,,0,1,,,,,,,,,,,,,,
Detroit,Bennet Playground,,MI,US,2020-08-17,,,,,,,Detroit Will Breathe,"against racism, against police brutality, for defunding police, for police reform, for carceral reform, against criminalization of homelessness, for immigrants' rights, for disabled peoples' rights, for moratorium on evictions and foreclosures and against utility shutoffs during coronavirus pandemic",1,march,0,0,0,0,1,1,,https://detroitwillbreathe.info/events.html,,,,,,1,,,,,,,,,,,,,,
