CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
Austin,Congress Ave and E 4th St,,TX,US,2020-08-01,,,,,,,Boogaloo Boys; Texas Security Force III%; Proud Boys,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,0,1,20200801-austin-blm,https://www.fox7austin.com/news/hundreds-of-apd-officers-dps-troopers-clash-with-protesters-in-austin-saturday-night,https://www.kvue.com/article/news/local/protests/austin-protests-police-dps-troopers-increasing/269-1f15b131-142e-4407-b2bc-387189b0372f,,openly carried firearms; tactical gear,0,1,,,,,,,,,,,,,,,
Austin,UT Tower; home of Austin City Council Member Kathy Tovo,,TX,US,2020-08-01,hundreds,200,,200,,,general protesters,"for defunding police, for amplifying Black voices",1,rally; march,0,0,0,0,0,1,,https://www.texastribune.org/2020/08/02/austin-protest-garrett-foster/,https://www.fox7austin.com/news/hundreds-of-apd-officers-dps-troopers-clash-with-protesters-in-austin-saturday-night,,March to Amplify Black Voices; turned away people who showed up with visible weapons,0,1,,,,,,,,,,,,,,,
New York,"Bowne Park, Bayside, Queens",,NY,US,2020-08-01,more than 50,50,,50,,,Warriors in the Garden,Black Lives Matter; against systemic racism,1,march,0,0,0,0,1,1,,https://qns.com/2020/08/live-updates-black-lives-matter-protest-kicks-off-in-bayside/,,,,,,,,,,,,,,,,,,,,
Berea,Chestnut St to Berea City Hall,,KY,US,2020-08-01,hundreds,200,,200,,,community members,Back the Blue; pro law enforcement,0,march,,,,,1,1,,https://www.richmondregister.com/news/hundreds-attend-berea-backs-the-blue-march/article_356458d4-fc85-5c48-b162-cf039faaf679.html,,,,,,,,,,,,,,,,,,,,
Beverly Hills,Beverly Gardens Park,,CA,US,2020-08-01,,,,,,,general protesters,"for President Trump, for freedom, against coronavirus masks",2,rally,,,,,1,1,,https://beverlyhillscourier.com/2020/10/29/bhpd-chief-addresses-mask-enforcement-at-rallies/,,,Beverly Hills Freedom Rally,,,1,,,,,,,,,,,,,,
Biloxi,Biloxi Lighthouse,,MS,US,2020-08-01,,,,,,,general protesters,calling for a delay to the start of the school year amid the covid pandemic,0,rally,0,0,0,0,1,1,,https://www.sunherald.com/news/coronavirus/article244648497.html,,,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-08-01,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,1,,,,,,,,,,,,,,
Bonner,Bonner County Courthouse,Bonner,ID,US,2020-08-01,,,,,,,Back the Bonner Blue,"in support of local law enforcement, against hatred of police",2,rally,,,,,1,1,,https://bonnercountydailybee.com/news/2020/jul/31/local-group-plans-back-the-bonner-blue-rally-7/,,,,,,,,,,,,,,,,,,,,
Brookfield,Square Mall,,WI,US,2020-08-01,count video,60,,80,,,general protesters,"against state coronavirus mask mandate, for freedom, recall Governor Evers, for patriotism, for President Trump, for police",2,protest,0,0,0,0,1,1,,https://www.wisn.com/article/coronavirus-dozens-protest-wisconsin-s-face-mask-mandate/33489860,,,,,,,,,,,,,,,,,,,,
Cambridge,Cambridge City Hall,,MA,US,2020-08-01,hundreds,200,,200,,,general protestors,"justice for Eurie Stamps, Black Lives Matter",1,protest,,,,,1,1,,https://whdh.com/news/hundreds-protest-at-cambridge-city-hall-for-framingham-man-killed-by-police/,,,,,,,,,,,,,,,,,,,,
Chicago,downtown,,IL,US,2020-08-01,,,,,,,general protestors,"for police reform, against ICE",1,protest,,,,1,1,1,,https://chicago.cbslocal.com/2020/08/01/large-group-of-protesters-gathers-downtown-for-police-reform-against-ice/,,,,,,,,,,,,,,,,,,,,
Chicago,Illinois National Armory,,IL,US,2020-08-01,,,,,,,general protesters,"for justice for Vanesa Guillen, against sexual harassment in the military",0,caravan; march,0,0,0,0,1,1,,https://chicago.cbslocal.com/2020/08/01/group-marches-to-demand-justice-for-vanessa-guillen-draw-attention-to-sexual-harassment-in-armed-forces/,,,,,,,,,,,,,,,,,,,,
Chilmark,Chilmark Library,,MA,US,2020-08-01,anywhere from 200 to 300,200,,300,,,general protesters,Black Lives Matter,1,protest,,,,,1,1,,https://www.mvtimes.com/2020/07/31/chilmark-anticipates-large-crowd-demonstration/,,,,,1,,,,,,,,,,,,,,,
Cortez,Main St,,CO,US,2020-08-01,hundreds,200,,200,,,St. Barnabas Episcopal Church,"against police brutality, for racial justice",1,march,0,0,0,0,1,1,,https://the-journal.com/articles/183587-dueling-rallies-held-on-main-street-in-cortez,https://the-journal.com/articles/185756-why-protest-against-equality-and-love,,,,,,,,,,,,,,,,,,,
Cortland,Cortland County Courthouse,,NY,US,2020-08-01,more than 100,100,,100,,,general protesters,Black Lives Matter ,1,protest,0,0,0,0,1,1,,https://cortlandstandard.net/2020/07/31/blm-to-counter-sheriffs-proposals-in-cortland-rally/,https://cortlandstandard.net/2020/08/03/blm-rallies-in-cortland/,,,0,1,,,,,,,,,,,,,,,
Coweta,,,OK,US,2020-08-01,almost 200,200,,200,,,general protesters,"in support of law enforcement, Back the Blue",0,rally; walk ,0,0,0,0,1,1,,https://tulsaworld.com/communities/wagoner/news/cowetas-back-the-blue-rally-draws-crow-to-show-support/article_4eb77b2b-d7ab-5c08-ac04-c1a357a92e53.html,,,,,1,,,,,,,,,,,,,,,
Des Moines,Iowa State Capitol ,,IA,US,2020-08-01,,,,,,,general protesters; physicians,in support of mask mandate amid COVID-19 pandemic,0,rally,0,0,0,0,1,1,,https://www.radioiowa.com/2020/08/03/iowa-doctors-rally-for-statewide-mask-mandate/,https://www.kglonews.com/iowa-doctors-rally-for-statewide-mask-mandate/,https://littlevillagemag.com/covid-19-doctors-rally-to-ask-gov-reynolds-for-a-mask-mandate-experts-warn-about-school-reopenings/,,0,1,,,,,,,,,,,,,,,
Detroit,Rosa Parks Federal Building,,MI,US,2020-08-01,nearly 200,200,,200,,,Detroit Will Breathe,"against racism, against police violence, against deployment of federal troops in Detroit, against President Trump",1,protest; march,0,0,0,0,1,1,,https://www.detroitnews.com/story/news/local/detroit-city/2020/08/01/rashida-tlaib-joins-protesters-pushing-back-against-federal-officers-detroit/5563160002/,https://detroitwillbreathe.info/events.html,,,,,1,,,,,,,,,,,,,,
Durant,Choctaw Travel Plaza,,OK,US,2020-08-01,approximately 10,10,,10,,,Choctaw demonstrators,"for going slow in negotiations with state over tribal land, for indigenous peoples' rights",0,demonstration,,,,,1,1,,"https://www.durantdemocrat.com/stories/choctaw-demonstrators-want-to-be-heard,9206",,,,,,,,,,,,,,,,,,,,
Easthampton,Main Street Park; Easthampton Police Department,,MA,US,2020-08-01,more than 300,300,,300,,,general protesters,antiracism; against police brutality,1,protest; march,,,,,1,1,,https://www.gazettenet.com/A-Knee-Is-Not-Enough-to-protest-against-racism-on-Saturday-35466877,https://www.gazettenet.com/A-Knee-is-Not-Enough-rally-held-in-Easthampton-on-Saturday-35506693,,,,1,,,,,,,,,,,,,,,
Elizabethton,Rotary Pavilion,,TN,US,2020-08-01,,,,,,,general protesters,for Republican candidate Dr. Manny Sethi,2,rally,,,,,1,1,,https://www.johnsoncitypress.com/news/dr-sethi-to-hold-final-rally-in-carter-county-before-thursday-primary/article_19f6165e-d375-11ea-822d-8703a7ed8e55.html,,,,,,,,,,,,,,,,,,,,
Emmaus,The Triangle,,PA,US,2020-08-01,"at least 200 people filled the Triangle, the pro-Trump crowd double the size of the Black Lives Matter group",150,,200,,,general protesters,"Back the Blue, for Second Amendment rights, for President Trump",2,protest,0,0,0,0,1,1,20200801-emmaus-backtheblue,https://www.mcall.com/news/breaking/mc-nws-pro-trump-black-lives-matter-protests-emmaus-20200801-caqxfxht3rdmharkkcockkfhgi-story.html,,,openly carried firearms; verbally and physically confronted counter-protesters; conversed with counter-protesters,,,,,,,,,,,,,,,,,
Emmaus,The Triangle,,PA,US,2020-08-01,"at least 200 people filled the Triangle, the pro-Trump crowd double the size of the Black Lives Matter group",75,,100,,,general protesters,"Black Lives Matter, hate has no home here, no justice no peace",1,counter-protest,0,0,0,0,0,1,20200801-emmaus-backtheblue,https://www.mcall.com/news/breaking/mc-nws-pro-trump-black-lives-matter-protests-emmaus-20200801-caqxfxht3rdmharkkcockkfhgi-story.html,,,silent protest; a few verbal clashes with protesters; conversed with protesters,,,,,,,,,,,,,,,,,
Folsom,Frederick L. Mann Memorial Park; Ridley Township Police Station,,PA,US,2020-08-01,,,,,,,Delco Resists,"Black Lives Matter, for police accountability",1,march,0,1,0,0,1,1,20200801-folsom-blm,https://www.phillytrib.com/news/state_and_region/delco-black-caucus-calls-for-change-after-heated-blm-protest/article_2ebaf210-d031-5362-a99b-62e562789069.html,https://www.delcotimes.com/news/black-lives-matter-march-turns-tense-in-ridley-township/article_c612917a-d43c-11ea-befb-934f56f1aa53.html,https://philadelphia.cbslocal.com/2020/08/02/tensions-rise-between-two-groups-at-black-lives-matter-march-in-delaware-county/,verbal clashes with counter-protesters; scuffles with counter-protesters,,1,,,,,,,,,,,,,,,
