City,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
New York,outside US Senator Chuck Schumer’s home; 9 Prospect Park West,New York,NY,US,2019-07-02,hundreds,200,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,0,1,https://www.wendybrandes.com/blog/2019/07/closethecamps-take-to-the-streets-on-july-2/,https://twitter.com/bkindivisible/status/1146180434977538048,,,,
New York,Staten Island mall,Richmond,NY,US,2019-07-02,,,,,,,general protestors,protest assaults,0,protest,0,0,0,0,0,1,https://www.silive.com/galleries/UAKBOXMNA5A4ZHHJLQMSEKXRSA/,,,,,
Northhampton,Congressman Jim McGovern’s office,Hampshire,MA,US,2019-07-02,"about 2 dozen, ",36,,36,,,parents and children,"asking lawmakers that migrant detention centers be shut down, funding be cut off and families be reunited",1,protest,0,0,0,0,1,1,https://www.masslive.com/news/2019/07/playdate-protesters-gather-at-congressman-jim-mcgoverns-office-in-northampton.html,,,,,
Norwich ,Rep. Joe Courtney's office ,New London,CT,US,2019-07-02,"more than 2 dozen, ",24,,24,,,general protestors ,protest of the migrant children and families in federal detention at the border,1,protest,0,0,0,0,1,1,https://www.norwichbulletin.com/news/20190702/residents-protest-in-norwich-against-detention-of-migrant-children-families-at-border,,,,,
Oakland,highway overpass,Alameda,CA,US,2019-07-02,count video,56,,56,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/NoPuppet_007/status/1146236061166653440,,,,,
Oklahoma City,Oklahoma City office of U.S. Sen. James Lankford,Oklahoma,OK,US,2019-07-02,more than two dozen,24,,24,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://oklahoman.com/article/5635413/protests-rally-against-oklahoma-base-for-migrant-shelter,,,,,
Orlando,Big Tree Park,Orange,FL,US,2019-07-02,about 125; about 100,100,,125,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/_lcoops/status/1146099275157463042,https://twitter.com/gemisura/status/1146099098031968256,https://www.wesh.com/article/this-day-in-history-aviator-amelia-earhart-vanishes-over-the-pacific-ocean/28259645,,,
Overland Park,NA,Johnson,KS,US,2019-07-02,over 100,100,,100,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/grammy_jules/status/1146126493371813888,https://twitter.com/museumuse/status/1146237327469101056,,,,
Palo Alto,"Embarcadero Road, El Camino Real",Santa Clara,CA,US,2019-07-02,about a hundred,100,,100,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/mcnelis/status/1146131054048055296,https://www.mercurynews.com/2019/07/02/protesters-rally-against-border-detention-centers/,,,,
Panorama City,Outside office of Rep. Tony Cardenas,Los Angeles,CA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.hub-la.com/news/protests-demanding-closure-of-migrant-detention-camps-scheduled-for-southland/,,,,,
Pasadena,Outside office of Rep. ,Los Angeles,CA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/abc7carlos/status/1146135697062940673,,,,,
Philadelphia,Outside of US Sen. Toomey’s Philadelphia office; 2nd  and Chestnut,Philadelphia,PA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/chloe_resists/status/1146096103508652032,,,,,
Philadelphia,LOVE Park,Philadelphia,PA,US,2019-07-02,"about 200,",200,,200,,,victims of gun violence,against gun violence ,0,protest,0,0,0,0,0,1,https://www.inquirer.com/news/peace-rally-philadelphia-gun-violence-love-park-20190702.html,,,,,
Phoenix,outside ICE office; 2035 N Central Ave,Maricopa,AZ,US,2019-07-02,count pic,47,,47,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/az_resist/status/1146110417292283904,,,,,
Pittsburg,North Broadway Street,Crawford,KS,US,2019-07-02,nearly four dozen,48,,48,,,general protesters,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.joplinglobe.com/news/local_news/pittsburg-protesters-call-for-closure-of-border-detention-centers/article_45212464-a6f9-5ca5-bf66-5f2234516de7.html,,,,,
Pittsburgh,City-County Building,Allegheny,PA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/SilkQuilt/status/1146094525846368257,,,,,
Plattsburgh,in front the government center,Clinton,NY,US,2019-07-02,more than 50,50,,50,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/Nerdzilla76/status/1146238380818272256,https://www.northcountrypublicradio.org/news/story/39037/20190703/close-the-camps-protesters-in-plattsburgh-call-for-end-of-migrant-detention-facilities?fbclid=IwAR2XtONrpo_lKB8a-tzvLm8f94sSEpKQg6OaBOXe-3cOidgDEI6IR3SXp0w,,,,
Portland,Federal Building,Multnomah,OR,US,2019-07-02,hundreds; 250 or so,200,,250,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/jbozworth/status/1146126700310224898,https://twitter.com/bbowers73/status/1146185124951674880,,,,
Portland,Lincoln Park ,Cumberland,ME,US,2019-07-02,over a dozen,12,,12,,,"Tax the Rich, general protestors ",demand that lawmakers address rising economic inequality by advocating for tax fairness instead,0,protest,0,0,0,0,1,1,https://mainebeacon.com/ahead-of-more-trump-cuts-for-wealthy-mainers-rally-for-tax-fairness/,,,,,
Port St. Lucie,NA,St. Lucie,FL,US,2019-07-02,,,,,,,#ClosetheCamps,"provoked by reports that migrant children are being taken from their parents at the southern border, kept in dire conditions in detention camps and denied medical care",1,protest,0,0,0,0,1,1,https://www.tallahassee.com/story/news/politics/2019/07/02/close-camps-rally-draws-dozens-protesters-old-capitol/1630475001/,,,,,
Prescott,Courthouse Square,Yavapai,AZ,US,2019-07-02,count video,30,,30,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/IndivisPrescott/status/1146155320906940416,,,,,
Pueblo ,Rawlings Library ,Pueblo,CO,US,2019-07-02,,,,,,,general protestors ,the treatment of migrants seeking asylum along the US - Mexico border.,1,protest,0,0,0,0,1,1,https://www.koaa.com/news/covering-colorado/group-holds-rally-in-pueblo-to-protest-treatment-of-migrants-at-border,,,,,
Raleigh,NA,Wake,NC,US,2019-07-02,count pic,32,,32,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/arrbeejay/status/1146112203285770242,,,,,
Rapid City,intersection of West Main Street and Sheridan Lake Road,Pennington,SD,US,2019-07-02,about 25,25,,25,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://rapidcityjournal.com/news/local/protesters-decry-child-detentions-at-border/article_70334ed8-fade-5eb0-8cc3-91e9ae768e15.html#utm_campaign=blox&utm_source=twitter&utm_medium=social,,,,,
Reno,NA,Washoe,NV,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/StephanNPage/status/1146180880362119168,,,,,
Richardson,100 N Central Expressway,Dallas,TX,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/GoldenDana/status/1146130168475455489,https://twitter.com/em__tea/status/1146144701881495553,,,,
Rochester,outside office of US Rep. Jim Hagedorn,Olmsted,MN,US,2019-07-02,about 140,140,,140,,,#ClosetheCamps,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/CalynTReports/status/1146108221578469376,https://www.kimt.com/content/news/Close-the-Camps-protest-in-Rochester-urges-change-at-southern-border-512144282.html,,,,
Rochester,in front of Rochester’s federal building on State Street,Monroe,NY,US,2019-07-02,approx 200,200,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://13wham.com/news/local/rochester-protesters-joins-national-push-to-closethecamps-during-tuesday-rally,https://twitter.com/neelykelley/status/1146097952710156289,,,,
Rock Hill,Lindsey Graham’s office,York,SC,US,2019-07-02,"about 30,",30,,30,,,general protestors ,demand the closure of immigrant detention centers,1,protest,0,0,0,0,1,1,https://www.heraldonline.com/news/local/article232196052.html,,,,,
Rockaway,outside office of US Rep. Gregory Meeks,Queens,NY,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,http://erikmcgregor.com/2019/07/02/close-the-camps/,,,,,
Rockland,Park Street by Chapman Park,Knox,ME,US,2019-07-02,100+; 75,75,,100,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/dafna613/status/1146397749891469319,https://knox.villagesoup.com/p/midcoast-citizens-turn-out-to-protest-detention-of-immigrant-children/1822624,,,,
Sacramento,downtown,Sacramento,CA,US,2019-07-02,plus 100; hundreds; dozens,24,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/wren_kevin/status/1146130979351740417,https://twitter.com/sharynesque/status/1146413430368116736,https://www.sacbee.com/news/politics-government/article232210047.html,,,
Salt Lake City,NA,Salt Lake,UT,US,2019-07-02,count pic,2,,2,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/__ohdear__/status/1146094736857452544,,,#standoneverycorner,,
San Diego,Federal Court Building,San Diego,CA,US,2019-07-02,,,,,,,Amnesty International ,"called on U.S. authorities to stop ""targeting human rights defenders at the border, endangering migrants, and asylum seekers in the process,""",1,protest,0,0,0,0,1,1,https://www.10news.com/news/local-news/amnesty-international-to-protest-federal-governments-treatment-of-aid-workers-at-us-mexico-border,,,,,
San Diego,Otay Mesa Detention Center,San Diego,CA,US,2019-07-02,about 60,60,,60,,,general protesters,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,0,1,https://www.sandiegouniontribune.com/news/border-baja-california/story/2019-07-02/pro-immigrant-demonstrators-protest-outside-otay-mesa-detention-center,,,,,
San Francisco,outside US Sen. Feinstein’s office; 1 Post St.,San Francisco,CA,US,2019-07-02,hundreds,200,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/emteehall/status/1146109213518659584,https://twitter.com/SFWeekly/status/1146152182082752512,https://www.sfchronicle.com/bayarea/article/Hundreds-shut-down-San-Francisco-streets-to-14067556.php,,,
Santa Rosa,Old Courthouse Square,Sonoma,CA,US,2019-07-02,,,,,,,general protestors ,"to call attention to reports of migrants being kept in dire conditions and being denied medical care, and children being taken from their parents",1,protest,0,0,0,0,1,1,https://sanfrancisco.cbslocal.com/2019/06/30/bay-area-rallies-planned-to-protest-conditions-at-u-s-immigration-camps/,,,,,
Sarasota,Congress Member Vern Buchanan's Office,Sarasota,FL,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/LilyPotter130/status/1146150067470065664,https://www.wmnf.org/closethecamps-protest-tampa-kathy-castor/,,,,
Seattle,US Rep. Jayapal's office,King ,WA,US,2019-07-02,dozens,24,,24,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/CJaneKnit_1/status/1146132068566364161,https://www.msn.com/en-us/money/news/seattle-supernumberclosethecamps-protest-denounces-cruelty-used-to-deter-immigration/ar-AADMjjy?ocid=st,,,,
Seattle,ICE office,King,WA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,0,1,http://cadc2bfe0b1cd1dc8cef0a1f59de532a.blogspot.com/,,,every Tuesday,,
Sherman ,Grayson County Courthouse ,Grayson,TX,US,2019-07-02,nearly two dozen,24,,24,,,general protestors ,demanding closure of what is believed to be inhumane detention centers housing tens of thousands of migrants.,1,protest,0,0,0,0,1,1,https://www.heralddemocrat.com/news/20190702/protesters-in-sherman-march-against-migrant-camps,https://www.timesrecordnews.com/story/news/local/2019/07/01/border-patrol-detention-center-protests-planned-us-texas-wichita-falls/1621740001/,,,,
Sitka,at the traffic circle near downtown,Sitka,AK,US,2019-07-02,two dozen,20,,20,,,general protestors,Immigration; For compassionate immigration; Families,1,protest,0,0,0,0,1,1,https://www.alaskapublic.org/2019/07/05/sitkans-protest-conditions-in-detention-centers-from-afar/,,,civil dis?,,
Southfield,outside US Rep. Brenda Lawrence's office,Oakland,MI,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/ms_susiesims/status/1146109954992087041,,,,,
Springdale,outside US Sen. Tom Cotton,Washington,AR,US,2019-07-02,NA,150,,150,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/OZRKIndivisible/status/1146123004553965574,https://twitter.com/OZRKIndivisible/status/1146123195147325440,https://twitter.com/EVELYNNGSMOMMY/status/1146235881105309698,,,
Springfield,NA,Greene,MO,US,2019-07-02,count pic,30,,30,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/AKAReSister/status/1146169615791341570,,,,,
Spring Hill,Congress Member Vern Buchanan's Office,Hernando,FL,US,2019-07-02,,,,,,,#ClosetheCamps,against the Trump Administration's treatment of migrants,1,demonstration,0,0,0,0,1,1,https://www.wmnf.org/closethecamps-protest-tampa-kathy-castor/,,,,,
State College,Allen Street Gates,Centre,PA,US,2019-07-02,,,,,,,Centre County Residents ,"to close the detention camps holding immigrant children near the border, defund deportation and the family separation policy and reunite immigrant families that have been separated during the process of seeking asylum",1,protest,0,0,0,0,1,1,https://www.centredaily.com/news/local/article231944628.html,,,,,
Staten Island,Staten Island Mall,Richmond,NY,US,2019-07-02,,,,,,,general protesters,"for greater security at mall, response to recent adolescent assaults",0,rally,0,0,0,0,1,1,https://www.silive.com/news/2019/07/watch-families-of-assault-victims-protest-outside-staten-island-mall.html,,,,,
Staunton,Augusta County Courthouse,Augusta,VA,US,2019-07-02,about 25,25,,25,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.newsleader.com/story/news/2019/07/02/staunton-residents-protest-migrant-detention-facilities/1633165001/,,,,,
Stuart,Rep. Brian Mast's office ,Martin,FL,US,2019-07-02,count pic,16,,16,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/rosiekw12/status/1146179920491622400,https://www.wptv.com/news/local-news/immigrants-in-south-florida/protesters-to-gather-outside-u-s-rep-brian-masts-office-on-tuesday,,,,
Syracuse ,outside of Rep. John Katko’s office,Onondaga,NY,US,2019-07-02,count pic,20,,20,,,general protesters,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://cnycentral.com/news/local/silent-protest-in-syracuse-calls-for-closing-migrant-detention-centers,,,,,
Tallahassee,State Capitol ,Leon,FL,US,2019-07-02,"more than 80, ",80,,80,,,"#ClosetheCamps, retired public school teachers, university faculty, state workers ","provoked by reports that migrant children are being taken from their parents at the southern border, kept in dire conditions in detention camps and denied medical care",1,rally,0,0,0,0,1,1,https://www.tallahassee.com/story/news/politics/2019/07/02/close-camps-rally-draws-dozens-protesters-old-capitol/1630475001/,,,,,
Tampa,outside US Rep K Castor's office,Hillsborough,FL,US,2019-07-02,at least 80; nearly 90,80,,90,,,#ClosetheCamps,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/RickKosan/status/1146089238968098819,https://www.wmnf.org/closethecamps-protest-tampa-kathy-castor/,,,,
Tarrytown,NA,Westchester ,NY,US,2019-07-02,count pic,44,,44,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/kmarcuswrites/status/1146184713608056832,,,,,
Torrance,Farmers' Market,Los Angeles,CA,US,2019-07-02,,,,,,,Indivisible Beach Cities,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/patticrane/status/1146095229897859074,,,,,
Tuscon,outside the federal building,Pima,AZ,US,2019-07-02,over 100,100,,100,,,general protesters,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/7/2/tucson-protest-tells-trump-no-raids-no-deportations-no-family-separations,,,,,
Van Nuys,Outside office of Rep. Brad Sherman,Los Angeles,CA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.hub-la.com/news/protests-demanding-closure-of-migrant-detention-camps-scheduled-for-southland/,,,,,
Visalia,in front of Congressman Devin Nunes,Tulare,CA,US,2019-07-02,about 30,30,,30,,,general protesters,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://eu.visaliatimesdelta.com/story/news/local/visalia/2019/07/02/immigration-protesters-target-devin-nunes-office/1633808001/,,,,,
Waco,NA,McLennan,TX,US,2019-07-02,count pic,17,,17,,,WACO Immigrants Alliance,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/sylviatx/status/1146130148980338688,https://www.fox44news.com/news/close-the-camps-rally-held-in-waco/,,,,
Walnut Creek,Corner of Ygnacio Valley and N Civic Dr.,Contra Costa,CA,US,2019-07-02,around 200+,200,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/lauriejwolfe/status/1146258742775668736,https://twitter.com/lauriejwolfe/status/1146259214580367360,,,,
Washington,outside White House,DC,DC,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/vanitaguptaCR/status/1146197898910208002,,,,,
Washington,outside US Sen Mitch McConnell office building,DC,DC,US,2019-07-02,over 100,100,,100,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,0,1,https://twitter.com/UndcoverVampire/status/1146394689962217472,,,,,
West Chester,outside office of US Rep. Houlahan,Chester,PA,US,2019-07-02,approximately 150,150,,150,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/BonniBK/status/1145815288681848832,https://www.dailylocal.com/news/local/rally-at-houlahan-s-office-urging-action-on-detention-camps/article_2deda70a-9daf-11e9-bdf9-8b87c3b3aba6.html,,,,
Winston-Salem,outside Wake-Forest Baptist Health,Forsyth,NC,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/akiman10/status/1146187302340845575,,,,,
Worcester,Grove Street,Worcester,MA,US,2019-07-02,na,300,,300,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/lboragine/status/1146106889710854144,,,,,
Ypsilanti,NA,Washtenaw,MI,US,2019-07-02,count video,116,,116,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/jenelaina/status/1146109808027873280,,,,,
Syracuse ,Rep. John Katko’s office,Onondaga,NY,US,2019-07-02,,,,,,,general protestors ,in support of closing the detention facility camps that are holding migrant children and families,1,silent protest,0,0,0,0,1,1,http://cnycentral.com/news/local/silent-protest-in-syracuse-calls-for-closing-migrant-detention-centers,,,,,
Doral,Sen. Marco Rubio's Office,Miami-Dade,FL,US,2019-07-02,,,,,,,general protestors ,to call on lawmakers to close ICE detention centers and stop funding them,1,protest,0,0,0,0,1,1,https://wsvn.com/news/politics/lawmakers-visit-homestead-detention-center-as-protesters-meet-around-south-florida/,,,,,
Anchorage,Park Strip,Greater Anchorage,AK,US,2019-07-03,,,,,,,general protestors,For budget; Execuitive; Against state executive,0,protest,0,0,0,0,1,1,https://www.ktuu.com/content/news/Protest-at-Park-Strip-against-Gov-Dunleavys-vetoes-512226431.html,,,,,
Buffalo,outside Spot Coffee,Erie,NY,US,2019-07-03,count pic ,6,,6,,,Spot Coffee employees and former employees,protesting recent firing of workers who talked of  unionizing,1,protest,0,0,0,0,1,1,https://buffalonews.com/2019/07/03/spot-coffee-workers-protest-after-union-organizers-are-fired/,,,,,
Carrizo Springs,Immigrant Detention Center,Dimmit,TX,US,2019-07-03,about 100,100,,100,,,@CDFTexas; @OrganizeTexas; @DetentionWatch,against government crackdown and detention policy at border; anti-ICE,1,protest,3,0,0,0,1,1,https://twitter.com/James_Barragan/status/1146442948982247425,https://www.dallasnews.com/news/immigration/2019/07/03/three-arrested-following-protest-texas-facility-migrant-children,,,,
Los Angeles,Los Angeles International Airport,Los Angeles,CA,US,2019-07-03,,,,,,,SEIU-United Service Workers West,demanding higher wages and better healthcare for airport employees,1,protest,0,0,0,0,1,1,http://www.dailybreeze.com/lax-workers-to-march-giant-birthday-cake-through-terminals-to-demand-union-jobs,,,,,
Los Angeles,Los Angeles International Airport,Los Angeles,CA,US,2019-07-03,about 150,150,,150,,,Unite Here Local 11,demanding higher wages and better healthcare for airport employees,1,protest,0,0,0,0,0,1,http://www.dailybreeze.com/lax-workers-to-march-giant-birthday-cake-through-terminals-to-demand-union-jobs,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-07-03,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,
Missoula ,Orange Street Bridge,Missoula ,MT,US,2019-07-03,nearly 30,20,,40,,,Jeannette Rankin Peace Center,International; Against war; Iran,1,protest,0,0,0,0,1,1,https://missoulian.com/news/local/protest-rally-warns-against-war-with-iran/article_78c002ae-978c-5c1f-ba52-70fe9c1a4e2d.html,,,,,
Modesto,Downtown Modesto,Stanislaus,CA,US,2019-07-03,NA,60,,60,,,general protestors,Families; For compassionate immigration; immigration,1,protest,0,0,0,0,1,1,https://www.modbee.com/news/local/article232261882.html,,,,,
Modesto,Downtown Modesto,Stanislaus,CA,US,2019-07-03,NA,20,,20,,,general protestors,Immigration; for greater immigreation constraints; Counter protest,2,protest,0,0,0,0,0,1,https://www.modbee.com/news/local/article232261882.html,,,,,
Montpelier,along the Independence Day Parade route,Washington,VT,US,2019-07-03,,,,,,,Independence Day Parade,Executive; Against president,1,protest,0,0,0,0,1,1,https://vtdigger.org/2019/07/04/montpelier-celebrates-independence-day-with-funnel-cake-protest-floats/,,,,,
New York,Washington Square Park,New York,NY,US,2019-07-03,,,,,,,general protestors,free Manning and Assange,0,protest,,,,,1,1,https://twitter.com/CredicoRandy/status/1146278494571249666,,,,,
New York,NA,New York,NY,US,2019-07-03,count pic,29,,29,,,general protestors,protest cyclist death; improve safety for cyclists,0,protest; vigil,,,,,0,1,https://twitter.com/bikenewyork/status/1146419951072362496,https://twitter.com/MaxSholl/status/1146445568316715009,,,,
Orange,Theo Lacy Facility,Orange,CA,US,2019-07-03,count pic,34,,34,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/DanielleRaskin1/status/1146449893331853313,,,,,
Redlands,in front of the Albertsons store,San Bernardino,CA,US,2019-07-03,about 100,100,,100,,,Local 1167,"calloing attention to contract negotiations, workers rights",0,protest,0,0,0,0,1,1,https://www.pe.com/2019/07/03/ufcw-workers-rally-for-customer-support-as-contract-rhetoric-heats-up/,,,,,
San Francisco,front of U.S. Senator Dianne Feinstein’s office on Post Street,San Francisco,CA,US,2019-07-03,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/pilarwish/status/1146404356717023232,,,,,
Santa Rosa,Old Courthouse Square,Sonoma,CA,US,2019-07-03,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/pilarwish/status/1146404356717023232,,,,,
Walnut Creek,corner of Ygnacio Valley Road and North Civic Drive,Contra Costa,CA,US,2019-07-03,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/pilarwish/status/1146404356717023232,,,,,
Washington,outside White House,DC,DC,US,2019-07-03,few dozen,36,,36,,,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,https://twitter.com/willsommer/status/1146432120623173632,https://www.huffingtonpost.co.uk/entry/trump-supporters-july-4-washington-dc_n_5d1d09dbe4b01b834730ea4f?ri18n=true&guccounter=1&guce_referrer=aHR0cHM6Ly9jb25zZW50LnlhaG9vLmNvbS8&guce_referrer_sig=AQAAAG4E1sPNoBiuNNyyI6_WLdE-yL72k4w9UX2kcwCly--DSmRy9l4kqwMNoX10nMu-1M_71ImcvjZoOtrk-l_a3NRVUqrqq4phRKnX5d3GZLDXgvOj7q4ghocYVUyxL1tNf0DLFQdSqRU7gDOWJbRkgVyLcvJ5sfsEYz5sXDT_cEUy,,,,
Washington,outside White House,DC,DC,US,2019-07-03,1,1,,1,,,general protestors,anti-Trump,1,counter-protest,0,0,0,0,0,1,https://twitter.com/willsommer/status/1146432120623173632,https://www.huffingtonpost.co.uk/entry/trump-supporters-july-4-washington-dc_n_5d1d09dbe4b01b834730ea4f?ri18n=true&guccounter=1&guce_referrer=aHR0cHM6Ly9jb25zZW50LnlhaG9vLmNvbS8&guce_referrer_sig=AQAAAG4E1sPNoBiuNNyyI6_WLdE-yL72k4w9UX2kcwCly--DSmRy9l4kqwMNoX10nMu-1M_71ImcvjZoOtrk-l_a3NRVUqrqq4phRKnX5d3GZLDXgvOj7q4ghocYVUyxL1tNf0DLFQdSqRU7gDOWJbRkgVyLcvJ5sfsEYz5sXDT_cEUy,,,,
White Plains,in front of Westchester Medical Center,Westchester ,NY,US,2019-07-03,count pic,33,,33,,,New York State Nurses Association,highlighting nurses' safe staffing concerns,0,rally,0,0,0,0,1,1,https://midhudsonnews.com/2019/07/04/nurses-rally-at-westchester-medical-center-to-highlight-safe-staffing-concerns/,,,,,
Austin,Capitol,Travis,TX,US,2019-07-04,about 100,100,,150,,,general protestors,For comassionate immigration; immigration; families,1,protest,0,0,0,0,1,1,https://www.kvue.com/article/news/hundreds-protest-child-detention-centers-at-texas-capitol/269-96b35d4e-79dc-459d-9ed9-31ee68762139,,,,,
Bristol,County Parade,Addison,VT,US,2019-07-04,NA,30,,30,,,general protestors,Protest of detention centers,1,Parade,0,0,0,0,1,1,https://nam01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.mynbc5.com%2Farticle%2Factivists-protest-migrant-detention-centers-during-fourth-of-july-parade%2F28293604&data=02%7C01%7Cjeremy.pressman%40uconn.edu%7Cce1061604c3f4651aee708d70280bd04%7C17f1a87e2a254eaab9df9d439034b080%7C0%7C0%7C636980624265018408&sdata=Izxle0dlM%2FMDvFPsLlhnA9ObOyylcXGAfBQO%2FRZy2NY%3D&reserved=0,,,,,
Canonsburg,Canonsburg Parade ,Washington,PA,US,2019-07-04,,,,,,,general protestors ,"the failure to represent certain victims of violent crimes that come from a certain demographic or a certain community, and that could be white or black",0,protest,0,0,0,0,1,1,https://www.wtae.com/article/protest-organizer-hopes-demonstrators-will-shut-down-canonsburg-4th-of-july-parade/28270269,,,,,
