City,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Beaverton,outside Rep. Suzanne Bonamici’s office,Washington,OR,US,2019-07-02,count pic,3,,3,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/JanetRWeil/status/1146134120394739712,https://www.koin.com/news/politics/ralliers-in-oregon-end-border-detention-camps/,,,,
Bel Air,NA,Harford,MD,US,2019-07-02,count pic,26,,26,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/SocialWorkItOut/status/1146170034114482177,,,,,
Biddeford,NA,York,ME,US,2019-07-02,about 50,50,,50,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/RunningRedNB/status/1146171223346491395,https://twitter.com/TylerKalahar/status/1146186275277459459,,,,
Birmingham,Robert S. Vance Federal Building and United States Courthouse on 5th Avenue North,Jefferson,AL,US,2019-07-02,dozens,24,,24,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/JoyceWhiteVance/status/1146101753059979265,https://www.al.com/news/birmingham/2019/07/inhumane-cruel-birmingham-protestors-call-for-end-to-immigrant-detention-centers.html,https://www.al.com/news/birmingham/2019/07/inhumane-cruel-birmingham-protestors-call-for-end-to-immigrant-detention-centers.html,,,
Boston ,State House,Suffolk,MA,US,2019-07-02,about 50,50,,50,,,environmental activists,called for an independent investigation into the administration’s permitting of a proposed natural gas compressor station in North Weymouth,0,protest,0,0,0,0,1,1,https://www.patriotledger.com/news/20190702/compressor-foes-stage-boston-protest-vow-court-battle,,,,,
Boston,New England Holocaust memorial to Suffolk County House of Correction,Suffolk,MA,US,2019-07-02,hundreds; at least 500; more than 1000,200,,1000,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,18,0,0,0,0,1,https://twitter.com/BostonGlobe/status/1146184896500686848,https://twitter.com/schock/status/1146176647441395712,https://www.nbcboston.com/news/local/Hundreds-March-Through-Boston-to-Protest-ICE-US-Immigration-512143991.html,civil dis,https://www.bostonglobe.com/metro/2019/07/02/protest/OuNM4jlpelhNw0GlwcLEYL/story.html,
Bradenton,Manatee Avenue and 14th Street West,Manatee,FL,US,2019-07-02,na,30,,30,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.bradenton.com/news/local/article232187192.html,,,,,
Bradenton,Manatee Avenue and 14th Street West,Manatee,FL,US,2019-07-02,na,5,,5,,,general protestors,support government crackdown and detention policy at border; pro-Trump,2,counter-protest,0,0,0,0,0,1,https://www.bradenton.com/news/local/article232187192.html,,,,,
Bremerton,outside US Rep Derek Kilmer's office,Kitsap,WA,US,2019-07-02,about 80,80,,80,,,general protestors,against conditions at detention centers; against policy at border; anti-ICE,1,protest,0,0,0,0,0,1,https://twitter.com/alexwilliams93/status/1146180462831792129,https://eu.kitsapsun.com/story/news/2019/07/02/protesters-demand-closure-migrant-detention-facilities/1634633001/,,,,
Burbank,Outside office of Rep. Adam Schiff,Los Angeles,CA,US,2019-07-02,more than 200,200,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/WhereAreTheChi5/status/1146240782921158656,https://twitter.com/KrisAnkarlo/status/1146150272604893184,,,,
Burlington,Church Street,Chittenden,VT,US,2019-07-02,approximately 300,300,,300,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,march,0,0,0,0,1,1,https://twitter.com/BrookeNadell/status/1146087615449509888,https://vtdigger.org/2019/07/02/close-the-camps-protest-floods-church-street/?utm_source=twitter&utm_medium=Social&utm_campaign=SocialWarfare,,,,
Carbondale,"300 E Main St, Carbondale, IL",Jackson,IL,US,2019-07-02,guestimate 35,35,,35,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/trenchologist/status/1146174254649659393,,,,,
Carrizo Springs,outside Carrizo Springs child detention center,Dimmit,TX,US,2019-07-02,about 100,100,,100,,,general protesters,against government crackdown and detention policy at border; anti-ICE,1,protest,3,0,0,0,1,1,https://www.dallasnews.com/news/immigration/2019/07/03/newly-minted-child-detention-center-in-rural-texas-draws-about-100-at-first-protest/,,,,,
Catonsville,district office of US Rep Cummings,Baltimore ,MD,US,2019-07-02,between 40 and 50,40,,50,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/codyboteler/status/1146091412389339136,https://www.baltimoresun.com/maryland/baltimore-county/ph-ca-at-border-protest-20190702-story.html,,,,
Cedar Rapids ,Cedar Rapids Courthouse ,Linn,IA,US,2019-07-02,,,,,,,general protestors ,to demand that detention camps on the border be closed,1,protest,0,0,0,0,1,1,https://www.desmoinesregister.com/story/news/politics/2019/07/02/close-camps-protesters-cindy-axne-border-immigration-protest-desmoines/1631591001/,,,,,
Central Falls,outside Donald W. Wyatt Detention Facility ,Providence,RI,US,2019-07-02,more than 200,200,,200,,,Never Again,against government crackdown and detention policy at border; anti-ICE,1,protest,18,0,0,0,1,1,https://www.providencejournal.com/news/20190702/18-arrested-in-never-again-protest-of-wyatts-ice-role,https://www.wpri.com/news/local-news/blackstone-valley/18-arrested-during-immigration-protest-at-wyatt-detention-center/,,,,
Charleston,outside Sen. Lindsey Graham’s Mount Pleasant office,Charleston,SC,US,2019-07-02,count pic,24,,24,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/VaniaAdasme/status/1146090366384451585,https://www.live5news.com/2019/07/02/protesters-demand-graham-act-against-child-detention-centers-border/,,,,
Chicago,Logan Square; near office of US Rep Chuy Garcia,Cook,IL,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/CareSaysSo/status/1146184053776879616,,,,,
Columbia,outside US Rep. Vicky Hartzler’s office,Boone ,MO,US,2019-07-02,around 100,100,,100,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.kbia.org/post/dozens-turn-out-detention-center-protest-columbia#stream/0,https://www.columbiamissourian.com/news/local/columbia-protesters-decry-conditions-at-detention-camps/article_2631c2ca-9cf7-11e9-9200-afeeb5185e08.html,,,,
Corpus Christi,Rep. Michael Cloud's office,Nueces,TX,US,2019-07-02,nearly 50,50,,50,,,general protestors ,demanding closure of what is believed to be inhumane detention centers housing tens of thousands of migrants.,1,protest,0,0,0,0,1,1,https://www.caller.com/story/news/politics/2019/07/03/demonstrators-protest-immigration-policy-and-separation-children/1627215001/,https://www.timesrecordnews.com/story/news/local/2019/07/01/border-patrol-detention-center-protests-planned-us-texas-wichita-falls/1621740001/,,,,
Corvallis,outside the Benton County Courthouse,Benton,OR,US,2019-07-02,close to 100,100,,100,,,general protesters,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://democratherald.com/news/local/corvallis-protesters-join-call-to-close-the-camps/article_ad8bad06-5f42-59d2-8c2d-4e7d3a5e3e15.html,,,,,
Dallas,Grassy Knoll,Dallas,TX,US,2019-07-02,,,,,,,North Texas Action Committee,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/CloudRunner666/status/1146189543097479173,http://www.fightbacknews.org/2019/6/30/dallas-rally-demand-close-immigrant-concentration-camps,,,,
Davis,outside office of US Rep. Garamendi,Yolo,CA,US,2019-07-02,100 to 300,100,,300,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/Cati_Fu/status/1146171070975598592,https://twitter.com/inclusionchick/status/1146166538367410176,https://twitter.com/FF_I_YOLO/status/1146189953916735489,,,
Dayton,outside office of US Rep. Mike Turner,Montgomery,OH,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/DSA_Dayton/status/1146098392994582528,,,,,
Daytona Beach,NA,Volusia,FL,US,2019-07-02,,,,,,,#ClosetheCamps,"provoked by reports that migrant children are being taken from their parents at the southern border, kept in dire conditions in detention camps and denied medical care",1,protest,0,0,0,0,1,1,https://www.tallahassee.com/story/news/politics/2019/07/02/close-camps-rally-draws-dozens-protesters-old-capitol/1630475001/,,,,,
De Pere,outside office of US Rep. Mike Gallagher,Brown,WI,US,2019-07-02,count video,49,,49,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/ErinnKTaylor/status/1146108257922158593,,,,,
Denton,NA,Denton,TX,US,2019-07-02,count pic,15,,15,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/texasdawn543/status/1146102167012614146,,,,,
Denver,NA,Denver,CO,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/suzuhiggins/status/1146135699395006464,,,,,
Des Moines,Rep. Cindy Axne’s office,Polk,IA,US,2019-07-02,about 150,150,,150,,,#ClosetheCamps,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/MicheleBrazelt1/status/1146102199543574528,https://www.desmoinesregister.com/story/news/politics/2019/07/02/close-camps-protesters-cindy-axne-border-immigration-protest-desmoines/1631591001/,https://www.3newsnow.com/news/community/vista-semanal/local/metro-protesters-demand-end-to-detentions-centers-at-u-s-mexico-border,,,
Dobbs Ferry,NA,Westchester ,NY,US,2019-07-02,nearly 100,100,,100,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/SethSchori/status/1146100482471026688,,,,,
Doral,"outide the office of U.S. Sen. Marco Rubio, R-Fla",Miami-Dade,FL,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://wsvn.com/news/politics/lawmakers-visit-homestead-detention-center-as-protesters-meet-around-south-florida/,,,,,
El Cajon,in front of US Rep. Duncan Hunter's office,San Diego,CA,US,2019-07-02,150-200,150,,200,,,Move On,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/R8derMike/status/1146187068499877888,https://www.sandiegouniontribune.com/news/border-baja-california/story/2019-07-02/pro-immigrant-demonstrators-protest-outside-otay-mesa-detention-center,,,,
Elizabeth,outside Elizabeth immigration detention center,Union,NJ,US,2019-07-02,something like 300; around 200,200,,300,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/sergiosiano92/status/1146095276534489089,https://twitter.com/mattjdeen/status/1146231860529422338,https://www.northjersey.com/story/news/new-jersey/2019/07/03/immigration-facilities-elizabeth-nj-hundreds-protest-close-camps-ice/1635452001/,,,
Eugene,the old federal building downtown,Lane,OR,US,2019-07-02,more than 100,100,,100,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/RonWyden/status/1146188872214183938,https://twitter.com/UnreqalMMalone/status/1146235589370376192,http://www.eugeneweekly.com/2019/07/03/immigration-rights-activists-stage-protest-downtown/,,,
Flagstaff,city hall,Coconino,AZ,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/LizzyDbrink/status/1146134077168218112,,,,,
Fort Myers,NA,Lee,FL,US,2019-07-02,more than 80,80,,80,,,#ClosetheCamps; Move On,"provoked by reports that migrant children are being taken from their parents at the southern border, kept in dire conditions in detention camps and denied medical care",1,protest,0,0,0,0,1,1,https://www.tallahassee.com/story/news/politics/2019/07/02/close-camps-rally-draws-dozens-protesters-old-capitol/1630475001/,,,,,
Fort Worth,outside US Rep. Kay Granger's office,Tarrant ,IN,US,2019-07-02,count video,26,,26,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/indivisibletx24/status/1146067600150937600,,,,,
Franklin,outside US Rep. Trey's office,Johnson,IN,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/Nate_Powell_Art/status/1146128581732556801,,,,,
Fullerton,Outside office of Rep. Gil Cisneros,Orange,CA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.hub-la.com/news/protests-demanding-closure-of-migrant-detention-camps-scheduled-for-southland/,,,,,
Glendale,Congresswoman Debbie Lesko's office,Maricopa,AZ,US,2019-07-02,count pic,12,,12,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/RachelWoolley83/status/1146185792710012929,https://www.abc15.com/news/region-west-valley/glendale/valley-demonstrators-demand-detention-centers-be-closed,,,,
Greenville,NA,Greenville,SC,US,2019-07-02,count pic,14,,14,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/PaulineHill01/status/1146113452060106752,,,,,
Harrisburg,capitol,Dauphin,PA,US,2019-07-02,about 3 dozen,36,,36,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.pennlive.com/news/2019/07/protesters-demand-closure-of-border-detention-camps-as-trump-warns-of-massive-raids.html,,,,,
Hilliard,Outside office of US Rep. Steve Stivers,Franklin,OH,US,2019-07-02,na,9,,9,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/mmynatt/status/1146123887006105600,,,,,
Honolulu,Honolulu Hale ,Honolulu,HI,US,2019-07-02,,,,,,,Friends of Haiku Stairs,urging Mayor Kirk Caldwell and members of the City Council to open the trail for public access.,0,protest,0,0,0,0,1,1,https://www.hawaiinewsnow.com/2019/07/02/supporters-haiku-stairs-plan-rally-front-honolulu-hale/,,,,,
Houston,George R. Brown Convention Center,Harris,TX,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/PSR_Houston/status/1145117199633453056,https://eu.timesrecordnews.com/story/news/local/2019/07/01/border-patrol-detention-center-protests-planned-us-texas-wichita-falls/1621740001/,,,,
Houston,outside John Cornyn's office,Harris,TX,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,0,1,https://twitter.com/PSR_Houston/status/1145117199633453056,https://eu.timesrecordnews.com/story/news/local/2019/07/01/border-patrol-detention-center-protests-planned-us-texas-wichita-falls/1621740001/,,,,
Huntington Beach,pier,Orange,CA,US,2019-07-02,count pic,12,,12,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/everybodyzzmama/status/1146175307646287872,,,,,
Indianapolis,in front of US Sen. Todd Young's office,Marion,IN,US,2019-07-02,easily more than 50 people,50,,50,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/GraceKozak/status/1146095962722643969,https://twitter.com/laurenechapman_/status/1146091772516417542,https://www.kctv5.com/news/sen-roberts-responds-after-area-protesters-demand-an-end-to/article_8e00d774-9dab-11e9-aedd-b3dcf76dfca4.html,,,
Irvine,Outside office of Rep. Katie Porter,Orange,CA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.hub-la.com/news/protests-demanding-closure-of-migrant-detention-camps-scheduled-for-southland/,https://twitter.com/chellestrow/status/1146157130916872192,,,,
Kansas City,outside the local offices for Senators Pat Roberts and Roy Blunt,Jackson,MO,US,2019-07-02,,,,,,,general protesters,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.kctv5.com/news/sen-roberts-responds-after-area-protesters-demand-an-end-to/article_8e00d774-9dab-11e9-aedd-b3dcf76dfca4.html,,,,,
Kingston,outside office of US Rep. Delgado,Ulster,NY,US,2019-07-02,around 100,100,,100,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/jeffkisseloff/status/1146094589356457984,https://www.dailyfreeman.com/migrant-detention-facilities-protest-in-kingston/youtube_c8a0ae00-381d-5c4b-aab8-7406e5e2f586.html,,,,
Laguna Beach,main beach,Orange,CA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/ocsigncompany/status/1146233672586158081,,,,,
Las Cruces,outside Xochitl Torres Small Las Cruces Office,Dona Ana,NM,US,2019-07-02,count pic,18,,18,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/cwisenews/status/1146090788947996672,https://eu.timesrecordnews.com/story/news/local/2019/07/01/border-patrol-detention-center-protests-planned-us-texas-wichita-falls/1621740001/,,,,
Leesburg,Rep. Daniel Webster's Office ,Lake,FL,US,2019-07-02,40,30,,40,,,MoveOn,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/DOlivani/status/1146121251326431234,https://www.dailycommercial.com/news/20190702/locals-protest-at-websters-office-over-border-facilities,,,,
Los Angeles,Outside office of Rep. Karen Bass,Los Angeles,CA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://www.hub-la.com/news/protests-demanding-closure-of-migrant-detention-camps-scheduled-for-southland/,,,,,
Louisville,Federal Courthouse; US Sen. Mitch McConnell's office; 601 West Broadway,Jefferson,KY,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/MAF_Louisville/status/1145828761889361922,,,,,
