CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,Source1,Source2,Source3,Source4,Source5,Source6,
Richmond,John Marshal Courts Building to Richmond City Hall to Governor's Mansion,,VA,US,2020-07-01,about 100; hundreds,100,,200,,,Richmond Tenants Union; Virginia Student Power Network; New Virginia Majority; Leaders of the New South,"against end to eviction moratorium during coronavirus pandemic, against gentrification, against colonization",0,protest; march,2,0,0,1,1,1,,pepper spray,https://www.usnews.com/news/best-states/virginia/articles/2020-07-02/court-window-smashed-at-least-2-arrests-in-virginia-protest,https://www.wtvr.com/news/local-news/eviction-protesters-arrested-pepper-sprayed-courthouse-windows-broken,https://richmond.com/news/local/watch-now-anti-eviction-protest-ends-with-arrests-window-smashed-at-downtown-richmond-courthouse/article_70945a9f-4830-5d5d-86b5-5405dba2adc8.html,https://www.nbc12.com/2020/07/01/eviction-protest-turns-violent-crowd-is-pepper-sprayed-by-deputies-courthouse-damaged/,https://twitter.com/GoadGatsby/status/1278349403296849920,,
Richmond,Monument Ave and N Arthur Ashe Blvd,,VA,US,2020-07-01,a,1,,1,,,general protesters,"against removal of Stonewall Jackson statue, against removal of Confederate monuments",2,counter-protest,1,0,0,0,1,1,20200701-rva-stonewalljackson,,https://twitter.com/GoadGatsby/status/1278385976071553024,,,,,,
Rockford,in front of SEIU office,,IL,US,2020-07-01,a dozen,12,,12,,,SEIU,for higher wages for home care workers during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,https://www.wifr.com/2020/07/01/home-care-workers-rally-for-pandemic-pay-amid-covid-19/,,,,,,
Saint Paul,I-94,,MN,US,2020-07-01,hundreds,200,,200,,,general protesters,"for justice for Oromos in Ethiopia, against killing of Hachalu Hundessa",0,direct action,0,0,0,0,1,1,,roadblock,https://www.twincities.com/2020/07/05/hachalu-hundessa-mn-st-paul-rally-ethiopians-oromo/,https://www.sctimes.com/story/news/local/minnesota/2020/07/02/protesters-march-94-st-paul-after-singers-death/5362894002/,https://www.mprnews.org/story/2020/07/01/mns-oromo-community-protests-demands-justice-after-prominent-ethiopian-singer-killed,,,,
San Francisco,outside US Speaker Pelosi's home,San Francisco,CA,US,2020-07-01,,,,,,,IfNotNow,against Israeli occupation and annexation,0,protest,,,,,1,1,,,https://www.ifnotnowmovement.org/press-release-wake-up-chuck-and-nancy,,,,,,
San Francisco,City Hall,,CA,US,2020-07-01,about 250 cars,250,,250,,,Al Awda: Palestine Right to Return Coalition,against Israeli occupation and annexation,0,caravan,0,0,0,0,1,1,,,https://www.jweekly.com/2020/07/02/day-of-rage-west-bank-annexation-plan-draws-100s-of-carfuls-of-protesters-in-s-f/,,,,,,
South Heidelberg Township,home of Berks County Commissioner,,PA,US,2020-07-01,,,,,,,Shut Down Berks Coalition,"against county collaboration with ICE, for closing local ICE detention center",1,protest,0,0,0,0,1,1,,,https://www.berksmontnews.com/news/local/opponents-of-berks-county-residential-center-target-house-of-second-commissioner-for-protest/article_ade44baf-4718-5415-820f-26bb60004482.html,,,,,,
Tierra del Sol,near border wall construction site,,CA,US,2020-07-01,about 100,100,,100,,,Kumeyaay Nation,"against construction of border wall, for indigenous peoples' rights",1,march,0,0,0,0,1,1,,,https://www.cbs8.com/article/news/local/kumeyaay-nation-protest-halts-east-county-border-wall-construction-again/509-20988e9a-0ab7-49b2-915a-ef0100eed8fc,,,,,,
Akron,University of Akron,,OH,US,2020-07-02,more than 100,100,,100,,,faculty and faculty union members,in solidarity with University of Akron faculty union during contract negotiations,0,rally,0,0,0,0,1,1,,,https://www.cleveland.com/education/2020/07/university-of-akron-professors-rally-in-support-of-faculty-union-during-contract-negotiations.html,https://www.beaconjournal.com/story/news/2020/07/02/university-of-akron-professors-protest-proposed-cuts-layoffs/42231973/,,,,,
Athens,UGA North Campus,,GA,US,2020-07-02,,,,,,,United Campus Workers of Georgia,against fall reopening plans on campus at University of Georgia,0,protest,,,,,1,1,,,https://www.redandblack.com/uganews/uga-students-staff-faculty-to-hold-die-in-protest-of-fall-reopening-plans-on-north/article_fa94bf64-d756-11ea-be77-ffd0c9c26aa1.html,,,,,,
