CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,,
Lansing ,State Capitol,Ingham,MI,US,2019-09-10,several hundred,300,,300,,,general protesters ,Guns; Against greater gun control,2,protest,0,0,0,0,1,1,https://fox17online.com/2019/09/10/hundreds-gather-at-capitol-to-protest-red-flag-laws/24585/,,,,,,
New Orleans ,Outside a building housing ICE officers near the Superdome,Orleans ,LA,US,2019-09-10,dozens,24,,24,,,Congress of Day Laborers,For compassionate immigration,1,protest,0,0,0,0,1,1,https://apnews.com/5317636d38954405b075874d68aa9a90,,,,,,
Oceanside,School board meeting,San Diego,CA,US,2019-09-10,about 50,50,,50,,,general protesters ,Education; For public transportation,0,protest,0,0,0,0,1,1,https://www.sandiegouniontribune.com/communities/north-county/story/2019-09-10/oceanside-parents-protest-busing-cuts,,,,,,
San Marcos,Cal State,Los Angeles,CA,US,2019-09-10,count pic,5,,5,,,general protesters ,Other; For firing/reassignment; Against mismanagement; Tuition,0,protest,0,0,0,0,1,1,https://www.sandiegouniontribune.com/news/watchdog/story/2019-09-10/cal-state-san-marcos-students-protest-deans-spending,,,,,,
Saint Paul,"Bishop Henry Whipple Building, 1 Federal Dr",Ramsey,MN,US,2019-09-10,,,,,,,Interfaith Coalition on Immigration; Basilica of St. Mary,"in solidarity with migrant detainees, against inhumane detention practices",1,vigil,,,,,1,1,https://mnicom.org/programs/vigils/,https://mnicom.org/2019/09/05/september-vigil/,,second Tuesday of every month,,,
St. Joseph,St. Joseph Library,Buchanan,MO,US,2019-09-10,,,,,,,general protesters,Civil Rights; Pro-LGBTQ; Counter protest        ,0,protest,0,0,0,0,1,1,https://www.kq2.com/content/news/Protesters-counter-protesters-greet-those-attending-Drag-Queen-Story-Hour-560034571.html,,,,,,
St. Joseph,St. Joseph Library,Buchanan,MO,US,2019-09-10,around two dozen,24,,24,,,American Needs Fantima,Civil Rights; Anti-LGBTQ,0,protest,0,0,0,0,1,1,https://www.kq2.com/content/news/Protesters-counter-protesters-greet-those-attending-Drag-Queen-Story-Hour-560034571.html,,,,,,
Washington,NA,DC,DC,US,2019-09-10,,,,,,,general protesters,Other; For greater safety; Transportation,,,,,,,1,1,https://www.wsbtv.com/news/national-news/ap-top-news/relatives-of-passengers-killed-in-boeing-crash-protest-in-dc/984922843,DEAD LINK,,,,,
Washington,NA,DC,DC,US,2019-09-10,,,,,,,general protesters ,Other; For greater safety,0,protest,,,,,1,1,https://www.wsbtv.com/news/national-news/ap-top-news/relatives-of-passengers-killed-in-boeing-crash-protest-in-dc/984922843,DEAD LINK,,,,,
Washington,US Capitol,DC,DC,US,2019-09-10,count pic,24,,24,,,Moms Demand Action,For greater gun control; Guns,1,rally,0,0,0,0,1,1,https://www.daytondailynews.com/news/local/dayton-mayor-whaley-other-mayors-rally-for-senate-action-guns/VQqEekB64Hf50lrOxRnMqI/,,,,,,
Coeur d'Alene,Kootenai Health Center,Kootenai,ID,US,2019-09-11,About 40,40,,40,,,general protesters,Protest against coercive techniques used by healthcare providers,0,Protest,0,0,0,0,1,1,https://www.cdapress.com/local_news/20190912/prescription_for_a_protest,,,,,,
Elgin,Elgin City Hall,Cook and Kane,IL,US,2019-09-11,,,,,,,Fox Valley Citizens For Peace and Justice,Protest in favor of racial justice and in favor of accountability with police,0,Protest,0,0,0,0,1,1,https://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-fox-valley-citizens-jensen-st-0913-20190912-jqzdnxwrnrdi7pyn6tnkglw2q4-story.html,,,,,,
Groversville,Groversville Senior Center,Fulton,NY,US,2019-09-11,,,,,,,Senior Citizens,Protesting in favor of senior services,0,Protest,0,0,0,0,1,1,https://www.leaderherald.com/news/local-news/2019/09/seniors-protest-against-center-board/,,,,,,
Idaho Falls,Bonneville Joint school District Offices,Bonneville,ID,US,2019-09-11,,,,,,,D93 Citizens,Against tax increases,0,Rally,0,0,0,0,1,1,https://www.eastidahonews.com/2019/09/advocacy-group-plans-to-protest-emergency-levy-in-district-93/,,,,,,
Leawood,Brookwood Elementary School,Johnson,KS,US,2019-09-11,,,,,,,Students and parents,"Against hate, pro-LGBTQ",0,March; Rally,0,0,0,0,1,1,https://fox4kc.com/2019/09/11/brookwood-elementary-students-rally-together-protecting-transgender-student-from-hate-group/,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-09-11,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Tylertown,Tylertown High School ,Walthall,MS,US,2019-09-11,,,,,,,Students,Against separation of church and state,0,Protest; walkout,0,0,0,0,1,1,https://www.hattiesburgamerican.com/story/news/local/2019/09/11/tylertown-high-school-first-priority-time-change-forces-student-protest-student-religious-group/2289422001/,,,,,,
Washington,Washington Monument,,DC,US,2021-09-11,count pic,60,,80,,,general protesters,"for QAnon, against Democrats, against pedophelia, where we go one we go all",2,rally,,,,,1,1,https://twitter.com/travis_view/status/1436800184499904512,,,,,,
Albany,Capital West Park,Albany,NY,US,2019-09-12,,15,,15,,,Lift Every Voice,Pro-Immigration,1,Rally,0,0,0,0,1,1,https://www.timesunion.com/news/article/Mental-health-professionals-rally-against-family-14435287.php,,,,,,
Baltimore,Christopher Columbus Piazza,Baltimore,MD,US,2019-09-12,dozens,24,,24,,,Baltimore Welcoming Commitee,Anti-Executive,1,Demonstration,0,0,0,0,1,1,https://www.baltimoresun.com/politics/bs-md-pol-trump-protests-20190912-jwh2hkoz4fg7dmghmfclguu5si-story.html,,,,,,
Baytown,Fred Hartman Bridge,Harris,TX,US,2019-09-12,,23,,23,,,Greenpeace,Environment; Against climate change,1,direct action,23,0,0,0,1,1,https://abc13.com/society/greenpeace-protesters-arrested-at-fred-hartman-bridge/5534431/,https://wkzo.com/2021/11/05/greenpeace-texas-prosecutor-settle-charges-in-2019-climate-protest/,,,,,
Colorado Spring,The Broadmoor,El Paso,CO,US,2019-09-12,several; around five,5,,5,,,General Protesters,Against Police Brutality,0,Protest,0,0,0,0,1,1,https://www.csindy.com/TheWire/archives/2019/09/12/devon-bailey-protesters-disrupt-state-of-the-city-speech,,,,,,
Corvallis,Oregon State University,Benton,OR,US,2019-09-12,more than 150,150,,150,,,Service Employees International Union,Collective Bargaining; for better compensation,0,rally,0,0,0,0,1,1,https://democratherald.com/news/local/campus-workers-rally-at-osu/article_bfe12ec3-8685-5bda-985c-add9eab2d352.html,,,,,,
North Liberty,BeerBurger,Johnson,IA,US,2019-09-12,,,,,,,Center For Worker Justice,Pro-Worker's Right,0,Protest,0,0,0,0,1,1,https://www.press-citizen.com/story/news/2019/09/11/center-demands-wages-withheld-former-beerburger-workers/2294635001/,,,,,,
Boulder,Street corners in Boulder,Boulder,CO,US,2019-09-13,,,,,,,Indivisible Colorado,Against Trump immigration policy,1,Protest,0,0,0,0,1,1,https://www.dailycamera.com/2019/09/11/letters-end-to-school-board-candidacy-protest-immigration-policies-youth-and-traffic-safety/,,,,,,
Carbondale,Sopris Park,Garfield,CO,US,2019-09-13,,,,,,,"350 Colorado Organization, students",Against climate change,0,Rally,0,0,0,0,1,1,https://www.postindependent.com/news/from-drums-to-discussion-carbondale-climate-rally-aims-to-inspire-action/,,,,,,
Central Falls,Outside of Wyatt Detention Facility,Providence,RI,US,2019-09-13,,,,,,,Never Again Action,Against ICE and Trump policy towards migrants; Against privatization of prisons,1,Protest,0,0,0,0,1,1,https://www.providencejournal.com/news/20190916/wyatt-board-takes-creditors-agreement-into-closed-session-frustrating-protesters,,,,,,
Glens Falls,Centennial Circle,Warren,NY,US,2019-09-13,,,,,,,Saratoga Progressive Action,Agaisnt government funding for ICE,1,Protest,0,0,0,0,1,1,https://poststar.com/news/local/govt-and-politics/city-to-put-up-barricades-to-keep-protesters-out-of/article_dab4dd2d-930c-5ea5-94bc-4a05936280f6.html,,,,,,
Janesville,Rock County Courthouse,Rock,WI,US,2019-09-13,,,,,,,general protesters,Against unjust punishment,0,Protest,0,0,0,0,1,1,https://www.beloitdailynews.com/local_news/20190912/friends_family_plan_protest_say_sentences_given_to_teens_unfair,,,,,,
Lynchburg,Liberty University Campus,Campbell,VA,US,2019-09-13,,,,,,,Student,Against corrption within adminstration; In favor of more accountability,0,Protest,0,0,0,0,1,1,https://religionnews.com/transmission/liberty-students-plan-a-protest-after-new-falwell-revelations/,,,,,,
New York ,Playground across from Bayside High School,Queens,NY,US,2019-09-13,,,,,,,Parents of Bayside High School Students,For equitable funding,0,Protest; Rally,0,0,0,0,1,1,https://qns.com/story/2019/09/11/its-david-versus-goliath-bayside-high-school-parents-will-rally-for-equitable-funding-and-consider-legal-action/,,,,,,
Sacramento,California State House,Sacramento,CA,US,2019-09-13,,,,,,,A Voice for Choice organization,Against vaccinations,0,Protest; Sit in ,1,0,0,0,1,1,https://www.politico.com/story/2019/09/18/california-anti-vaccine-civil-rights-1500976,,,,,,
Berkeley ,California Memorial Stadium,Alameda,CA,US,2019-09-14,,,,,,,UC Berkeley Students,"Against university involvment in construction of Thirty Meter Telescope in Hawaii; Against football team ""Polynesian Heritage Event""; For more awareness/support of Pacific Islanders",0,Protest; Rally,0,0,0,0,1,1,https://www.dailycal.org/2019/09/17/protesters-rally-at-california-memorial-stadium-for-mauna-kea/,,,,,,
Dahlonega,downtown,Lumpkin,GA,US,2019-09-14,between 35 and 50,35,,50,,,white supremacist groups,support Trump 2020,2,rally,0,0,0,0,1,1,https://www.ajc.com/news/supremacists-outnumbered-protesters-police-dahlonega-rally/3uL15rYS0adNZHYTs44zGJ/,,,,,,
Dahlonega,downtown,Lumpkin,GA,US,2019-09-14,three times that number,105,,150,,,general protesters,anti-white supremacy,1,counter-rally,2,0,0,0,1,1,https://www.ajc.com/news/supremacists-outnumbered-protesters-police-dahlonega-rally/3uL15rYS0adNZHYTs44zGJ/,,,,,,
Granville,Veterans Park,Washington,NY,US,2019-09-14,,,,,,,Friends who Support President Trump,Support of the president,2,Rally,0,0,0,0,1,1,https://poststar.com/news/local/pro-trump-rally-set-for-saturday-in-granville/article_fa657457-5c05-5db0-a6bc-7086274d09e0.html,,,,,,
Seattle,Planned Parenthood Lee Minto Center ,King,WA,US,2019-09-14,,3,,7,,,general protesters,anti-abortion,2,protest,0,0,0,0,1,1,eyewitness headcount,,,,,,
Springfield,Park Central Square,Sangamon,MO,US,2019-09-14,,,,,,,General public,Against sexual/domestic violence; solidarity with victims,0,Rally,0,0,0,0,1,1,https://www.ozarksfirst.com/local-news/local/metoo-rally-will-be-held-in-springfield-to-support-and-raise-awareness-to-victims/,,,,,,
Athens,Ohio University,Athens,OH,US,2019-09-16,roughly 75,75,,75,,,general protesters,Collective bargaining; for unionization; against speaker,0,protest ,0,0,0,0,1,1,https://www.athensnews.com/news/campus/right-to-work-figure-at-ou-draws-protest-on-campus/article_90d66bd6-da3b-11e9-b67f-c701f5d43f59.html,,,,,,
Central Falls,Wyatt Detention Center,Providence,RI,US,2019-09-16,,,,,,,Never Again Action,Immigration; Against ICE,1,protest,0,0,0,0,1,1,https://www.providencejournal.com/news/20190916/wyatt-board-takes-creditors-agreement-into-closed-session-frustrating-protesters,,,,,,
Flint,General Motors Plant,Genesee,MI,US,2019-09-16,nearly 50000,50000,,50000,,,United Automobile Workers,Collective bargaining; for better compensation,0,walk-out; strike,0,0,0,0,1,1,http://inthesetimes.com/working/entry/22069/united-auto-workers-general-motors-strike-class-war-picket,,,,,,
Huntington,Lloyd Harbor Elementary School,Suffolk,NY,US,2019-09-16,about two dozen,24,,24,,,general protesters,For vaccines,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/education/vaccination-waivers-lloyd-harbor-1.36418321,,,,,,
Pullman,Washington State University,Whitman,WA,US,2019-09-16,,,,,,,Center for BioEthical Reform,Against abortion; Civil rights,0,protest,0,0,0,0,1,1,https://www.khq.com/news/abortion-demonstration-stirs-controversy-on-wsu-campus/article_0c175822-d98e-11e9-863d-2ba867f59d9f.html,,,,,,
Pullman,Washington State University,Whitman,WA,US,2019-09-16,count pic,3,,3,,,general protesters,For abortion; pro-choice; counter-protest,0,protest,0,0,0,0,1,1,https://www.khq.com/news/abortion-demonstration-stirs-controversy-on-wsu-campus/article_0c175822-d98e-11e9-863d-2ba867f59d9f.html,,,,,,
Queens,Aviation High School,Queens,NY,US,2019-09-16,about 60,60,,60,,,general protesters,Against development; transportation,0,protest,0,0,0,0,1,1,https://www.qchron.com/editions/queenswide/sunnyside-yard-talk-draws-protest-to-lic/article_8ce38a8a-6cb5-576b-a80b-52055942c6d4.html,,,,,,
Rio Rancho,Santa Ana Star Center,Sandoval,NM,US,2019-09-16,"thousands; 10,000",2000,,10000,,,Trump supporters,for President Trump,1,rally,0,0,0,0,1,1,https://www.theatlantic.com/politics/archive/2019/09/trumps-new-mexico-rally/598138/,https://www.politico.com/story/2019/09/16/trump-new-mexico-rally-1499569,https://www.cbsnews.com/news/trump-rally-rio-rancho-new-mexico-today-2020-campaign-santa-ana-star-center-live-stream-updates-2019-09-16/,feat. President Trump,https://nmindepth.com/2019/maga-new-mexicans-turn-out-for-trump-confident-they-can-win-in-2020/,,
Rio Rancho,Santa Ana Star Center,Sandoval,NM,US,2019-09-16,approximately 200,200,,200,,,general protesters,against President Trump,1,counter-protest,0,0,0,0,0,1,https://nmindepth.com/2019/maga-new-mexicans-turn-out-for-trump-confident-they-can-win-in-2020/,,,,,,
Ruthven,Town Hall,Palo Alto,IA,US,2019-09-16,NA,3,,3,,,Podunk Resistance,Legislative; against congressional representative,0,protest,0,0,0,0,1,1,https://www.spencerdailyreporter.com/story/2634686.html,,,,,,
Northbrook,outside Village Hall,Cook,IL,US,2019-09-17,dozens,24,,24,,,general protesters,against recreational marijuana dispensaries,0,rally,0,0,0,0,1,1,https://www.chicagotribune.com/suburbs/northbrook/ct-nbs-anti-cannabis-dispensary-rally-tl-0926-20190920-xr5p4o4xejfljokahyvrbi4hxq-story.html,,,,,,
Washington,Pennsylvania Ave NW,DC,DC,US,2019-09-17,,,,,,,DC Mayor's Office,DC statehood,0,rally,0,0,0,0,1,1,https://www.washingtonpost.com/local/dc-politics/bowser-leads-rally-for-dc-statehood-as-house-hearing-voting-rights-nears/2019/09/16/28a35aae-d894-11e9-ac63-3016711543fe_story.html,,,,,,
Buffalo,Waterfront Elementary School,Erie,NY,US,2019-09-18,,,,,,,Buffalo Teachers Federation,Collective bargaining; for better compensation,0,rally; protest,0,0,0,0,1,1,https://www.wivb.com/news/local-news/buffalo/buffalo-teachers-protest-outside-board-of-education-meeting/,,,,,,
Burton,General Motors  ,Genesee,MI,US,2019-09-18,,,,,,,United Automobile Workers,Collective bargaining; for better compensation,0,strike; protest,0,0,0,0,1,1,https://www.thecentersquare.com/michigan/uaw-scandals-and-protest-violence-mar-gm-strike-message/article_5f0103fc-da52-11e9-8f9e-1b5a36174bd8.html,,,,,,
Columbus,Capitol,Franklin,OH,US,2019-09-18,about 150,150,,150,,,Ohio Council of Churches; Ohioans for Gun Safety,For greater gun control,0,protest,0,0,0,0,1,1,https://www.dispatch.com/news/20190918/dayton-pastor-on-guns-we-want-to-help-lawmakers-see-carnage-that-is-out-here,,,,,,
East Farmingdale,Farmingdale State College,Suffolk ,NY,US,2019-09-18,about a hundred,100,,100,,,general protesters,Against vaccines,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/education/anti-vaccine-students-newfield-high-school-1.36508647,,,,,,
El Paso,Downtown,El Paso,TX,US,2019-09-18,about 100,100,,100,,,general protesters,Civil Rights; against white supremacy,0,protest,,,,,,,https://kvia.com/news/el-paso/about-100-white-supremacy-protesters-take-to-the-streets-of-downtown-el-paso/1122644512,DEAD LINK,,,,,
Flint,General Motors  ,Genesee,MI,US,2019-09-18,,,,,,,United Automobile Workers,Collective bargaining; for better compensation,0,strike; protest,0,0,0,0,1,1,https://www.thecentersquare.com/michigan/uaw-scandals-and-protest-violence-mar-gm-strike-message/article_5f0103fc-da52-11e9-8f9e-1b5a36174bd8.html,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-09-18,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Madison,Capitol,Dane,WI,US,2019-09-18,,,,,,,Wisconsin Coalition for Gun Safety,For greater gun control,0,rally,0,0,0,0,1,1,https://www.channel3000.com/news/-doing-nothing-s-not-an-option-state-legislators-and-gun-control-activists-rally-for-change/1122638054,,,,,,
Madison,Capitol,Dane,WI,US,2019-09-18,count pic,2,,2,,,general protesters,Against gun control; counterprotest,0,protest,0,0,0,0,1,1,https://www.channel3000.com/news/-doing-nothing-s-not-an-option-state-legislators-and-gun-control-activists-rally-for-change/1122638054,,,,,,
Rochester,Rochester Community and Technical College,,MN,US,2019-09-18,more than 85,85,,85,,,40 Days for Life; Students for Life,"against abortion, for Christian values",2,rally,0,0,0,0,1,1,https://www.naturalnews.com/2019-09-19-bomb-threat-and-chemical-attack-disrupts-pro-life-students.html,,,,,,
Rochester,Rochester Community and Technical College,,MN,US,2019-09-18,a,1,,1,,,man,against anti-abortion event,1,counter-protest,1,0,0,0,1,1,https://www.naturalnews.com/2019-09-19-bomb-threat-and-chemical-attack-disrupts-pro-life-students.html,,,appeared to be mixing chemicals in backpack inside auditorium during event,,,
Rocky Point,Rocky Point Middle School,Suffolk ,NY,US,2019-09-18,,,,,,,general protesters,Against vaccines,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/education/anti-vaccine-students-newfield-high-school-1.36508647,,,,,,
Rocky Point,Joseph A. Edgar Intermediate School,Suffolk ,NY,US,2019-09-18,,,,,,,general protesters,Against vaccines,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/education/anti-vaccine-students-newfield-high-school-1.36508647,,,,,,
San Diego,Horton Plaza,San Diego,CA,US,2019-09-18,some 200,200,,200,,,Backbone Campaign,Executive; Against president,1,protest,0,0,0,0,1,1,https://www.sandiegouniontribune.com/news/story/2019-09-18/trump-touches-down-in-san-diego-for-whirlwind-visit,,,,,,
San Diego,Horton Plaza,San Diego,CA,US,2019-09-18,some 200,200,,200,,,general protesters,Executive; For president; counterprotest,2,protest,0,0,0,0,1,1,https://www.sandiegouniontribune.com/news/story/2019-09-18/trump-touches-down-in-san-diego-for-whirlwind-visit,,,,,,
San Diego,Horton Plaza,San Diego,CA,US,2019-09-18,,,,,,,general protesters,Against vaccines,0,protest,0,0,0,0,1,1,https://www.sandiegouniontribune.com/news/story/2019-09-18/trump-touches-down-in-san-diego-for-whirlwind-visit,,,,,,
Selden,Newfield High School,Suffolk ,NY,US,2019-09-18,,,,,,,general protesters,Against vaccines,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/education/anti-vaccine-students-newfield-high-school-1.36508647,,,,,,
Spring Hill,General Motors ,Maury,TN,US,2019-09-18,seven to nine,7,,9,,,United Automobile Workers,Collective bargaining; for better compensation,0,strike; protest,7,0,0,0,1,1,https://www.kob.com/albuquerque-business-news/the-latest-slow-progress-in-talks-as-gm-strike-in-3rd-day/5496748/,,,,,,
St. Cloud,Outside of St. Cloud Public Library,Stearns,MN,US,2019-09-18,About two dozen,24,,24,,,Freedom Speaks Coalition,Against Islam; Pro-free speech,0,Protest,0,0,0,0,1,1,https://www.sctimes.com/story/news/local/2019/09/19/after-panel-canceled-cair-director-calls-protesters-fringe-hate-group-jaylani-hussein-st-cloud/2373650001/,,,,,,
Swartz Creek,General Motors  ,Genesee,MI,US,2019-09-18,,,,,,,United Automobile Workers,Collective bargaining; for better compensation,0,strike; protest,0,0,0,0,1,1,https://www.thecentersquare.com/michigan/uaw-scandals-and-protest-violence-mar-gm-strike-message/article_5f0103fc-da52-11e9-8f9e-1b5a36174bd8.html,,,,,,
Washington,US Capitol Building,DC,DC,US,2019-09-18,NA,2,,2,,,general protesters,For greater gun control,0,protest,0,0,0,0,1,1,https://www.theadvocate.com/baton_rouge/news/politics/article_cd5a6052-da55-11e9-9102-a70306cc773c.html,,,,,,
Washington ,Supreme Court,DC,DC,US,2019-09-18,,,,,,,general protesters,Environment; Against climate change,0,protest,0,0,0,0,1,1,https://www.floridatoday.com/story/news/2019/09/19/young-climate-activist-satellite-beach-appears-washington-alongside-greta-thunberg/2366801001/,,,,,,
Tuscaloosa,At the University of Alabama,Tuscaloosa,AL,US,2019-09-19,,,,,,,students at the University of Alabama,protesting in favor of diversity and free speech,0,protest,0,0,0,0,1,1,https://www.al.com/galleries/IK5REAPMA5BOFHDNSFIFUEOUTA/,,,,,,
Aurora,Outside the home of the Aurora ICE Detention Center's chief,Adams,CO,US,2019-09-19,hundreds,200,,200,,,general protesters,protesting against ICE,1,protest,3,0,0,0,1,1,https://www.coloradoindependent.com/2019/09/19/abolish-ice-protest-aurora-geo-detention-center/,,,,,,
Aurora,outside home of Aurora detention center chief,Arapahoe,CO,US,2019-09-19,hundreds,200,,200,,,Abolish ICE Denver protesters,against ICE,1,protest,3,0,0,0,1,1,https://www.coloradoindependent.com/2019/09/19/abolish-ice-protest-aurora-geo-detention-center/,,,,,,
Birmingham,University of Alabama,Jefferson,AL,US,2019-09-19,count pic,70,,70,,,students,for diversity and free speech,1,protest,0,0,0,0,1,1,https://www.al.com/galleries/IK5REAPMA5BOFHDNSFIFUEOUTA/,,,,,,
New Hyde Park,The Inn ,Nassau,NY,US,2019-09-19,,,,,,,Anti-violence groups; general protesters,Against NRA and gun violence; Pro-gun control,0,Rally,0,0,0,0,1,1,http://longisland.news12.com/story/41074456/gun-safety-advocates-rally-outside-nra-fundraiser-in-new-hyde-park,,,,,,
Tuscon,University of Arizona campus,Pima,AZ,US,2019-09-19,,,,,,,Queers United Coalition,Against homophobia; Pro-LGBTQ; In favor of greater acountability ,0,Protest;March,0,0,0,0,1,1,http://www.wildcat.arizona.edu/article/2019/09/n-second-quc-protest,,,,,,
St. Louis,Outside of St. Louis City Hall,St. Louis,MO,US,2019-09-19,about 75,75,,75,,,general protesters,in favor of more accountibilty and criminal justice reform,0,Protest; rally,0,0,0,0,1,1,https://www.stltoday.com/news/local/crime-and-courts/we-are-at-war-says-kim-gardner-supporter-at-rally/article_e60570f3-a81d-52af-9ab2-7914e1253401.html,,,,,,
Washington,Chinatown and National Mall,DC,DC,US,2019-09-19,,,,,,,general protesters,In favor of statehood for Washington DC; Against gun violence ,0,Protest; March,0,0,0,0,1,1,https://wtop.com/dc/2019/09/rally-march-planned-after-momentous-dc-statehood-hearing-on-capitol-hill/,,,,,,
Columbus,Outside Ohio Statehouse,Franklin,OH,US,2019-09-19,About 150 people,150,,150,,,Ohioans for Gun Safety,"Against gun violence; in favor of assault weapons ban, universal background checks andother gun reform measures ",0,Protest,0,0,0,0,1,1,https://www.daily-jeff.com/news/20190918/dayton-pastor-on-guns-we-want-to-help-lawmakers-see-carnage-that-is-out-here,,,,,,
Fort Collins,Colorado State University,Larimer,CO,US,2019-09-19,Hundreds,200,,200,,,CSU Students and #NotProudToBe organization,Against racism and bias; in favor of diversity and racial justice,0,Protest; silent march,0,0,0,0,1,1,https://www.coloradoan.com/story/news/2019/09/19/president-joyce-mcconnell-gives-first-fall-address-at-colorado-state-university-blackface-protesters/2365870001/,,,,,,
Modesto,outside New Hope center,Stanislaus,CA,US,2019-09-20,about 60,60,,60,,,general protesters,protesting the closure of a rehab facility,0,protest,0,0,0,0,1,1,https://www.modbee.com/news/local/article235487317.html,,,,,,
Portland,Terry Schrunk Plaza,Multnomah,OR,US,2019-09-20,count pic,6,,6,,,350PDX,Against climate change; Environment,0,strike; protest,0,0,0,0,1,1,https://pamplinmedia.com/pt/9-news/437722-349030-portland-teens-planning-another-climate-strike?wallit_nosession=1,,,,,,
Alameda ,,Alameda ,CA,US,2019-09-20,count pic ,10,,10,,,California Nurses Association,Collective Bargaining; For worker rights,,protest; strike; walk-out; march,0,0,0,0,1,1,https://alamedasun.com/about,,,,,,
Beaver,Courthouse,Beaver,PA,US,2019-09-22,dozens,24,,24,,,The New Agenda,We the People March,1,rally,0,0,0,0,1,1,https://pittsburgh.cbslocal.com/2019/09/21/we-the-people-rally-beaver/,https://rustbeltmayberryphotography.pic-time.com/-wethepeoplerally/gallery,,,,,
Houston,NRG Stadium,,TX,US,2019-09-22,"nearly 50,000; upward of 50,000",50000,,50000,,,Texas India Forum,"in support of prime minister of India Narendra Modi, for President Trump",0,rally,0,0,0,0,1,1,https://www.aljazeera.com/news/2019/9/22/howdy-modi-trump-attends-indian-pms-rally-in-houston,https://www.cnbc.com/2019/09/23/thousands-plus-trump-rally-in-texas-for-indias-leader.html,,feat. President Trump,,,
Houston,NRG Stadium,,TX,US,2019-09-22,thousands,2000,,2000,,,general protesters,"against prime minister of India Narendra Modi, against Hindu nationalism",0,counter-protest,0,0,0,0,0,1,https://www.aljazeera.com/news/2019/9/22/howdy-modi-trump-attends-indian-pms-rally-in-houston,,,,,,
Washington,Independence St SW & 14th Ave.,DC,DC,US,2019-09-23,,,,,,,Extinction Rebellion; Black Lives Matter,against inaction on climate change,1,blockade; march,,,,,1,1,https://www.cnn.com/2019/09/23/us/washington-climate-shutdown-trnd/index.html,,,,,,
Washington ,intersections around DC,DC,DC,US,2019-09-23,,,,,,,D.C. Youth Climate Strike,climate change rally,1,protest; rally,,,,,0,1,https://wtop.com/local/2019/09/students-plan-climate-change-rally-friday-protests-next-week-aim-to-shut-down-dc/,https://twitter.com/werkforpeace/status/1176132483445919749,,,,,
Denver,Union Station,Denver,CO,US,2019-09-23,,,,,,,Patagonia and 350 Colorado,climate change march,0,march,,,,,,,https://www.denverpost.com/2019/09/19/colorado-climate-strike-events/,,,,,,
Hardin,Big Horn County Couurthouse,Big Horn,MT,US,2019-09-23,about 100,100,,100,,,general protesters,urging a thorough investigation into the recent death of an 18-year-old girl,0,protest; march,0,0,0,0,1,1,https://billingsgazette.com/news/state-and-regional/mmiw/girl-s-death-mmiw-march-prompt-creation-of-missing-persons/article_b6438c7d-1846-533f-b09c-6fc2f9912963.html,,,,,,
Omaha,Omaha,Douglas,NE,US,2019-09-24,more than 30,30,,30,,,general protesters,marching against domestic violence,0,rally,0,0,0,0,1,1,https://www.omaha.com/news/metro/domestic-violence-march-emphasizes-message-you-are-not-alone-and/article_0ba27bab-de11-5750-b784-0948534b549e.html,,,,,,
Oroville,Outside the Butte County Board of Supervisors meeting,Butte,CA,US,2019-09-24,,,,,,,the Union of Domestic Workers,protesting for higher wages for in-home caretakers,0,protest,0,0,0,0,1,1,https://www.chicoer.com/2019/09/25/in-home-caretakers-protest-at-supervisors-meeting/,,,,,,
Portland,outside Zenith Energy Facility,Multnomah,OR,US,2019-09-24,,,,,,,general protesters,protesting against tar sands oil shipments,0,vigil,0,0,0,0,1,1,https://www.thechronicleonline.com/news_paid/community-members-to-launch-unprecedented--hour-vigil-at-zenith/article_9a00d3c8-dfe9-11e9-86ec-c7399f6fba65.html,,,,,,
