CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,,
Concord,Mill Brook School,Merrimack,NH,US,2019-09-03,count pic,4,,4,,,CDS Advocates,Against Domestic Violence,1,Protest,,0,0,0,1,1,https://www.unionleader.com/news/education/parent-protest-calls-for-removal-of-concord-superintendent-principal/article_cd4cc58b-ea2c-587d-94b5-a9dc66aaaf9d.html,https://www.wmur.com/article/parents-calling-for-resignation-of-principal-superintendent-rally-in-concord/28905275,,,,,
New Rochelle,Huguenot Children's Library,Westchester,NY,US,2019-09-03,more than two dozens,24,,24,,,general protesters,Pro-Inclusion,1,Protest,0,0,0,0,1,1,http://westchester.news12.com/story/40998011/parents-protest-against-newly-hired-new-rochelle-schools-superintendent,,,,,,
Shelton,City Hall,Fairfield,CT,US,2019-09-03,Dozens,24,,24,,,general protesters,Pro-Education,0,Demonstration,0,0,0,0,1,1,https://www.sheltonherald.com/news/article/Residents-protest-city-s-bus-mismanagement-14408811.php#item-85307-tbla-4,,,,,,
Barnegat Township,Commitee Meeting,Ocean ,NJ,US,2019-09-03,,,,,,,general protesters,Pro-LGBT,1,Rally,0,0,0,0,1,1,https://www.pressofatlanticcity.com/news/barnegat-rally-planned-to-protest-mayor-s-anti-lgbtq-comments/article_216d2fc5-ebb8-5d09-920d-c8a212e32976.html,,,,,,
Jamaica,Along Douglas Avenue,Queens,NY,US,2019-09-04,,,,,,,general protesters,In favor of better environmental conditions and increase standard of living ,0,Protest and march,0,0,0,0,1,1,https://www.qchron.com/editions/eastern/jamaica-march-backs-trash-zone-legislation/article_d104b88a-900c-5ca6-88eb-69126a6c9da8.html,,,,,,
Everett,Tambark Creek Elementary School,Snohomish,WA,US,2019-09-04,,,,,,,Everett students and families,Against dress code,0,Protest,0,0,0,0,1,1,https://www.heraldnet.com/news/parents-students-protest-dress-code-on-first-day-of-school/,,,,,,
Springfield,State Capitol,Sangamon,IL,US,2019-09-04,Around 30,30,,30,,,Catholic protesters,Against abortion rights and high taxes,2,Rally,0,0,0,0,1,1,https://www.bnd.com/news/politics-government/article234751342.html,,,,,,
Bloomington,IU Woodburn Hall to Monroe County Courthouse,Monroe,IN,US,2019-09-04,Around 25,25,,25,,,Indiana University Students,Against India's policies towards Kashmire,0,Protest and march,0,0,0,0,1,1,https://www.idsnews.com/article/2019/09/iu-students-protest-indias-treatment-of-kashmir-its-citizens,,,,,,
Chula Vista,Chula Vista City Hall,San Diego,CA,US,2019-09-04,About 50 ,50,,50,,,"Group: ""Mass resistance,"" other faith groups","Anti-LGBT, protesting drag queen event",0,Rally,0,0,0,0,1,1,https://www.10news.com/news/local-news/faith-group-rallies-against-drag-queen-story-hour,,,,,,
Chula Vista,Chula Vista City Hall,San Diego,CA,US,2019-09-04,"a handful""",,,,,,Supporters of Drag Queen Reading Event,Counter protest (Pro-LGBT),0,Rally,0,0,0,0,1,1,https://www.idsnews.com/article/2019/09/iu-students-protest-indias-treatment-of-kashmir-its-citizens,,,,,,
Arlington,University of Texas at Arlington University Center ,Tarrant,TX,US,2019-09-04,,,,,,,Group: Progressive Students Union,Against imigrant detention at U.S. - Mexico Border,1,Rally,0,0,0,0,1,1,http://www.theshorthorn.com/news/students-protest-detention-of-migrant-children-at-the-us-mexico/article_8e9b15f2-cf63-11e9-8c23-332f47933ebc.html,,,,,,
Sacramento,California State Capitol Building (inside hearing),Sacramento,CA,US,2019-09-04,Dozens,24,,24,,,General protesters,Opposition to mandatory evacuations,0,Protest,0,0,0,0,1,1,https://www.sfchronicle.com/politics/article/California-bill-tightening-medical-exemptions-14413763.php,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-09-04,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Newark,Immigration and Customs Enforcement office (ICE),Essex,NJ,US,2019-09-04,Over 400,400,,400,,,Catholics,Opposition to ICE and migrant detention ,1,Protest,6,0,0,0,1,1,https://www.huffpost.com/entry/catholics-new-jersey-ice-protest_n_5d6ed40fe4b0cdfe05770bd8,,,,,,
Springfield,Springfield City Hall,Hampden,MA,US,2019-09-04,,,,,,,Senior citizens,In support of expanded funding for senior transportation and meals,0,Rally,0,0,0,0,1,1,https://www.wwlp.com/news/local-news/hampden-county/springfield-seniors-rally-for-affordable-transportation-and-food/,,,,,,
Cambridge,City Hall to Union Baptist Church,Middlesex,MA,US,2019-09-04,,,,,,,general protesters,Advocate for the future of the Cambridge Carnival ,0,"Rally, march and forum",0,0,0,0,1,1,http://www.cambridgeday.com/2019/09/03/unity-rally-march-and-community-forum-wednesday-will-look-at-future-of-carnival/,,,,,,
Greenfield,Hancock County Courthouse Plaza,Hancock,IN,US,2019-09-04,,,,,,,Teachers,Advocate for teacher/education issues,0,Rally,0,0,0,0,1,1,http://www.greenfieldreporter.com/2019/09/03/teachers_to_stage_demonstration_at_courthouse/,,,,,,
