CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Toledo,Central Union Terminal,OH,US,2017-06-24,about 20,20,20,20,22,18,National Association of Railroad Passengers,against Trump budget plan; support funding for trains,1,rally,0,0,0,0,1,1,http://www.toledoblade.com/Politics/2017/06/25/Train-enthusiasts-protest-Trump-cuts-to-Amtrak.html,https://townswithouttrains.com/rally_locator/,,,
Wausau,Wausau Train Depot,WI,US,2017-06-24,,,,,,,Rally4Trains,against Trump budget plan; support funding for trains,1,rally,,,,,1,1,https://townswithouttrains.com/rally_locator/,,,,
Winter Park,Winter Park Resort,CO,US,2017-06-24,,,,,,,Rally4Trains,against Trump budget plan; support funding for trains,1,rally,,,,,0,0,"see Fraser, CO",,,,
Annapolis,City Dock at Kunta Kinte-Alex Haley Memorial,MD,US,2017-06-25,,10,10,10,11,9,coalition of advocacy groups,Demand state of emergency declaration on race relations; against racism,1,rally,0,0,0,0,1,1,https://www.fredericknewspost.com/public/ap/groups-march-for-state-of-emergency-on-race-relations/article_182d8163-9eaa-5eb2-b0a2-e1a29200fdee.html,http://www.capitalgazette.com/news/annapolis/ph-ac-cn-emergency-rally-0626-20170625-story.html,,Count from picture,
Charleston,Charleston Municipal Auditorium,WV,US,2017-06-25,,,,,,,Sen. Bernie Sanders; Move On Civic Action; Planned Parenthood South Atlantic; West Virginia Healthy Kids and Families Coalition; West Virginians for Affordable Health Care; Our Children Our Future; Organizing for Action; ACLU; WV Citizen Action Group; Wood County Indivisible; West Virginia Center for Budget and Policy; WV Free; Kanawha Valley Democratic Socialists of America; Rise Up WV; West Virginia Women’s March,Protect Our Health Care Rally,1,rally,0,0,0,0,1,1,http://www.wvgazettemail.com/news/20170622/sen-sanders-to-be-at-municipal-auditorium-for-health-care-rally-sunday,http://www.wvgazettemail.com/news/20170622/sen-sanders-to-be-at-municipal-auditorium-for-health-care-rally-sunday,,,
Chicago,downtown,IL,US,2017-06-25,"More than 250,000",250000,250000,250000,275000,225000,general protesters,"Pride Parade, pro-LGBTQ",1,march,0,0,0,0,1,1,http://www.foxnews.com/us/2017/06/25/women-with-star-david-flags-told-to-leave-chicago-gay-pride-march.html,http://www.chicagotribune.com/news/local/breaking/ct-pride-parade-met-20170625-story.html,,,
Columbus,EXPRESS LIVE! concert hall ,OH,US,2017-06-25,,2200,2200,2200,2420,1980,Sen. Bernie Sanders; MoveOn.org,suppoort ACA and Healthcare,1,rally,0,0,0,0,1,1,http://kneb.com/abc_politics/bernie-sanders-headlining-dont-take-our-health-care-rallies-in-three-states-abcid35930897/,http://www.pennlive.com/news/2017/06/bernie_sanders_to_rally_agains.html,http://www.thelantern.com/2017/06/2200-gather-at-bernie-sanders-rally-to-oppose-senate-health-care-bill/,,
Doral,marched from the Trump Doral to the U.S. Southern Command,MI,US,2017-06-25,,10,10,10,11,9,general protesters,Demand closure of the US prison at Guantanamo Bay in Cuba,1,march,0,0,0,0,1,1,http://miami.cbslocal.com/2017/06/25/activists-demand-guantanamo-bay-shutdown-rally-trump-golf-course/,,,,
Durango,Animas River,CO,US,2017-06-25,,,,,,,general protesters,Durango Pride Festival River Parade; pro-LGBTQ,1,march ,0,0,0,0,1,1,https://durangoherald.com/articles/167679-pride-parade-in-durango,,,,
Minneapolis ,Hennepin Avenue,MN,US,2017-06-25,tens of thousands,20000,20000,20000,22000,18000,general protesters,"Twin Cities Pride parade, pro-LGBTQ",0,march,0,0,0,0,1,1,http://www.startribune.com/some-cops-complain-after-being-told-they-can-t-march-in-lgbt-pride-parade/430031313/,http://www.startribune.com/tens-of-thousands-pack-downtown-minneapolis-for-pride-parade/430695433/,,,
Minneapolis ,Hennepin Avenue,MN,US,2017-06-25,about 200,200,200,200,220,180,BLM,Oppose inclusion of police in parade,0,blockade; die-in,0,0,0,0,1,1,http://minnesota.cbslocal.com/2017/06/25/pride-parade-protesters-police/,http://www.kwwl.com/story/35744641/2017/06/25/anti-police-protesters-disrupt-twin-cities-pride-parade,,,
Missoula,North Higgins Avenue,MT,US,2017-06-25,,,,,,,Missoulians for Peace,"Oppose police brutality, against racism",1,march,0,0,0,0,1,1,http://missoulian.com/news/local/missoulians-march-to-bring-attention-to-police-treatment-of-minorities/article_1a30ca76-c5e8-5016-89f5-e8f31ceb4149.html,,,,
New York,"5th Ave, Manhattan",NY,US,2017-06-25,thousands,2000,2000,2000,2200,1800,general protesters ,"New York Gay Pride Parade, pro-LGBTQ",1,march ,0,0,0,0,1,1,https://www.usatoday.com/picture-gallery/news/2017/06/11/across-the-us-thousands-rally-for-lgbtq-rights/102756538/,,,,
San Francisco,Market Street ,CA,US,2017-06-25,hundreds of thousands,200000,200000,200000,220000,180000,general protesters,"7th annual Pride Parade, pro-LGBTQ",1,march,0,0,0,0,1,1,http://www.sfchronicle.com/news/article/Revelers-ready-for-Pride-parade-11245461.php,,,,
Sarasota,Unconditional Surrender statue along Bayfront Drive,FL,US,2017-06-25,about 180,180,180,180,198,162,Action Together Suncoast; Indivisible Bradenton Progressive,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.bradenton.com/news/local/article158094704.html,http://www.bradenton.com/news/local/article158163669.html,,,
Seattle,along Fourth avenue from Union street up to Seattle Center,WA,US,2017-06-25,hundreds of thousands,200000,200000,200000,220000,180000,general protesters,"Pride Parade, pro-LGBTQ",1,march,0,0,0,0,1,1,http://www.seattletimes.com/seattle-news/through-the-heat-thousands-march-in-43rd-annual-pride-parade/,,,,
Seattle,Fourth avenue,WA,US,2017-06-25,,,,,,,anti-gay religious group,"Disrupt Pride, anti-LGBTQ",2,protest,0,0,0,0,1,1,http://www.seattletimes.com/seattle-news/through-the-heat-thousands-march-in-43rd-annual-pride-parade/,,,,
Seattle,Fourth avenue,WA,US,2017-06-25,,,,,,,Black Lives Matter,Honor black mother Charleena Lyles slain by police; Black Lives Matter; against racism,1,sit-in,0,0,0,0,1,1,http://www.seattletimes.com/seattle-news/through-the-heat-thousands-march-in-43rd-annual-pride-parade/,,,,
St. Louis,,MO,US,2017-06-25,,,,,,,general protesters,"PrideFest St. Louis parade, pro-LGBTQ",1,march,0,0,0,0,1,1,http://news.stlpublicradio.org/post/pridefest-planners-and-community-grapple-over-how-express-pride-party-or-protest#stream/0,,,,
St. Petersburg,,FL,US,2017-06-25,,,,,,,general protesters,"St. Pete Pride parade, pro-LGBTQ",1,march,0,0,0,0,1,1,http://www.tampabay.com/news/politics/elections/will-rick-baker-finally-march-in-st-pete-pride-this-year-its-complicated/2328094,,,,
Washington,D.C. police headquarters,DC,US,2017-06-25,,,,,,,"speakers from comminuties of immigrants, Muslims, POC, and women",Really Really Free Speech rally,1,rally,0,0,0,0,1,1,http://wtop.com/dc/2017/06/4-rallies-scheduled-for-sunday-in-dc/,,,,
Washington,Lincoln Memorial,DC,US,2017-06-25,about 100,100,100,100,110,90,alt-right figure Richard Spencer and white nationalist Nathan Damigo,Freedom of Speech Rally,2,rally,0,0,0,0,1,1,http://wtop.com/dc/2017/06/4-rallies-scheduled-for-sunday-in-dc/,http://www.washingtonexaminer.com/anti-defamation-league-deeply-troubled-by-alt-right-rallies/article/2627036,http://www.washingtonexaminer.com/anti-defamation-league-deeply-troubled-by-alt-right-rallies/article/2627036,,
