City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),protest,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Jacksonville,University of Northern Florida,FL,US,2017-12-02,FB; 43,43,,43,,,Jacksonville Palestine Solidarity Network,Protesting Israel; rallying for Palestinian state,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/508491606194898/,,,
Jersey City,Liberty State Park,NJ,US,2017-12-02,close to 250; Approximately 250,250,,250,,,general protestors," ""Save our Park""",0,protest,0,0,0,0,1,1,http://www.dailyrecord.com/story/news/2017/12/02/liberty-state-park-protest-seeks-block-second-marina/914108001/,http://www.nj.com/hudson/index.ssf/2017/12/liberty_state_park_group_holds_protest_of_marina_p.html,http://www.northjersey.com/story/news/2017/12/02/liberty-state-park-protest-seeks-block-second-marina/914108001/,
Minneapolis,Orchestra Hall,MN,US,2017-12-02,NA,1,,1,,,Manny Laureano,Protesting colleague's anti-GOP comment,2,protest,0,0,0,0,1,1,http://www.startribune.com/minnesota-orchestra-trumpeter-walks-off-in-protest-during-rufus-wainwright-concert/461871053/,,,
New York ,East 42nd St. ,NY ,US ,2017-12-02,several hundred,200,,200,,,general protestors ,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,https://nypost.com/2017/12/02/protesters-gather-outside-eatery-hosting-trump-for-fundraiser/,https://www.facebook.com/events/1597755336977618/,,
New York ,Foley Square,NY ,US,2017-12-02,FB: 245,245,,245,,,The People for Bernie Sanders,Protesting GOP tax plan,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/516844965434492/,,,
New York ,Malcom X Blvd.,NY ,US,2017-12-02,FB: 437,437,,437,,,Rise and Resist,Protesting police brutality,0,protest,0,0,0,0,0,1,https://www.facebook.com/events/136042883715103/,,,
Portland ,Colombia Flagship Store ,OR,US ,2017-12-02,roughly 50; about 50 to 75; FB: 88,50,,88,,,Portland's Resistance ,"Protesting ""no-sit"" zones ",0,protest ,0,0,0,0,1,1,http://www.oregonlive.com/portland/index.ssf/2017/12/columbia_sportswear_reopens_do.html,http://www.oregonlive.com/portland/index.ssf/2017/12/post_619.html#incart_river_home_pop,https://www.facebook.com/events/528813347493925/,
Richmond ,State Capitol ,VA,US ,2017-12-02,hundreds; about 500,200,,500,,,general protestors,Protesting proposed pipeline ,1,protest ,0,0,0,0,1,1,http://www.roanoke.com/news/local/floyd_county/hundreds-protest-pipelines-at-virginia-state-capitol/article_8417a351-e839-546a-a518-d8216f414b9a.html,http://www.martinsvillebulletin.com/news/hundreds-of-anti-pipeline-protesters-from-around-virginia-rally-on/article_de1063a6-ef09-5b97-9af5-e2f48e02f480.html,"http://www.morganton.com/news/state/ap/hundreds-gather-in-richmond-to-protest-natural-gas-pipelines/article_dd7459e8-eebc-5c46-8e1a-af524b691571.html
",
Salt Lake City ,State Capitol ,UT,US ,2017-12-02,thousands; estimates 4500; about 5000; more than 5000,2000,,5000,,,Native American Tribes ,Protesting Trump's monument reduction plan ,1,protest ,0,0,0,0,1,1,http://www.sltrib.com/news/2017/12/02/monument-supporters-rally-against-trumps-plans-to-shrink-bear-ears-grand-staircase-escalante/,http://fox13now.com/2017/12/02/thousands-rally-in-opposition-to-shrinking-national-monuments-ahead-of-president-trumps-visit-to-utah/,https://www.huffingtonpost.com/entry/utah-protest-national-monument_us_5a235d14e4b0a02abe91a588,
San Francisco ,Post St.,CA,US,2017-12-02,FB: 437,4,,4,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1912515678793484/,,,
San Francisco ,Union Square,CA,US,2017-12-02,,,,,,,Reistance SF,Protesting GOP tax plan,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/275461692978683/,,,
Vista,Vista Way,CA,US ,2017-12-02,,,,,,, NAN San Diego & Imperial Counties,"No Justice, No Peace; Justice for Jonathon Coronel March and Rally",0,March,0,0,0,0,0,1,https://www.facebook.com/events/128927094490487/,https://www.nbcsandiego.com/news/local/Family-of-Man-Fatally-Shot-by-Deputy-Rallies-for-Justice--461562673.html,,
Vista,,CA,US ,2017-12-02,about 300,300,,300,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1,protest ,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/immigration/sd-me-daca-rally-20171202-story.html,,,
Washington ,Pennsylvania Ave. NW,DC,US,2017-12-02,FB: 15,15,,15,,,Resist Here,Protesting Wells Fargo's investment in fossil fuels,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/922725947895221/,,,
West Bloomfield ,Michigan Women's Center ,MI ,US,2017-12-02,,,,,,,Pro-Life Society,Pro-Life protest ,0,protest ,5,0,0,0,1,1,http://www.theoaklandpress.com/general-news/20171206/5-arrested-in-anti-abortion-protest-in-west-bloomfield,,,
West Goshen,Mariner East 2 pipeline,PA,US ,2017-12-02,three dozen,36,,36,,,general protestors,Protesting Mariner East 2 Pipeline,0,protest ,0,0,0,0,1,1,http://www.delcotimes.com/general-news/20171202/demonstrators-march-in-prayer-walk-to-protest-mariner-east-2-pipeline,http://www.dailylocal.com/general-news/20171202/demonstrators-march-in-prayer-walk-to-protest-mariner-east-2-pipeline,,
West Hartford,Intersection of Farmington Ave. and Main St.,CT,US,2017-12-02,NA,9,,9,,,general protestors,Protesting Trump,1,protest,0,0,0,0,1,1,Observation,,,
West Hartford,Intersection of Farmington Ave. and Main St.,CT,US,2017-12-02,NA,3,,3,,,general protestors,Protesting war; rallying for peace,0,protest,0,0,0,0,0,1,Observation,,,
Baltimore,M&T Bank Satdium,MD,US,2017-12-03,,1,,1,,,Tyus Boswer,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.espn.com/blog/nflnation/post/_/id/259964/nfl-players-who-protested-during-national-anthem-in-week-13,,,
Chicago,Soldier Field,IL,US,2017-12-03,,3,,3,,,Eric Reid; Marquise Goodwin; Eli Harold,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.espn.com/blog/nflnation/post/_/id/259964/nfl-players-who-protested-during-national-anthem-in-week-13,,,
Denver,City Park,CO,US,2017-12-03,,,,,,,City Park Friends and Neighbors,Protesting de-forrestation,0,protest,0,0,0,0,0,1,http://www.denverpost.com/2017/12/04/photos-city-park-friends-neighbors-protest-tree-cutting/,,,
Denver,York Ave.,CO,US ,2017-12-03,,,,,,,general protestors,Protesting gentrification,0,protest ,0,0,0,0,1,1,http://www.denverpost.com/2017/12/03/activists-call-replacing-denver-mayor-city-council/,,,
Durham,CCB Plaza,NC,US,2017-12-03,some 60,60,,60,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://wncn.com/2017/12/03/dozens-in-durham-protest-republican-tax-reform-plan/,http://www.heraldsun.com/news/local/counties/durham-county/article187858964.html,https://www.facebook.com/events/1766813456955770/,
Elmont,Belmont Park,NY ,US,2017-12-03,more than two dozen,24,,24,,,general protestors,Rallying to bring Amazon 2 HQ to Elmont,0,rally,0,0,0,0,1,1,https://www.newsday.com/long-island/nassau/elmont-development-rallies-amazon-islanders-1.15298883,,,
Greensboro,Downtown,NC,US,2017-12-03,dozens,24,,24,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.greensboro.com/gnr/tax-bill-protest-in-greensboro/collection_7f025648-5972-5555-8228-f3be23ed2f15.html,,,
Los Angeles,StubHub Stadium,CA,US,2017-12-03,NA,1,,1,,,Russell Okung,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.espn.com/blog/nflnation/post/_/id/259964/nfl-players-who-protested-during-national-anthem-in-week-13,,,
Miami,Hard Rock Stadium,FL,US,2017-12-03,NA,3,,3,,,Michael Thomas; Kenny Stills; Julius Thomas,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.espn.com/blog/nflnation/post/_/id/259964/nfl-players-who-protested-during-national-anthem-in-week-13,,,
Nashville,Nissan Stadium,TN,US,2017-12-03,NA,1,,1,,,Rishard Matthews,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.espn.com/blog/nflnation/post/_/id/259964/nfl-players-who-protested-during-national-anthem-in-week-13,,,
New York ,Birthright HQ,NY ,US,2017-12-03,more than 100,100,,100,,,Jewish Voice for Peace,"Protesting Israel, Birthright",0,protest,0,0,0,0,1,1,https://forward.com/fast-forward/388875/more-than-100-protest-birthright-hq-call-for-jewish-boycott/,,,
Oakland,Oakland Coliseum,CA,US,2017-12-03,NA,2,,2,,,Olivier Vernon; Marshawn Lynch,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.espn.com/blog/nflnation/post/_/id/259964/nfl-players-who-protested-during-national-anthem-in-week-13,,,
Port Jervis,Train Station,NY ,US,2017-12-03,about 50,50,,50,,,general protesters,Protesting lack of accesibility for disabled persons,0,protest,0,0,0,0,1,1,http://www.recordonline.com/news/20171203/disabled-access-protest-at-port-jervis-train-station,,,
Rapid City,Halley Park ,SD,US ,2017-12-03,FB: 18,18,,18,,,general protestors ,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,http://act.indivisible.org/event/local-actions/7673/signup/?akid=&zip=&source=,https://www.facebook.com/events/147359829365314/,,
Reading,,PA,US,2017-12-03,NA,1616,,1616,,,Bernie Sanders; general public,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.readingeagle.com/news/article/bernie-sanders-rally-against-gop-tax-plan-draws-over-1600-to-venue-in-reading,,,
Rochester  ,Washington Square Park,NY ,US ,2017-12-03,more than 100,100,,100,,,general protestors,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,http://www.democratandchronicle.com/story/news/2017/12/03/tax-bill-rochester-rally/917552001/,,,
Rochester Hills,Stoney Creek High School ,MI ,US ,2017-12-03,FB: 10,10,,10,,,Indivisible Livingston County Michigan ,Protesting Mike Bishop ,0,protest ,0,0,0,0,1,1,https://www.facebook.com/events/1382282438547030/?active_tab=about,,,
Scottsboro,,AL,US,2017-12-03,about 125,125,,125,,,Roy Moore Campaign,Rallying for Roy Moore,2,rally,0,0,0,0,1,1,http://www.al.com/news/index.ssf/2017/12/gop_official_at_roy_moore_rall.html,,,
Seattle,CenturyLink Field,WA,US,2017-12-03,NA,8,,8,,,Seattle Seahawks players,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.espn.com/blog/nflnation/post/_/id/259964/nfl-players-who-protested-during-national-anthem-in-week-13,,,
Springfield,Sproul Rd.,PA,US,2017-12-03,about 50,50,,50,,,Delco PA Indivisible,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.delcotimes.com/general-news/20171203/activists-sing-carols-at-meehans-office-to-protest-gop-tax-plan,,,
St. Louis,Galleria,MO,US,2017-12-03,at least 50,50,,50,,,general protestors,Protesting police brutality,0,protest,0,0,0,0,1,1,http://www.stltoday.com/news/local/metro/protesters-again-march-through-the-st-louis-galleria-no-arrests/article_f8f944ef-307e-51dc-a2fe-e69bfc61dcff.html,,,
St. Petersburg,Williams Park,FL,US,2017-12-03,FB: 18,18,,18,,,Women's March - Florida Chapter,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1992131794407643/,,,
Summerville,Town Hall,SC,US,2017-12-03,,,,,,,SC Secessionist Party; SC Black Nationalist Movement,Rallying against violence,0,rally,0,0,0,0,1,1,http://www.wbtv.com/story/36983551/groups-call-for-peace-during-summerville-christmas-parade,,,
Washington ,Outside White House ,DC,US ,2017-12-03,around 25,25,,25,,,Alt-right protestors ,Protesting verdict of Katie Steinle's case,0,protest ,0,0,0,0,1,1,http://wjla.com/news/nation-world/heavy-police-presence-at-the-white-house-as-richard-spencer-and-counter-protesters-clash,https://wtop.com/dc/2017/12/white-nationalist-richard-spencer-leads-protest-outside-white-house/,http://www.independent.co.uk/news/world/americas/kate-steinle-murder-trial-protest-neo-nazis-outnumber-antifa-white-house-donald-trump-mexico-a8090796.html,
Washington ,Outside White House ,DC,US,2017-12-03,approximately 50,50,,50,,,Antifa (Anti-Fascist),Counter-protest; against the alt-right,1,protest,0,0,0,0,0,1,http://www.independent.co.uk/news/world/americas/kate-steinle-murder-trial-protest-neo-nazis-outnumber-antifa-white-house-donald-trump-mexico-a8090796.html,,,
Washington ,U.S. Supreme Court,DC,US,2017-12-03,,,,,,,Common Cause,Protesting gerrymandering,0,protest,0,0,0,0,0,1,https://www.facebook.com/events/342550562850698/,,,
West Palm Beach,Outside Wendy's restaurant,FL,US,2017-12-03,about 50,50,,50,,,The Coalition of Immokalee Workers,Protesting company's refusal to join forces,0,protest,0,0,0,0,1,1,http://www.palmbeachpost.com/news/breaking-news/farmworker-protest-takes-aim-part-time-palm-beacher/VgUOB9ChimXwQvxuANorPP/,,,
White Plains,,NY ,US,2017-12-03,,,,,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://westchester.news12.com/story/36982408/white-plains-residents-protest-tax-reform-legislation,,,
Asheville,Downtown,NC,US,2017-12-04,,,,,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://wlos.com/news/local/people-protest-gop-tax-bill-with-downtown-asheville-demonstration,,,
Atlanta,Central Presbyterian Church,GA,US,2017-12-04,FB: 105,105,,105,,,Georgia Alliance for Social Justice,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/314935542247022/,,,
Bakersfield,Rep. McCarthy's office,CA,US,2017-12-04,two dozen,24,,24,,,general protestors,Protesting Trump's attacks on public land,1,protest,0,0,0,0,1,1,http://www.bakersfield.com/news/two-dozen-in-bakersfield-protest-trump-s-national-monument-decree/article_636b1016-d957-11e7-bb31-c30000f65455.html,,,
Baltimore,Outside Rep. Harris' office,MD,US,2017-12-04,,,,,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/harford/aegis/ph-ag-harris-protest-1206-story.html,,,
Bangor,Sen. Collins's office,ME,US,2017-12-04,NA,5,,5,,,general protestors,Protesting GOP tax plan,1,protest,5,0,0,0,1,1,https://bangordailynews.com/2017/12/04/news/bangor/protesters-stage-sit-in-at-sen-collins-bangor-office/,,,
Baytown,East Freeway ,TX,US,2017-12-04,,,,,,,Truck drivers,Protesting new electronic logging system,0,protest,0,0,0,0,1,1,http://www.khou.com/news/local/truckers-protest-electronic-logging-devices-1/496724997,,,
Boston,,MA,US,2017-12-04,dozens,24,,24,,,UPS delivery drivers,Protesting 70-hour work weeks; labor protest,0,protest,0,0,0,0,1,1,http://www.wcvb.com/article/ups-drivers-deliver-concern-over-70-hour-work-week/14030835,,,
Brownsville,Haywood High School,TN,US,2017-12-04,about 200,200,,200,,,Students,Protesting racism,0,protest,0,0,0,0,1,1,http://www.jacksonsun.com/story/news/2017/12/04/possible-protest-haywood-county-schools/919315001/,http://www.fox13memphis.com/top-stories/racist-messages-threats-lead-to-protest-at-mid-south-high-school/658400050,http://usatodayhss.com/2017/haywood-high-racist-snapchat-protest,
Buffalo,University of Buffalo,NY ,US,2017-12-04,about 65,65,,65,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://buffalonews.com/2017/12/04/ub-grad-students-protest-low-stipends-and-possible-tax-on-tuition-waivers/,,,
Carbondale,E. Main St.,IL,US,2017-12-04,FB: 4,4,,4,,,Indivisible Illinois,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1764655056932640/,,,
Chicago,S. LaSalle St.,IL,US,2017-12-04,"over a thousand; FB: 145, FB: 750",145,,1000,,,Indivisible Chicago,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/558524351149107/,http://news.xinhuanet.com/english/2017-12/05/c_136802060.htm,https://www.facebook.com/events/718452881683020/,
Des Moines,Statehouse ,IA,US,2017-12-04,,,,,,,Truck drivers,Protesting new electronic logging system,0,protest,0,0,0,0,1,1,http://www.kcci.com/article/truck-drivers-line-up-to-protest-electronic-logging-devices/14017831,,,
Detroit,,MI ,US,2017-12-04,more than 200,200,,200,,,general protestors,Rallying for John Conyers,1,rally,0,0,0,0,1,1,http://thehill.com/homenews/house/363158-conyers-supporters-call-for-due-process-at-rally,,,
Doral,Sen. Rubio's office,FL,US,2017-12-04,,,,,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1,protest,0,0,0,0,1,1,http://www.miamiherald.com/news/local/community/miami-dade/article188054014.html,,,
Frankfort,State Capitol,KY,US,2017-12-04,around a dozen,12,,12,,,Truck drivers,Protesting new electronic logging system; labor protest,0,protest,0,0,0,0,1,1,http://www.wkyt.com/content/news/Truck-Drivers-Protesting-ELDs-461860973.html,,,
Harrisburg,State Capitol,PA,US,2017-12-04,,,,,,,Truck drivers,Protesting new electronic logging system; labor protest,0,protest,0,0,0,0,1,1,http://abc27.com/2017/12/04/truckers-rally-against-electronic-logging-at-capitol/,,,
Hollywood,,AL,US,2017-12-04,,,,,,,Truck drivers,Protesting new electronic logging system; labor protest,0,protest,0,0,0,0,1,1,http://whnt.com/2017/12/04/trucking-company-owners-drivers-protest-mandated-electronic-logging-devices/,,,
Howell,Courthouse,MI ,US,2017-12-04,,,,,,,general protestors,Protesting sentence for child rapist,0,protest,0,0,0,0,1,1,https://www.clickondetroit.com/news/teen-s-sentence-for-rape-of-12-year-old-girl-sparks-protest-in-howell,,,
Kalamazoo,E. Michigan Ave.,MI ,US,2017-12-04,FB: 17,17,,17,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/335910473560059/,,,
Kent ,ShoWare Center ,WA,US,2017-12-04,,,,,,,Truck drivers,Protesting new electronic logging system; labor protest,0,protest ,0,0,0,0,1,1,http://komonews.com/news/local/local-truckers-plan-protest-over-controversial-new-rule,,,
Lansing,,MI ,US,2017-12-04,,,,,,,Truck drivers,Protesting new electronic logging system; labor protest,0,protest,0,0,0,0,1,1,http://www.fox47news.com/news/local-news/truckers-rally-in-lansing-against-electronic-logging,,,
Los Angeles,Pershing Square,CA,US,2017-12-04,FB: 882,882,,882,,,The People for Bernie Sanders,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/514601932241218/,,,
Los Angeles,UCLA Campus,CA,US,2017-12-04,FB: 15,15,,15,,,Refuse Fascism,Protesting sexual assault/harrassment,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/121470408633892/,,,
Marlton,,NJ,US,2017-12-04,60,60,,60,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://atnj.org/protests-held-gop-tax-bill-throughout-new-jersey/,,,
Mays Landing ,Congressman Frank LoBionda's office ,NJ,US ,2017-12-04,about two dozen; 45,24,,45,,,Action Together New Jersey ,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,http://www.pressofatlanticcity.com/news/locals-to-rally-in-front-of-rep-lobiondo-s-to/article_b2a5480d-45da-5740-9277-5368722ee0e1.html,http://www.pressofatlanticcity.com/news/locals-rally-in-mays-landing-to-protest-gop-tax-bill/article_75aaf169-0feb-5186-9aa4-9e141ad9e0f3.html,https://atnj.org/protests-held-gop-tax-bill-throughout-new-jersey/,
McCormick County,,SC,US,2017-12-04,,,,,,,Put Down the Guns Now Young People Organization,Protesting gun violence  ,1,protest,0,0,0,0,1,1,http://www.wbtv.com/story/36992120/put-down-the-guns-now-rally-held-in-mccormick-county,,,
Miami,St. Stephen's Episcopal Church,FL,US,2017-12-04,FB: 39,39,,39,,,Miami DSA,Rallying for Medicare for all,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/524260301263318/,,,
Miami ,Marco Rubio's Office ,FL ,US,2017-12-04,,,,,,,Pro-immigrant protestors,Protesting Trump Adminstration's decision to end DACA,1,protest ,0,0,0,0,1,1,http://www.miamiherald.com/news/local/community/miami-dade/article188054014.html,http://www.miaminewtimes.com/news/miami-dades-stretch-of-i-95-is-nations-deadliest-9873712,,
Morristown,,NJ,US,2017-12-04,110,110,,110,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://atnj.org/protests-held-gop-tax-bill-throughout-new-jersey/,,,
Mt. Vernon,,IL,US,2017-12-04,,,,,,,Truck drivers,Protesting new electronic logging system; labor protest,0,protest,0,0,0,0,1,1,http://www.kfvs12.com/story/36991114/truck-drivers-rally-against-new-regulation-effective-in-two-weeks,,,
New Orleans,Sen. Kennedy's office,LA,US,2017-12-04,about 30,30,,30,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.bestofneworleans.com/thelatest/archives/2017/12/04/following-tax-bill-vote-activists-rally-against-senator-grinch-kennedy,,,
O'Fallon,W. State St.,IL,US,2017-12-04,FB: 14,14,,14,,,Indivisible IL 12,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/376237116167645,,,
Peoria,Monroe St.,IL,US,2017-12-04,FB: 24,24,,24,,,Change Peoria,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/564349823913025,,,
Philadelphia,City Hall,PA,US,2017-12-04,hundreds,200,,200,,,general protestors,Protesting bill requiring businesses to remove bullet-proof glass,0,protest,0,0,0,0,1,1,http://philadelphia.cbslocal.com/2017/12/04/stop-go-bill-philly/,,,
