CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Little Rock,River Market,Pulaski,AK,US,2020-01-04,FB: 29,29,,29,,,AWARE,against war with Iran,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/s/natl-day-of-action-no-war-on-i/1104800173186675/,https://www.arkansasonline.com/news/2020/jan/05/arkansans-rally-against-war-with-iran-2/?news-arkansas,,,
Los Angeles,Pershing Square,Los Angeles,CA,US,2020-01-04,hundreds; at least 200 ,200,,200,,,ANSWER Coalition,against war with Iran,1,protest,0,0,0,0,1,1,https://twitter.com/nealroche/status/1213571512940187648,https://www.latimes.com/california/story/2020-01-04/anti-war-demonstration-downtown-los-angeles-following-us-killing-of-suleimani,https://abc7.com/5815007/,,
Louisville,2200 Bardstown Rd,Jefferson,KY,US,2020-01-04,three dozen,36,,36,,,Louisville Students For Justice in Palestine,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/s/emergency-rally-us-troops-out-/548351312678611/,https://www.wdrb.com/news/louisville-protesters-voice-concerns-over-rising-u-s--iran/article_eccc3b94-2f38-11ea-8c02-1757662080aa.html,,,
Madison,Capitol,Dane,WI,US,2020-01-04,more than 100; FB: 208,100,,208,,,Party for Socialism and Liberation Madison,against war with Iran,1,protest,0,0,0,0,1,1,https://twitter.com/francesebrook/status/1213541036091432962,https://www.facebook.com/events/452246732345464,https://www.nbc15.com/content/news/Anti-war-protesters-gather-on-Capitol-Square-566726111.html,,
Manchester,Veterans Park,,NH,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.wmur.com/article/anti-war-protesters-gather-in-manchester-in-wake-of-us-strike-killing-iranian-commander/30399583,,,,
Memphis,,Shelby,TN,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,,,,
Miami,The Torch of Friendship,Miami-Dade,FL,US,2020-01-04,nearly 50,50,,50,,,CODE PINK,against war with Iran,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/588655808588020/,https://www.ksn.com/news/national-world/protests-across-us-condemn-action-in-iran-and-iraq/?utm_medium=social&utm_source=twitter_KSNNews,,,
Milwaukee,27th & Oklahoma,Milwaukee,WI,US,2020-01-04,FB: 43,43,,43,,,Party for Socialism and Liberation Milwaukee,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/2735958776424455/,,,,
Minneapolis,Mayday Plaza,Hennepin,MN,US,2020-01-04,FB: 229; over 100,100,,229,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://twitter.com/bymyelf/status/1213541219785216000,https://www.facebook.com/events/1524395157698974/,https://www.mprnews.org/story/2020/01/04/minneapolis-marchers-protest-military-escalation-in-mideast,,
Monterey,Window On The Bay / Monterey Waterfront Park,Monterey,CA,US,2020-01-04,,,,,,,Monterey Peace & Justice Center,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/756950771475783/,,,,
Mt. Pleasant,Central Michigan University Bovee University Center,Isabella,MI,US,2020-01-04,NA,6,,6,,,Central Michigan University students; general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.themorningsun.com/news/war-on-iran-protest-takes-place-at-bovee-university-center/article_22aa2238-2f27-11ea-8652-f39e10bdaf85.html,,,,
New Orleans,Duncan Plaza,Orleans,LA,US,2020-01-04,FB: 61,61,,61,,,New Orleans Workers Group,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/1496152500549304/,,,,
New York,Times Square,New York,NY,US,2020-01-04,a few hundred; more than 250,200,,250,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://twitter.com/JoshuaPotash/status/1213105129395773440,https://www.ksn.com/news/national-world/protests-across-us-condemn-action-in-iran-and-iraq/?utm_medium=social&utm_source=twitter_KSNNews,https://www.silive.com/news/2020/01/protestors-march-through-times-square-to-denounce-war-with-iran.html,,
Norfolk,Town Point Park,Norfolk,VA,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,https://m.facebook.com/events/1282014238669509,,,
Northampton,in front of the Courthouse on Main St,Hampshire,MA,US,2020-01-04,hundreds; more than 200,200,,200,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://twitter.com/TheResistCenter/status/1213568208617250816,https://www.gazettenet.com/Northampton-weekly-peace-vigil-31748294,,,
