CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Sarasota,Doctors Hospital,Sarasota,FL,US,2020-04-02,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,https://www.abcactionnews.com/news/coronavirus/nurses-across-7-states-including-florida-protest-lack-of-covid-19-preparedness,,,,
Spring Hill,Oak Hill,Hernando,FL,US,2020-04-02,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,https://www.abcactionnews.com/news/coronavirus/nurses-across-7-states-including-florida-protest-lack-of-covid-19-preparedness,,,,
Aurora,Aurora ICE Detention Center,Adams ,CO,US,2020-04-03,few dozen,24,,24,,,Abolish ICE,free detained immigrants due to Covid-19,1,car protest,0,0,0,0,1,1,https://sentinelcolorado.com/news/nation-world/covid19/dozens-take-to-their-cars-to-protest-for-ice-releases-to-avoid-pandemic-virus/,,,several dozen refers to cars ,
Central Falls,Donald W. Wyatt Detention Facility,,RI,US,2020-04-03,nearly 70,70,,70,,,detainees,free detained immigrants due to Covid-19,0,hunger strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/04/04/hunger-strike-at-donald-w-wyatt-detention-facility-over-covid-19-rhode-island/,,,,
Chicago,Cook County Jail,Cook,IL,US,2020-04-03,,,,,,,inmates,"for better protections against COVID-19 in prison, for release of inmates during coronavirus pandemic",0,hunger strike,0,0,0,0,1,1,https://twitter.com/AssataDaughters/status/1247591854264258563,,,,
Laguna Woods,Ayres Hotel,Orange ,CA,US,2020-04-03,,150,,200,,,general protestors,against hotel across the street from senior center being used to house homeless covid-19 patients,0,protest,0,0,0,0,1,1,https://www.ocregister.com/2020/04/03/senior-residents-protest-hotel-planned-for-homeless-coronavirus-patients-operator-says-it-will-be-isolated-and-locked-down/,,,,
Oakdale,FCI Oakdale,,LA,US,2020-04-03,,,,,,,inmates,for better protections against COVID-19 in prison,0,disobedience,0,0,0,0,1,1,https://www.vice.com/en_us/article/akwm4j/inmates-revolted-against-a-federal-prisons-coronavirus-response-they-got-tear-gassed,,,,
Orange,UCI Medical Center,Orange,CA,US,2020-04-03,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.nbcnews.com/news/us-news/nurses-are-protesting-working-conditions-under-coronavirus-say-hospitals-aren-n1181321,,,,
Salem,Santiam Correctional Institution,Marion,OR,US,2020-04-03,,4,,4,,,general protestors,seek release of inmates due to Covid-19,0,protest,0,0,0,0,1,1,https://www.kptv.com/worries-protest-after-inmate-tests-positive-for-coivd-19-in-salem/video_9ac55b83-c5a8-501a-9780-6dfc16897111.html,https://katu.com/news/local/portland-police-chief-jami-resch-may-assign-detectives-others-to-answer-911-calls-is-staffing-gets-tight,,,
San Diego,Otay Mesa Detention Center,,CA,US,2020-04-03,at least 12,12,,12,,,detainees,for immediate release of detainees in ICE facility due to COVID-19 pandemic,0,hunger strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/04/03/hunger-strike-at-otay-mesa-ice-detention-center-california/,,,,
San Luis Obispo,San Obispo County Courthouse,San Luis Obispo,CA,US,2020-04-03,dozens,24,,24,,,Dignity health nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.sanluisobispo.com/news/coronavirus/article241746036.html,,,,
Timberville,Pilgrim's Pride Corporation,Rockingham,VA,US,2020-04-03,more than two dozen,24,,24,,,Pilgrim's Pride Corp. worker,for temporarily shuttering Pilgrim's Pride due to coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.whsv.com/content/news/Pilgrims-workers-protest-outside-facility-for-health-and-safety-569351581.html,,,,
Waianae,Waianae police substation,Honolulu,HI,US,2020-04-03,about 20,20,,20,,,general protestors,against moving arrestees to Waianae police substation if positive for Covid-19,0,protest,0,0,0,0,1,1,https://www.hawaiinewsnow.com/2020/04/03/protesters-gather-waianae-police-station-over-coronavirus-concerns/,,,,
West Palm Beach,State Attorney's Office to the Palm Beach County Jail,Palm Beach ,FL,US,2020-04-03,more than a dozen,12,,12,,,Florida Cares,"for release of lower-level, nonviolent offenders b/c of covid-19",0,car protest,0,0,0,0,1,1,https://www.palmbeachpost.com/news/20200403/coronavirus-florida-state-attorney-pbso-targets-of-protest-advocating-for-jail-inmates,,,,
Charlotte,Preferred Women's Health Center,Mecklenburg,NC,US,2020-04-04,around 50,50,,50,,,general protestors,anti-abortion,2,protest,8,0,0,0,1,1,https://www.wcnc.com/article/news/health/coronavirus/8-people-arrested-after-mass-gathering-in-charlotte-broken-up/275-92e9561c-126c-4eef-9c85-a93fb02890d0,,,,
New York,"Queens Detention Facility, Queens",,NY,US,2020-04-04,a few dozen,36,,36,,,inmates,for better protections against COVID-19 in jail,0,hunger strike,0,0,0,0,1,1,https://queenseagle.com/all/queens-private-jail-covid19-inmates-sick,,,,
Pine Hill,Trump National Golf Club,Camden,NJ,US,2020-04-04,handful ,5,,5,,,Refuse Fascism Philly,anti-Trump ,1,protest,0,0,0,0,1,1,https://www.inquirer.com/health/coronavirus/live/coronavirus-covid-19-philadelphia-pennsylvania-new-jersey-confirmed-case-updates-news-20200404.html,,,,
