CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Fairfax,outside NRA headquarters,,VA,US,8/5/2019,several hundred,300,,300,,,March for Our Lives Northern  Virginia,against gun violence; for gun reform,1,vigil,,,,,,1,https://twitter.com/MFOLNOVA/status/1158162694157012992,https://twitter.com/WesCSays/status/1158533073253928961,,,,,
Hartford,outside capitol,,CT,US,8/5/2019,,,,,,,general protestors,against gun violence; for gun reform,1,rally,,,,,,1,https://www.facebook.com/events/364135457593375/?,,,,,,
Las Vegas,Highland Poultry,,NV,US,8/5/2019,,,,,,,general protestors,against cruelty to animals,0,protest,,,,,,1,https://twitter.com/AnimalCrimesWW/status/1158440329961463809,,,,,,
Los Angeles,in and outside GEO Group offices,,CA,US,8/5/2019,,,,,,,Never Again Action,against immigrant detention camps; anti-ICE,1,protest,1,,,,,1,https://www.commondreams.org/news/2019/08/05/jewish-protesters-arrested-la-office-private-prison-company-runs-ice-concentration,https://www.facebook.com/events/371724513541309/,,How many arrested?,,,
Milwaukee,Walker Square Park,,WI,US,8/5/2019,,,,,,,general protestors,against gun violence,0,vigil,,,,,,1,https://twitter.com/dviyer/status/1158346052497530880,,,7th anniversary of shooting at Sikh gurdwara ,,,
New York,Bennett Park; Fort Washington Avenue between West 183rd and West 185th Streets,,NY,US,8/5/2019,,,,,,,UP Theater Company,against gun violence,0,vigil,,,,,,1,https://twitter.com/UPTheaterCo/status/1158342138289111041,,,,,,
New York,Brooklyn; Grand Army Plaza,,NY,US,8/5/2019,,,,,,,Brooklyn Borough President; New Yorkers Against Gun Violence; Yourh Over Guns; other organizations,against gun violence,0,vigil,0,0,0,0,,1,https://twitter.com/BPEricAdams/status/1158447341193650177,https://twitter.com/NewSanctuaryNYC/status/1158589195738320897,https://www.bkreader.com/2019/08/06/brooklyn-vigil-mourns-victims-of-mass-shootings-decries-white-supremacy/,,,,
Westfield,Mindowaskin Park,,NJ,US,8/5/2019,,,,,,,Westfield 20/20,against gun violence; for gun reform,1,vigil,,,,,,1,https://www.tapinto.net/towns/westfield/articles/vigil-for-gun-violence-victims-call-to-action-set-in-westfield-monday,,,,,,
White Plains,456 North St.,,NY,US,8/5/2019,,,,,,,Indivisible Westchester; Moms Demand Action; March for Our Lives Lower Hudson Valley,against gun violence; for gun reform,1,vigil,,,,,,1,https://patch.com/new-york/whiteplains/vigil-set-hudson-valley-gun-violence-victims,,,,,,
Austin,,,TX,US,8/6/2019,,,,,,,Indivisible Austin,support voting rights; strengthen Voting Rights Act post-Shelby,0,vigil,,,,,,1,https://www.facebook.com/events/1591314807672445/,,,,,,
