CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Seattle,Delridge Community Center,,WA,US,8/7/2019,,,,,,,West Seattle Mamas Mobilize,against white supremacy; for gun reform,1,vigil,,,,,,1,https://www.facebook.com/events/349186072638209/,,,#ElPasoFirme Vigil,,,
Sherman,,,TX,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Sierra Madre,,,CA,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Silver City,,,NM,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Tucson,,,AZ,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Waco,Heritage Square,,TX,US,8/7/2019,,,,,,,Waco Immigrants Alliance,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Wheeling,Independence Hall,,WV,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Andover,Shawsheen intersection; North main st,,MA,US,8/8/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Boston,statehouse,,MA,US,8/8/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Glens Falls,"Crandall Library Park, 251 Glen St.",,NY,US,8/8/2019,about 100,100,,100,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/billmckibben/status/1159501367616167937,,,,,
Lexington,courthouse plaza,,KY,US,8/8/2019,,,,,,,Moms Demand Action,against gun violence; for gun reform,1,vigil,,,,,,1,https://www.kentucky.com/opinion/article233536412.html,,,,,,
Milwaukee,ICE Building,,WI,US,8/8/2019,hundreds,100,,100,,,Evangelical Lutheran Church in America; Voces de La Frontera,against immigrant detention camps; anti-ICE,1,vigil; protest; march,0,0,0,0,1,1,https://www.dailykos.com/stories/2019/8/8/1877700/--This-is-what-the-love-of-God-looks-like-Hundreds-of-Lutherans-allies-protest-outside-ICE-office,,,,,,
Mount Desert,Northeast Harbor,,ME,US,8/8/2019,count video,14,,16,,,Indivisible MDI,"against Senator Susan Collins, against Leonard Leo, against the Federalist Society, against corruption, for women's rights",1,protest,,,,,1,1,https://mainebeacon.com/collins-attends-fundraiser-at-4m-mansion-of-nations-leading-anti-choice-judicial-activist/,,,,,,
New York,8th Ave at 40 St,,NY,US,8/8/2019,,,,,,,NYC Free Assange,support freeing Assange and Manning ,0,vigil,,,,,,1,https://twitter.com/NYCFreeAssange/status/1159068906688065536,,,,,,
Norwalk,city hall,,CT,US,8/8/2019,,,,,,,Moms Demand Action,against gun violence; for gun reform,1,protest,,,,,,1,https://act.everytown.org/event/moms-demand-action-event/24789/signup/?source=&akid=&zip=,,,,,,
Seattle,1000 2nd Ave,,WA,US,8/8/2019,FB: 402,402,,402,,,Never Again Action,against immigrant detention camps; anti-ICE,1,protest,,,,,,,https://www.facebook.com/events/downtown-seattle/seattle-says-neveragainisnow/754814674921317/,,,,,,
Austin,,,TX,US,8/10/2019,thousands,2000,,2000,,,general protestors,pro-LGBTQ,1,demonstration,,,,,,1,https://www.kxan.com/news/photos-austin-pride-parade-2019/,,,Austin Pride parade,,,
Durham,SEEDS,,NC,US,8/10/2019,FB: 27,27,,27,,,Carolina Jews for Justice; Migrant Roots Media,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://www.facebook.com/events/2174979522799691/?,,,,,
Kenosha,,,WI,US,8/10/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Kingston,,,NY,US,8/10/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Kirkland,,,WA,US,8/10/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Portland,,,OR,US,8/10/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Adelanto,,,CA,US,8/10/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Marysville,,,CA,US,8/10/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
West Valley City,outside ICE field office,,UT,US,8/10/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,0,0,0,0,1,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://kutv.com/news/local/utahs-jewish-community-rallies-at-ice-field-office-opposing-trumps-immigration-reform,,,,,
Tucson,Cesar Chavez Park,,AZ,US,8/10/2019,,,,,,,Jewish Voice for Peace-Tucson chapter.,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Albuquerque,Jewish Community Center,,NM,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Asheville,Beth Israel Synagogue,,NC,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.facebook.com/events/461338614707568/,,,,,,
Aurora,"Aurora Detention Center, 3130 North Oakland Street",,CO,US,8/11/2019,,,,,,,Moral Minyan Colorado; Congregation Bonai Shalom; Congregation Rodef Shalom,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Austin,"Congregation Agudas Achim, 7300 Hart Ln",,TX,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Baltimore,Howard County Detention Center,,MD,US,8/11/2019,hundreds,200,,200,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/truahrabbis/status/1160680951636275201,https://twitter.com/jewishaction/status/1160977937237233666,,,,
Beachwood,"Suburban Temple- Kol Ami, 22401 Chagrin Blvd",,OH,US,8/11/2019,over 400,400,,400,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/truahrabbis/status/1160653070558212098,,Cleveland,,,
Boston,JFK Federal Bldg,,MA,US,8/11/2019,hundreds,200,,200,,,Boston Area Rabbis,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://www.facebook.com/events/345956122972240/,https://www.bostonglobe.com/metro/2019/08/11/jewish-groups-lament-immigration-crisis-boston-protest/5J08Wwzx8Onxnfqlat4XcO/story.html?fbclid=IwAR1vI6uoLzRLxxV74iDS50JBCIjPBaO8ATsYEF9XAWkZS5p0o0IezNBIHr4,,,,
Charlotte,Marshall Park,,NC,US,8/11/2019,,,,,,,Carolina Jews for Justice - Greater Charlotte; Stan Greenspon Center for Peace and Social Justice; Temple Beth El,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Columbus,Scioto Greenway just below the Broad Street Bridge (near the corner of Broad and Civic Center Drive),,OH,US,8/11/2019,,,,,,,Kehilat Sukkat Shalom; Holding the Fringes,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Dallas,"Temple Shalom Dallas, 6930 Alpha Rd,",,TX,US,8/11/2019,,,,,,,Temple Shalom Dallas; the RAC – TX,pro-refugee; pro-immigrant,,info session,,,,,,0,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,info session,,,
Des Moines,"West Side of Capitol building, 1007 E Grand Ave",,IA,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Douglaston,,,NY,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Elizabeth,"Elizabeth Detention Center, 625 Evans St",,NJ,US,8/11/2019,,,,,,,Torah Trumps Hate,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Elk River,outside the Sherburne County Jail,,MN,US,8/11/2019,hundreds,200,,200,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/jewishaction/status/1160977935765037056,,,,,
Grand Rapids,,,MI,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Greenfield,,,MA,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Kankakee,"Jerome Combs Detention Facility, 3050 S Justice Way",,IL,US,8/11/2019,hundreds; more than 250,200,,250,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/jewishaction/status/1160747159605719042,https://twitter.com/JCUA_News/status/1160694752158900225,,,,
Los Angeles,downtown; Metropolitan Detention Center,,CA,US,8/11/2019,hundreds ,200,,200,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://ktla.com/2019/08/11/immigration-rights-advocates-gather-at-close-the-camp-rally-in-downtown-l-a/,https://jewishjournal.com/online/302874/jewish-groups-denounce-u-s-immigration-policies-at-tisha-bav-rally/,,,,
Los Angeles,downtown,,CA,US,8/11/2019,na,2,,2,,,general protestors,pro-ICE,2,counter-protest,,,,,,1,https://ktla.com/2019/08/11/immigration-rights-advocates-gather-at-close-the-camp-rally-in-downtown-l-a/,,,,,,
Miami,North Miami MOCA,,FL,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,http://bigeducationape.blogspot.com/2019/08/enrique-baloyra-at-closethecamps-rally.html,,,,,
New York,"Amazon store; Congregation Beit Simchat Torah, 130 W. 30th St., New York",,NY,US,8/11/2019,around 1000,1000,,1000,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,44,0,0,0,1,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://pix11.com/2019/08/11/44-protestors-arrested-during-immigration-rally-in-manhattan/,https://gizmodo.com/dozens-arrested-at-jewsagainstice-protest-at-amazon-st-1837156701,civil dis,,,
New York,"Queens; 171-39 Northern Blvd., Flushing",,NY,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Newark,outside ICE Office 972 Broad St,,NJ,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/NPatriot2/status/1160601595752656897,,,,,
Palo Alto,,,CA,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Philadelphia,,,PA,US,8/11/2019,hundreds,200,,200,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/jewishaction/status/1160977938671710220,,,,,
Phoenix,,,AZ,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Pittsburgh,at ICE’s Pittsburgh field office on the South Side; Sidney Street,,PA,US,8/11/2019,about 100,100,,100,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,0,0,0,0,1,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://www.wesa.fm/post/jewish-day-remembrance-protestors-decry-immigration-policy#stream/0,,,,,
Raleigh,,,NC,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Richmond,,,VA,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
San Diego,,,CA,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Santa Ana,,,CA,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Seattle,,,WA,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
South Bend,,,IN,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Spokane,,,WA,US,8/11/2019,about 120,120,,120,,,Moms Demand Action; Students Demand Action,against gun violence; for gun reform,1,vigil,0,0,0,0,1,1,https://www.spokesman.com/stories/2019/aug/11/spokane-student-parent-groups-hold-vigil-for-victi/?,,,,,,
Saint Louis,,,MO,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/truahrabbis/status/1160658581815009280,,,,,
Syracuse,outside of the ICE office on South Salina Street,,NY,US,8/11/2019,count pic,51,,51,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,0,0,0,0,1,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/zmfield/status/1160675371769061381,https://cnycentral.com/news/local/local-jewish-organizations-demand-for-immigration-detention-centers-to-close,https://twitter.com/IndivisibleNY24/status/1160674190816686080,,,
Tacoma,Tollefson Plaza,,WA,US,8/11/2019,count video,15,,20,,,Proud Boys,"for President Trump, for patriotism, for freedom, for white supremacy",2,rally,,,,,1,1,https://twitter.com/TACAGAINSTNAZIS/status/1160790248319664128,https://psjbgc.org/blog/fascism-is-not-welcome-in-tacoma/,https://twitter.com/ForksFlash/status/1160734083476934660,,https://twitter.com/TACAGAINSTNAZIS/status/1160665579864260608,https://twitter.com/TACAGAINSTNAZIS/status/1160661349938020353,https://twitter.com/TACAGAINSTNAZIS/status/1160660496111898625
Tacoma,Tollefson Plaza,,WA,US,8/11/2019,count video,50,,60,,,Tacoma Against Nazis; Destiny City Antifa; Tacoma Clinic Defense; Puget Sound John Brown Gun Club,"against fascism, against white supremacy",1,counter-protest,,,,,0,1,https://twitter.com/TACAGAINSTNAZIS/status/1160790248319664128,https://psjbgc.org/blog/fascism-is-not-welcome-in-tacoma/,https://twitter.com/ForksFlash/status/1160734083476934660,,https://twitter.com/TACAGAINSTNAZIS/status/1160665579864260608,https://twitter.com/TACAGAINSTNAZIS/status/1160661349938020353,https://twitter.com/TACAGAINSTNAZIS/status/1160660496111898625
Washington,Lafayette Park,,DC,US,8/11/2019,more than 250,250,,250,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://www.washingtonpost.com/local/immigration/in-dc-new-york-and-beyond-jews-mark-annual-day-of-mourning-by-protesting-trump-immigration-policies/2019/08/11/16975ec2-bc70-11e9-b873-63ace636af08_story.html,,,,,
Wilmington,,,NC,US,8/11/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Boca Raton,4955 Technology Way; GEO Group,,FL,US,8/12/2019,,,,,,,Never Again Action South Florida,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://www.miaminewtimes.com/news/jewish-activists-plan-anti-ice-protest-outside-geo-group-headquarters-in-boca-raton-11239299,https://twitter.com/cinefeminism/status/1160967691408044032,,,,
Houston,Southwest Key facility,,TX,US,8/12/2019,na; dozens,24,,100,,,Never Again Houston,pro-refugee; pro-immigrant,1,protest,5,0,0,0,1,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://twitter.com/NeverAgainActn/status/1161071485139771392,https://twitter.com/NeverAgainActn/status/1161073385142718464,civil dis,,,
San Jose,,,CA,US,8/12/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Ann Arbor,,Washtenaw,MI,US,8/13/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Dearborn,police department,Wayne,MI,US,8/13/2019,,,,,,,Detroit Jews for Justice; Bend the Arc; CAIR-MI,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Saint Paul,"Bishop Henry Whipple Building, 1 Federal Dr",Ramsey,MN,US,8/13/2019,,,,,,,Interfaith Coalition on Immigration; St. Joan of Arc Catholic Community,"in solidarity with migrant detainees, against inhumane detention practices",1,vigil,,,,,1,1,https://mnicom.org/programs/vigils/,https://mnicom.org/2019/08/02/august-vigil/,,second Tuesday of every month,,,
Central Falls,Wyatt Detention Center,Providence,RI,US,8/14/2019,hundreds,200,,200,,,Never Again Action RI,pro-refugee; pro-immigrant,1,protest,0,2,0,0,1,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,https://jewishweek.timesofisrael.com/truck-rams-into-jewish-protesters-in-rhode-island/,https://upriseri.com/2019-08-15-wyatt-01/,exact number of injured from truck into crowd is not certain,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,8/14/2019,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
San Diego,Board of Education; County of Education,San Diego,CA,US,8/14/2019,FB:,,,,,,Herut California,education; against curriculum proposal,0,protest,,,,,,1,https://www.facebook.com/events/1089945264550105/,,,,,,
Manchester,Southern New Hampshire University Arena,Hillsborough,NH,US,8/15/2019,thousands; just over 11500 plus at least 8000,2000,,19500,,,Trump campaign,for President Trump,2,rally,,,,,,1,https://www.wmur.com/article/trump-supporters-protesters-gather-in-manchester-for-rally/28714829,https://www.dailymail.co.uk/news/article-7365155/Fire-marshal-says-Donald-Trump-DID-smash-Elton-Johns-attendance-record-New-Hampshire-arena.html,,feat. President Trump,,,
Manchester,outside Southern New Hampshire University Arena,Hillsborough,NH,US,8/15/2019,hundreds,200,,200,,,general protestors,anti-Trump,1,counter-protest,,,,,,1,https://www.wmur.com/article/trump-supporters-protesters-gather-in-manchester-for-rally/28714829,,,,,,
Dublin,Sawmill Rd,,OH,US,8/17/2019,around two dozen,24,,24,,,Proud Boys; Bikers for Trump,"for President Trump, for patriotism, for freedom, for white supremacy, Kekistan flag",2,demonstration,,,,,1,1,https://www.10tv.com/article/news/local/local-leaders-activists-condemn-proud-boys-walk-dublin-area-2019-sep/530-57f1a330-5777-400c-a258-ad1f18091177,https://medium.com/@lily.cunningham/fuck-proud-boys-69e6f3f6fc1,,,,,
Dublin,Sawmill Rd,,OH,US,8/17/2019,count pic,16,,20,,,general protestors,"against Proud Boys, against white supremacy, for LGBTQ+ pride, against hate, for love",1,counter-protest,,,,,0,1,https://www.10tv.com/article/news/local/local-leaders-activists-condemn-proud-boys-walk-dublin-area-2019-sep/530-57f1a330-5777-400c-a258-ad1f18091177,https://medium.com/@lily.cunningham/fuck-proud-boys-69e6f3f6fc1,,,,,
Portland,Tom McCall Waterfront Park,Multnomah,OR,US,8/17/2019,hundreds,200,,200,,,Proud Boys,"for President Trump, for patriotism, for freedom, for white supremacy, Make America Great Again, against domestic terrorism, against communism",2,rally; march,unspecified,unspecified,0,0,1,1,https://www.cbsnews.com/news/proud-boys-portland-oregon-rally-today-far-right-group-holds-protests-antifa-today-2019-08-17-live-updates/,https://en.wikipedia.org/wiki/End_Domestic_Terrorism_rally,,"13 total arrests, unclear how many from each side; 1,200 total gathered at peak, distribution unclear; at least 6 injured, distribution by side unclear; police confiscated various weapons, including bear spray and shields and poles; massive police presence including riot gear and LRAD",,,
Portland,Tom McCall Waterfront Park,Multnomah,OR,US,8/17/2019,hundreds,200,,200,,,Antifascist Action,"against fascism, against white supremacy, against President Trump, for LGBTQ+ pride",1,counter-protest,unspecified,unspecified,0,0,0,1,https://www.cbsnews.com/news/proud-boys-portland-oregon-rally-today-far-right-group-holds-protests-antifa-today-2019-08-17-live-updates/,https://en.wikipedia.org/wiki/End_Domestic_Terrorism_rally,,"13 total arrests, unclear how many from each side; 1,200 total gathered at peak, distribution unclear; at least 6 injured, distribution by side unclear; police confiscated various weapons, including bear spray and shields and poles; massive police presence including riot gear and LRAD",,,
Everett,,Snohomish,WA,US,8/18/2019,,,,,,,Moms Demand Action,against gun violence; for gun reform,1,rally,0,0,0,0,1,1,https://komonews.com/news/local/moms-demand-action-rally-in-everett-for-nationwide-red-flag-gun-laws,,,,,,
New Haven,courthouse,New Haven,CT,US,8/18/2019,,,,,,,Moms Demand Action,against gun violence; for gun reform,1,rally,,,,,,1,https://act.everytown.org/event/august-recess-2019/25158?,,,,,,
Sioux Falls,,Minnehaha,SD,US,8/18/2019,,,,,,,Moms Demand Action,against gun violence; for gun reform,1,rally,0,0,0,0,1,1,https://www.ksfy.com/content/news/Moms-Demand-Action-rally-against-gun-violence-in-South-Dakota-552969471.html,,,,,,
Nashville,down the street from an ICE field office,Davidson,TN,US,8/19/2019,several dozen,36,,36,,,Never Again Action Nashville chapter,pro-refugee; pro-immigrant; anti-ICE,1,protest,0,0,0,0,1,1,https://www.nashvillepublicradio.org/post/nashville-jews-and-immigrants-unite-protest-immigration-and-customs-enforcement#stream/0,,,,,,
Saint Paul,Macalester College,Ramsey,MN,US,8/19/2019,na; thousands; more than 10000,2000,,12000,,,Warren campaign,pro-Warren,1,rally,,,,,,1,https://twitter.com/KristenOrthman/status/1163599134307311617,http://www.fox9.com/news/presidential-candidate-elizabeth-warren-addresses-supporters-in-st-paul-minn,https://www.washingtonexaminer.com/news/campaigns/im-not-mad-elizabeth-warrens-quiet-liberal-populism-draws-12-000-in-minnesota,,,,
