CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
San Bernardino,corner of E St. and Chandler Pl.,San Bernardino,CA,US,2018-12-03,hundreds,200,,200,,,general protestors,protesting new management at San Bernardino Animal Shelter,0,protest,0,0,0,0,1,1,https://www.sbsun.com/2018/11/30/protesters-speak-out-against-new-management-of-san-bernardino-animal-shelter/,,,
New York City,Mainstage Theatre on the LaGuardia Community College campus,Queens,NY,US,2018-12-03,about 30,30,,30,,,CUNY and SUNY students,protesting investment in Amazon HQ2 but not public universities,0,protest,,,,,,,https://www.metro.us/news/local-news/new-york/keep-cuny-out-of-amazon-protest,http://www.ourtownny.com/local-news/20181204/students-protest-cuny-backing-of-amazon-plan,,
Online ,,,,US,2018-12-03,,,,,,,general protestors,boycotting Amazon through Google Chrome extension,0,boycott; protest,0,0,0,0,0,1,https://www.metro.us/news/local-news/new-york/keep-cuny-out-of-amazon-protest,,,
San Jose,City Hall,Santa Clara,CA,US,2018-12-03,na,40,,40,,,general protestors,protesting the building of a Google Diridon Station campus and lack of affordable housing,0,protest,0,0,0,0,1,1,http://www.ktvu.com/news/-housing-not-google-group-fasts-in-front-of-city-hall-to-protest-new-diridon-campus,,,
Geneva,School district’s administration building ,Kane,IL,US,2018-12-03,hundreds,200,,200,,,Geneva District 304 teachers,rally to increase teacher salaries ,0,rally;protest,0,0,0,0,1,1,https://www.kcchronicle.com/2018/12/04/last-rally-before-new-contract-or-strike-in-geneva/aa926ci/,,,
Ann Arbor,city hall,Washtenaw,MI,US,2018-12-03,,,,,,,By Any Means Necessary and Stop Trump Ann Arbor,protest to shut down a downtown piercing shop allegedly owned by a white supremacist,1,protest,0,0,0,0,1,1,https://www.mlive.com/news/ann-arbor/2018/12/pangea_piercings_critics_call.html,,,
Salem,,Rockingham,NH,US,2018-12-03,between 20 and 30,20,,30,,,general protestors,rally to show support for police department following a critical audit,0,rally,0,0,0,0,1,1,https://www.unionleader.com/news/safety/residents-turn-out-to-rally-in-support-of-salem-police/article_97958b3a-3ef8-5bf7-8073-da755aa76b98.html,,,
Mukilteo,,Snohomish,WA,US,2018-12-03,,,,,,,general protestors,anti-development and logging,0,road blockade,0,0,0,0,1,1,https://www.king5.com/article/news/local/neighbors-block-bulldozer-to-halt-mukilteo-development/620494182,,,
Chicago ,Acero charter school network,Cook,IL,US,2018-12-04,na,550,,550,,,Teachers and administrators,"striking for decreased class size, increased wages, etc. for Acero Charter Schools",1,strike,0,0,0,0,1,1,https://www.usatoday.com/story/news/nation/2018/12/09/nations-first-charter-teachers-strike-chicago-public-schools-acero-network/2258302002/?,https://chicago.suntimes.com/news/lawmakers-target-charter-schools-as-acero-strike-heads-closer-to-settlement/,,beginning of strike that lasted until 12/9/18
Columbus,Statehouse,Franklin,OH,US,2018-12-04,count pic,30,,50,,,Planned Parenthood Advocates of Ohio,opposing abortion ban bill,1,protest,0,0,0,0,1,1,https://twitter.com/PPAOhio/status/1070000408968466432,,,
Hartford,,Hartford,CT,US,2018-12-04,,,,,,,general protestors,protesting ICE; in support of local women at risk of being deported,1,protest,0,0,0,0,1,1,http://www.wnpr.org/post/facing-deportation-hartford-woman-trying-remain-family,,,
