CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc
Gainesville,University Auditorium,FL ,US ,2017-04-02,NA,25,25,25,28,23,general protestors,against Ben Shapiro speaking at UF,0,protest,0,0,0,0,1,1,https://twitter.com/MicahT1995/status/849029169736560640,http://www.alligator.org/news/campus/article_aba46a0c-18e7-11e7-b6d6-c7f3484e907c.html,,,
Lake Arrowhead,intersection of State Highways 18 and 189,CA ,US ,2017-04-02,dozens,20,29,40,22,36,Sierra Club; general protests,water rights and anti-Nestle,0,protest,0,0,0,0,1,1,http://www.mountain-news.com/news/article_359759b4-1a54-11e7-92a4-63e44f11ad03.html,,,,
Vancouver,Esther Short Park,WA,US ,2017-04-02,about 200,200,,200,,,Patriot Prayer; American Patriot Three Percenters,"for President Trump, for freedom, for patriotism, against Islam, against Hillary Clinton, Blue Lives Matter, All Lives Matter, for capitalism",2,rally,unspecified,unspecified,0,0,1,0,https://www.wweek.com/news/2017/04/02/antifa-crashes-pro-trump-rally-in-vancouver-briefly-setting-off-wrestling-mania/,https://newlinesmag.com/argument/how-portland-stopped-the-proud-boys/,"https://www.thereflector.com/stories/clark-county-trump-rally-disrupted-by-anarchists,43111",,brawling between protesters and counter-protesters
Vancouver,Esther Short Park,WA,US ,2017-04-02,dozens; scores,24,,40,,,Antifascist Action; Skinheads Against Racial Prejudice,"against fascism, against President Trump, against white supremacy, Black Lives Matter, against police",1,counter-protest,unspecified,unspecified,0,0,1,0,https://www.wweek.com/news/2017/04/02/antifa-crashes-pro-trump-rally-in-vancouver-briefly-setting-off-wrestling-mania/,https://newlinesmag.com/argument/how-portland-stopped-the-proud-boys/,"https://www.thereflector.com/stories/clark-county-trump-rally-disrupted-by-anarchists,43111",,brawling between protesters and counter-protesters
Washington,Ivanka and Jared Kushner's property,DC,US ,2017-04-02,NA,200,200,200,220,180,general protestors; LGBT activists,"""Queer Dance Party for Climate Justice at Ivanka Trump's House!""",1,protest,0,0,0,0,1,1,http://thehill.com/homenews/administration/326921-hundreds-protest-outside-ivanka-trumps-home-for-climate-justice,,,,
Berea,Union Church,KY,US ,2017-04-03,NA,24,29,36,26,32,Bereans for Fairness; Kentuckians for the Commonwealth,protest anti-Lesbian bias incident,1,rally;march,0,0,0,0,1,1,http://weku.fm/post/berea-rally-march-scheduled-response-hate-crime,http://www.wkyt.com/content/news/Dozens-rally-in-Berea-for-LGBT-rights-after-vandals-target-local-lesbian-couple-418034003.html,,,
Colonie,Customs Enforcement building,NY,US ,2017-04-03,NA,20,29,40,22,36,general protestors,Anti-ICE; immigration,1,Rally,,,,,1,1,http://www.timesunion.com/7dayarchive/article/Immigration-activists-rally-around-Utica-man-11045972.php,,,,
Flagstaff,First Amendment Plaza at NAU,AZ,US ,2017-04-03,,,,,,,general protestors,against Racist social media posts,0,rally,0,0,0,0,1,1,http://www.naztoday.com/news/protester-gather-at-nau-in-a-silent-march/article_69cba246-18ea-11e7-ab1b-9797839b8d81.html,,,,
Harrisburg,Capitol Building,PA,US ,2017-04-03,,,,,,,general protestors,Sexual assault laws,1,rally,0,0,0,0,1,1,http://www.sharonherald.com/news/state/sex-crime-victims-rally-at-capitol/article_fed12ea9-9b0a-52c9-8c04-d1e4e06ba154.html,,,,
Jersey City,,NJ,US ,2017-04-03,NA,16,16,16,18,14,general protestors; JCCCE,anti-violence,0,rally,0,0,0,0,1,1,http://www.nj.com/jjournal-news/index.ssf/2017/04/after_bloody_week_anti-violenc.html,https://twitter.com/OneCupOneUpJC/status/849109929868664833,,,
Lihue,Mo‘ikeha Building rotunda,HI,US ,2017-04-03,NA,50,50,50,55,45,general protestors,Raise awareness for alcohol abuse,0,rally,0,0,0,0,1,1,http://thegardenisland.com/news/local/rally-unites-agencies-for-abuse-awareness/article_27d589dc-cd53-5b94-bf7e-6beb29886680.html,,,,
Nashville,Glencliff United Methodist,TN,US ,2017-04-03,NA,,,,,,general protestors,to support a Tiny Village for homelesss people,0,prayer circle,0,0,0,0,1,1,http://www.newschannel5.com/news/local-news/neighbors-protest-tiny-village-on-church-land,,,,
Nashville,,TN,US ,2017-04-03,NA,11,11,11,12,10,general protestors,to protest a Tiny Village for homelesss people,0,protest,0,0,0,0,1,1,http://wreg.com/2017/04/03/plan-for-homeless-village-in-tennessee-prompts-protest/,http://www.newschannel5.com/news/local-news/neighbors-protest-tiny-village-on-church-land,,,
New Haven,City Hall,CT,US ,2017-04-03,NA,100,100,100,110,90,Fighters For Justice; Black Lives Matter,to demand more say in their education,0,March,0,0,0,0,1,1,http://www.newhavenindependent.org/index.php/archives/entry/students_march_on_city_hall/,,,,
New York,City Hall,NY,US ,2017-04-03,NA,400,400,400,440,360,general protestors,support funding for the arts,1,rally,0,0,0,0,1,1,https://hyperallergic.com/369818/a-rally-at-new-york-city-hall-calls-on-trump-to-fund-the-arts/,,,,
Peoria,Gateway Building Sun,IL  ,US ,2017-04-03,NA,120,120,120,132,108,general protestors,pro-immigrant rally,1,rally,0,0,0,0,1,1,http://peoriapublicradio.org/post/democratic-candidate-governor-visits-immigrant-rights-rally-peoria#stream/0,,,,
Rochester,Office of U.S. Sen. Gary Peters,MI,US ,2017-04-03,NA,40,40,40,44,36,general protestors; United We Dream; North Oakland Indivisible ,against Trump,1,protest,0,0,0,0,1,1,https://patch.com/michigan/rochester/rally-against-trumps-budget-held-rochester,,,,
Syracuse,James Hanley Federal Building on South Clinton Street,NY,US ,2017-04-03,NA,60,60,60,66,54,Black Lives Matter,Justice for victims of police brutality; Black lives matter; against racism,0,rally,0,0,0,0,1,1,http://www.syracuse.com/news/index.ssf/2017/04/syracuse_black_lives_matter_rally_aims_at_continuing_the_call_for_justice.html,,,,
Vancouver,Esther Short Park ,WA,US ,2017-04-03,NA,100,123,150,110,135,general protestors,to support Trump,2,rally,0,0,0,0,1,1,http://www.columbian.com/news/2017/apr/03/8-arrested-during-trump-rally-counter-protest/,http://katu.com/news/local/8-arrests-during-clash-at-pro-trump-rally-in-vancouver,,,
Vancouver,Esther Short Park ,WA,US ,2017-04-03,NA,80,80,80,88,72,Rose City Antifa; general protests,counter-protest at Trump rally; anti-Trump,1,protest,8,0,0,0,0,1,http://katu.com/news/local/8-arrests-during-clash-at-pro-trump-rally-in-vancouver,,,,
Washington,Washington Monument,DC,US ,2017-04-03,NA,24,29,36,26,32,general protestors,Against Egypt's Sisi visiting the US,1,protest,0,0,0,0,1,1,https://twitter.com/thefreedomi/status/848892596302864384,http://www.presstv.ir/Detail/2017/04/03/516540/US-Egypt-Trump-Sisi-human-rights,,,
Albany,Albany Medical Center,NY,US ,2017-04-04,NA,60,60,60,66,54,general protestors,support health care for all,0,rally; march,0,0,0,0,1,1,https://twitter.com/CMCMD18/status/849286827836145664,http://pnhp.org/blog/2013/03/27/rally-in-albany-protect-our-health-not-their-wealth/,,,
Austin,Texas Capitol,TX,US ,2017-04-04,NA,40,58,80,44,72,general protestors,to stop anti-trans SB6; pro-LGBTQ,0,rally,0,0,0,0,1,1,https://twitter.com/i/moments/843900054687617024,https://twitter.com/BiTransAlliance/status/844934376534233088,,,
Brockton,City Hall,MA,US ,2017-04-04,more than 50,50,55,60,55,54,general protestors,pro-immigrant,1,protest,0,0,0,0,1,1,http://brockton.wickedlocal.com/news/20170404/ice-breaker----rally-held-for-brockton-lawmaker-immigrants,,,,
Chicago,Capitol Hill,IL  ,US ,2017-04-04,more than a dozen,12,16,20,13,18,general protestors; Familia Latina Unida,Protesting against the deportation of their parents,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/local/politics/ct-luis-gutierrez-immigration-lawsuit-met-0404-20170404-story.html,,,,
Denver,Capitol Building,CO,US ,2017-04-04,NA,30,35,40,33,36,general protestors,child abuse awareness,0,rally,0,0,0,0,1,1,https://twitter.com/Denver_CASA/status/849380023626854403,http://denver.cbslocal.com/2017/04/04/child-abuse-prevention-month-colorado/,,,
Denver,Senator Bennett's Office,CO,US ,2017-04-04,NA,50,73,100,55,90,general protestors,Against Gorsuch nomination to Supreme Court,1,protest,0,0,0,0,1,1,https://twitter.com/DenverWestword/status/849310253778862080,https://www.facebook.com/fusionmedianetwork/videos/1882346371791332/,,,
Detroit,State of Michigan Building,MI,US ,2017-04-04,NA,500,500,500,550,450,Black Lives Matter; Fight for $15,"Fight Racisim, Raise Pay, Black Lives Matter",1,rally,0,0,0,0,1,1,http://www.detroitnews.com/story/news/local/detroit-city/2017/04/04/workers-rally-raise-minimum-wage/100051452/,http://www.wxyz.com/news/region/detroit/fight-for-15-and-black-lives-matter-protest-outside-cadillac-place,,,
Duluth,,MN,US ,2017-04-04,NA,70,70,70,77,63,general protestors,support equal pay for women,0,rally,0,0,0,0,1,1,https://twitter.com/ZackForCouncil/status/849387823421689864,http://www.duluthnewstribune.com/news/4245576-women-rally-duluth-equal-pay,,,
Greensburg,Seton Hill University,PA,US ,2017-04-04,NA,50,50,50,55,45,Seton Hill University Feminist Collective,support equal pay for women,0,rally,0,0,0,0,1,1,http://triblive.com/local/westmoreland/12139042-74/seton-hill-students-rally-in-greensburg-to-mark-equal-pay-day-for,,,,
Lawrence,Wescoe beach; university,KS,US ,2017-04-04,,,,,,,general protestors,oppose concealed carry on college campuses,1,protest,0,0,0,0,1,1,http://www.kansan.com/news/why-the-state-legislature-refuses-to-repeal-campus-carry/article_1ae40490-245f-11e7-9c71-77e55ff36cd3.html,,,,
Memphis,Mississippi Boulevard Christian Church,TN,US ,2017-04-04,NA,200,200,200,220,180,Black Lives Matter; Fight for $15; general protests,to call attention to  imbalance in economic and social equality on anniversary of MLK's assasination,1,rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/tennessee/articles/2017-04-04/rallies-planned-on-anniversary-of-mlks-killing-in-memphis,,,,
Minneapolis,Capitol,MN,US ,2017-04-04,,,,,,,general protestors,against new oil pipeline,0,rally,0,0,0,0,1,1,http://www.dglobe.com/news/4246888-activists-lawmakers-protest-amendment-advance-minnesota-pipeline-replacement,,,,
New York,City Hall,NY,US ,2017-04-04,NA,70,70,70,77,63,PowerHerNY,support equal pay for women,0,rally,0,0,0,0,1,1,http://fox59.com/2017/04/04/fight-over-gender-wage-gap-continues-on-equal-pay-day/,http://www.bkreader.com/2017/04/equal-pay-day-city-hall-protesters-say-show-nyc-women-money/,http://observer.com/2017/04/rihanna-women-equal-pay-day/,,
New York,Grand Central,NY,US ,2017-04-04,NA,,,,,,Black Lives Matter; Jews for Racial & Economic Justice; general protests,"to demand Mayor de Blasio & NYPD fire Sgt Morris & PO McLaughlin, who killed Ramarley Graham; against police brutality; Black Lives Matter",0,rally; march,,,,,0,1,https://twitter.com/JFREJNYC/status/849404406445559809,,,,
Pittsburgh,Freedom Corner,PA,US ,2017-04-04,NA,,,,,,Black Femme Excellence Co; Women and Girls Foundation,support equal pay for women,0,protest,0,0,0,0,1,1,http://www.pghcitypaper.com/Blogh/archives/2017/04/04/equal-pay-day-rally-highlights-disparities-facing-women-of-color,,,,
San Diego,,CA ,US ,2017-04-04,thousands,1000,1000,1000,1100,900,general protestors; Black Lives Matter,Equal pay; black lives matter,1,rally,0,0,0,0,1,1,http://www.cbs8.com/story/35067681/fight-for-15-black-lives-matter-groups-join-forces-for-rally,http://www.nbcsandiego.com/news/national-international/Thousands-Rally-for-Equal-Pay-Day-418257173.html,http://www.nbcsandiego.com/news/politics/Rallies-Planned-on-Anniversary-of-MLKs-Killing-in-Memphis-418225523.html,,
South Bend,St Joseph Courthouse,IN  ,US ,2017-04-04,NA,30,35,40,33,36,general protestors,support equal pay; gender,1,rally,0,0,0,0,1,1,http://wsbt.com/news/local/equal-pay-day-rally-held-in-south-bend,,,,
Vista,1800 Thibodo Rd,CA,US,2017-04-04,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,
Vista,1800 Thibodo Rd.,CA,US,2017-04-04,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,
Washington,,DC,US ,2017-04-04,NA,150,150,150,165,135,Revolution for Truth,against mandatory vaccines policy,0,rally,0,0,0,0,1,1,http://www.fiercepharma.com/vaccines/activist-parents-take-vaccine-status-quo-d-c-rally,,,,
Zion ,Zion Police Station,IL  ,US ,2017-04-04,over 50,50,50,50,55,45,For Our Children's Undistracted Success,Mothers of children killed by police; death of Justus Howell; against police brutality; against racism,0,rally;march,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/lake-county-news-sun/news/ct-lns-rally-for-zion-man-shot-by-police-st-0405-20170405-story.html,,,,
Austin,Capitol,TX,US ,2017-04-05,close to a thousand,1000,1000,1000,1100,900,Planned Parenthood,In support of Planned Parenthood,1,rally,0,0,0,0,1,1,http://www.statesman.com/news/planned-parenthood-rally-draws-capitol-crowd/hfnAECfWtQPR1IajIN67lI/,http://www.gosanangelo.com/story/news/local/texas/2017/04/05/planned-parenthood-supporters-rally-reproductive-health-access/100089954/,http://tpr.org/post/abortion-rights-advocates-rally-state-capitol-save-planned-parenhood-funding#stream/0,,
Berkeley,UC Berkeley,CA ,US ,2017-04-05,NA,100,100,100,110,90,YWCA; Happy Products,rally for free menstrual products on UCB campus,0,rally,0,0,0,0,1,1,http://www.nbcbayarea.com/news/local/Free-the-Tampon-Rally-Highlights-Need-for-Free-Feminine-Hygiene-Products-on-UC-Berkeley-Campus-418561183.html,,,,
Boston,State House,MA,US ,2017-04-05,dozens,12,23,36,13,32,Massachusetts Immigrant and Refugee Advocacy Coalition,Pro Immigration,1,rally,0,0,0,0,1,1,https://twitter.com/StephensWSJ/status/849754302017044483,http://www.necn.com/news/new-england/Immigrants-Day-Rally-to-Be-Held-in-Boston-418313013.html,,,
Harrisburg,Capitol,PA,US ,2017-04-05,NA,30,30,30,33,27,We Will Recover 2017,demoting agency involved in drug rehab,0,protest; rally,0,0,0,0,1,1,http://www.tribdem.com/news/local-drug-recovery-group-bound-for-harrisburg-to-rally-against/article_2dabb8b4-1a02-11e7-896e-13e53d306938.html,,,,
Indianapolis,,IN  ,US ,2017-04-05,,,,,,,general protestors,increase cigarette tax,0,rally,0,0,0,0,1,1,http://fox59.com/2017/04/05/smokers-on-medicaid-cost-indiana-540m-per-year-health-advocates-rally-for-cigarette-tax-increase/,,,,
Reno ,,NV,US ,2017-04-05,,,,,,,general protestors,In support of man slated for deportation; immigration,1,rally,0,0,0,0,1,1,http://mynews4.com/news/local/rally-in-support-of-mexican-immigrant-scheduled-for-wednesday-afternoon,,,,
Yakima,,WA,US ,2017-04-05,dozens,12,23,36,13,32,general protestors,in support of inclusive policing ordinance,0,rally,0,0,0,0,1,1,http://www.yakimaherald.com/news/local/advocates-planning-lunchtime-protest/article_3eaec880-1a2b-11e7-bc33-3333eeece13d.html,,,,
Annapolis,,MD,US ,2017-04-06,,,,,,,general protestors,against school budget cuts; education,0,protest,,,,,1,1,http://foxbaltimore.com/news/local/supporters-of-schools-bill-to-rally-against-hogan-veto,,,,
Athens,Baker Center,OH,US ,2017-04-06,,,,,,,general protestors,Take Back the Night to protest sexual violence,1,rally;march,0,0,0,0,1,1,http://www.thepostathens.com/article/2017/04/take-back-the-night-2017-athens,,,,
Bakersfield,,CA ,US ,2017-04-06,,,,,,,general protestors,annual crime victims march,0,march,0,0,0,0,1,1,http://www.kerngoldenempire.com/news/local-news/fifth-annual-victims-rights-march/687972262,,,,
Bemidji,,MN,US ,2017-04-06,,20,20,20,22,18,general protestors,Take Back the Night to protest sexual violence,1,march,0,0,0,0,1,1,http://www.bemidjipioneer.com/news/local/4246963-take-back-night-march-advocates-sexual-violence-victims,,,,
Charleston,Statehouse,WV,US ,2017-04-06,,,,,,,general protestors,protesting DHHR cuts; support funding for disabled,0,rally,0,0,0,0,1,1,http://www.wsaz.com/content/news/Protest-against-cuts-to-DHHR-funding-takes-over-WV-Capitol-418572803.html,,,,
Claremont,Claremont McKenna College,CA ,US ,2017-04-06,,250,250,250,275,225,general protestors,against pro-police speaker Heather Mac Donald,1,,0,0,0,0,1,1,https://www.washingtonpost.com/news/grade-point/wp/2017/04/10/she-wanted-to-criticize-black-lives-matter-in-a-college-speech-a-protest-shut-her-down/?utm_term=.c472c636da4c,,,,
Columbus,Statehouse,OH,US ,2017-04-06,about two dozen,24,24,24,26,22,general protestors; Republicans,rally in support of Gorsuch for Supreme Court,2,rally,0,0,0,0,1,1,http://radio.wosu.org/post/republicans-rally-gorsuch-ohio-statehouse,,,,
Des Moines,Capitol Rotunda,IA,US ,2017-04-06,NA,900,900,900,990,810,general protestors,supporters of school choice programs; education,0,rally,0,0,0,0,1,1,http://www.desmoinesregister.com/story/news/politics/2017/04/06/school-choice-advocates-rally-iowa-capitol-but-budget-woes-delay-expansion/100121560/,,,,
Geneva City,City Council Meeting,NY,US ,2017-04-06,,23,23,23,25,21,general protestors,soil contamination,0,protest,0,0,0,0,1,1,http://www.twcnews.com/nys/rochester/news/2017/04/6/protest-geneva-city-council-meeting-over-neighborhood-contamination.html,crowd count from news video,,,
Harrisburg ,Capitol,PA,US ,2017-04-06,,,,,,,general protestors,against agency consolidation,0,rally,0,0,0,0,1,1,http://wskgnews.org/post/activists-and-former-pa-state-secretary-protest-agency-consolidations#stream/0,,,,
Johnson City,Borchuk Plaza,TN,US ,2017-04-06,,,,,,,general protestors; Center for Bio-Ethical Reform,pro-life; against abortion rights,2,rally,,,,,1,1,http://easttennessean.com/2017/04/06/anti-abortion-protest-sparks-student-counter-protest/,,,,
Medford,Jackson County Courthouse,OR,US ,2017-04-06,,,,,,,general protestors,Contract with wildlife servives; support animal rights,0,protest,0,0,0,0,1,1,http://ktvl.com/news/local/activists-protest-jackson-county-contract-with-wildlife-services,,,,
Palm Beach,,FL ,US ,2017-04-06,around 200,200,200,200,220,180,general protestors; Falun Gong,against Trump meeting president of China,1,protest,5,0,0,0,1,1,http://shanghaiist.com/2017/04/07/palm_beach_protesters.php,,,,
Pensacola,downtown,FL ,US ,2017-04-06,a huge crowd,,,,,,street performers,Against new panhandling ordinance,0,protest,0,0,0,0,1,1,http://weartv.com/news/local/street-performers-protest-panhandling-ordinance,,,,
Pleasanton,Pleasanton Unified School District Board meeting,CA ,US ,2017-04-06,more than a dozen,15,17,20,17,18,general protestors,ethnic registration options; education,0,protest,0,0,0,0,1,1,http://www.independentnews.com/news/chinese-parents-protest-new-ethnic-breakdown-on-pleasanton-school-forms/article_ffa10d10-1a34-11e7-8332-e75cb45345ee.html,,,,
Sacramento,Capitol,CA ,US ,2017-04-06,,,,,,,general protestors,Support Gov Brown's transportation bill,0,rally,0,0,0,0,1,1,http://www.publicnewsservice.org/2017-04-06/climate-change-air-quality/governor-holds-rally-for-controversial-transportation-bill/a57155-1,,,,
Salt Lake City,Salt Lake City Airport,UT,US ,2017-04-06,dozens,12,17,24,13,22,Mormon Women for Ethical Government; Salt Lake Indivisible and Action Utah,protest community member's deportation; immigration,1,protest,0,0,0,0,1,1,http://fox13now.com/2017/04/06/dozens-protest-at-slc-airport-as-ice-deports-woman-to-colombia/,,,,
San Angelo,,TX,US ,2017-04-06,,,,,,,Tom Green County Coalition Against Violence,annual crime victims march,0,rally,0,0,0,0,1,1,http://www.conchovalleyhomepage.com/news/local-news/crime-victims-rights-rally-and-baloon-release-at-visitor-center/688341222,,,,
Santa Ana,Orange County’s Hall of Administration,CA ,US ,2017-04-06,,,,,,,general protestors,victims' rights rally,0,rally,0,0,0,0,1,1,http://www.ocregister.com/articles/victims-748649-honor-county.html,,,,
Santa Monica,,CA ,US ,2017-04-06,,,,,,,Santa Monica Democratic Club; Stonewall Democratic club,Transgender day of visibility,1,rally,0,0,0,0,1,1,http://westsidetoday.com/2017/04/06/rally-for-trans-resistance-in-santa-monica-international-transgender-day-of-visibility/,,,,
Springfield,Statehouse,IL  ,US ,2017-04-06,NA,200,200,200,220,180,general protestors,support clean energy,1,rally,0,0,0,0,1,1,http://foxillinois.com/news/local/nearly-200-rally-at-state-capitol-for-clean-energy-04-07-2017,,,,
Sunbury,district admin building,PA,US ,2017-04-06,NA,50,50,50,55,45,general protestors; students,planned school budget cuts; education,0,protest,0,0,0,0,1,1,http://www.dailyitem.com/news/northumberland_county/staff-students-protest-possible-cut-at-shikellamy/article_7ac8f0af-04ca-5a8b-a184-17a6264cd847.html,,,,
Washington,Hart Office Building,DC,US ,2017-04-06,NA,7,7,8,8,7,Democracy Spring,protest Gorsuch's nomination to SCOTUS,1,protest,8,0,0,0,1,1,https://twitter.com/asmith83/status/849978040604135424,https://twitter.com/DemSpring/status/849982580237762562,,,
Boston,Boston Common,MA,US ,2017-04-07,dozens,12,12,12,13,11,general protesters,Youth Action March,1,rally,0,0,0,0,1,1,http://www.thecrimson.com/article/2017/4/10/youth-rally-boston-calling/,,,,
Detroit,,MI,US ,2017-04-07,more than 100,100,109,120,110,108,general protestors,in support of young shooting victim; against gun violence,0,rally; march,0,0,0,0,1,1,http://www.detroitnews.com/story/news/local/detroit-city/2017/04/07/detroit-march-peace-malik/100198922/,,,,
Jacksonville,Hemming Park,FL ,US ,2017-04-07,between 100 hundred and 200,150,150,150,165,135,general protestors,Against US strikes on Syria,1,protest,6,1,0,0,1,1,http://www.foxnews.com/us/2017/04/08/6-arrested-after-protest-against-syria-action-turns-violent.html,,,,
New York,Union Square Park,NY,US ,2017-04-07,more than 300,100,199,320,110,288,ANSWER Coalition,Against US strikes on Syria,1,protest,0,0,0,0,1,1,http://pix11.com/2017/04/07/hundreds-gather-in-union-square-to-protest-u-s-airstrike-on-syria/,,,,
Newark,,NJ,US ,2017-04-07, A handful of Essex County residents,6,6,6,7,5,NJ Against US War on Syria,Against US strikes on Syria,1,,0,0,0,0,1,1,https://patch.com/new-jersey/newarknj/essex-county-anti-war-protesters-rally-against-syria-missile-strike-newark,,,,
San Francisco,Market and Powell,CA ,US ,2017-04-07,dozens,12,17,24,13,22,general protesters,Against US strikes on Syria,1,protest,0,0,0,0,1,1,http://kron4.com/2017/04/07/video-dozens-of-protesters-rally-in-san-francisco-against-us-air-strike-in-syria/,,,,
Tukwila,DHS office,WA,US ,2017-04-07,,30,30,30,33,27,general protestors,against local man's deportation; immigration,1,protest; rally,0,0,0,0,1,1,http://www.king5.com/news/politics/daughters-rally-to-stop-fathers-deportation/429663964,,,,
Allentown,Union Blvd and Airport Road,PA,US ,2017-04-08,many,,,,,,general protestors,Syrians protesting US strike in Syria,1,protest,0,0,0,0,1,1,http://6abc.com/news/many-in-local-syrian-community-decry-us-airstrikes-/1847051/,,,,
Boerne,Herff Road,TX,US ,2017-04-08,a little more than 50,50,55,60,55,54,general protestors,protest against zoning and development,0,protest,0,0,0,0,1,1,http://www.ksat.com/news/dozens-rally-in-boerne-to-protest-development-of-green-space,,,,
Boston,Boston Common,MA,US ,2017-04-08,more than one hundred,100,109,120,110,108,Syrian American Forum,Against US strikes on Syria,1,protest; march,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2017/04/07/military-action-prompts-protest-boston-common/GnMJYJt7MNRolC3sbqZdjL/story.html,,,,
Boston,State House,MA,US ,2017-04-08,more than 100 people,100,100,100,110,90,non-profit groups,Rally to Take Back Health organized to call for single-payer healthcare,1,rally,0,0,0,0,1,1,http://dailyfreepress.com/2017/04/09/residents-rally-for-single-payer-healthcare-system/,,,,
Hagerstown,,MD,US ,2017-04-08,na,125,125,125,138,113,Washington County People's Alliance,for unity and civil rights,1,rally; march,0,0,0,0,1,1,http://www.heraldmailmedia.com/news/local/march-rally-preaches-unity-in-washington-county/article_a90ca497-1263-561c-aecb-5c3e49b04dfe.html,,,,
Hamilton,One Renaissance Center,OH,US ,2017-04-08,,200,200,200,220,180,general protestors,against the deportation of a local woman,1,rally; march,0,0,0,0,1,1,http://www.journal-news.com/news/regional-rally-downtown-hamilton-supports-mother-facing-deportation/H5G8sGvyfmolc1krWG8uNK/,,,,
Hartford,Capitol; Albany Ave & Main St,CT,US ,2017-04-08,,,,,,,Mother's United Against Violence,stop gun violence; remember the dead,0,march; rally,0,0,0,0,1,1,http://www.courant.com/community/hartford/hc-mothers-united-rally-20170408-story.html,,,,
Jacksonville,Duval County Courthouse,FL ,US ,2017-04-08,,200,200,200,220,180,general protestors,demand release of people arrested and beaten by police at earlier antiwar protest,0,protest,0,0,0,0,1,1,http://jacksonville.com/news/public-safety/2017-04-08/about-200-rally-outside-duval-courthouse-support-protesters-arrested,,,,
Minneapolis,,MN,US ,2017-04-08,over 200 people,200,200,200,220,180,Minnesota Peace Action Coalition,Against US strikes on Syria,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/4/9/minneapolis-protest-demands-hands-syria,,,,
New Haven,,CT,US ,2017-04-08,,,,,,,The Institute Library,pro-Planned Parenthood,1,march,0,0,0,0,1,1,http://www.nhregister.com/general-news/20170408/new-havens-nasty-women-march-displays-artwork-raising-money-for-planned-parenthood,,,,
New York,Trump Tower,NY,US ,2017-04-08,hundreds,200,200,200,220,180,TomCat bakery workers,against Trump's immigration policies,1,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/manhattan/nyc-bakery-workers-protest-feds-threats-fire-immigrant-staff-article-1.3034723,,,,
NY,Trinity Park,NY,US ,2017-04-08,A few more than 100 people,100,100,100,110,90,Change Through Action ,show solidarity within the community in opposition to the spread of hate and prejudice,1,rally,0,0,0,0,1,1,http://www.pressrepublican.com/news/local_news/resist-hate-rally-promotes-inclusiveness/article_6196a630-fbf9-5f2e-a9a3-cb47d86d320d.html,,,,
Philadephia,Center City,PA,US ,2017-04-08,at least 20,20,20,20,22,18,Philadelphia's International Action Center; Workers World Party,Against US strikes on Syria,1,protest,0,0,0,0,1,1,http://www.phillyvoice.com/protesters-against-us-airstrikes-syria-gather-center-city/,,,,
Phoenix,Capitol,AZ,US ,2017-04-08,,,,,,,March of Dimes,"""March for Babies""; health",0,march,0,0,0,0,1,1,http://www.azfamily.com/story/35103977/phoenix-march-for-babies-represents-hope-remembrance-and-celebration,,,,
San Francisco,Muni stops,CA ,US ,2017-04-08,handful,10,10,10,11,9,general protestors,protest police citations of a homeless man eating pizza at the bus,0,protest,0,0,0,0,1,1,http://www.sfgate.com/news/article/Daylong-pizza-protest-continues-at-Dolores-Park-11059261.php,,,,
San Francisco,Women's Building,CA ,US ,2017-04-08,several hundred,500,500,500,550,450,San Francisco Women Against Rape,to protest rape and sexual violence,0,protest; march,0,0,0,0,0,1,https://missionlocal.org/2017/04/hundreds-of-sf-protesters-march-against-rape/,,,,
Stockton,,NJ,US ,2017-04-08,large crowd,,,,,,HALT (Homeowners Against Land Taking) PennEast,opposition to a gas pipeline between NJ and Penn,0,rally,0,0,0,0,1,1,https://www.tapinto.net/towns/franklin-township/articles/homeowner-and-citizen-groups-hold-patriotic-rally,,,,
Wilmington,Portia Hines Park,NC,US ,2017-04-08,hundreds,200,200,200,220,180,Support the Port,for peace,0,rally,0,0,0,0,1,1,http://www.wect.com/story/35103657/peace-rally-promotes-community,,,,
Albuquerque ,Albuquerque Social Club,NM,US ,2017-04-09,,26,26,26,29,23,general protestor,rallying against graffiti and threats to a gay club; pro-LGBTQ,0,rally,0,0,0,0,1,1,http://www.kob.com/albuquerque-news/rally-held-to-support-club-after-graffiti-shows-up-on-walls/4449715/,http://nmpoliticalreport.com/262638/supporters-rally-for-lgbtq-friendly-club/,,,
