CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc
Mansfield,downtown,OH,US,2017-04-22,,,,,,,general protestors,March for Science,1,demonstration,,,,,1,1,http://www.richlandsource.com/news/mansfield-march-for-science-engages-children-with-hands-on-activities/article_e5adebd2-2789-11e7-8e25-67837ec87643.html,,,,
Marquette,from the Berry Events Center to the post office on Washington Street,MI,US,2017-04-22,over 250,250,250,250,275,225,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.miningjournal.net/news/front-page-news/2017/04/marching%E2%80%88for-science/,,,,
Marshfield,march from Everett Roehl Marshfield Public Library to Oak Avenue Community Center,WI,US,2017-04-22,na,425,425,425,468,383,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.wsaw.com/content/news/Marchers-around-the-world-join-science-rallies-420155683.html,,,,
Martinsville,"down Oakdale Street, up East Church Street and Starling Avenue and back to the museum",VA,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.martinsvillebulletin.com/news/martinsville-residents-celebrate-science-nature-during-earth-day/article_c2c0af3c-27a8-11e7-8a5f-17b51910ebbe.html,,,,
Maryville,Memorial Bell Tower on the Northwest Missouri State University.,MO,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,,,,,1,1,http://www.columbiamissourian.com/news/local/mid-missourians-march-down-eighth-street-in-support-of-science/article_733810f0-279d-11e7-8cd0-0755d33654f4.html,http://www.maryvilledailyforum.com/news/article_200e9d6c-236b-11e7-9079-0bfeb7be9a7b.html,,,
Meadville,Diamond Park,PA,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,,,,,1,1,http://sites.allegheny.edu/news/2017/04/20/meadville-to-hold-march-for-science/,,,,
Memphis,Whitehaven,TN,US,2017-04-22,more than 200,200,200,200,220,180,general protestors,Protest against gun violence,1,protest,0,0,0,0,1,1,http://www.localmemphis.com/news/local-news/silence-the-violence/697428379,,,,
Memphis,,TN,US,2017-04-22,dozens,24,24,24,26,22,general protestors,March for Science,1,rally,0,0,0,0,0,1,http://www.localmemphis.com/news/local-news/march-for-science/697438429,,,,
Miami,Museum Park; marching along Biscayne Boulevard to the Government Center in downtown,FL,US,2017-04-22,more than 1000,1000,1000,1000,1100,900,general protestors,March for Science,1,,,,,,1,1,http://www.miamiherald.com/news/local/community/miami-dade/article146173374.html,,,,
Midland,Carpenter School; marching through Main Street to the Tridge,MI,US,2017-04-22,around 500,500,500,500,550,450,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.mlive.com/news/saginaw/index.ssf/2017/04/hundreds_march_for_science_in.html,,,,
