City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,
Wilmington,,DE,US,2018-04-02,video: 10-15,10,,15,,,The Coalition to Keep Bus Service on Rodney Square,Protesting removal of bus stops,0,protest,0,0,0,0,1,1,https://www.delawareonline.com/story/news/local/2018/04/02/rodney-square-protesters-crash-buccini-pollin-press-conferencei/475578002/,,,,,
Austin,University of Texas,TX,US,2018-04-03,,,,,,,Student Government's Mental Health Agency,Protesting stigma surrounding mental health issues,0,protest,0,0,0,0,1,1,http://dailytexanonline.com/2018/04/03/rally-for-reality-erasing-the-stigmas-of-mental-health-through-open-dialogue,,,,,
Boston,Israeli Consulate,MA,US,2018-04-03,,,,,,,IfNotNow,Protesting Israel's use of force against Palestinians,0,protest,8,0,0,0,1,1,https://www.bostonglobe.com/metro/2018/04/03/protesters-chained-themselves-door-israeli-consulate-boston/per72r8y6orivO8JbGJWyK/story.html,,,,,
Broken Arrow,Downtown,OK,US,2018-04-03,,,,,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,http://ktul.com/news/local/broken-arrow-teachers-rally-on-streets,,,,,
Chicopee,City Hall,MA,US,2018-04-03,more than 300,300,,300,,,City workers,Labor protest,0,protest,0,0,0,0,1,1,http://www.wwlp.com/news/local-news/chicopee-city-workers-rally-outside-city-hall/1099599196,http://www.masslive.com/news/index.ssf/2018/04/chicopee_employees_join_forces.html,,,,
Columbia,Statehouse,SC,US,2018-04-03,hundreds,200,,200,,,general protestors,Rallying for renewable energy,1,rally,0,0,0,0,1,1,http://www.wyff4.com/article/hundreds-gather-at-the-statehouse-to-rally-for-the-future-of-solar-energy/19676077,,,,,
Dallas,Outside ICE facility,TX,US,2018-04-03,dozens,24,,24,,,general protestors,Protesting planned deportation of local man,1,protest,0,0,0,0,1,1,https://www.dallasnews.com/news/immigration/2018/04/03/dozens-protest-scheduled-deportation-salvadoran-arrested-jail-visit,,,,,
Erie,Crime Victim Center,PA,US,2018-04-03,FB: 23,23,,23,,,general protestors,Protesting child abuse,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/153184405383887/,,,,,
Hartford,Legislative Office Building,CT,US,2018-04-03,FB: 27,27,,27,,,general protestors,Protesting prison-to-deportation pipeline; rallying for immigrats,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/205039733596898/,,,,,
Indian Springs,U.S. Air Force Base,NV,US,2018-04-03,NA,12,,12,,,general protestors,Protesting military drones,1,protest,4,0,0,0,1,1,http://www.lasvegasnow.com/news/4-arrested-in-protest-at-us-air-force-drone-base-near-vegas/1098556135,,,,,
Jacksonville,Friendship Fountain,FL,US,2018-04-03,,,,,,,PETA,Protesting treatment of circus animals,0,Public nudity; protest,0,0,0,0,1,1,https://www.peta.org/media/news-releases/nude-tiger-roar-protest-circuss-opening-day-2/,,,,,
