CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Purdue,CVS on Northwestern Avenue,Tippecanoe,IN,US,2019-11-06,,,,,,,general protesters,against denial of medical sale to a man presenting legitimate identification documents,0,protest,0,0,0,0,1,1,https://www.purdueexponent.org/city_state/collection_8ba5c844-00ee-11ea-8676-0bdd50802aca.html,,,,
San Francisco,in front of Google office,San Francisco,CA,US,2019-11-06,about 50,50,,50,,,members of Mobile Workers Alliance,against Uber profit at expense of drivers pay,0,protest,0,0,0,0,1,1,https://www.cnet.com/news/uber-sees-sinking-stock-and-driver-protests-as-lockup-period-ends/,,,,
San Francisco,,San Francisco,CA,US,2019-11-06,,,,,,,general protesters,against Uber's wealtht disparity between drivers and company's investors and employees,0,protest,0,0,0,0,1,1,https://www.cnet.com/news/uber-sees-sinking-stock-and-driver-protests-as-lockup-period-ends/,,,,
San Francisco,,San Francisco,CA,US,2019-11-06,,,,,,,general protetsters,against AB5; for right to be independent contractors,0,protest,0,0,0,0,1,1,https://www.sfchronicle.com/business/article/Truckers-protest-California-gig-work-law-that-14815249.php,,,,
San Francisco,,San Francisco ,CA,US,2019-11-06,,,,,,,general protesters,against putting principal on administrative leave,0,rally,,,,,1,1,https://www.sfexaminer.com/news/faculty-fear-investigation-could-be-retaliation-for-social-activism-push-for-better-services/,Future.,,,
San Mateo,,San Mateo,CA,US,2019-11-06,,,,,,,general protesters,against AB5; for right to be independent contractors,0,protest,0,0,0,0,1,1,https://www.smdailyjournal.com/news/local/truck-drivers-protest-against-california-assembly-bill/image_ee8828ce-00fa-11ea-97dd-6b2350272099.html,,,,
Satelite Beach,City Hall,Brevard,FL,US,2019-11-06,,,,,,,general protesters,raising awareness to protect turtles; against new hotel construction,0,protest,0,0,0,0,1,1,https://eu.floridatoday.com/story/news/2019/11/04/save-the-turtles-rally-wednesday-to-oppose-satellite-beach-hotel-condominium-project/4154094002/,,,,
Seattle,Pioneer Square,King,WA,US,2019-11-06,about 10,10,,10,,,350 Seattle; Stand.Earth ,against plan for new cruise ship terminal; against climate change,0,protest,0,0,0,0,1,1,https://www.seattletimes.com/business/activists-protest-plan-for-new-pioneer-square-cruise-ship-terminal/,,,,
Suffolk,Downtown Transfer Center,Suffolk City,VA,US,2019-11-06,,,,,,,Virginia Organizing,for better public bus hours and conditions,0,protest,0,0,0,0,1,1,https://www.13newsnow.com/article/news/local/mycity/suffolk/organization-upset-over-suffolk-bus-service-times/291-2198bbf9-a31f-4389-b063-f774ec9d9083,,,,
Tallahassee,Florida State: Sigma Lambda Beta chapter meeting ,Leon,FL,US,2019-11-06,over 30,30,,30,,,university students,protest sexual assault,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/11/12/florida-state-students-sit-sigma-lambda-beta-protest-sexual-assault,,,,
Washington,WMATA Headquarters,DC,DC,US,2019-11-06,,,,,,,general protesters,against WMATA's failed path tooward privatization and poor working conditions,0,rally,,,,,1,1,https://www.wusa9.com/article/traffic/mission-metro/metro-bus-drivers-rally-outside-wmata-headquarters/65-20f22050-b6d5-490e-9366-d27691259c57,,,,
West Lafayette,outside Mackey Arena; outside the CVS Pharmacy at 720 Northwestern Ave,Tippecanoe,IN,US,2019-11-06,about 40,40,,40,,,students,against bias incident at CVS,0,protest,0,0,0,0,1,1,https://www.jconline.com/story/news/2019/11/07/purdue-students-demand-mitch-daniels-denounce-cvs-incident-purdue-president-stays-out/2514798001/,,,,
Athens,University of Georgia,Athens-Clarke,GA,US,2019-11-07,,,,,,,Created Equal ,anti-abortion,0,protest,0,0,0,0,1,1,https://www.redandblack.com/uganews/anti-abortion-group-s-graphic-images-met-with-counter-protest/article_1ab5a09e-01c2-11ea-9597-db2a1341dc6d.html,,,,
Athens,University of Georgia,Athens-Clarke,GA,US,2019-11-07,,,,,,,general protesters,for abortion rights,0,protest,0,0,0,0,1,1,https://www.redandblack.com/uganews/anti-abortion-group-s-graphic-images-met-with-counter-protest/article_1ab5a09e-01c2-11ea-9597-db2a1341dc6d.html,,,,
Cheney,Eastern Washington University,Spokane,WA,US,2019-11-07,,,,,,,general protesters,anti-LGBTQ; anti-abortion,0,protest,1,0,0,0,1,1,https://www.krem.com/article/news/education/ewu/protest-at-ewu-nov-7/293-9e913cf9-fff8-4dc9-a818-ae9a69b683c5,,,,
Cheney,Eastern Washington University,Spokane,WA,US,2019-11-07,hundreds; a thousand to 1500,200,,1500,,,general protesters,pro-inclusion; pro-choice,0,counter-protest,1,0,0,0,1,1,https://www.krem.com/article/news/education/ewu/protest-at-ewu-nov-7/293-9e913cf9-fff8-4dc9-a818-ae9a69b683c5,,,,
Ellensburg,campus of Central Washington University,Kittitas,WA,US,2019-11-07,,,,,,,students ,against restrictive university regulations on interviewing university employees; pro-media,0,protest,,,,,1,1,https://www.facebook.com/events/970816136591854/,,,,
Ellensburg,Central Washington University,Kittitas,WA,US,2019-11-07,more than 100,100,,100,,,general protesters,for free press and transparency from administrators,0,protest,0,0,0,0,1,1,https://www.yakimaherald.com/news/education/cwu-journalists-protest-school-s-interview-requirements/article_24a18e11-0c3b-5c9c-9a5c-8b0bc71f8f17.html,,,,
Harvey,Helen Cox High School,Jefferson Parish,LA,US,2019-11-07,a couple dozen,24,,24,,,general protesters,against dress code,0,walk out,1,0,0,0,1,1,https://www.wdsu.com/article/1-arrested-after-helen-cox-students-walk-out-protest-dress-code-violation/29729716,,,,
Madison,State Capitol,Dane,WI,US,2019-11-07,,,,,,,general protesters,in support of gun regulation laws; against gun violence,1,rally,0,0,0,0,1,1,http://www.hngnews.com/cambridge_deerfield/article_02d20392-7f35-57b6-bf84-8affe8d4b281.html,,,,
New York,outside Yale Club of NY; 50 Vanderbilt Avenue,New York,NY,US,2019-11-07,,,,,,,Rise and Resist,protest presence of Bannon and Erik Prince,1,protest,,,,,1,1,https://www.facebook.com/events/453428205298324/,,,event hosted by New York Young Republican Club,
Newton,Grace Community Church,Harvey,KS,US,2019-11-07,,,,,,,general protesters,pro-life against new pro-choice court ruling ,2,rally,0,0,0,0,1,1,https://www.wellingtondailynews.com/news/20191105/anti-abortion-advocates-to-rally-in-newton-for-amendment-to-kansas-constitution,,,,
Oakland,,Alameda,CA,US,2019-11-07,count pic,31,,31,,,Youth vs Apocalypse,"against dirty coal & fossil fuel companies targeting Black, Indigenous, and communities of color",0,protest,,,,,1,1,https://twitter.com/DevinMurphyDTM/status/1192610174562783232,,,,
Opelousas,,St. Landry,LA,US,2019-11-07,,,,,,,general protesters,against prolonged administrative leave of principal; support increase in employees' stipend,0,silent protest,0,0,0,0,1,1,https://www.dailyworld.com/story/news/2019/11/10/protesters-park-vista-principal-st-landry-parish-school-board/2544632001/,,,,
Pittsburgh,Carnegie Mellon University,Allegheny,PA,US,2019-11-07,na,6,,6,,,general protesters,against President Donald Trump and Elaine Chao's keynote address,1,protest,0,0,0,0,1,1,https://www.pghcitypaper.com/pittsburgh/cmu-students-protest-us-secretary-of-transportation-elaine-chaos-appearance-at-traffic21-event/Content?oid=16139107,,,,
Willmar,Kennedy Elementary School,Kandiyohi,MN,US,2019-11-07,,,,,,,general protesters,against speaker Usama Dakdok ,0,protest,,,,,1,1,https://www.mprnews.org/story/2019/11/07/preaching-hate-for-islam-speaker-arrives-in-a-divided-willmar,Future.,,,
Atlanta,Georgia World Congress Center,Fulton,GA,US,2019-11-08,more than 200,200,,200,,,general protesters,against President Donald Trump ,1,protest,0,0,0,0,1,1,https://www.ajc.com/news/local/demonstrators-take-atlanta-streets-friday-protest-trump-visit/WrXdlLJATfFV139dF4aCDK/,,,,
Atlanta,Georgia World Congress Center,Fulton,GA,US,2019-11-08,,,,,,,general protesters,for President Donald Trump,2,counter-protest,0,0,0,0,1,1,https://www.ajc.com/news/local/demonstrators-take-atlanta-streets-friday-protest-trump-visit/WrXdlLJATfFV139dF4aCDK/,,,,
Austin,University of Texas,Travis,TX,US,2019-11-08,around 20,20,,20,,,general protesters,for the firing of professor found guilty of sexual misconduct,0,protest,0,0,0,0,1,1,http://www.dailytexanonline.com/2019/11/08/students-gather-again-at-tower-to-protest-professors-found-guilty-of-sexual-misconduct-by,,,,
Birmingham,University of Alabama,Jefferson,AL,US,2019-11-08,,,,,,,Student Civil Justice Coalition,Against the impending visit of President Donald Trump,1,sit-in,0,0,0,0,1,1,https://www.al.com/news/2019/11/i-hate-trump-more-than-auburn-ua-students-stage-protest-on-campus-ahead-of-presidents-visit.html,,,,
Charlotte,,Mecklenburg,NC,US,2019-11-08,an estimated 1200 ,1200,,1200,,,general protesters,against climate change inaction,1,rally,0,0,0,0,1,1,https://apnews.com/d7169a24299b4861901f5558d736c972,,,,
Denver,City Hall,Denver,CO,US,2019-11-08,dozens,24,,24,,,general protesters,in support of child immigrants; support DACA,1,protest,0,0,0,0,1,1,https://www.coloradoindependent.com/2019/11/08/colorado-daca-dreamers-supreme-court/,,,,
East Lansing,Michigan State University,Ingham,MI,US,2019-11-08,,,,,,,DreaMSU,"for rights for immigrant, undocumented and DACA status students at MSU",1,rally,0,0,0,0,1,1,https://statenews.com/article/2019/11/dreams-rally,,,,
Evanston,Evanston Township High School,Cook,IL,US,2019-11-08,,,,,,,Advancement for the Undocumented Community at Northwestern ,in support of the Deferred Action for Childhood Arrivals program ,1,march,0,0,0,0,1,1,https://dailynorthwestern.com/2019/11/11/campus/northwestern-eths-students-march-for-daca-in-solidarity-with-undocumented-immigrants/,,,,
Jeannette,Jeannette Hemp Warehouse,Westmoreland,PA,US,2019-11-08,,,,,,,general protesters,against lack of pay,0,protest,0,0,0,0,1,1,https://triblive.com/local/westmoreland/workers-at-jeannette-hemp-warehouse-protest-lack-of-pay/,,,,
Joshua Tree,,San Bernardino,CA,US,2019-11-08,count pic,3,,3,,,general protestors,against climate inaction,1,protest,,,,,,1,https://twitter.com/emilycohenarts/status/1192917399047045121,,,,
Lancaster,Franklin & Marshall College,Lancaster,PA,US,2019-11-08,,,,,,,general protesters,against 5 students who allegedly wore racist Halloween costumes,0,rally,0,0,0,0,1,1,https://www.pennlive.com/news/2019/11/student-protest-at-franklin-marshall-urges-college-to-take-action-against-student-athletes-racist-halloween-costumes.html,,,,
Louisville,,Jefferson,KY,US,2019-11-08,,,,,,,general protesters,for health coverage against deadly diseases caused by drinking water at military base in NC,0,protest,0,0,0,0,1,1,https://www.wymt.com/content/news/Veterans-protest-at-Louisville-VA-over-contaminated-water-at-Camp-Lejeune-564707332.html,,,,
Manhattan,Liberty Park,New York,NY,US,2019-11-08,count pic,22,,30,,,general protestors,demand more police protection in their neighborhood,0,protest,0,0,0,0,1,1,https://qns.com/story/2019/11/12/ozone-park-community-leaders-protest-for-equitable-police-presence-outreach/,,,,
Melbourne,Central Middle School,Brevard,FL,US,2019-11-08,nearly 300,300,,300,,,general protesters,against bullying,0,protest; march,0,0,0,0,1,1,https://www.floridatoday.com/story/news/education/2019/11/08/bullies-beware-central-middle-school-students-march-against-bullying/2528264001/,,,,
Mesquite,Mesquite City Hall,Dallas,TX,US,2019-11-08,count video,57,,60,,,general protestors,against BLM plans to drill in water basins,1,protest,0,0,0,0,1,1,https://www.sierraclub.org/press-releases/2019/11/city-mesquite-southern-nevada-communities-host-press-conference-oppose-blm,https://z-m-www.facebook.com/234623810499473/videos/2377299292528805/,https://www.utahchannel3.com/2019/11/11/mesquite-officials-conservationists-protest-blm-oil-and-gas-lease-sale/,,
Ajo,Organ Pipe Cactus National Monument,Pima,AZ,US,2019-11-09,upwards of 500,500,,500,,,general protesters,against construction of border-wall; for protection of sacred Native American lands,1,protest,0,0,0,0,1,1,https://www.borderreport.com/hot-topics/the-border-wall/peaceful-protest-by-hundreds-in-southwest-arizona-against-desecration-of-tribal-lands-by-border-wall-construction/ https://www.borderreport.com/hot-topics/the-border-wall/protest-planned-in-arizona-to-stop-border-wall-construction-at-organ-pipe-cactus-national-monument/,,,,
Ajo,Organ Pipe Cactus National Monument,Pima,AZ,US,2019-11-09,,,,,,,The Center for Biological Diversity,against building of a border wall in the national park,1,protest,,,,,1,1,https://www.borderreport.com/hot-topics/the-border-wall/protest-planned-in-arizona-to-stop-border-wall-construction-at-organ-pipe-cactus-national-monument/,Future.,,,
Bloomington,,Monroe,IN,US,2019-11-09,,,,,,,Purple Shirt Brigade,against owners' of Schooner Creek Farm connection with a white nationalist group ,0,protest,5,0,0,0,1,1,https://www.idsnews.com/article/2019/11/purple-shirt-brigade-protesters-removed-from-bloomington-farmers-market-saturday,5 protesters given citations and removed,,,
Cleveland,Shaker Square,Cuyahoga,OH,US,2019-11-09,rougly three-dozen,36,,36,,,general protesters,against closing of Shaker Boulevard,0,protest,0,0,0,0,1,1,https://www.cleveland.com/news/2019/11/merchants-and-residents-protest-proposed-closure-of-shaker-boulevard-in-shaker-square.html,,,,
Cleveland,Shaker Square,Cuyahoga,OH,US,2019-11-09,,,,,,,general protesters,supporting plan for Shaker Boulevard,0,counter-protest,0,0,0,0,1,1,https://www.cleveland.com/news/2019/11/merchants-and-residents-protest-proposed-closure-of-shaker-boulevard-in-shaker-square.html,,,,
Danville,,Danville City,VA,US,2019-11-09,about 30,30,,30,,,The Danville Chapter of Virginia Organizing,against poor treatment of immigrants,1,protest,0,0,0,0,1,1,https://www.godanriver.com/news/local/ahead-of-supreme-court-case-on-immigration-supporters-gather-in/article_34400c96-9586-5f2b-82c8-6f3981d8a859.html,,,,
Ferguson,,St. Louis,MO,US,2019-11-09,,,,,,,general protesters,anti-gun violence,1,protest; march,0,0,0,0,1,1,https://www.wwlp.com/news/crime/gunman-threatens-teens-during-anti-gun-violence-march/,,,,
Fort Myers,,Lee,FL,US,2019-11-09,,,,,,,general protesters,against annual bike night location change,0,protest,0,0,0,0,1,1,https://www.fox4now.com/news/local-news/bike-night-location-change-fires-up-protesters-in-downtown-fort-myers,,,,
Glen,Living Shores Aquarium ,Carroll,NH,US,2019-11-09,about 10,10,,10,,,The New Hampshire Animal Rights League; Until Lolita is Home,against the opening of the aquarium and the poor treatment of animals,0,protest,0,0,0,0,1,1,https://www.unionleader.com/news/animals/animal-rights-protesters-target-living-shores-aquarium-at-story-land/article_6076f8d9-32bc-5920-9a15-6d0f274feb8d.html,,,,
Millwood,Millwood Lumber,Westchester,NY,US,2019-11-09,,,,,,,Teamsters Local 456,support fair wages and benefits for licensed drivers and yardmen of the company,0,rally,0,0,0,0,1,1,http://westchester.news12.com/story/41297618/union-workers-protest-at-millwood-lumber-for-fair-wages-benefits,,,,
San Francisco,Embarcadero Station,San Francisco,CA,US,2019-11-09,about three dozen,36,,36,,,general protestors,protesting man's arrest for eating a sandwich on the train,1,eat-in,0,0,0,0,1,1,https://sfist.com/2019/11/10/bart-riders-stage-eat-in-to-protest-man-detained-for-consuming-sandwich-at-pleasant-hill-station/,https://thegrio.com/2019/11/10/bart-riders-protest-black-man-eating-outside/,https://sfist.com/2019/11/13/mcmuffin-eating-protest-planned-saturday-at-pleasant-hill-bart-station/,"tags are ""Mc-Muffin eating protest""",
San Francisco,Embarcadero Station,San Francisco,CA,US,2019-11-09,more than 30,30,,30,,,general protesters,against a BART police stop of an African American man eating on a train platform ,0,protest,0,0,0,0,1,1,https://www.sfexaminer.com/news/hungry-for-change-citizens-eat-on-bart-platform-to-protest-over-policing-a-racial-targeting/,,,,
San Francisco,,San Francisco ,CA,US,2019-11-09,,,,,,,general protesters,for school funding and Proposition 13 reform,0,march,0,0,0,0,1,1,http://www.mercurynews.com/bay-area-students-and-teachers-rally-for-school-funding-and-prop-13-reform,,,,
San Jose,,Santa Clara,CA,US,2019-11-09,close to a hundred,100,,100,,,general protesters,for school funding and Proposition 13 reform,0,march,0,0,0,0,1,1,http://www.mercurynews.com/bay-area-students-and-teachers-rally-for-school-funding-and-prop-13-reform,,,,
Shreveport,Caddo Parish Courthouse,Caddo Parish,LA,US,2019-11-09,,,,,,,general protesters,against climate change inaction,1,rally,,,,,1,1,https://www.shreveporttimes.com/story/news/2019/11/08/caddo-magnet-students-lead-shreveport-climate-justice-rally/4173402002/,Future.,,,
Topeka,Statehouse,Shawnee,KS,US,2019-11-09,,,,,,,general protesters,against failings of state-run foster care system ,0,protest,,,,,1,1,https://www.dodgeglobe.com/news/20191101/topeka-father-plans-statehouse-rally-on-foster-care-failings,Future.,,,
Tuscaloosa,,Tuscaloosa,AL,US,2019-11-09,about 40,40,,40,,,general protesters,support impeachment of President Donald Trump,1,protest,1,0,0,0,1,1,https://www.al.com/news/tuscaloosa/2019/11/trump-balloon-protest-over-after-man-stabs-balloon-arrest-made.html,arrest of a counter-protester,,,
Washington,Washington Monument,DC,DC,US,2019-11-09,about 100,100,,100,,,general protesters,support gun rights; for President Donald Trump,2,rally,0,0,0,0,1,1,https://www.reuters.com/article/us-usa-militias-rally-idUSKBN1XJ0K3,,,,
West Hartford,Farmington and Main St,Hartford,CT,US,2019-11-09,count pic,5,,5,,,Indivisible CT,pro-impeachment,1,protest,,,,,1,1,Facebook,,,weekly event,
Albuquerque ,Bernalillo County District Courthouse,Bernalillo,NM,US,2019-11-10,hundreds,200,,200,,,general protesters,against release of man before trial ,0,protest,0,0,0,0,1,1,https://www.koat.com/article/hundreds-protest-in-downtown-albuquerque/29752053,,,,
Bernalillo,Bernalillo County District Courthouse,Bernalillo,NM,US,2019-11-10,,,,,,,general protesters,against release of Fabian Gonzales from jail,0,rally,,,,,1,1,https://www.koat.com/article/stand-up-against-new-mexico-judges-rally-planned-for-sunday/29731957,Future.,,,
Los Angeles,UCLA; inside Moore Hall,Los Angeles,CA,US,2019-11-10,na,1,,1,,,general protestor,protest Donald Trump Jr book talk; anti-Facism,1,protest,0,0,0,0,0,1,https://www.washingtonpost.com/nation/2019/11/11/donald-trump-jr-book-talk-ucla-derailed-by-far-right-protesters/,,,,
Los Angeles,UCLA; inside Moore Hall,Los Angeles,CA,US,2019-11-10,,,,,,,general protestors,"angry Q&A was cancelled; pro-""America first""",2,protest,0,0,0,0,0,1,https://www.theguardian.com/us-news/2019/nov/11/donald-trump-jr-walks-out-of-triggered-book-launch-after-heckling-from-supporters,https://www.washingtonpost.com/nation/2019/11/11/donald-trump-jr-book-talk-ucla-derailed-by-far-right-protesters/,,,
Los Angeles,UCLA; outside Moore Hall,Los Angeles,CA,US,2019-11-10,a few dozen; no more than 35,35,,36,,,Los Angeles chapter of Refuse Fascism,protest Donald Trump Jr book talk; anti-Facism,1,protest,0,0,0,0,1,1,https://www.latimes.com/california/story/2019-11-10/protests-donald-trump-jr-ucla-reagan-library,https://www.theguardian.com/us-news/2019/nov/11/donald-trump-jr-walks-out-of-triggered-book-launch-after-heckling-from-supporters,,,
Portland,,Multnomah,OR,US,2019-11-10,,,,,,,general protesters,in support of U.S. veterans,2,demonstration,0,1,0,0,1,1,https://www.oregonlive.com/news/2019/11/scuffle-between-woman-and-flag-waving-right-wing-demonstrators-breaks-out-in-northeast-portland.html,"some minor injuries reported, number unknown",,,
Athens,University of Georgia ,Clarke ,GA,US,2019-11-11,NA,,,,,,Center for Bio-Ethical Reform,anti-abortion ,2,protest,0,0,0,0,1,1,https://www.redandblack.com/uganews/uga-students-voice-concerns-about-anti-abortion-demonstration-to-sga/article_e0ef3146-0634-11ea-8422-576356dfc065.html,https://www.redandblack.com/uganews/anti-abortion-protestors-show-graphic-display-at-tate-plaza-drive/article_822c5990-04f4-11ea-a9ec-f7def4ba108d.html,,,
Boston,Boston University,Suffolk,MA,US,2019-11-11,NA,133,,133,,,university students,anti Ben Shapiro ,1,rally,0,0,0,0,1,1,https://dailyfreepress.com/2019/11/13/group-urges-black-bu-students-to-protest-shapiro-visit/,,,,
Cambridge,Memorial Church,Middlesex,MA,US,2019-11-11,about 250,250,,250,,,"Harvard students, faculty, staff",Defend DACA,1,rally,0,0,0,0,1,1,https://news.harvard.edu/gazette/story/2019/11/at-harvard-hundreds-rally-to-defend-daca/?utm_source=newsletter&utm_medium=email&utm_campaign=harvard_alumni_gazette&utm_content=haa_ade_all_alumni_2019-11-21,,,,
Charleston,Outside the Charleston County School District's main office,Charleston,SC,US,2019-11-11,more than 75,75,,75,,,general protesters,against proposed changes in school district,0,protest,0,0,0,0,1,1,https://www.postandcourier.com/news/despite-protests-charleston-county-school-board-moves-ahead-with-several/article_0efd914c-048a-11ea-b7f0-eb3b8aabf955.html,,,,
Charleston,,Charleston,SC,US,2019-11-11,,,,,,,local parents; advocates,oppose elementary school closure,0,protest,0,0,0,0,1,1,https://www.postandcourier.com/news/rural-charleston-school-advocates-plan-protest-over-proposed-elementary-school/article_2701b770-07c1-11ea-a40c-fb89b3072075.html,,,,
Edina,Minnesota Republican Party Headquarters,Hennepin,MN,US,2019-11-11,NA,50,,50,,,Anti-War Committee,"protest GOP's racism, xenophobia, and anti-Muslim bigotry",1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/11/11/minnesotans-protest-gops-racism-xenophobia-and-anti-muslim-bigotry,,,,
New York,Madison Square Park,New York,NY,US,2019-11-11,more than 100,100,,100,,,veterans,"against President Trump, against fascism, for impeachment",1,protest,0,0,0,0,1,1,https://pix11.com/2019/11/11/president-trump-kicks-off-veterans-day-tribute-in-nyc-as-more-than-100-protest-nearby/,https://twitter.com/ScooterCasterNY/status/1193937956920332297,,,
North Scottsdale,Costco,Maricopa,AZ,US,2019-11-11,about a dozen,12,,12,,,general protestors,protest Costco holding a Trump book signing,1,protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/scottsdale/2019/11/11/donald-trump-jr-book-signing-sees-crowds-fill-scottsdale-costco-parking-lot/2569233001/,,,,
North Scottsdale,Costco,Maricopa,AZ,US,2019-11-11,,,,,,,general protestors,support Trump,2,counter-protest,0,0,0,0,0,0,https://www.azcentral.com/story/news/local/scottsdale/2019/11/11/donald-trump-jr-book-signing-sees-crowds-fill-scottsdale-costco-parking-lot/2569233001/,https://www.phoenixnewtimes.com/news/donald-trump-jr-book-signing-scottsdale-arizona-costco-policy-11392071,,"several hundred Trump supporters were there for the book signing, but only some were there to protest ",
San Francisco,Portsmouth Square,San Francisco ,CA,US,2019-11-11,na,3,,3,,,general protesters,against violence toward Chinese seniors after a robbery in Chinatown,0,demonstration; silent protest,0,0,0,0,1,1,https://www.sfexaminer.com/news/chinatown-robbery-prompts-silent-protest-condemning-violence-against-seniors/,,,,
Shawnee Mission,Shawnee Mission school district headquarters,Johnson,KS,US,2019-11-11,dozens,24,,24,,,teachers,want new contract and smaller classes,0,rally; protest,0,0,0,0,1,1,https://www.kshb.com/news/local-news/shawnee-mission-teachers-rally-over-lack-of-new-contract,https://www.kansascity.com/news/local/article237248739.html,,,
Sterling Heights,Unica School Disctict board of education meeting,Macomb ,MI,US,2019-11-11,more than 1600,1600,,1600,,,teachers; general protestors,want new contract and smaller classes,0,rally,0,0,0,0,1,1,https://www.detroitnews.com/story/news/local/macomb-county/2019/11/11/utica-teachers-step-up-pressure-contract-talks-drag/2525671001/,,,,
Victorville,Old Town Victorville Veterans Memorial,San Bernardino,CA,US,2019-11-11,,1,,2,,,general protestors,"against Councilwoman Blanca Gomez wearing an ""F-ICE"" shirt",2,protest,0,0,0,0,1,1,https://www.vvdailypress.com/news/20191111/parade-protest,,,,
Austin,Attorney General's Office,Travis,TX,US,2019-11-12,hundreds,200,,200,,,immigrants and advocates,pro DACA,1,protest,0,0,0,0,1,1,https://thedailytexan.com/2019/11/12/hundreds-rally-as-supreme-court-hears-daca-case,,,,
Boston,Massachusetts State House,Suffolk,MA, US,2019-11-12,count video,34,,40,,,students,want ban on flavored tobacco products,0,rally,0,0,0,0,1,1,https://www.wcvb.com/article/students-set-to-rally-at-massachusetts-state-house-in-support-of-proposed-flavored-tobacco-ban/29766213#,,,,
Brooklyn,public meeting,Kings,NY,US,2019-11-12,more than 100,100,,100,,,general protestors,pro resignation of school board member,0,rally,0,0,0,0,1,1,https://newyork.cbslocal.com/2019/11/13/school-board-racial-slur-asians/,,,in response to said board member using East Asian slur,
Denver,Metro State University ,Denver,CO,US,2019-11-12,count video,70,,150,,,Dreamers (DACA recipients),pro DACA,1,rally,0,0,0,0,1,1,https://www.thedenverchannel.com/news/local-news/daca-recipients-rally-in-denver-as-u-s-supreme-court-decides-programs-future,,,,
Detroit,several blocks on Outer Drive to the McDonalds at 19840 Van Dyke Avenue,Wayne ,MI,US,2019-11-12,about 300,300,,300,,,Service Employees International Union,want $15 an hour and easier path to unionizing fast-food workers,0,march,0,0,0,0,1,1,https://www.freep.com/story/money/business/2019/11/12/rally-mcdonalds-workers-15-hour-wages/2577960001/,,,,
Detroit,Walker Miller Energy Services in New Center Area,Wayne ,MI,US,2019-11-12,count video,11,,11,,,general protestors,support Roy Wilson ,0,rally,0,0,0,0,1,1,https://www.clickondetroit.com/news/2019/11/12/supporters-rally-for-wayne-state-university-president-roy-wilson/,https://michiganchronicle.com/2019/11/13/community-members-gather-in-support-of-wayne-state-president-m-roy-wilson/,,,
Fresno,Robert E. Coyle federal building ,Fresno,CA,US,2019-11-12,dozens,24,,24,,,Dreamers (DACA recipients),pro DACA,1,rally,0,0,0,0,1,1,https://www.fresnobee.com/news/local/article237303499.html,,,,
Glenwood Spring,Glenwood Springs High School,Garfield,CO,US,2019-11-12,,,,,,,Colorada Immigrants Rights Coaltion,,1,rally,0,0,0,0,1,1,https://www.aspentimes.com/news/local/residents-rally-in-glenwood-springs-for-dreamers/,,,,
Honolulu,Honolulu Hale,Honolulu,HA,US,2019-11-12,,,,,,,Zero Waste O'ahu Coalition,support Bill 40 to ban single-use plastic,1,rally,0,0,0,0,1,1,https://www.staradvertiser.com/2019/11/12/breaking-news/supporters-of-plastic-ban-bill-rally-outside-honolulu-hale/,https://www.kitv.com/story/41310215/supporters-of-bill-that-bans-some-singleuse-plastics-to-rally-outside-honolulu-hale,,,
Hubbard ,Hubbard township town hall ,Trumbull,OH,US,2019-11-12,two dozen,24,,24,,,general protestors,against dissolving the local police department,0,protest,0,0,0,0,1,1,https://www.tribtoday.com/news/local-news/2019/11/residents-protest-to-keep-police-department-in-place/,https://www.wkbn.com/news/local-news/police-union-members-to-attend-trustees-meeting-in-hubbard-twp/,,,
Kansas City,,Wyandotte ,KA,US,2019-11-12,,,,,,,Kansans for Payday Loan Reform,want to limit interest rates and regulate payment schedules,0,protest,0,0,0,0,1,0,https://www.cjonline.com/news/20191112/kansas-advocates-of-payday-car-title-loan-reform-protest-in-six-cities,,,,
Las Vegas,"University of Nevada, Las Vegas",Clark ,NV,US,2019-11-12,count video ,13,,15,,,Undocunetwork,pro DACA,1,rally,0,0,0,0,1,1,https://www.ktnv.com/news/unlv-students-plan-daca-rally,https://www.facebook.com/FOX5Vegas/videos/579554632888308/,https://www.facebook.com/8NewsNOW/videos/happening-now-unlv-students-host-a-rally-on-campus-in-support-of-daca-cristen-dr/470914013773282/,,
Lawrence,,Douglas,KA,US,2019-11-12,,,,,,,Kansans for Payday Loan Reform,want to limit interest rates and regulate payment schedules,0,protest,0,0,0,0,1,0,https://www.cjonline.com/news/20191112/kansas-advocates-of-payday-car-title-loan-reform-protest-in-six-cities,,,,
Longmont,Roosevelt Park to Longmont Library,Longmont,CO,US,2019-11-12,more than 50,50,,50,,,Padres and Jovenes Unidos; Colorado Immigrant Rights Coalition  ,pro DACA,1,march,0,0,0,0,1,1,https://www.timescall.com/2019/11/12/longmont-march-to-support-daca-draws-50-participants/,,,,
