CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Denver,State Capitol,Denver,CO,US,2020-03-19,,,,,,,teachers,seek higher wages for teachers; seek more education funding,0,march,0,0,0,0,1,1,https://the-journal.com/articles/168936,,,,
Key Largo,U.S. 1,Monroe,FL,US,2020-03-19,,,,,,,Save Our Green Space,anti tourism due to Covid 19,0,protest,0,0,0,0,1,1,https://keysnews.com/article/story/some-residents-protest-countys-tourism-response/,,,,
Patchogue,Fire Island National Seashore Patchogue Headquarters,Suffolk,NY,US,2020-03-19,,,,,,,Long Island Orchestrating for Nature,"against hunting, against animal cruelty",0,protest,0,0,0,0,1,1,fireisland-news.com/event/not-ours-to-slaughter-a-protest-at-fire-island-national-seashore-headquarters-organized-by-lion/,,,,
Roseville,Kaiser Permanente Roseville,,CA,US,2020-03-19,,,,,,,nurses,protest lack of protective equipment due to Covid 19,0,protest,0,0,0,0,1,1,https://www.sacbee.com/news/local/article241360131.html,,,,
Elizabeth,Elizabeth Detention Center,Union,NJ,US,2020-03-20,approximately 40,40,,40,,,detained immigrants,anti-ICE; against immigrant detention,0,hunger strike,0,0,0,0,1,1,https://twitter.com/becky_gendelman/status/1241029958669152256,https://www.vice.com/en_us/article/pkew79/immigrants-are-now-on-hunger-strike-in-3-ice-detention-centers-over-coronavirus-fears,https://perilouschronicle.com/2020/03/20/hunger-strike-at-the-elizabeth-detention-center-nj-in-response-to-covid-19/,,
Gadsden,Etowah County Detention Center,Etowah,AL,US,2020-03-20,,,,,,,detainees; inmates,for better protections against COVID-19 in prison and ICE detention facility,0,demonstration,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/20/ice-detainees-in-alabama-protest-threaten-suicide-amidst-covid-outbreak/,https://www.washingtonpost.com/video/national/ice-detainees-threaten-suicide-stage-protests-over-coronavirus-fears/2020/03/25/8232738e-0b1e-4fdb-8538-456e269a8eb7_video.html,,,
Grants,Northwestern New Mexico Correctional Center,,NM,US,2020-03-20,about 300,300,,300,,,inmates,for better protections against COVID-19 in prison,0,protest,0,0,0,1,1,1,https://durangoherald.com/amp/319554-authorities-squash-western-new-mexico-prison-riot,https://perilouschronicle.com/2020/03/20/uprising-in-grants-new-mexico-amidst-fears-of-covid-19-outbreak/,,,
New York City,New York immigration courthouse,New York,NY,US,2020-03-20,,,,,,,Never Again Action,free immigrants from detainee camps due to Covid 19,1,rally,0,0,0,0,1,1,https://www.commondreams.org/news/2020/03/24/because-anne-frank-did-not-die-gas-chamber-jewish-activists-cite-disease-nazi-death,,,,
New York City,"Amazon Fulfillment Center, Queens",,NY,US,2020-03-20,,,,,,,workers,for better protection against COVID-19 in the workplace,0,walkout,,,,,0,1,https://www.democracynow.org/2020/3/20/headlines/new_york_city_workers_revolt_over_lack_of_coronavirus_safety_protections,,,,
Rikers Island,Anna M. Kross Center,,NY,US,2020-03-21,,8,,8,,,prisoners,for better protections against COVID-19 in prison,0,protest,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/21/protest-on-rikers-amidst-covid-19-outbreak/,https://www.thecity.nyc/2020/3/23/21210406/rikers-inmates-pepper-sprayed-for-demanding-medical-care-sources-say,,,
Alamogordo,Otero County Fairgrounds to White Sands Boulevard,Otero,NM,US,2020-03-22,NA,3,,3,,,Cowboys for Trump,for President Trump,2,horse ride,0,0,0,0,1,1,https://www.alamogordonews.com/story/news/local/community/2020/03/23/cowboys-trump-rally-scaled-back-ride-otero-county/2895843001/,,,,
Erie,Erie County Courthouse,Erie,PA,US,2020-03-22,NA,2,,2,,,gun owners,protest delay of concealed carry gun licenses due to Covid 19,2,protest,0,0,0,0,1,1,https://www.goerie.com/news/20200322/virus-related-gun-policy-prompts-small-erie-protest,,,,
Kearney,Hudson County Detention Center,Hudson,NJ,US,2020-03-22,almost 100,100,,100,,,Never Again Action,free immigrants from detainee camps due to Covid 19,1,car protest,0,0,0,0,1,1,https://twitter.com/NeverAgainActn,,,,
Moore Haven,Glades County Detention Center,Glades,FL,US,2020-03-22,nearly 100,100,,100,,,detainees,for better protections against COVID-19 in ICE detention facility,0,hunger strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/22/ice-detainees-hunger-strike-in-glades-county-florida-protesting-inaction-on-covid-19/,https://www.miaminewtimes.com/news/florida-ice-detainees-on-hunger-strike-amid-coronavirus-11607507,,,
Rikers Island,Robert N. Davoren Center,,NY,US,2020-03-22,approximately 90-100,90,,100,,,prisoners,"for better protections against COVID-19 in prison, for immediate release of some prisoners",0,strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/21/protest-on-rikers-amidst-covid-19-outbreak/,https://www.thecity.nyc/2020/3/23/21210406/rikers-inmates-pepper-sprayed-for-demanding-medical-care-sources-say,https://twitter.com/macc_nyc/status/1242121199938912263,,
Sacramento,,Sacramento,CA,US,2020-03-22,ten or so,10,,10,,,Never Again Action,free immigrants from detainee camps due to Covid 19,1,car protest,0,0,0,0,1,1,https://www.jweekly.com/2020/03/23/jewish-protesters-keep-their-distance-in-action-demanding-release-of-ice-detainees/,,,,
Batavia,Buffalo Federal Detention Center,,NY,US,2020-03-23,,,,,,,detainees,for better protections against COVID-19 in ICE detention facility,1,hunger strike,0,0,0,0,1,1,https://documentedny.com/2020/04/08/quarantine-in-solitary-confinement-and-attorneys-wear-swimming-goggles-to-court-as-batavia-grapples-with-the-coronavirus-pandemic/,,,,
Dover,Strafford County House of Corrections,Strafford,NH,US,2020-03-23,,,,,,,inmates,against prison lockdown due to coronavirus pandemic,0,hunger strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/23/food-strike-at-strafford-county-house-of-corrections-nh/,,,,
Jena,LaSalle ICE Processing Center,,LA,US,2020-03-23,,23,,23,,,detainees,for better protections against COVID-19 in ICE detention facility,1,demonstration,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/23/two-protests-at-lasalle-ice-processing-center-louisiana-in-response-to-covid-19/,https://www.buzzfeednews.com/article/hamedaleaziz/immigrants-coronavirus-outbreak-ice-protests,,,
Los Angeles,Kaiser Permanente Los Angeles Medical Center,Los Angeles,CA,US,2020-03-23,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://twitter.com/DarwinBondGraha/status/1242257852292411392,,,,
Oakland,Kaiser Oakland Hospital,Alameda,CA,US,2020-03-23,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://twitter.com/DarwinBondGraha/status/1242257852292411392,,,,
Pearsall,South Texas ICE Processing Center,,TX,US,2020-03-23,approximately 60,60,,60,,,detainees,for better protections against COVID-19 in ICE detention facility,1,demonstration,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/23/ice-detainees-in-south-texas-protest-over-lack-of-response-to-covid-19-epidemic/,https://www.expressnews.com/news/us-world/border-mexico/article/Detained-migrants-pepper-sprayed-for-rioting-amid-15154870.php,,,
Perry,Perdue Farms production line,,GA,US,2020-03-23,,,,,,,employees,seek greater pay for working more hours during coronavirus pandemic,0,walk-out,0,0,0,0,1,1,https://41nbc.com/2020/03/23/perdue-farms-employees-strike-no-wage-increase-amid-covid-19/,,,,
Santa Rosa,Memorial Hospital,Sonoma,CA,US,2020-03-23,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.dailyrepublic.com/all-dr-news/wires/santa-rosa-nurses-rally-over-mask-shortages-hospital-policies-on-safety-gear-the-press-democrat-santa-rosa-calif/,,,,
St. Paul,Gov. Tim Walz's home,,MN,US,2020-03-23,,,,,,,Twin Cities Never Again Action,free immigrants from detainee camps due to Covid 19,1,car protest,0,0,0,0,1,1,http://www.fightbacknews.org/2020/3/23/car-protest-gov-walz-s-mansion-demands-immediate-release-immigrants-minnesota-jails,,,,
Bath,Bath Iron Works,,ME,US,2020-03-24,,,,,,,workers,for better protection against COVID-19 in the workplace,0,sickout,,,,,1,1,https://wgme.com/news/coronavirus/bath-iron-works-union-asks-for-shipyard-closure-after-half-of-workers-fail-to-show,,,,
Fresno,City Hall,Fresno,CA,US,2020-03-24,,,,,,,homeless advocates,seek housing vouchers due to Covid 19,1,protest,0,0,0,0,1,1,https://www.fresnobee.com/news/local/article241478911.html,,,,
Pierre,Pierre Community Work Center,,SD,US,2020-03-24,,9,,9,,,prisoners,for better protections against COVID-19 in prison,0,direct action,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/24/9-women-escape-from-work-release-facility-in-south-dakota-to-avoid-covid-19-exposure/,,,,
Portage,Columbia Correctional Institution,,WI,US,2020-03-24,,,,,,,inmates,for better protections against COVID-19 in prison,0,hunger strike,0,0,0,0,1,1,https://mobile.twitter.com/WIPrisonVoices/status/1242547559434014722,,,,
Hackensack,Bergen County Jail,Bergen,NJ,US,2020-03-25,,,,,,,inmates,for better protections against COVID-19 in jail,0,hunger strike,,,,,1,1,https://mobile.twitter.com/ramsojas/status/1242851778162561025,,,,
Jena,LaSalle ICE Processing Center,,LA,US,2020-03-25,at least 75,75,,75,,,detainees,for better protections against COVID-19 in ICE detention facility,0,demonstration,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/23/two-protests-at-lasalle-ice-processing-center-louisiana-in-response-to-covid-19/,https://www.buzzfeednews.com/article/hamedaleaziz/immigrants-coronavirus-outbreak-ice-protests,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2020-03-25,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
Monroe,Richwood Correctional Center,,LA,US,2020-03-25,,60,,60,,,detainees,for immediate release of detainees to avoid COVID-19 risk in ICE facility,0,hunger strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/25/ice-detainees-launch-hunger-strike-at-richwood-correctional-center-louisiana-in-response-to-covid-19/,https://www.latinorebels.com/2020/03/26/icedetaineeshungerstrike/,,,
Pittsburgh,,Allegheny,PA,US,2020-03-25,several hundred,300,,300,,,sanitation workers,for hazard pay and better PPE for sanitation workers during COVID-19 pandemic,0,strike,0,0,0,0,1,1,https://paydayreport.com/black-garbage-workers-go-on-wildcat-strike-in-pittsburgh-as-general-strike-wave-spreads/,https://www.democracynow.org/2020/3/26/headlines/pittsburgh_sanitation_workers_hold_wildcat_strike_demanding_safety_gear,,"Stikers were members of Teamsters Local 249, but not clear that union approved of strike.",
Wallkill,Shawangunk Correctional Facility,Ulster,NY,US,2020-03-25,,,,,,,prisoners,for better protections against COVID-19 in prison,0,hunger strike,0,0,0,0,1,1,https://theappeal.org/covid-19-ny-prison/,,,,
Dartmouth,ICE Detention Center,Bristol,MA,US,2020-03-26,hundreds,200,,200,,,Never Again Action,anti ICE; free immigrants from detainee centers due to Covid 19,1,car protest,0,0,0,0,1,1,https://twitter.com/NeverAgainActn,https://yaledailynews.com/blog/2020/03/31/activists-protest-conditions-in-ice-detention-centers/,,,
Folkston,Folkston ICE Processing Center,,GA,US,2020-03-26,he and a dozen,13,,13,,,detainees,for better protections against COVID-19 in ICE detention facility,0,hunger strike,0,0,0,0,1,1,https://gen.medium.com/the-coronavirus-has-pushed-ice-detainees-across-the-country-to-hunger-strike-3231009c85cb,,,,
Frankfort,State Capitol,Franklin,KY,US,2020-03-26,dozens,24,,24,,,Kentucky Democratic Coalition,against the state legislature conducting business without public input during coronavirus pandemic,1,car protest,0,0,0,0,1,1,https://www.wdrb.com/news/caravan-circles-kentucky-capitol-to-protest-lawmakers-conducting-business-without/article_9f8ac4b6-6fa4-11ea-8d47-0fdab97652c2.html,,,,
Lumpkin,Stewart Detention Center,Stewart,GA,US,2020-03-26,at least 350,350,,350,,,detainees,for immediate release of detainees to avoid COVID-19 risk in ICE facility,1,hunger strike,0,0,0,0,1,1,https://twitter.com/NeverAgainActn,https://perilouschronicle.com/2020/03/26/hunger-strike-at-stewart-detention-center-georgia-in-response-to-covid-19/,,,
New Haven,,New Haven ,CT,US,2020-03-26,,,,,,,general protesters,support action regarding the health of incarcerated individuals with relation to Covid-19,0,protest,0,0,0,0,1,1,https://www.wtnh.com/news/health/coronavirus/third-doc-employee-tests-positive-for-coronavirus-as-protesters-call-for-release-of-prisoners/,,,,
Oakland,Highland Hospital,Alameda,CA,US,2020-03-26,,,,,,,Alameda Health System workers,against lack of pay for Covid-19 infected nurses,0,protest,0,0,0,0,1,1,https://www.mercurynews.com/coronavirus-alameda-health-system-agrees-to-pay-sick-nurses-following-protest,,,,
Beaver Creek,Vail Resorts,Eagle,CO,US,2020-03-27,NA,1,,1,,,Beano's Cabin employee,protest lack of shutdown due to Covid-19,1,demonstration,0,0,0,0,1,1,https://www.vaildaily.com/news/vail-resorts-employee-who-posted-sign-in-front-of-snowstake-cam-says-protest-got-him-fired/,,,,
