CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc.,
Woods Cross,Wood Cross police station ,Davis ,UT,US,2019-06-14,N/A,150,,150,,,Black Lives Matter ,pro Wood Cross police officer termination ,0,protest,0,0,0,0,1,1,https://www.sltrib.com/news/2019/06/15/they-matter-just-much/,,,,,
Albuquerque,Downtown Library ,Bernalillio,NM,US,2019-06-15,six or so ,6,,6,,,general protestors,anti Drag Queen Storytime ,2,protest,0,0,0,0,1,1,https://www.krqe.com/news/albuquerque-metro/protestors-show-up-to-drag-queen-story-time/,,,,,
Anacortes,Intersection in front of Safeway/Anacortes,Skagit,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125114/signup/,,,,#ImpeachTrump,
Ann Arbor,Federal Building,Washtenaw,MI,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125092/signup/,,,,Rally to Impeach Trump,
Asbury Park,Sunset Park,Monmouth ,NJ,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125093/signup/,,,,Forward March to Impeachment!,
Ashland,Ashland Plaza,Jackson,OR,US,2019-06-15,,,,,,,ORD2 Indivisible,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124955/signup/,https://ktvl.com/news/local/rally-to-impeach-president-trump-at-ashlands-central-plaza,https://ashlandtidings.com/news/top-stories/trump-impeachment-rally-to-be-held-saturday,,ORD2 Indivisible's Impeachment Day of Action Rally,
Astoria,,Clatsop ,OR,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://www.oregonlive.com/news/2019/06/impeach-trump-rally-underway-in-downtown-portland.html,,,,,
Bainbridge Island,Waypoint Park,Kitsap,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124987/signup/,,,,ImpeachTrump: Act to Defend Democracy,
Bangor,West Market Square,Penobscot,ME,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124998/signup/,,,,Impeach Trump Bangor,
Bar Harbor,Agamont Park,Hancock,ME,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125094/signup/,,,,IMPEACH TRUMP!,
Battle Creek,"Willard Library, Farley Room",Calhoun,MI,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125000/signup/,,,,Impeaching the Criminal and Corrupt Trump Presidency,
Bedminster,"Clarence Dillon Public Library, Free Speech Zone",Somerset,NJ,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125105/signup/,,,,Unfit To Serve,
Bellingham,Bellingham City Hall,Whatcom,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124991/signup/,,,,#ImpeachTrump: Act to Defend Democracy,
Bend,Peace Corner,Deschutes,OR,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125042/signup/,,,,Impeach Trump Now!,
Bethlehem,Rose Garden Park,Northampton,PA,US,2019-06-15,about five dozens,60,,60,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124932/signup/,https://expo.lehighvalleylive.com/news/g66l-2019/06/ccc9f562075229/impeach-trump-rally-draws-dozens-and-1-counterprotester-who-calls-him-greatest-president-since-ronald-reagan.html,https://www.lehighvalleylive.com/expo/news/g66l-2019/06/ccc9f562075229/impeach-trump-rally-draws-dozens-and-1-counterprotester-who-calls-him-greatest-president-since-ronald-reagan.html,,Resist a Criminal Presidency!,
Bethlehem,Rose Garden Park,Northampton,PA,US,2019-06-15,NA,1,,1,,,general protestor,pro-Trump,2,rally,0,0,0,0,0,1,https://expo.lehighvalleylive.com/news/g66l-2019/06/ccc9f562075229/impeach-trump-rally-draws-dozens-and-1-counterprotester-who-calls-him-greatest-president-since-ronald-reagan.html,https://www.lehighvalleylive.com/expo/news/g66l-2019/06/ccc9f562075229/impeach-trump-rally-draws-dozens-and-1-counterprotester-who-calls-him-greatest-president-since-ronald-reagan.html,,,,
Boise,capitol; downtown ,Ada,ID,US,2019-06-15,thousands ,2000,,2000,,,Boisem Pride Fest ,pro LGBTQ+,1,parade ,0,0,0,0,1,1,https://www.idahopress.com/news/local/thousands-attend-boise-pride-rally-parade/article_eb92a56a-b269-5a1f-b9a2-0cd2f7a914be.html,,,,,
Boston,Boston Common across Beacon Street from State House,Suffolk,MA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124946/signup/,https://twitter.com/Windupbird17/status/1139962832307589121,,,Boston Rally to #ImpeachTrump: National Day of Action,
Brea,Corners of East Imperial Highway & State College Blvd,Orange,CA,US,2019-06-15,NA,7,,7,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124999/signup/,https://www.facebook.com/events/391-s-state-college-blvd-brea-ca-92821-5724-united-states/nobody-is-above-the-law-impeach-rally/1048373135357875/,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,Nobody is Above the Law Rally in Brea,
Brunswick,,Cumberland,ME,US,2019-06-15,,,,,,,Maine AllCare,Call for universal health care,1,Rally,0,0,0,0,1,1,https://www.timesrecord.com/articles/front-page/maine-allcare-hosts-june-15-rally-in-brunswick-calling-for-universal-health-care/,,,,,
Buffalo,Niagara Square,Erie,NY,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125038/signup/,,,,Buffalo Impeach Trump,
Butler,Rep. Mike Kelly's Butler Office,Butler,PA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125096/signup/,,,,#impeachtrump,
Butte,Emma Park,Silver Bow ,MT,US,2019-06-15,roughly 60,60,,60,,,general protestors,anti-hate,0,rally,0,0,0,0,1,1,https://mtstandard.com/news/local/an-example-for-the-entire-world-butte-locals-gather-for/article_86fe99fd-bdc5-5af3-ad2a-81a0f6d5aaf9.html,,,,,
Carbondale,Outside city hall,Jackson,IL,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125021/signup/,,,,Start Impeachment Investigation,
Charleston,Marion Square Sidewalk by Fountain,Charleston,SC,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125066/signup/,,,,Impeach Trump - Charleston SC,
Charleston,,Charleston,SC,US,2019-06-15,,,,,,,Presidential candidates and workers,Fight for higher wages,0,Strike; march ,0,0,0,0,0,1,https://www.thestate.com/news/politics-government/election/article231439668.html,,,,,
Chino Hills,Corner of Grand Ave. and Peyton Dr. ,San Bernardino,CA,US,2019-06-15,NA,17,,17,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125036/signup/,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,Impeach Trump Rally!,
Chino Hills,,San Bernardino ,CA,US,2019-06-15,about 25,25,,25,,,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,,,
Clermont,Revival Baptist Church of Orlando; across the streed infront of Mcdonalds ,Lake,FL,US,2019-06-15,NA,100,,100,,,general protestors,anti Make American Straight Again event being held at church ,1,protest,0,0,0,0,1,1,https://www.orlandosentinel.com/news/lake/os-lk-make-america-straight-again-protest-20190615-aey2joym3bewxmqco4cp6clbpu-story.html,,,,,
Cleveland,Shaker Square,Cuyahoga,OH,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124976/signup/,,,,Enough is Enough: IMPEACH TRUMP NOW,
Columbus,Goodale Park; Hide st; Rich St,Franklin ,OH,US,2019-06-15,thousands ,2000,,2000,,,general protestors,pro LGBTQ+,1,parade ,0,0,0,0,1,1,https://abc6onyourside.com/news/local/thousands-march-in-the-columbus-pride-parade,,,,,
Dallas,City Hall,Dallas,TX,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125043/signup/,,,,Dallas Impeach Trump,
Decatur,Decatur Square,Dekalb ,GA,US,2019-06-15,200+,200,,200,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124939/signup/,https://twitter.com/danielhertlein/status/1139970530478624768,,,Impeach Trump - Act to Defend Democracy,
Detroit,US Rep. Rashida Tlaib's Detroit Office,Wayne,MI,US,2019-06-15,count pic,37,,37,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124982/signup/,https://twitter.com/DFAaction/status/1139980905173401600,,,Rally to Impeach Trump,
Ellensburg,"5th and Main, front of Courthouse",Kittitas,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125018/signup/,,,,Impeachment Inquiry Day of Action,
Essex Junction,Five Corners,Chittenden,VT,US,2019-06-15,count pic,40,,40,,,Essex Resists,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124934/signup/,https://twitter.com/kamcc71/status/1139982954543964161,,,It's Time to Impeach Trump - Hosted by Essex Resists,
Eugene,Ferry St. Bridge,Lane,OR,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125032/signup/,,,,IMPEACH NOW!,
Fort Collins,Old Town Square to Washington Park,Larimer,CO,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125089/signup/,https://twitter.com/LizzieBorden_8/status/1140093168370589697,,,March to Impeach,
Franklin,Downtown across from Rome Restaurant,Norfolk ,MA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124967/signup/,,,,SICK OF THE COVER-UP?,
Fredericksburg,,Fredericksburg City,VA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124993/signup/,,,,Sister's and Mister's Resisters,
Fresno,,Fresno ,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124997/signup/,,,,#ImpeachTrump Rally,
Friday Harbor,Friday Harbor courthouse (outside),San Juan ,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125037/signup/,,,,Impeach Trump Rally,
Gainesville,Sidewalk in front of Oaks Mall: NW 62nd St & W Newberry Rd,Alachua,FL,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125107/signup/,,,,"#ImpeachTrump: Gainesville, FL",
Galveston,Menard Park,Galveston,TX,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125045/signup/,https://www.galvnews.com/news/article_3015d1ba-4229-5668-b494-b3ec86731d3d.html,,,Impeach#45,
Geneseo,Main & Route 20A,Livingston,NY,US,2019-06-15,count video,22,,22,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125070/signup/,https://13wham.com/news/local/community-voices-concerns-at-impeach-trump-rally-in-geneseo,,,Impeach Trump vigil,
Georgetown,East Bay Park,Georgetown,SC,US,2019-06-15,about 30,30,,30,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124994/signup/,https://twitter.com/GtownSCDems/status/1140238469547122688,,,Impeach-In Jam,
Glens Falls,"Rep. Stefanik's office, Glens Falls, New York",Warren,NY,US,2019-06-15,more than 100,100,,100,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124977/signup/,https://twitter.com/CurmudgeonCD21/status/1140055159822794753,https://poststar.com/news/local/photos-glens-falls-impeachtrump-national-day-of-action/collection_db272376-cc55-5d64-b141-403122d0196d.html,,"No one is above the Law, Stefanik & Congress, hold Trump Accountable!",
Hortonia,,Outgamie ,WI,US,2019-06-15,dozens ,24,,24,,,Citizens for the Preservation of Hortonia ,anti Hortonia youth prison ,0,rally,0,0,0,0,1,1,https://www.wbay.com/content/news/Crowd-rallies-against-proposed-Hortonia-youth-prison-511356022.html,,,,,
Houston,City Hall,Harris,TX,US,2019-06-15,count pic,36,,36,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124952/signup/,https://twitter.com/FranklinDee75/status/1140068138526138372,,,It's Time to Impeach,
