date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-09-01,Dallas,TX,Dallas City Hall,Bans Off Our Bodies,more than a dozen,12,12,ACLU of Texas,women,"for abortion rights, for women's rights, against Governor Abbott, against SB 8, abortion is essential, abortion is healthcare, bans off our bodies, my body is my own",1,demonstration,,dressed as handmaids,,,,,,,,,,https://www.wfaa.com/article/news/health/handmaids-tale-protest-dallas-new-heartbeat-abortion-law-takes-effect/287-fa11fdc9-d79c-4652-bebc-c458bc9a0181,https://www.aclutx.org/en/bans-off-our-bodies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Dallas,TX,,,count pic,2,2,,,"against coronavirus mask and vaccination mandates, consent not coercion, for patriotism, for Donald Trump",2,demonstration,,,,,,,,,,,,https://twitter.com/stevanzetti/status/1433243630542761985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Dolton,IL,142nd St and Chicago Ave,,about 15; 20,15,20,GoodKids MadCity; Party for Socialism and Liberation,,"for justice for Alexis Wilson, against police violence, for police accountability, Black Lives Matter",1,protest,local and state police on scene; blocked streets around venue for outdoor village board meeting; blocked passage of protesters,,,,4,,,,,,,https://chicago.suntimes.com/2021/9/1/22653340/3-arrested-during-protest-in-dolton-demanding-justice-for-alexis-wilson,https://chicago.cbslocal.com/video/5953682-protests-over-dolton-police-shooting-that-killed-alexis-wilson-end-with-arrests/,https://www.fox32chicago.com/news/3-arrested-during-protest-in-dolton-over-fatal-police-shooting-of-alexis-wilson,https://www.liberationnews.org/protest-vs-cop-killing-in-chicago-suburb-met-with-heavy-police-repression/,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Edinburg,TX,Edinburg City Hall,Bans Off Our Bodies,count pic,25,30,ACLU of Texas; RGV Safe Project; Frontera Fund; Texas Rising,,"for abortion rights, for women's rights, against Governor Abbott, against SB 8, my body my choice, keep your laws off my uterus, you can never ban abortion you can only ban safe abortion",1,protest,,,,,,,,,,,,https://myrgv.com/local-news/2021/09/01/local-pro-abortion-advocates-protest-state-enactment-of-state-abortion-ban/,https://www.krgv.com/news/protesters-gather-in-edinburg-against-new-abortion-law,https://www.aclutx.org/en/bans-off-our-bodies,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Exeter,NH,Exeter Town Hall,Flags Across New Hampshire,,,,,,in support of military veterans returning from Afghanistan,0,rally,,,,,,,,,,,,https://www.unionleader.com/news/military/n-h-rallies-support-troops-honor-13-killed-in-afghanistan-attack/article_4179076f-b255-5e43-8bfd-30dbb6803ee9.html,https://www.seacoastonline.com/story/news/local/2021/08/31/matt-mayberry-organizes-rallies-support-veterans-nh-afghanistan-dover-greenland-exeter/5663613001/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Glen Ellyn,IL,Elm St and Main St,,,,,,,against coronavirus mask mandate in schools,2,protest,,,,,,,,,,,,https://www.dailyherald.com/news/20210914/parents-ask-glen-ellyn-officials-to-push-protesting-anti-maskers-away-from-elementary-school,https://wgntv.com/news/coronavirus/parents-fed-up-with-anti-mask-protesters-targeting-glen-ellyn-elementary-school-students/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Grants Pass,OR,Asante Three Rivers Medical Center,,hundreds,200,200,,,"against state COVID-19 vaccination mandate for healthcare workers, for medical freedom",2,rally,,,,,,,,,,,,https://ktvl.com/station/hundreds-rally-outside-asante-three-rivers-against-vaccine-mandates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Highlands Ranch,CO,Thunder Ridge High School,,dozens,24,24,,students,"against coronavirus mask mandate in schools, my body my choice, stop the tyranny",2,walkout,,,,,,,,,,,,https://denver.cbslocal.com/2021/09/01/covid-face-mask-students-thunder-ridge-highlands-ranch/,https://townhall.com/tipsheet/scottmorefield/2021/09/01/colorado-high-school-students-stage-walkout-to-protest-mask-mandate-n2595182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Houston,TX,"Federal Courthouse, 515 Rusk St",Bans Off Our Bodies,count video,30,40,ACLU of Texas,,"for abortion rights, for women's rights, against Governor Abbott, against SB 8, abortion is essential, abortion is healthcare, bans off our bodies, my body is my own",1,protest,,,,,,,,,,,,https://twitter.com/DrucillaTigner/status/1433126927351615495,https://www.aclutx.org/en/bans-off-our-bodies,https://twitter.com/ACLUTx/status/1433168238486167558,https://twitter.com/vailkoyo/status/1433132515536121861,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Iowa CIty,IA,"President's Mansion, University of Iowa; Pentacrest",,"over 1,000",1000,1000,,students,"in support of victims of sexual assault and rape, for accountability for sexual assault at University of Iowa, against Phi Gamma Delta fraternity, against rape culture, against police, abolish FIJI, cut their dicks off",0,protest,on scene; erected barricades; blocked traffic; marched in street; fireworks,,,,,,,,,,,https://twitter.com/Ollie_XVX/status/1433260999084232707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
