CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Knoxville,Thompson Boling Arena University of Tennessee ,Knox,TN,US,2019-03-05,40 to 50,40,,50,,,students,Civil Rights; For racial justice; National anthem,0,protest,0,0,0,0,1,1,https://www.knoxnews.com/story/news/2019/03/05/utk-blackface-protest-vols-basketball-mississippi-state/3074035002/,,,20501
Lordstown,Lordstown High School,Trumbull,OH,US,2019-03-05,more than 100,100,,100,,,general protestors,Collective Bargaining; Against layoffs; Against closure/relocation,0,rally,0,0,0,0,1,1,http://www.vindy.com/news/2019/mar/06/were-not-going-give-hope-uaw-president-tells-gm-ra/,,,20496
Norfolk,Kroc Center,Norfolk,VA,US,2019-03-05,,,,,,,general protestors,Other; For affordable housing,0,protest,0,0,0,0,1,1,https://www.wavy.com/news/local-news/norfolk/tidewater-gardens-residents-protest-hud-visit/1828780714,,,20486
Rockford,UPS hanger at the Chicago Rockford International Airport,Winnebago,IL,US,2019-03-05,count pic,6,,6,,,general protestors,Collective Bargaining; Against outsourcing,0,protest,0,0,0,0,1,1,https://www.wifr.com/content/news/Locals-protest-over-UPS-contractor-decisions-506789401.html,,,20495
Sacramento,Sacramento Police Department Headquarters,Sacramento ,CA,US,2019-03-05,count pic,40,,40,,,Black Lives Matter Sacramento,Civil Rights; For racial justice; For greater accountability; Police,1,protest,0,0,0,0,1,1,https://www.abc10.com/article/news/local/sacramento/protesters-stage-sit-in-at-sac-pd-headquarters-over-stephon-clark-decision/103-ffaca8ca-a723-483e-bb4d-f23f8cb866ba,,,20467
Sacramento,City Hall,Sacramento ,CA,US,2019-03-05,,,,,,,general protestors,Civil Rights; For racial justice; For greater accountability; Police,1,protest,0,0,0,0,0,1,https://www.cbsnews.com/news/stephon-clark-shooting-chaos-erupts-at-sacramento-city-council-meeting-over-protest-arrests/,,,20503
Trenton,Statehouse,Mercer,NJ,US,2019-03-05,,,,,,,general protestors,Education; Against budget,0,protest,0,0,0,0,1,1,https://www.app.com/story/news/education/2019/03/01/schools-across-nj-fight-state-aid-cuts-trenton/2871898002/,,,
Albany,Capitol,Albany,NY,US,2019-03-06,,,,,,,general protestors,Against budget; Education,0,rally,0,0,0,0,1,1,https://apnews.com/0892678fb037485ab5ab1dd132e028f7,,,20498
Ames,Iowa State University,Story,IA,US,2019-03-06,more than 50,50,,50,,,general protestors,Civil Rights; Against invited speaker; For racial justice,0,protest,0,0,0,0,1,1,http://www.iowastatedaily.com/news/nicholas-fuentes-white-nationalist-iowa-state/article_7d5d1a2c-40a9-11e9-a6b2-070c862f9fe4.html,,,20523
Camillus,West Genessee School Board,Onondaga ,NY,US,2019-03-06,,,,,,,general protestors,Other; Against firing/reassignment,0,protest,0,0,0,0,1,1,https://www.syracuse.com/news/2019/03/drivers-residents-protest-west-genesee-drivers-retirement-over-man-allowed-on-bus.html,,,20522
Fairbanks,Lathrop High School,Fairbanks,AK,US,2019-03-06,NA,26,,26,,,students,Against budget; Education,0,protest; walkout,0,0,0,0,1,1,http://www.newsminer.com/news/alaska_news/uaf-high-school-students-rally-against-education-cuts/article_b2c33570-40b3-11e9-81cf-7332bf7f39a0.html,,,20519
Fairbanks,West Valley High School,Fairbanks,AK,US,2019-03-06,NA,62,,62,,,students,Against budget; Education,0,protest; walkout,0,0,0,0,1,1,http://www.newsminer.com/news/alaska_news/uaf-high-school-students-rally-against-education-cuts/article_b2c33570-40b3-11e9-81cf-7332bf7f39a0.html,,,20520
Fairbanks,University of Alaska Fairbanks Cam,Fairbanks,AK,US,2019-03-06,more than 200,200,,200,,,general protestors,Against budget; Education,0,protest,0,0,0,0,0,1,http://www.newsminer.com/news/alaska_news/uaf-high-school-students-rally-against-education-cuts/article_b2c33570-40b3-11e9-81cf-7332bf7f39a0.html,,,20521
Frankfort,Capitol,Franklin,KY,US,2019-03-06,hundreds,200,,200,,,Kentucky teachers,Education; Against systemic underfunding; Against charter schools/vouchers,0,protest; strike,0,0,0,0,1,1,https://www.courier-journal.com/story/news/politics/ky-legislature/2019/03/06/jcps-sickout-teachers-dont-want-private-school-tax-bill-passed/3078770002/,,,20508
Honolulu,State Capitol Rotunda,Honolulu,HI,US,2019-03-06,dozens,24,,24,,,general protestors,Education; For preschool,0,rally,0,0,0,0,1,1,http://www.kitv.com/story/40081694/parents-and-advocates-rally-for-affordable-childhood-education,,,20490
Indianapolis,Statehouse,Marion ,IN,US,2019-03-06,count pic,17,,17,,,general protestors,Environment; For renewable energy,0,rally,0,0,0,0,1,1,https://indianapublicmedia.org/news/hoosiers-rally-for-renewable-energy-policies-in-indiana.php,,,20507
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-03-06,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,
Lynchburg,Liberty University,Lynchburg,VA,US,2019-03-06,about 30,30,,30,,,students,Against invited speaker; Civil Rights; For transgender rights; Pro-LGBTQ,1,protest,0,0,0,0,1,1,https://www.newsadvance.com/news/local/about-liberty-university-students-protest-falwells-gender-identity-comments/article_6da6049f-394e-5aac-9283-e5b06565ab7b.html,,,20502
Macomb,Western Illinois University Macomb Camous,McDonough,IL,US,2019-03-06,between 100 and 200,100,,200,,,general protestors,Collective Bargaining; Against layoffs,0,protest,0,0,0,0,1,1,https://www.kwqc.com/content/news/Dozens-rally-on-WIUs-Macomb-campus-in-protest-of-job-cuts-506800171.html,,,20509
Middleburg,Midd-West High School,Snyder,PA,US,2019-03-06,,,,,,,students,Other; Against bullying,0,protest,0,0,0,0,1,1,https://www.dailyitem.com/news/snyder_county/midd-west-students-to-protest-school-s-reaction-to-bullying/article_64c36805-2ecd-5b44-b95d-2f0fefc82cdf.html,,,20493
Milwaukee,Milwaukee County Board,Milwaukee,WI,US,2019-03-06,,,,,,,Milwaukee County school bus drivers,Collective Bargaining; For better compensation,0,protest,0,0,0,0,1,1,https://www.wisn.com/article/mcts-drivers-stage-protest-over-contract-benefits/26742362,,,20494
Nashville,Capitol,Davidson,TN,US,2019-03-06,several hundred,200,,200,,,Moms Demand Action on Gun Violence,For greater gun control; Guns,1,rally,0,0,0,0,1,1,https://www.wkrn.com/news/state-capitol/moms-demandaction-on-gun-violence-rally-against-gun-bill-at-tennessee-capitol/1831296192,,,20492
New York City,city blocks near the governor's office on Third Avenue and 41st Street,Bronx,NY,US,2019-03-06,dozens,24,,24,,,cab drivers,Other; Transportation; Against fees,0,protest,0,0,0,0,1,1,https://pix11.com/2019/03/06/cabbies-protest-congestion-pricing-fee-they-now-have-to-charge-its-killing-business-and-drivers-they-say/,,,20505
Sacramento,,Sacramento ,CA,US,2019-03-06,,,,,,,general protestors,Civil Rights; For racial justice; For greater accountability; Police,1,protest,0,0,0,0,1,1,https://www.sacbee.com/news/local/article227109924.html,,,20468
Springfield,,Tuolumne ,IL,US,2019-03-06,,,,,,,Illinois Nursing Association,Healthcare; Against understaffing,0,rallly,0,0,0,0,1,1,http://newschannel20.com/news/local/ina-rallies-in-support-of-safe-patient-limits-act,,,20489
St. Paul,,Ramsey,MN,US,2019-03-06,,,,,,,All Aboard Minnesota,Other; For public transportation,0,public rally,0,0,0,0,1,1,https://www.brainerddispatch.com/news/government-and-politics/4577330-could-passenger-rail-be-coming-back-brainerd-and-greater,,,
Uniontown,Fayette County Courthouse,Fayette,PA,US,2019-03-06,,,,,,,general protestors,Civil Rights; For greater inclusion; For disability rights,0,rally,0,0,0,0,1,1,https://www.heraldstandard.com/news/local_news/inclusion-rally-demands-respect-for-those-with-intellectual-developmental-disabilities/article_7578cae8-4056-11e9-9df8-fff3f6b41fcf.html,,,20518
Viera,Moore Justice Center,Brevard,FL,US,2019-03-06,count pic,10,,10,,,general protestors,Civil Rights; For racial justice; For greater accountability; Police,1,protest,0,0,0,0,1,1,https://www.floridatoday.com/story/news/2019/03/06/family-activists-rally-after-death-combat-veteran-brevard-jail/3081484002/,,,20504
Asheville,Brevard Road Kmart,Buncombe,NC,US,2019-03-07,a half-dozen,6,,6,,,Kmart employees,Collective Bargaining; Against layoffs,0,protest,0,0,0,0,1,1,https://www.citizen-times.com/story/news/local/2019/03/08/as-asheville-kmart-nears-final-day-employees-lambast-corporate-greed-call-for-justice/3087189002/,,,20541
Bloomington,Indiana University,Monroe,IN,US,2019-03-07,NA,17,,17,,,general protestors,Healthcare; For expanding coverage; Education,0,protest,0,0,0,0,1,1,https://www.hoosiertimes.com/herald_times_online/news/iu/students-march-for-changes-at-iu-health-center/article_4d8e89d4-2868-5913-8925-bcc0ddd637a1.html,,,20510
Denver,Capitol Building,Denver,CO,US,2019-03-07,NA,5000,,5000,,,Hickenlooper Presidential Campaign,Presidential Campaign,1,rally,0,0,0,0,1,1,https://www.denverpost.com/2019/03/07/john-hickenlooper-presidential-campaign-kickoff/,,,
Escondido,Bernardo Elementary School,San Diego,CA,US,2019-03-07,,,,,,,general protestors,Collective Bargaining; For better compensation,0,protest,0,0,0,0,1,1,http://www.cbs8.com/story/40087355/escondido-teachers-protest-for-pay-raises-benefits,,,20525
Fairbanks,City Hall,Fairbanks,AK,US,2019-03-07,NA,100,,100,,,general protestors,Civil Rights; Anti-LGBTQ,2,rally,0,0,0,0,1,1,http://www.newsminer.com/news/local_news/conservatives-celebrate-fairbanks-mayor-matherly-at-rally/article_8ec7f1d0-417e-11e9-9ab7-93e27dd6a769.html,,,20549
Frankfort,Capitol,Franklin,KY,US,2019-03-07,hundreds,200,,200,,,Kentucky Education Association,Education; Against systemic underfunding; Against charter schools/vouchers,0,protest,0,0,0,0,1,1,https://www.wdrb.com/in-depth/we-re-scared-hundreds-of-anxious-kentucky-teachers-protest-at/article_a4deca5c-410b-11e9-9f53-9b96c2e22d34.html,,,20513
Frankfort,Capitol,Franklin,KY,US,2019-03-07,,,,,,,Right to Life,Against abortion rights; Civil Rights,2,protest,0,0,0,0,0,1,https://www.wymt.com/content/news/Right-to-Life-rally-stirs-up-controversy-in-Kentucky-capital-506848061.html,,,20514
Hartford,Capitol,Hartford,CT,US,2019-03-07,dozens,24,,24,,,AT&T workers,Collective Bargaining; Against layoffs; Against closure/relocation; Business,0,protest,0,0,0,0,1,1,https://www.wtnh.com/news/politics/at-t-workers-rally-to-save-jobs-at-state-capitol/1832659595,,,20527
Honolulu,Capitol,Honolulu,HI,US,2019-03-07,,,,,,,general protestors,Education; For greater funding,0,rally,0,0,0,0,1,1,https://www.khon2.com/news/local-news/keiki-rallied-at-the-capitol-today-for-children-s-issues/1832158930,,,20516
Lake Success,Lake Success,Nassau,NY,US,2019-03-07,about 200,200,,200,,,United Health Care Workers,Healthcare; Against budget,0,protest,0,0,0,0,1,1,https://theislandnow.com/featured/northwell-employees-rally-against-medicaid-cuts/,,,20538
Los Angeles,Hollywood,Los Angeles,CA,US,2019-03-07,,,,,,,general protestors,Education; Against closure/relocation,0,protest,0,0,0,0,1,1,https://abc7.com/education/students-protest-sudden-closure-of-art-institute-in-hollywood/5175882/,,,20551
Milwaukee,Wellspring of Milwaukee,Milwaukee,WI,US,2019-03-07,about a dozen,12,,12,,,former employees,Collective Bargaining; For worker rights,0,protest,0,0,0,0,1,1,https://www.wisn.com/article/former-workers-protest-at-shut-down-nursing-home/26755274,,,20526
Sacramento,Sacramento City College,Sacramento ,CA,US,2019-03-07,about 250,250,,250,,,students,"Civil rights, police brutality/killing, racial justice",1,walk out,0,0,0,0,1,1,https://www.kcra.com/article/250-students-walk-out-of-class-protest-stephon-clark-findings/26754458,,,
Sacramento,51st St and Folsom Blvd; 51st St and Highway 50,Sacramento ,CA,US,2019-03-07,70 to 100 people,70,,100,,,general protestors,Civil Rights; For racial justice; For greater accountability; Police,1,protest,85,0,0,0,0,1,https://www.sacbee.com/news/local/article227109924.html,,,
