CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,Source4,Source5
Lexington,Downtown Lexington,VA,USA,2017-03-03,About 200,200,200,200,220,180,50 Ways-Rockbridge.,Pro Planned Parenthood; support Women's rights,1,rally,0,0,0,0,1,1,http://www.newsleader.com/story/news/local/2017/03/03/women-rally-rights-outside-cline-office/98681856/,http://wsls.com/2017/03/03/women-protest-delegate-ben-clines-vote-to-de-fund-planned-parenthood/,,,,
Mayville,in front of Webb's,NY,USA,2017-03-03,about 20,20,20,20,22,18,general protestors,"Pro ACA, pro EPA",1,protest,0,0,0,0,1,1,http://chautauquatoday.com/news/details.cfm?clientid=25&id=238261#.WPE6V1PyuCR,,,,,
Memphis,Legislative Plaza,TN,USA,2017-03-03,Hundreds,200,200,200,220,180,General Protest,Pro Trump,2,rally,2,0,0,0,1,1,http://www.wmcactionnews5.com/story/34666409/pro-trump-rally-held-at-legislative-plaza-2-protesters-arrested,,,,,
Monroe,Lea Joyner Memorial Bridge,LA,USA,2017-03-03,about 60,60,60,60,66,54,Spirit of America,Pro Trump,2,rally,0,0,0,0,1,1,http://www.knoe.com/content/news/Spirit-of-America-rally-shows-support-for-Trump-in-Monroe-415374593.html#comment-3187105795,,,,,
Palm Beach,Outside 4 seasons,FL,USA,2017-03-03,two dozens,24,36,50,26,45,General Protest,Anti-Trump,1,demonstration,1,0,0,0,1,1,http://www.palmbeachpost.com/news/local/update-one-arrested-one-detained-trump-protest-palm-beach/eJLyhdbcTvTlz1XyP8proJ/,,,,,
Saratoga Springs,Outside Spa City Fundraiser,NY,USA,2017-03-03,NA,40,40,40,44,36,General Protest,support Affordable Care Act; health care,1,rally,0,0,0,0,1,1,http://poststar.com/news/local/groups-meet-with-stefanik-in-glens-falls-protesters-rally-outside/article_2cca6b2c-e831-5b3c-a914-8a203f2afd34.html,,,,,
Stamford,Westhill High School,CT,USA,2017-03-03,na,70,70,70,77,63,High Schools,Education reformation,1,Rally,0,0,0,0,1,1,http://www.stamfordadvocate.com/apple-business/article/Deportation-fear-stirs-student-rally-in-10976019.php,,,,,
Tenafly,Kaplen JCC,NJ,USA,2017-03-03,hundreds,200,200,200,220,180,general protestors,oppose anti-Semitism,1,rally,0,0,0,0,1,1,http://englewood.dailyvoice.com/events/gov-christie-condemns-anti-semitism-at-tenafly-rally/702036/,,,,,
Valdosta,Valdosta State University,GA,USA,2017-03-03,na,12,17,24,13,22,Faculty and Students,Anti-Trump policies,1,demonstration,0,0,0,0,1,1,http://www.tribstar.com/cnhi_network/georgia-professors-students-protest-against-campus-carry-bill/article_242afaab-a4cc-5fa8-85cf-30731727e346.html,,,,,
Alamogordo,10th Street and White Sands Boulevard,NM,USA,2017-03-04,na,,,,,,Republican Party of Otero County,"March 4 Trump, pro-Trump",2,rally,0,0,0,0,1,1,http://www.alamogordonews.com/story/news/local/2017/03/04/otero-county-republican-party-rallies-support-trump/98747734/,,,,,
