CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,Source4,Source5
Pendleton,Pendleton Round-Up Grounds,OR,USA,2017-03-04,a dozen,12,12,12,13,11,General protestors,Anti DAPL,1,Protest,0,0,0,0,1,1,http://www.eastoregonian.com/eo/local-news/20170304/organizers-move-dapl-protest-closer-to-pendleton-convention-center-talk-next-step,,,,,
Phoenix,State Capitol,AZ,USA,2017-03-04,Several hundred; about 300,200,245,300,220,270,March 4 Trump,Pro Trump policies,2,Rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/arizona/articles/2017-03-04/hundreds-attend-pro-trump-rally-at-arizona-state-capitol,http://www.azcentral.com/story/news/local/phoenix/2017/03/03/hundreds-expected-phoenix-pro-trump-rally/98713666/,,,,
Raleigh,Government Complex,NC,USA,2017-03-04,Several hundreds; hundreds,200,245,300,220,270,March 4 Trump,Pro Trump,2,rally,0,0,0,0,1,1,http://myfox8.com/2017/03/04/hundreds-gather-at-nc-rally-to-support-president-trump/,http://wncn.com/2017/03/04/hundreds-rally-to-support-president-trump-in-raleigh/,,,,
Reno,Downtown,NV,USA,2017-03-04,people; 58 went,10,32,58,11,52,General protestors,"March 4 Trump, pro-Trump",2,rally; protest,0,0,0,0,1,1,http://www.ktvn.com/story/34666968/pro-trump-and-anti-trump-rallies-both-gather-in-downtown-reno,https://www.facebook.com/events/1280270022019650/permalink/1290127794367206/,,,,
Reno,,NV,USA,2017-03-04,,,,,,,General protestors,counter-protestors; anti-Trump,1,counter-protest,,,,,0,1,http://www.ktvn.com/story/34666968/pro-trump-and-anti-trump-rallies-both-gather-in-downtown-reno,,,,,
Reston,Reston Town Center,VA,USA,2017-03-04,about 500,500,500,500,550,450,general protestors,in protest of paid parking system implemented by Reston Town Center,0,march,0,0,0,0,1,1,http://www.fairfaxtimes.com/articles/marchers-protest-rtc-paid-parking/article_dc15063e-05db-11e7-864b-1b5c5fe2a2c9.html,,,,,
Richmond,Capitol Sq,VA,USA,2017-03-04,na,100,123,150,110,135,Corey Stewart for Governor campaign,against sanctuary cities,2,rally,0,0,0,0,1,1,http://www.styleweekly.com/richmond/opposing-rallies-converge-on-capitol-square/Content?oid=2643694,,,,,
Richmond,Capitol Sq,VA,USA,2017-03-04,na,100,123,150,110,135,ICE Out of RVA,pro-immigration,1,demonstration,0,0,0,0,1,1,http://www.styleweekly.com/richmond/opposing-rallies-converge-on-capitol-square/Content?oid=2643694,,,,,
Rochester,U.S. Highway 52,MN,USA,2017-03-04,About 10 people,10,10,10,11,9,Spirit of America,pro-Trump,2,rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/minnesota/articles/2017-03-04/st-paul-rally-in-support-of-trump-draws-counterprotesters,,,,,
Saint Paul,Capitol Building,MN,USA,2017-03-04,about 400,400,423,450,440,405,Spirit of America,pro-Trump policies,2,rally,0,0,0,0,1,1,http://www.kare11.com/news/local/st-paul-rally-in-support-of-trump-draws-counterprotesters/419795294,https://www.usnews.com/news/best-states/minnesota/articles/2017-03-04/st-paul-rally-in-support-of-trump-draws-counterprotesters,https://www.mprnews.org/story/2017/03/04/indianamericans-gather-at-an-eden-prairie-park-to-rally-against-hate,,,
Saint Paul,Capitol Building,MN,USA,2017-03-04,,50,50,50,55,45,general protesters,anti-Trump,1,counterprotest,6,1,0,0,0,1,http://www.kare11.com/news/local/st-paul-rally-in-support-of-trump-draws-counterprotesters/419795294,https://www.usnews.com/news/best-states/minnesota/articles/2017-03-04/st-paul-rally-in-support-of-trump-draws-counterprotesters,http://minnesota.cbslocal.com/2017/03/06/trump-protesters-awaiting-charges/,http://www.twincities.com/2017/03/04/5-arrested-after-protesters-disrupt-trump-rally-at-capitol/,,
San Diego,Dog Beach,CA,USA,2017-03-04,"more than 600; about 1,000",400,670,1000,440,900,General protestors; Indivisible San Diego,March 4 Impeachment; anti-Trump,1,protest,0,0,0,0,0,1,http://fox5sandiego.com/2017/03/04/trump-supporters-march-in-san-diego/,http://www.sandiegouniontribune.com/news/politics/sd-me-trump-rally-20170303-story.html,http://www.10news.com/news/rallying-cries-to-impeach-and-resist-trump-spelled-out-on-sands-of-ocean-beach,,,
San Diego,Downtown; San Diego Bay; Embarcadero Marina Park South,CA,USA,2017-03-04,hundreds; crowd of 150; as many as 500,150,308,500,165,450,General protestors,March 4 Trump; pro-Trump,2,rally,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/politics/sd-me-trump-rally-20170303-story.html,http://www.kpbs.org/news/2017/mar/04/trump-supporters-march-along-san-diegos-embarcader/,,,,
Schenectady,Along State Street,NY,USA,2017-03-04,"About 100, About 150",100,123,150,110,135,March for Education Justice,"support more funding for education, support prison reform",0,march,0,0,0,0,1,1,http://blog.timesunion.com/capitol/archives/272778/local-rally-part-of-push-for-education-prison-reforms/,,,,,
Seattle,Capitol Hill,WA,USA,2017-03-04,Thousands; about 2000,2000,2000,2000,2200,1800,Black Lives Matter,for Immigration; against President Trump; juvenile justice; several other causes,1,Rally,0,0,0,0,1,1,http://www.king5.com/news/local/seattle/black-lives-matter-moves-through-seattle-streets/419926934,http://www.capitolhillseattle.com/2017/03/march-covers-black-lives-matter-hot-spots-from-capitol-hill-to-youth-jail-to-midtown-center/,,,,
Southlake,Liberty Park,TX,USA,2017-03-04,about 200,200,200,200,220,180,General protestors,Spirit of America,2,rally,0,0,0,0,1,1,http://www.dallasnews.com/news/donald-trump-1/2017/03/04/pro-trump-crowds-rally-behind-president-southlake-austin,http://www.nbcdfw.com/news/local/Trump-Supporters-Hold-Spirit-of-America-Rally-in-Southlake-415408143.html,,,,
Springfield,Interstate 41,OH,USA,2017-03-04,Dozens; more than a dozen,24,40,60,26,54,General Protest,Pro Trump,2,demonstrations,0,0,0,0,1,1,http://www.mydaytondailynews.com/news/local-govt--politics/pro-trump-supporters-gather-for-rally-springfield/CpnHMM9ro3TGOdUoAfp4CJ/,http://wdtn.com/2017/03/04/trump-supporters-rally-in-springfield/,,,,
Sterling Heights,Freedom Hill Park,MI,USA,2017-03-04,Several Hundreds,200,200,200,220,180,march 4 Trump,Pro Trump,2,rally,0,0,0,0,1,1,http://www.freep.com/story/news/local/michigan/2017/03/04/march4trump-macomb-county-donald-trump/98741910/,,,,,
Tucson,Reid Park,AZ,USA,2017-03-04,na,,,,,,Pima County Tea Party Patriots,pro-Trump,2,,,,,,1,1,https://arizonadailyindependent.com/2017/03/04/rallies-in-support-of-trump-in-phoenix-tucson-today/,,,,,
Ventura,"Intersection of Main and Mills. North west corner, park in Wood Ranch parking lot",CA,USA,2017-03-04,,,,,,,General protestors,March 4 Trump; pro-Trump,2,rally,0,0,0,0,1,1,https://www.facebook.com/events/244386362675293/?active_tab=about,https://www.youtube.com/watch?v=wnMfL8fiic8,,,,
Ventura,"Intersection of Main and Mills. North west corner, park in Wood Ranch parking lot",CA,USA,2017-03-04,,,,,,,General protestors,anti-Trump,1,counter-protest,0,0,0,0,0,0,https://www.facebook.com/events/244386362675293/?active_tab=about,https://www.youtube.com/watch?v=wnMfL8fiic8,,,,
Virginia Beach,Mount Trashermore,VA,USA,2017-03-04,na,200,200,200,220,180,Spirit of America,Pro Trump policies,2,rally,0,0,0,0,1,1,http://pilotonline.com/news/local/turn-out-for-pro-trump-rally-in-virginia-beach-while/article_fec5b15e-93b6-5be1-9308-5eaa124a3327.html,,,,,
Whitewater,"the University of Wisconsin-Whitewater campus and then traveled via Prince, Main and Whitewater streets to Cravath Lakefront Park",WI,USA,2017-03-04,over 200,200,200,200,220,180,General Protest,against possible expansion of an oil pipe­line on the outskirts of White­water,1,march; rally,0,0,0,0,1,1,http://www.dailyunion.com/news/article_9d74ff94-028c-11e7-bdd0-db7771c9031a.html,,,,,
Wyandach,,NY,USA,2017-03-04,na,100,100,100,110,90,Alliance for Quality Education,"support more funding for education, support prison reform",0,march,0,0,0,0,1,1,http://www.newsday.com/long-island/education/li-rallies-call-for-protecting-public-school-funding-1.13209890,,,,,
Fayetteville,,AR,USA,2017-03-05,,,,,,,University of Arkansas PRIDE group,support Transgender rights,1,Rally,0,0,0,0,1,1,http://www.nwaonline.com/news/2017/mar/05/protesters-rally-to-restore-transgender/,,,,,
Flint,City Hall,MI,USA,2017-03-05,About 200,200,200,200,220,180,General Protest,protest Flint water crisis; remember Selma,1,march,0,0,0,0,1,1,http://www.freep.com/story/news/local/michigan/2017/03/05/water-rights-civil-rights-converge-flint-rally/98770314/,http://www.mlive.com/news/flint/index.ssf/2017/02/hundreds_march_in_flint_to_pro.html,,,,
Iowa City,Ped Mall; downtown,IA,USA,2017-03-05,dozens; more than 100,24,58,100,26,90,general protestors,pro-Transgender rights,1,rally,0,0,0,0,1,1,http://www.thegazette.com/subject/news/iowa-city-rally-to-support-transgender-community-about-more-than-bathrooms-20170305,http://www.press-citizen.com/story/news/2017/03/05/rally-support-transgender-students-bathroom-rights-iowa-city/98784752/,,,,
Jackson,St. Johns United Church of Christ to Bucky Harris Park.,MI,USA,2017-03-05,About 125,125,125,125,138,113,General Protest,In support of Non Discrimination Ordinance,1,march,0,0,0,0,1,1,http://www.mlive.com/news/jackson/index.ssf/2017/03/more_than_100_rally_in_support.html,,,,,
Laramie,Simpson Plaza on the University of Wyoming campus,WY,USA,2017-03-05,more than 100,100,100,100,110,90,Students; general protestors,Support transgender community,1,Rally,0,0,0,0,1,1,http://www.laramieboomerang.com/news/local_news/residents-rally-march-in-support-of-transgender-rights/article_fc55d44a-02f8-11e7-86f4-9bed7f554cab.html,,,,,
Los Angeles,in front of LAPD headquarters,CA,USA,2017-03-05,hundreds; about 1000,200,560,1000,220,900,General protestors,support Women's rights,1,protest; march,0,0,0,0,1,1,http://abc7.com/politics/hundreds-gather-in-dtla-for-international-womens-day-march-rally/1786326/,http://losangeles.cbslocal.com/2017/03/05/hundreds-march-in-downtown-la-for-womens-day/,,,,
Pelham,Memorial High School,NY,USA,2017-03-05,A few hundred,100,100,100,110,90,Alliance for Education quality,Education reformation; pro-police; pro-Black Lives Matter; pro-LGBTQ,0,march,0,0,0,0,1,1,http://www.lohud.com/story/news/education/2017/03/05/pelham-students-march/98781356/,,,,,
Providence,Providence Holocaust Memorial,RI,USA,2017-03-05,Some 300,300,300,300,330,270,General Protest,against recent Anti-Semitism,1,demonstration,0,0,0,0,1,1,http://www.providencejournal.com/news/20170305/interfaith-rally-at-ri-holocaust-memorial-condemns-anti-semitic-acts,,,,,
Cambridge,Plaza outside Harvard University,MA,USA,2017-03-06,about 200,200,200,200,220,180,Harvard Islamic Society/society of Arab students,Anti-travel ban,1,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/massachusetts/articles/2017-03-07/protesters-rally-in-harvard-square-against-trump-travel-ban,,,,,
Cherry Hill,JCC,NJ,USA,2017-03-06,about 150,150,150,150,165,135,general protestor,Asking for federal funding,0,rally,0,0,0,0,1,1,http://www.burlingtoncountytimes.com/news/local/booker-norcross-rally-for-federal-funds-in-wake-of-jcc/article_c773e0bc-02b9-11e7-976c-4b4b787202ef.html,,,,,
Denton,University of North Texas,TX,USA,2017-03-06,about 24,24,24,24,26,22,university of north texas students,petitioning school to become sanctuary school,1,rally,0,0,0,0,1,1,http://ntdaily.com/unt-students-faculty-again-protest-to-make-unt-sanctuary-campus/,,,,,
Huntsville,outside the Von Braun Center,AL,USA,2017-03-06,between 60-70,60,65,70,66,63,North Alabama chapter of Indivisible,to ask Rep Mo Brooks to hold a town hall meeting; anti-Trump,1,protest,0,0,0,0,1,1,http://www.al.com/news/huntsville/index.ssf/2017/03/indivisible_organization_gathe.html,,,,,
Las Vegas,Jewish Federation Building to UNLV’s Pida Plaza,NV,USA,2017-03-06,about 200,200,200,200,220,180,general protesters,fight anti-Semitism,1,march; rally,0,0,0,0,1,1,https://lasvegasweekly.com/intersection/2017/mar/08/jewish-muslim-demonstrations/,,,,,
Los Angeles,Pershing Square; downtown,CA,USA,2017-03-06,about 75,75,75,75,83,68,general protesters,"support for an undocumented immigrant, Romulo Avelica-Gonzalez, 48, who was detained by ICE agents",1,rally,0,0,0,0,1,1,http://abc7.com/news/rally-held-for-undocumented-dad-detained-by-ice/1788091/,,,,,
Norcross,outside the office of United Consulting,GA,USA,2017-03-06,a dozen or so,12,12,12,13,11,general protestors,"demand Gwinnett County Commissioner Tommy Hunter resign for racist posts, against racism",0,protest,0,0,0,0,1,1,http://www.ajc.com/news/protesters-show-embattled-gwinnett-commissioner-employer/xDcejjyWfg1whZG9p32jYM/,,,,,
Portland,outside ICE office; 4310 Southwest Macadam Avenue,OR,USA,2017-03-06,a large group; dozens,24,24,24,26,22,general protesters,against ICE,0,rally,0,0,0,0,1,1,http://www.kgw.com/news/local/monday-rally-protesting-actions-of-ice-agents-could-draw-large-crowd/420171067,,,,,
San Diego,San Diego International Airport,CA,USA,2017-03-06,Dozens; more than a hundred,24,81,150,26,135,"""general protesters""",anti-Muslim Ban; anti-travel EO,1,protest; demonstration,,,,,1,1,http://www.10news.com/news/dozens-protest-president-trumps-travel-order,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0ahUKEwjy55XCrcXSAhXCXBQKHQo2BagQFggdMAE&url=http%3A%2F%2Fwww.nbcsandiego.com%2Fnews%2Flocal%2FProtestors-March-At-Lindbergh-Field-After-Revised-Travel-Ban-415537423.html&usg=AFQjCNEjeKxn4qyR_98ksqkNHjjiv_4GIQ&sig2=YfNtizwINk5bqvxhzJShuw&bvm=bv.148747831,d.amc",,,,
San Francisco,San Francisco International Airport,CA,USA,2017-03-06,Couple dozen; two dozen,24,24,24,26,22,general protesters,anti-Muslim Ban; anti-travel EO,1,protest; demonstration,,,,,1,1,http://www.sfgate.com/news/article/Protesters-rally-against-travel-ban-at-SFO-10982099.php,http://www.nbcbayarea.com/news/local/No-Ban-No-Wall-Protest-at-SFO--Challenges-New-Travel-Ban-415535263.html,,,,
Santa Ana,NA,CA,USA,2017-03-06,about 12,12,12,12,13,11,statewide coalitions/unions,"Pro-Obamacare, pro-ACA",1,rally,0,0,0,0,1,1,http://www.ocregister.com/2017/03/08/obamacare-supporters-rally-against-proposed-replacement-plan-at-mimi-walters-office/,,,,,
Vancouver,Downtown Vancouver,WA,USA,2017-03-06,more than 100,100,100,100,110,90,general proestor,anti-travel ban,1,march,0,0,0,0,1,1,http://www.columbian.com/news/2017/mar/06/vancouver-students-march-for-immigrants-minorities/,,,,,
Washington,Outside White House,DC,USA,2017-03-06,dozens,24,24,24,26,22,general protesters; Friends Committee on National Legislation; American Civil Liberties Union; Our Revolution; MoveOn.org; Lambda Legal; National People’s Action; Jewish group Bend the Arc,anti-Muslim Ban; anti-travel EO,1,protest; demonstration,,,,,1,1,http://www.dailymail.co.uk/news/article-4288896/America-hit-new-travel-ban-protests.html,http://economicnews.online/protest-in-front-of-the-white-house-against-a-veto-immigration-of-trump/,,,,
Austin,inside State Capitol,TX,USA,2017-03-07,hundreds,200,200,200,220,180,general protesters,"against bill that would require transgender people to use public bathrooms that correspond with the sex on their birth certificate, pro-LGBTQ",1,,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/ct-texas-bathroom-bill-20170307-story.html,,,,,
Bloomington,Indiana University,IN,USA,2017-03-07,about 24,24,24,24,26,22,general protestors,Pro-sanctuary campus,1,protest,0,0,0,0,1,1,http://wane.com/2017/03/08/sanctuary-campus-protesters-interrupt-iu-officials-speech/,,,,,
Chicago,Federal Plaza,IL,USA,2017-03-07,about 200,200,200,200,220,180,Black Lives Matter,"Anti-police brutality, Black Lives Matter",1,protest,0,0,0,0,1,1,http://chicago.suntimes.com/news/cpd-use-of-force-change-prompting-black-lives-matter-protest/,,,,,
Fayetteville,corner of Main Avenue and Market Street,TN,USA,2017-03-07,handful,5,5,5,6,5,PETA,"anti-meat farms, support animal rights",0,demonstration,0,0,0,0,1,1,http://www.elkvalleytimes.com/rain-cuts-peta-protest-of-poultry-farms-short/,http://www.waaytv.com/appnews/peta-protesters-criticize-lincoln-county-chicken-farm-conditions/article_1ce5b9d6-02e1-11e7-aee0-837635ae6aa3.html,,,,
Knoxville,outside Federal courthouse,TN,USA,2017-03-07,about 20,20,20,20,22,18,general protesters,"questioning ACA replacement, support ACA",1,rally,0,0,0,0,1,1,http://www.knoxnews.com/story/news/2017/03/07/rally-questions-gop-aca-replacement-proposal/98865964/,,,,,
Metairie,outside Sen. Bill Cassidy's office on the Causeway Boulevard,LA,USA,2017-03-07,,,,,,,"Metairie Indivisible, Indivisible Nola; general protestors",against GOP health care bill,1,protest,,,,,1,1,http://www.wdsu.com/article/protesters-to-demand-sen-bill-cassidy-protect-affordable-care-act-at-rally-on-tuesday/9101134,,,,,
Napa,outside Rep. Mike Thompson's office,CA,USA,2017-03-07,about 24,24,24,24,26,22,general protestors,pro-Planned Parenthood,1,protest,0,0,0,0,1,1,http://napavalleyregister.com/news/local/napa-demonstrators-support-planned-parenthood-obamacare/image_09dd8bff-9009-56c3-af76-3afad58ae38a.html,,,,,
Northampton,Downtown Northampton,MA,USA,2017-03-07,about 24,24,24,24,26,22,General protestor,Pro-Planned Parenthood,1,protest,0,0,0,0,1,1,http://wwlp.com/2017/03/07/dozens-gathered-at-the-planned-parenthood-rally-in-northampton/,,,,,
Oakland,downtown,CA,USA,2017-03-07,about 150,150,150,150,165,135,#ResistTrumpTuesdays national campaign,against Dakota access pipeline; pro-environment; anti-Trump,1,march,0,0,0,0,1,1,http://www.eastbaytimes.com/2017/03/07/oakland-environmental-justice-protest-outside-downtown-banks/,,,,,
Salisbury,outside office of Rep. Andy Harris (R),MD,USA,2017-03-07,,,,,,,American Cancer Society,pro-ACA; anti-replacement bill,1,rally,0,0,0,0,1,1,http://www.delmarvanow.com/story/news/local/maryland/2017/03/07/cancer-patients-advocates-rally-aca-protections/98863682/,,,,,
Vista,1800 Thibodo Rd,CA,US,2017-03-07,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,
Vista,1800 Thibodo Rd.,CA,US,2017-03-07,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,
Alexandria,schools,MD,USA,2017-03-08,about 300,300,300,300,330,270,school teachers,"A Day Without a Woman, support women's rights",1,protest,0,0,0,0,1,1,http://baltimore.cbslocal.com/2017/03/08/a-day-without-a-woman-demonstrations-in-baltimore/,,,,,
Amherst,UMass,MA,USA,2017-03-08,about 100,100,100,100,110,90,general protestors,A Day Without a Woman; anti-Trump,1,rally,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2017/03/about_100_attend_rally_for_wom.html,,,,,
Anchorage,"gathered on the overpass above Minnesota Drive, near West High School",AK,USA,2017-03-08,,,,,,,YWCA of Alaska,"A Day Without a Woman; ""Women on the Bridge"", support women's rights",1,rally,0,0,0,0,1,1,http://www.ktuu.com/content/news/Anchorage-women-show-support-for-International-Womens-Day-415733403.html,,,,,
Atlanta,,GA,USA,2017-03-08,about 200,200,200,200,220,180,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://kfgo.com/news/articles/2017/mar/09/women-worldwide-rally-for-equality-and-against-trump-in-us/,,,,,
Boston,Downtown Crossing,MA,USA,2017-03-08,,,,,,,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.wcvb.com/article/rally-in-boston-for-a-day-without-a-woman/9108960,,,,,
Boulder,Glen Huntington Bandshell in Boulder's Central Park to Shine Restaurant and Gathering Place at 2027 13th St.,CO,USA,2017-03-08,na,20,20,20,22,18,general protesters,support International Women's Day,1,march,,,,,1,1,http://www.timescall.com/longmont-local-news/ci_30840922/international-womens-day-march-and-rally-planned-boulder,https://www.facebook.com/events/1654792894815505/,,number counted in FB pics,,
Buffalo,City Hall to Tupper Street,NY,USA,2017-03-08,,,,,,,general protesters; Worker's World Party,"A Day Without a Woman, support women's rights",1,march,0,0,0,0,1,1,http://news.wbfo.org/post/buffalo-joins-international-womens-day-demonstrations,,,,,
Chicago,Chicago Teachers Union hall,IL,USA,2017-03-08,over 1000,1000,1000,1000,1100,900,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2017/3/9/over-1000-join-chicago-international-women-s-day-rally,http://chicago.cbslocal.com/2017/03/08/chicago-businesses-mark-a-day-without-a-woman-with-strikes-rallies/,,,,
Chicago,outside CTA hdqtrs,IL,USA,2017-03-08,a group,,,,,,CTA employees,A Day Without a Woman; better working conditions,1,rally,0,0,0,0,1,1,http://abc7chicago.com/news/chicago-women-take-part-in-a-day-without-a-woman/1790317/,,,,,
Cincinnati,Piatt Park,OH,USA,2017-03-08,,,,,,,United We Stand Cincinnati; Service Employees International Union Local 1 chapter; YWCA; Cincinnati Socialist Alternative; general protesters,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.cincinnati.com/story/news/2017/03/08/womens-day-rally-peaceful-passionate/98901198/,,,,,
Cleveland,at the Free Stamp to Public Sq,OH,USA,2017-03-08,over 200,200,200,200,220,180,general protesters,"A Day Without a Woman, support women's rights",1,rally; march,0,0,0,0,1,1,http://www.cleveland.com/metro/index.ssf/2017/03/international_womens_day_march.html,,,,,
Collier County,corner of U.S. 41 and Airport-Pulling Road South; march to W. Harmon Turner Administrative Building at the Collier County Government Center,FL,USA,2017-03-08,more than 100,100,100,100,110,90,Collier Freedom Movement,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.naplesnews.com/story/news/local/2017/03/08/collier-womens-rally-draws-more-than-100/98915148/,,,,,
Columbus,Goodale Park 120 W. Goodale St. 43215,OH,USA,2017-03-08,hundreds,200,200,200,220,180,Women's March Ohio,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://thelantern.com/2017/03/columbus-and-ohio-state-communities-rally-for-international-womens-day/,,,,,
Columbus,Ohio St Uni,OH,USA,2017-03-08,over 100,100,100,100,110,90,general protesters,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://thelantern.com/2017/03/a-day-without-a-woman-marked-with-campus-rally-teach-in/,,,,,
Denver,state capitol,CO,USA,2017-03-08,hundreds,200,200,200,220,180,general protesters,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.thedenverchannel.com/news/local-news/hundreds-rally-at-day-without-a-woman-protest-in-denver,,,,,
Durham,CCB Plaza,NC,USA,2017-03-08,nearly 100,100,100,100,110,90,general protesters,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://abc11.com/news/day-without-a-woman-triangle-take-part-in-protest/1790237/,,,,,
Fort Lauderdale,Holiday Park,FL,USA,2017-03-08,,,,,,,Broward chapter of Women’s March Florida,"A Day Without a Woman, support women's rights",1,candlelight vigil,0,0,0,0,1,1,http://www.nbcmiami.com/news/local/South-Florida-Groups-Plan-Protests-For-A-Day-Without-A-Woman-415629883.html,,,,,
Glen Rock,NA,NJ,USA,2017-03-08,Some 200,200,200,200,220,180,Glen Rock after the march,"A Day Without a Woman, support women's rights",1,protest,0,0,0,0,1,1,http://www.northjersey.com/story/news/bergen/2017/03/08/women-rally-glen-rock-day-without-woman/98873004/,,,,,
Grand Marais,Harbor Park,MN,USA,2017-03-08,more than 30,30,30,30,33,27,general protesters,support International Women's Day,1,rally; march,0,0,0,0,1,1,http://www.wtip.org/international-womens-day-march-held-grand-marais,,,cold & windy,,
Greenfield,Town Common,MA,USA,2017-03-08,hundreds,200,200,200,220,180,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://wwlp.com/2017/03/08/rally-for-women-held-in-downtown-greenfield/,,,,,
Hanover,green,NH,USA,2017-03-08,about 60,60,60,60,66,54,general protesters,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://www.thedartmouth.com/article/2017/03/community-gathers-on-green-for-international-womens-day,,,,,
Holyoke,Holyoke Community College,MA,USA,2017-03-08,about 100,100,100,100,110,90,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2017/03/about_100_attend_rally_for_wom.html,,,,,
Honolulu,Magic Island to Trump International Hotel Waikiki at 223 Saratoga Rd,HI,USA,2017-03-08,scores; close to 600,80,314,600,88,540,Women's March - Hawai'I; AiKea Movement; UNITE HERE Local 5; Hawaii State Teachers Association,support International Women's Day,1,rally; march,0,0,0,0,1,1,http://www.kitv.com/clip/13161234/a-day-without-a-woman-march-held-in-honolulu,https://www.facebook.com/events/1229380380442503/?active_tab=about,,see also video at link,,
Hyannis,Main Street,MA,USA,2017-03-08,about 40,40,40,40,44,36,Cape and Islands Stronger Together,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://www.capecod.com/newscenter/demonstrations-across-cape-cod-mark-womens-day/,http://www.barnstablepatriot.com/news/20170310/cape-cod-rotary-demonstrations-mark-international-womens-day,,,,
Hyannis,West End Rotary,MA,USA,2017-03-08,dozens,24,24,24,26,22,general protestors,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://www.capecod.com/newscenter/demonstrations-across-cape-cod-mark-womens-day/,,,,,
Jacksonville,Hemming Park; downtown,FL,USA,2017-03-08,several hundred,200,200,200,220,180,Jacksonville Progressive Coalition,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.firstcoastnews.com/news/local/downtown-jacksonville/international-womens-day-rally-comes-to-hemming-park/420988321,,,,,
Kansas City,UMKC,MO,USA,2017-03-08,almost 100,100,100,100,110,90,students,"protest reported rape, against sexual assault",0,rally; march,0,0,0,0,1,1,http://www.kshb.com/news/local-news/umkc-students-rally-against-response-to-reported-rape,,,,,
Lafayette,Riehle Plaza,IN,USA,2017-03-08,about 40,40,40,40,44,36,general protestors,"A Day Without a Woman, support women's rights",1,protest,0,0,0,0,1,1,http://wbaa.org/post/lafayette-women-opt-out-visible-and-invisible-work-during-womens-strike#stream/0,,,,,
Lawrence,Watson Park,KS,USA,2017-03-08,more than 200,200,200,200,220,180,general protestors,support International Women's Day,1,rally,0,0,0,0,1,1,http://m.ljworld.com/news/2017/mar/08/international-womens-day-draws-crowd-watson-park/?templates=mobile,,,,,
Los Angeles,Outside City Hall,CA,USA,2017-03-08,scores,40,40,40,44,36,general protesters,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.latimes.com/local/california/la-me-ln-womens-rally-20170308-story.html,,,,,
Madison,steps of the state Capitol,WI,USA,2017-03-08,about 700; about 1500,700,1060,1500,770,1350,general protesters,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://www.channel3000.com/news/hundreds-gather-at-capitol-for-day-without-women-event/384341966,http://www.wrn.com/2017/03/hundreds-march-on-wisconsin-capitol-for-womens-day-demonstration/,,,,
Mashpee,rotary,MA,USA,2017-03-08,more than 60,60,60,60,66,54,Cape and Islands Stronger Together,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://www.capecod.com/newscenter/demonstrations-across-cape-cod-mark-womens-day/,http://www.barnstablepatriot.com/news/20170310/cape-cod-rotary-demonstrations-mark-international-womens-day,,,,
Miami,downtown,FL,USA,2017-03-08,several hundred,200,200,200,220,180,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://wsvn.com/news/local/international-womens-day-rally-to-be-held-in-downtown-miami/,,,,,
