CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Decatur,Southern DeKalb County,Dekalb,GA,US,2018-11-01,,,,,,,general protestors,rally for Abrams (D) for governor,1,rally,0,0,0,0,1,1,https://www.nbcnews.com/politics/elections/oprah-campaign-georgia-democrat-stacey-abrams-mike-pence-rallies-her-n929766,https://www.dekalbcountyga.gov/parks/porter-sanford-iii-performing-arts-community-center,,,
Denton,University of North Texas,Denton,TX,US,2018-11-01,about 75,75,,75,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/UNTHillel/status/1057794158302294016,https://www.ntdaily.com/jewish-student-organization-fraternity-host-on-campus-vigil-in-wake-of-pittsburgh-synagogue-mass-shooting/,,,
Des Moines,outside the greater Des Moines partnership office,Polk,IA,US,2018-11-01,few dozen,12,,12,,,general protestors,chant against Congressman Steve King,0,protest,0,0,0,0,1,1,https://www.desmoinesregister.com/picture-gallery/news/politics/2018/11/01/steve-king-iowa-citizens-community-improvement-protest-greater-des-moines-partnership-racism-nazi/1847775002/,https://www.desmoinesregister.com/story/news/politics/elections/2018/11/01/steve-king-speaks-protesters-iowa-congressman-racist-vote-republican-greater-des-moines-partnership/1847195002/,,,
Des Moines,,Polk,IA,US,2018-11-01,more than 50,50,,50,,,Iowa Citizens for Community Improvement,confronting Rep. Steve King ,2,protest,0,0,0,0,1,1,https://www.ketv.com/article/protesters-force-their-way-into-steve-king-event/24528687,,,,
Everett,,Snohomish,WA,US,2018-11-01,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/MayorCassie/status/1058458932350316544,,,,
Fargo,Fargo Air Museum,Cass,ND,US,2018-11-01,,,,,,,rally for Democratic candidate Heitkamp,rallying for Democratic support,1,rally,0,0,0,0,1,1,https://www.apnews.com/0233a875c44a4cdbbdabe0db598bd6fe,https://www.kvrr.com/2018/11/01/democrat-npl-candidates-rally-support-at-fargo-air-museum/,,,
Glens Falls,Shaaray Tefila synagogue,Warren,NY,US,2018-11-01,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/mennekinpis/status/1057789786793172992,,,,
Grand Rapids,,Kent,MI,US,2018-11-01,hundreds,200,,200,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/GRPastors/status/1058491465259802625,http://www.nataliehart.com/my-help-comes-from-adonai/,,,
Greenbelt,Mishkan Torah,Prince George's,MD,US,2018-11-01,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/CityofGreenbelt/status/1056930800795566080,,,,
Greencastle,DePauw University,Putnam,IN,US,2018-11-01,more than 150,150,,150,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/DePauwU/status/1058155394248392704,https://www.thedepauw.com/depauw-hillel-stands-surrounded-by-community-at-vigil-against-hate/,,,
Greenville,,Pitt,NC,US,2018-11-01,dozens,24,,24,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/slogan4000/status/1058494242132238337,http://www.reflector.com/News/2018/11/02/Community-unites-against-hate-crime-that-left-11-Jews-dead.html,,,
Greenville,front steps of the Hunt County Courthouse,Hunt,TX,US,2018-11-01,,,,,,,Alzheimer caregivers,gathering for support,0,rally,0,0,0,0,1,1,https://www.heraldbanner.com/news/alzheimer-s-caregiver-support-group-to-gather-at-rally/article_20a46ad2-dcc3-11e8-ad0b-573557022d69.html,,,,
Grovestown ,Columbia County Exhibition Center,Richmond,GA,US,2018-11-01,,,,,,,Rally for Republican candidate Kemp ,rallying for support in the upcoming midterm ,2,rally,0,0,0,0,1,1,https://www.wrdw.com/content/news/Vice-President-Mike-Pence-and-Brian-Kemp-to-rally-in-Grovetown-498597861.html,,,,
Holyoke,United Congregational Church of Holyoke,Hampden,MA,US,2018-11-01,dozens,24,,24,,,general protestors,against violent attack on Pittsburgh synagogue and in Kentucky,0,vigil; march,0,0,0,0,1,1,https://twitter.com/WesternMAnews/status/1058478386740449280,,,,
Key West,Higgs Beach pavilion,Monroe,FL,US,2018-11-01,More than 500,500,,500,,,rally for Democratic candidate Gillum,rally for Democrat support,1,rally,0,0,0,0,1,1,https://keysnews.com/article/story/gillum-to-hold-rally-thursday/,https://keysnews.com/article/story/gillum-brings-a-lot-of-energy-to-key-west/,,,
Kirkland,,King,WA,US,2018-11-01,Hundreds,200,,400,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,https://komonews.com/news/local/local-google-employees-join-worldwide-walkout-to-protest-treatment-of-women,https://www.seattletimes.com/seattle-news/seattle-google-employees-walk-out-over-treatment-of-female-employees/,,,
Lansing,Lansing Community College,Ingham,MI,US,2018-11-01,more than 2000 ,2000,,2000,,,the campaign of Democratic congressional candidate Elissa Slotkin,galvanize Democrats ahead of midterm elections,1,rally,0,0,0,0,1,1,https://www.detroitnews.com/story/news/politics/2018/11/01/biden-rally-lansing-michigan-democrats/1835641002/,https://www.detroitnews.com/picture-gallery/news/2018/11/02/former-v-p-joe-biden-campaigns-get-out-vote-rally-lansing/1853087002/,,,
Lincoln,State Capitol,Lancaster,NE,US,2018-11-01,FB: 232,232,,232,,,general protestors,standing against hate,0,vigil,0,0,0,0,1,1,https://twitter.com/neappleseed/status/1057774252399751169,https://www.facebook.com/events/191028901783916/,,,
Manhattan,Manhattan High School West Campus and McCain Auditorium on Kansas State University's campus,Riley,KS,US,2018-11-01,More than 100,100,,100,,,Westboro Baptist Church,protesting because the city was voted one of the most LGBTQ community friendly cities in Kansas by the Human Rights Campaign,2,protest,0,0,0,0,1,2,http://themercury.com/news/education/westboro-baptist-church-to-protest-at-mhs-landon-lecture/article_4e478d2a-f0e9-5592-a71c-97ef916f62de.html,,,,
Marietta,Cobb County Civic Center,Cobb,GA,US,2018-11-01,na ,600,,600,,,general protestors,rally for Abrams (D) for governor,1,rally,0,0,0,0,1,1,https://www.usatoday.com/story/news/politics/elections/2018/11/01/oprah-winfrey-stacey-abrams/1846850002/,,,,
Mountain View,outside Google headquarters,Santa Clara,CA,US,2018-11-01,nearly 4000,4000,,4000,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,https://www.cnbc.com/2018/11/01/google-employees-walk-out-in-protest-of-sexual-misconduct-handling.html,https://twitter.com/chinesco/status/1058069556034334720,https://9to5google.com/2018/11/02/google-walkout-20000-googlers/,https://www.marketwatch.com/story/thousands-of-google-workers-stage-walkout-to-protest-response-to-sexual-harassment-2018-11-01?link=MW_latest_news,
Myrtle Beach,Myrtle Beach Holocaust Memorial Area,Horry,FL,US,2018-11-01,na ,200,,200,,,Temple Emanue-El and Chabad of Myrtle Beach,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://www.wbtw.com/news/grand-strand/myrtle-beach-jewish-congregations-host-vigil-honoring-victims-in-pittsburgh-synagogue-shooting/1567136368,,,,
New York,14th Street Park,New York,NY,US,2018-11-01,hundreds; overflowing capacity of 750; thousands,200,,2000,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,https://abc7ny.com/business/hundreds-of-google-employees-walk-out-protest-in-nyc/4595635/,https://abc7news.com/business/google-walkout-worldwide-unites-employees-against-companys-treatment-of-women/4598694/,,,
