CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Rutland City ,Main Street Park ,VT,US,2017-02-01,,100,175,250,110,225,general protestors,"end the ""Muslim ban"", immigration",1,Vigil and demonstration,0,0,0,0,1,1,http://mountaintimes.info/refugee-supporters-rally-wake/,http://www.mynbc5.com/article/rutland-residents-hold-vigil-for-refugee-resettlement/8650707,,,
Sacramento,Sacramento City Hall; I St & J St,CA,US,2017-02-01,,100,150,200,110,180,Black Lives Matter Sacramento,"against district attorney's decision not to charge the two officers in fatal shooting of Black man, against police brutality, for justice for Joseph Mann, for resignation of district attorney, against racism, Black Lives Matter",1,march,0,0,0,0,1,1,http://www.kcra.com/article/i-5-onramp-closed-as-protesters-march-in-downtown-sac/8665720,http://www.abc10.com/news/local/hundreds-protest-da-decision-to-clear-police-in-shooting-death-of-joseph-mann/395555251,,,
San Luis Obispo,Mission Plaza,CA,US,2017-02-01,,300,,300,,,Women's March San Luis Obispo; general protestors,anti-immigration ban; solidarity with POC,1,vigil,0,0,0,0,1,1,http://www.sanluisobispo.com/news/local/article130239954.html,http://www.ksby.com/story/34406450/vigil-held-in-downtown-san-luis-obispo-to-protest-immigration-policy,,,
Simi Valley,U.S. Rep. Steve Knight’s office,CA,US,2017-02-01,,125,125,125,137.5,112.5,general protestors ,against repealing Obamacare; health care,1,demonstration,0,0,0,0,1,1,http://www.simivalleyacorn.com/news/2017-02-03/Front_Page/Protestors_urge_Knight_to_save_ACA.html,,,,
Smyrna,Smyrna area prison,DE,US,2017-02-01,,40,40,40,44,36,prison inmates,protesting Trump and the rehabilitation and education system,1,standoff,,,1,0,1,1,http://www.delawareonline.com/story/news/2017/02/01/hostage-takers-call-demands-news-journal/97365760/,http://www.cnn.com/2017/02/02/us/delaware-prison-standoff/,,,
Springdale,Outside Tom Cotton's Office,AR,US,2017-02-01,,150,,200,,,Ozark Indivisible,pro-ACA; protesting congressman's lack of availability to meet; health care,1,protest,0,0,0,0,1,1,https://www.arktimes.com/ArkansasBlog/archives/2017/02/02/ozark-indivisible-protest-of-cotton-office-in-springdale-featured-on-rachel-maddow-show,https://www.arktimes.com/ArkansasBlog/archives/2017/02/01/protesters-demonstrate-outside-sen-tom-cottons-springdale-office,http://www.washingtontimes.com/news/2017/feb/22/cotton-draws-hostile-crowd-for-northwest-arkansas-/,,
Storrs,University of Connecticut,CT,US,2017-02-01,,250,250,250,275,225,In part by UConn MSA,"end the ""Muslim ban"", immigration, immigration",1,demonstartion,0,0,0,0,1,1,http://www.courant.com/news/connecticut/hc-avon-farmington-valley-muslim-rally-20170201-story.html,http://fox61.com/2017/02/01/hundreds-of-uconn-students-hold-anti-trump-rally/,,,
Storrs,University of Connecticut Campus,CT,US,2017-02-01,,,,,,,students,support Trump,2,counterprotest,0,0,0,0,1,1,http://fox61.com/2017/02/01/hundreds-of-uconn-students-hold-anti-trump-rally/,http://www.courant.com/news/connecticut/hc-avon-farmington-valley-muslim-rally-20170201-story.html,,,
West Hartford,West Hartford Town Hall,CT,US,2017-02-01,,1100,1150,1200,1210,1080,general protestors,end immigration ban,1,demonstration,0,0,0,0,1,1,http://we-ha.com/west-hartford-rallies-immigrant-refugee-rights/,,,,
Worcester,outside City Hall,MA,US,2017-02-01,,200,200,200,220,180,general protestors,immigration policy,1,demonstration,0,0,0,0,1,1,https://worcestermag.com/2017/02/01/pre-city-council-protest-draws-large-pro-immigration-crowd/49050,,,,
