date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-01-01,Saint Louis,MO,St. Louis City Justice Center,,,,,,inmates,against inhumane conditions in city jail,0,demonstration,,,,,,,,,,,,http://www.stlamerican.com/news/local_news/city-justice-center-protest-timeline/article_4593a27e-697d-11eb-b847-ab7156f4dc69.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Salem,OR,Bush's Pasture Park,Fascist Free 503,about 100,100,100,,anti-fascists; Black Lives Matter activists,"against fascism, against white supremacy",1,counter-protest,staged nearby in riot gear; declared unlawful assembly during march in downtown; threatened to use force if protesters did not disperse; used flash-bangs and smoke grenades; shot pepper balls; marched protesters from downtown back to Capitol; made arrests,,,,,,,,20200101-salem-masks,,,https://twitter.com/WillametteAC/status/1338683922956210177,https://idahonews.com/news/local/new-years-day-protests-emerge-at-oregon-capitol,https://twitter.com/MathieuLRolland/status/1345182393565528066,https://www.thecentersquare.com/oregon/pick-a-side-oregon-protesters-ring-in-new-years-day-with-ultimatum-for-police/article_d2f75abc-4cad-11eb-ac13-7f40ca9b356f.html,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Salem,OR,Oregon State Capitol; Mahonia Hall; downtown,Mass Civil Disobedience Rally and March,150 or so; roughly 200; hundreds; a few hundred; several hundred; at least 200; nearly 300,150,300,Oregon Women for Trump,Oregon Women for Trump; Proud Boys; general Trump supporters; Patriot Prayer,"against state mandates in response to coronavirus pandemic, against Governor Brown, for President Trump, for First Amendment rights, against tyranny, against police",2,rally; march,staged nearby in riot gear; declared unlawful assembly during march in downtown; threatened to use force if protesters did not disperse; used flash-bangs and smoke grenades; shot pepper balls; marched protesters from downtown back to Capitol; made arrests,"carried guns; armed with various other weapons, including knives, chemical sprays, and batons; used chemical munitions and fireworks in confrontation with police downtown",,,3,,,,20200101-salem-masks,,,https://www.oregonlive.com/politics/2021/01/protest-against-coronavirus-restrictions-underway-in-salem.html,https://twitter.com/MrOlmos/status/1345109675545489408,https://twitter.com/FordFischer/status/1345412155194142720,https://twitter.com/BGOnTheScene/status/1345118456283185152,https://twitter.com/MathieuLRolland/status/1345182393565528066,https://www.kezi.com/content/news/Police-brace-for-competing-New-Years-Day-protests-in-Salem-573514531.html,https://idahonews.com/news/local/new-years-day-protests-emerge-at-oregon-capitol,https://lincolncityhomepage.com/lincoln-city-man-swept-into-protest/,https://www.koin.com/news/protests/salem-protest-unrest-state-capitol-oregon-demonstrations01012021/,https://www.rallylist.com/mass-civil-disobedience-rally-march-salem-oregon/,https://www.klcc.org/post/salem-protesters-rally-against-covid-19-restrictions,https://www.theintelligencer.com/news/article/Arrests-during-dueling-protests-in-Salem-Oregon-15840739.php,https://twitter.com/BGOnTheScene/status/1345187612156256256,https://www.thecentersquare.com/oregon/pick-a-side-oregon-protesters-ring-in-new-years-day-with-ultimatum-for-police/article_d2f75abc-4cad-11eb-ac13-7f40ca9b356f.html,https://www.newsweek.com/police-clash-proud-boys-trump-supporters-protest-salem-oregon-1558503,https://www.klcc.org/post/3-arrested-after-new-year-s-day-protests-salem,https://www.portlandmercury.com/blogtown/2021/01/05/31291890/recent-protests-show-philosophical-shifts-in-opposing-activist-movements,https://www.kptv.com/news/protesters-gather-outside-capitol-march-to-governors-residence-to-demonstrate-against-oregon-s-covid-19/article_a0100b5a-4c7e-11eb-a5c7-2b62e82836de.html?block_id=994431,,,,,,,,,,,,
2021-01-01,San Francisco,CA,"home of U.S. House of Representatives Speaker Nancy Pelosi, Pacific Heights",,,,,,an autonomous multi-racial group of anarchists and radicals,for canceling rent and providing financial relief during coronavirus pandemic,1,direct action,,,,,,graffiti,,,,,,https://itsgoingdown.org/sf-communique-vandalism/,https://www.msn.com/en-us/news/opinion/nancy-pelosis-san-francisco-home-vandalized-with-graffiti-severed-pigs-head/vi-BB1cpzz8,https://sanfrancisco.cbslocal.com/2021/01/03/report-pelosi-san-francisco-home-vandalized-graffiti-apparent-pigs-head/#.X_MehVJKGi0.twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Santa Rosa,CA,Sonoma County Jail,,21,21,21,,inmates,for free phone calls and video visitations and increased access to voluntary work assignments for prison inmates,0,hunger strike,,,,,,,,,,Continued until at least mid-January.,,https://www.petaluma360.com/article/news/sonoma-county-jail-inmates-call-for-more-contact-with-outside-world/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Sherman Oaks,CA,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,,,,The Valley of Change,,"Black Lives Matter, against police brutality",1,demonstration,,,,,,,,,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,West Monroe,LA,Restoration Park,March for Trump Bus Tour,,,,Women for America First,Tea Party; Cowboys for Trump,"for President Trump, against election fraud, against certification of election results",2,rally,,,,,,,,,,,,https://twitter.com/AmyKremer/status/1344760206111223815,https://www.thenewsstar.com/story/news/local/2021/01/01/march-trump-bus-tour-comes-west-monroe-new-years-day/4107661001/,https://www.bostonglobe.com/2021/02/01/nation/77-days-trumps-campaign-subvert-election/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,West Palm Beach,FL,Southern Blvd,NO Trump! Motorcade Exit Protest,dozens,24,24,Pop Up Protest South Florida,protesters,against President Trump,1,caravan; demonstration,,,,,,,,,,Demonstrators lined route taken by Trump motorcade from Mar-a-Lago to airport.,,https://www.facebook.com/events/1329259747420458/,https://www.wpbf.com/article/supporters-and-protesters-line-the-streets-as-president-trump-leaves-west-palm-beach/35104816#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,West Palm Beach,FL,Southern Blvd,,dozens,24,24,,supporters; Latinos for Trump,for President Trump,2,demonstration,,,,,,,,,,Demonstrators lined route taken by Trump motorcade from Mar-a-Lago to airport.,,https://www.wpbf.com/article/supporters-and-protesters-line-the-streets-as-president-trump-leaves-west-palm-beach/35104816#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Wooster,OH,Market St and Liberty St,,,,,,,against racism,1,demonstration,,,,,,,,,,250th consecutive day,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
