CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Davis,outside the office of Congressman John Garamendi,Yolo,CA,US,2019-01-03,,,,,,,Indivisible Yolo,rally urging tthe passage of a strong H.R. 1 to protect democracy,1,rally,,,,,1,1,https://www.dailydemocrat.com/2019/01/02/indivisible-yolo-plans-rally-outside-congressmans-office-in-davis/,,,,,,
Glens Falls,outside Rep. Elisa Stefanik's office,Warren,NY,US,2019-01-03,,,,,,,Saratoga Progressive Action,protest partial govt shutdown; oppose Wall,1,demonstration,,,,,1,1,https://poststar.com/news/local/demonstration-outside-stefanik-s-office-set-for-thursday/article_3bb10a4f-8a5d-53a5-ae31-278638dcfb8e.html,,,,,,
Kingston,Millard Building in Midtown Kingston,Ulster ,NY,US,2019-01-03,dozens,24,,24,,,New Paltz-based activist group U-ACT,rally in support of progressive issues championed by Democrats,1,rally,0,0,0,0,1,1,http://www.midhudsonnews.com/News/2019/January/04/prog_rally_King-04Jan19.html,https://www.dailyfreeman.com/news/local-news/kingston-rally-touts-progressive-issues-as-democratic-rep-delgado-is/article_d795455e-103a-11e9-9408-dfec9bae789f.html,,,,,
Modesto,outside the Stanislaus Superior Courthouse,Stanislaus,CA,US,2019-01-03,several dozen,36,,36,,,general protesters ,to show respect for slain Newman police Cpl. Ronil Singh and support for his family,0,rally,0,0,0,0,1,1,https://www.modbee.com/news/local/crime/article223848315.html,,,,,,
Oakland,West Oakland BART station,Alameda,CA,US,2019-01-03,about 150,150,,150,,,general protestors ,"protest Jan. 3, 2018 police shooting of Sahleem Tindle",0,protest,0,0,0,0,1,1,https://www.eastbaytimes.com/2019/01/03/bart-closes-west-oakland-station-as-protesters-mark-shooting-anniversary/,https://www.sfgate.com/bayarea/article/west-oakland-bart-protest-trains-not-stop-tindle-13507429.php,https://www.sfchronicle.com/bayarea/article/west-oakland-bart-protest-trains-not-stop-tindle-13507429.php,,,,
Parkersburg,Bicentennial Park next to the Parkersburg Municipal Building,Wood,WV,US,2019-01-03,,,,,,,Wood County Indivisible,"calling for support for the democracy reform bill, House Resolution 1",1,demonstration,,,,,1,1,http://www.newsandsentinel.com/news/local-news/2019/01/wood-county%e2%80%88indivisible-plans-demonstration/,https://www.journal-news.net/journal-news/west-virginians-rally-at-congressman-s-office-over-shutdown/article_69744b4a-1d4c-53dd-a674-fc12d4235a07.html,,,,,
Philadelphia,outside several hospitals,Philadelphia,PA,US,2019-01-03,,,,,,,Pennsylvania Association of Staff Nurses and Allied Professionals,demand fair contract,0,picket lines,0,0,0,0,1,1,https://6abc.com/nurses-picket-in-philly-to-protest-hospital-staffing-levels/5009791/,,,nurses said not a strike; informational,,,
Roswell,Pioneer Plaza,Chaves,NM,US,2019-01-03,count pic,13,,13,,,Roswell Indivisible,against Trump,1,demonstration,0,0,0,0,1,1,https://www.rdrnews.com/2019/01/03/residents-protest-as-new-congress-members-take-oath/,,,,,,
Springfield,in front of the Department of Homeland Security office,Effingham,GA,US,2019-01-03,around 200,200,,200,,,general protestors,"calling for the release of Eduardo Samaniego, an immigrant-rights activist",1,rally,0,0,0,0,1,1,https://www.gazettenet.com/Rallies-in-Springfield-Atlanta-call-for-Eduardo-Samaniego-s-release-22539787,,,,,,
College Park,National Archives and Records Administration,Prince George's,MD,US,2019-01-04,count video,6,,6,,,federal workers,end to government shutdown,1,protest,0,0,0,0,1,1,https://wtop.com/prince-georges-county/2019/01/furloughed-feds-stage-rally-to-speak-out-against-government-shutdown/,,,,,,
Hyannis,,Barnstable,MA,US,2019-01-04,nearly 100,100,,100,,,"Representatives from Indivisible groups from the Lower Cape, Outer Cape and Martha’s Vineyard, along with Cape Cod Women for Change",advocated for US Rep Keating to support and act on bills such as the H.R. 1 Democracy Act,1,rally,0,0,0,0,1,1,https://www.capecodtimes.com/news/20190103/hyannis-rally-pushes-progressive-agenda,,,,,,
Media,on the steps of the Delaware County courthouse,Delaware,PA,US,2019-01-04,,,,,,,"Indivisible Project, Southeastern PA",supporting the new Democratic majority in the U.S. House of Representatives while pushing support for HR 1,1,rally,0,0,0,0,1,1,https://www.delcotimes.com/news/local/group-holds-rally-at-courthouse-to-laud-scanlon-joining-congress/article_ee25250e-0f9b-11e9-9ab6-9726c048acab.html,,,,,,
Menlo Park,1000 El Camino Real,San Mateo,CA,US,2019-01-04,,,,,,,residents,protesting tree removal,0,protest,,,,,1,1,https://www.almanacnews.com/news/2019/01/01/locals-protest-planned-felling-of-seven-redwoods,,,,,,
New York,UN Headquarters,New York,NY,US,2019-01-04,count pic,1,,1,,,general protestor,against inaction on climate change,1,strike,0,0,0,0,1,1,https://twitter.com/AlexandriaV2005/status/1081220292675072000,,,,,,
Parkersburg,from Bicentennial Park to the offices of U.S. Rep. David McKinley,Wood,WV,US,2019-01-04,approximately 25,25,,25,,,members of Wood County Indivisible,to mark the first day of Democratic Party control of the House of Representatives and encourage McKinley to support a clean government funding resolution with no border wall funding,1,march,0,0,0,0,1,1,https://www.journal-news.net/journal-news/west-virginians-rally-at-congressman-s-office-over-shutdown/article_69744b4a-1d4c-53dd-a674-fc12d4235a07.html,,,,,,
Parsippany,outside of the Board of Education building,Morris,NJ,US,2019-01-04,hundreds,200,,200,,,"teachers, students",rallying for a new contract and speaking on behalf of a suspended custodian,1,rally,0,0,0,0,1,1,https://www.dailyrecord.com/story/news/2019/01/03/parsippany-school-board-emotional-meeting-teachers-contract-suspended-custodian/2475754002/,,,,,,
Richmond,440 Civic Center Plaza,Contra Costa,CA,US,2019-01-04,,,,,,,Indivisible East Bay,call on Congress to reduce the influence of money in politics,1,rally,,,,,1,1,https://www.sfchronicle.com/politics/article/Bay-Area-political-events-Oscar-Grant-13500309.php,,,,,,
St. Louis,outside the Federal Center on Goodfellow Blvd,St. Louis,MO,US,2019-01-04,count pic,8,,8,,,USDA workers in St. Louis,calling for an end to the government shutdown,1,protest,0,0,0,0,1,1,https://www.stltoday.com/news/local/metro/federal-workers-in-st-louis-protest-speak-out-against-government/article_5be4879d-0fb8-5221-bffc-aca6b1671a97.html,https://www.kmov.com/news/federal-workers-hold-rally-in-st-louis-to-protest-government/article_39a24df0-107c-11e9-8e31-e79686d8fbec.html,,,,,
Temecula,outside Rep. Hunter's office,Riverside,CA,US,2019-01-04,about 40,40,,40,,,constituents/Indivisible Fallbrook,"expressing support for the new Democratic-controlled Congress, as well as ending the government shutdown and several other progressive issues",1,rally,0,0,0,0,1,1,https://www.sandiegouniontribune.com/news/politics/sd-me-indivisible-new-congress-20190103-story.html,https://www.sandiegouniontribune.com/visuals/photography/sd-pg-indivisible-fallbrook-rally-at-hunters-temecula-office-20190103-photogallery.html,,,,,
Utica,Oneida Square Roundabout on Genesee Street,Oneida,NY,US,2019-01-04,about 40,40,,40,,,Indivisible Mohawk Valley,urging Congressman Anthony Brindisi to support the democracy reform bill H.R.1.,1,demonstration,0,0,0,0,1,1,https://madisoncountycourier.com/?p=98679,,,,,,
Clayton,Clayton Park,St. Louis,MO,US,2019-01-05,at least 150,150,,150,,,Trump supporters,rally to support Trump/his wall,2,rally,0,0,0,0,1,1,https://www.stltoday.com/news/local/govt-and-politics/trump-supporters-rally-in-clayton-for-border-wall/article_93498076-24d8-5dca-a8f7-ed7b0018fda7.html,,,,,,
Cookeville,Putnam County Library,Putnam,TN,US,2019-01-05,couple hundred,200,,200,,,Tennessee Pastors Network,"against Drag Queen Story Hour at Putnam County Library, for Christian values",2,protest,0,0,0,0,1,1,https://fox17.com/news/local/drag-queen-story-hour-goes-on-despite-tn-pastors-network-protesters,,,,,,
