CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Lorton,South County High School,Fairfax,VA,US,2019-02-02,estimated 750 to 1000,750,,1000,,,General protestors,Against abortion rights,2,protest,0,0,0,0,1,1,https://www.washingtonexaminer.com/news/anti-abortion-groups-plan-saturday-rally-against-extremism-of-virginia-democrats,https://bigleaguepolitics.com/750-pro-lifers-launch-impromptu-protest-against-virginia-abortion-extremist-kathy-tran/,,,,,,
Maywood,House Bar and Grille,Los Angeles,CA,US,2019-02-02,thousands,2000,,2000,,,Mongols Motorcycle Club,Against government attempts to seize trademark,0,rally,0,0,0,0,1,1,http://www.pasadenastarnews.com/general-news/20140329/mongols-rally-against-federal-lawsuit-targeting-club-logo,,,,,,,
Memphis,Shelby Farms Park,Shelby,TN,US,2019-02-02,approximately 200,200,,200,,,Venezolanos en Memphis,International; Against foreign government; Venezuela,0,protest,0,0,0,0,1,1,https://www.commercialappeal.com/story/news/2019/02/02/memphis-venezuelan-community-joins-international-protests-juan-guaido-presidential-election/2756620002/,,,,,,,
New York,Brooklyn; Metropolitan Detention Center,Kings,NY,US,2019-02-02,hundreds,200,,200,,,General protestors,Protest for prisoners who are without heat,0,protest,0,0,0,0,1,1,https://twitter.com/HShahana/status/1091464315826249734,https://www.huffingtonpost.com/entry/protests-brooklyn-jail-freezing-temperatures_us_5c5648b2e4b00187b5517ff8,,,,,,
New York,Museum of Natural History,New York,NY,US,2019-02-02,Dozens,24,,24,,,General protestors,Other; Against development; Park,0,protest,0,0,0,0,0,1,https://newyork.cbslocal.com/2019/02/02/theodore-roosevelt-park-building-protest/,,,,,,,
Rock Island,Rock Island Union Hall,Rock Island,IL,US,2019-02-02,FB:446,446,,446,,,general protestors,Civil Rights; For women's rights; Women's March,1,protest,0,0,0,0,1,1,https://qctimes.com/news/local/women-s-march-event-held-in-rock-island/article_0bb83691-b8d7-5156-818c-9f1faf595e82.html,,https://www.facebook.com/events/2068373810065108,,,,,
Sacramento,Sacramento County Main Jail,Sacramento,CA,US,2019-02-02,About 25,25,,25,,,Black Lives Matter,Civil Rights; For greater accountability; For racial justice; Police,1,protest,0,0,0,0,1,1,https://www.sacbee.com/latest-news/article225460535.html,,,,,,,
Scottsdale,intersection at East Via de Ventura and North Pima Road,Maricopa,AZ,US,2019-02-02,more than 200,200,,200,,,general protestors,For animal welfare; conditions for dolphins at dolphinaris,0,protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/scottsdale/2019/02/02/protesters-gather-scottsdale-call-change-dolphinaris/2757957002/,,,,,,,
Stamford,888 Washington Boulevard,Fairfield,CT,US,2019-02-02,count pic,25,,25,,,general protestors,International; Against foreign government; Venezuela,0,protest,0,0,0,0,1,1,https://www.stamfordadvocate.com/local/article/Stamford-PD-praises-organizers-for-extremely-13584769.php,,,,,,,
Weston,,Broward,FL,US,2019-02-02,thousands,2000,,2000,,,general protestors; Venezuelan-Americans,International; Against foreign government; Venezuela,0,protest,0,0,0,0,1,1,https://www.nbcmiami.com/news/local/Venezuelan-Protesters-to-Take-the-Streets-All-Around-the-World-505221061.html,,,,,,,
West Palm Beach,,Palm Beach,FL,US,2019-02-02,thousands,2000,,2000,,,general protestors; Venezuelan-Americans,International; Against foreign government; Venezuela,0,protest,0,0,0,0,1,1,https://www.nbcmiami.com/news/local/Venezuelan-Protesters-to-Take-the-Streets-All-Around-the-World-505221061.html,,,,,,,
Worcester,DCU Center,Worcester,MA,US,2019-02-02,Dozens,24,,24,,,Nonhuman Rights Project,For animal welfare; called for release of 3 elephants,0,protest,0,0,0,0,1,1,https://www.nhregister.com/news/article/Animal-rights-activists-to-rally-for-release-of-3-13583608.php,https://www.worcestermag.com/news/20190202/activists-rally-for-animal-rights-at-zoo-and-fun-fair-in-worcester,,,,,,
Buffalo,Erie County Holding Center,Erie,NY,US,2019-02-02,,,,,,,WNY Peace Center and Brothers for Better,Protesting treatment of India Cummings in prison,0,Protest,0,0,0,0,1,1,https://www.facebook.com/events/1046257798892247/,https://spectrumlocalnews.com/nys/rochester/news/2018/02/22/india-cummings-erie-county-holding-center-rally-wrongful-death-lawsuit-sheriff-office-rochester,,Everyday from Feb 2nd to Feb 21st,,,,
Crawfordsville,Montgomery County Courthouse,Montgomery,IN,US,2019-02-03,11 at peak; About a dozen,11,,12,,,general protestors,Civil Rights; For greater accountability; Police,0,protest,0,0,0,0,1,1,https://www.jconline.com/story/news/2019/02/04/prosecutor-mum-five-weeks-after-isp-trooper-fatally-shoots-linden-man-fixing-car-us-231/2765236002/,,,,,,,
Gainesville,"First Baptist Church of Gainesville, St. John Baptist Church, First Presbyterian Church, St. Michael Roman Catholic Church, Grace Episcopal Church and Good Shepherd Lutheran Church.",Alachua,FL,US,2019-02-03,split into two teams of 10 or fewer,20,,20,,,Westboro Baptist Church,Anti-LGBTQ,2,protest,0,0,0,0,1,1,https://www.kiro7.com/news/trending-now/hate-group-plans-protest-in-atlanta-for-super-bowl/907029729,https://www.gainesvilletimes.com/news/westboro-baptist-protesters-counterprotesters-demonstrate-gainesville-churches/,,,,,,
Gainesville,"First Baptist Church of Gainesville, St. John Baptist Church, First Presbyterian Church, St. Michael Roman Catholic Church, Grace Episcopal Church and Good Shepherd Lutheran Church.",Alachua,FL,US,2019-02-03,as many as 50 at some of the churches,50,,50,,,general protestors,Civil Rights; Counter protest; For religious tolerance,0,counterprotest,0,0,0,0,0,1,https://www.gainesvilletimes.com/news/westboro-baptist-protesters-counterprotesters-demonstrate-gainesville-churches/,,,,,,,
Independence,Pfaff Park to McDonald's,Polk,OR,US,2019-02-03,more than 50,50,,50,,,Paul Thompson (local ma),Against bullying,0,march,0,0,0,0,1,1,https://www.statesmanjournal.com/story/news/2019/02/05/independence-rally-stand-up-bullying-costume-parade-pikachu/2772192002/,,,,,,,
New Orleans,Hilton New Orleans Riverside Hotel on Sunday,Orleans,LA,US,2019-02-03,400 or so,400,,400,,,general protestors,Other; Sports; Against decision,0,protest,0,0,0,0,1,1,https://www.nola.com/saints/2019/02/no-call-jazz-funeral-on-the-river-kicks-off-new-orleans-super-bowl-protest-day.html,,,,,,,
New York,Brooklyn,Kings,NY,US,2019-02-03,hundreds,200,,200,,,general protestors,Civil Rights; Prisons; Against hazardous conditions,1,protest,0,1,0,0,1,1,http://www.journalgazette.net/news/us/20190204/guards-jail-demonstrators-clash,,,https://www.washingtonpost.com/nation/2019/02/03/protesters-swarm-dark-freezing-brooklyn-jail-that-endured-polar-vortex-with-no-heat/?utm_term=.97d5fd59fec8,,,,
Anniston,county administration building,Calhoun,AL,US,2019-02-04,,6,,6,,,general protestors,For animal welfare;,0,protest,0,0,0,0,1,1,https://www.annistonstar.com/news/locals-protest-county-s-plan-to-cancel-animal-center-contract/article_8715a6c8-28d6-11e9-928c-a750e079897b.html,,,,,,,
Austin,Capitol,Travis,TX,US,2019-02-04,,,,,,,Texas Advocates for Justice and Grassroots Leadership,Civil Rights; For criminal justice reform,0,rally,,,,,1,1,https://www.chron.com/news/politics/texas/article/Hundreds-of-formerly-incarcerated-Texans-rally-at-13585813.php,,,,,,,
Boise,Capitol,Ada,ID,US,2019-02-04,More than 300,300,,300,,,Reclaim Idaho,For expanding coverage; Healthcare,1,protest,0,0,0,0,1,1,https://www.idahopress.com/news/local/hundreds-rally-on-capitol-steps-for-medicaid-expansion-oppose-any/article_d0511606-fa9f-509c-9768-e51b09d72a80.html,,,,,,,
Cambridge,MIT,Middlesex,MA,US,2019-02-04,FB:24,24,,24,,,Massachusetts Peace Action; Coalition to Stop the Genocide in Yemen,International; Against war; Business,0,protest,0,0,0,0,1,1,http://www.cambridgeday.com/2019/02/03/attend-meetings-on-renter-relocation-help-protest-of-howard-schultz-campaign-more/,https://www.facebook.com/events/297494374447583/,,,,,https://www.facebook.com/events/297494374447583/,
Detroit,Marathon Petroleum Refinery,Wayne,MI,US,2019-02-04,dozens,40,,40,,,general protestors,Against fossil fuels; Environment,1,protest,0,0,0,0,1,1,https://www.metrotimes.com/news-hits/archives/2019/02/04/tlaib-joins-detroit-protest-against-marathon-oil-refinery-malfunction,,,,,,,
Grand Rapids,Enbridge oil pipeline,Itasca,MN,US,2019-02-04,NA,4,,4,,,Catholic Worker movement,Against fossil fuels; Environment,1,protest; tresspassing,4,0,0,0,1,1,https://minnesota.cbslocal.com/2019/02/04/activists-4-arrested-in-oil-pipeline-shutdown-attempt/,,,,,,,
Lakeland,Lawton Chiles Middle Academy,Polk,FL,US,2019-02-04,NA,1,,1,,,student,Civil Rights; For racial justice; National anthem,0,protest,1,0,0,0,1,1,https://www.oregonlive.com/news/2019/02/11-year-old-arrested-after-refusing-to-recite-pledge-of-allegiance-in-racial-protest.html,,,,,,,
New York ,Manhattan,New York,NY,UA,2019-02-04,dozens,12,,12,,,Adalah-NY,protest a performance by the Israel Philharmonic Orchestra.,0,protest,0,0,0,0,1,1,https://www.timesofisrael.com/dozens-protest-israeli-philharmonic-orchestra-as-it-plays-carnegie-hall/?utm_source=dlvr.it&utm_medium=twitter,,,,,,,
Mission,3 miles from near Rio Grande to National Butterfly Center,Hidalgo,TX,US,2019-02-04,Nearly 40,40,,40,,,General Protestors,Immigration; Against border wall,1,march,0,0,0,0,1,1,https://www.themonitor.com/2019/02/04/modest-protest-greets-arrival-border-wall-construction-materials/,,,,,,,
San Diego,Office of the Superintendent,San Diego,CA,US,2019-02-04,About 80,80,,80,,,Teachers Union,Collective Bargaining; Against understaffing; Education,0,rally,0,0,0,0,1,1,https://www.10news.com/news/local-news/sdusd-teachers-pressure-district-for-more-special-education-resources,,,,,,,
San Jose,Santa Clara County Courthouse,Santa Clara,CA,US,2019-02-04,"""Google 8"" and three dozen others",40,,40,,,General Potestors,Against development; Business; Google,1,protest,0,0,0,0,1,1,https://www.mercurynews.com/2019/02/04/cases-dropped-against-google-8-protesters-arrested-over-tech-giants-san-jose-plans/,,,,,,,
Santa Rosa,Sonoma County Courthouse,Sonoma,CA,US,2019-02-04,About 2 dozen,24,,24,,,Direct Action Everywhere,For animal welfare; For right to assemble; Civil Rights,0,protest,0,0,0,0,1,1,https://www.petaluma360.com/news/9249813-181/animal-rights-protesters-take-their,,,,,,,
Worcester,College of the Holy Cross,Worcester,MA,US,2019-02-04,Peaked at 340,100,,340,,,Students at Holy Cross,Against sexual/domestic violence;,0,sit-in,0,0,0,0,1,1,https://www.telegram.com/news/20190204/students-protest-holy-cross-response-to-sex-offense-claims,https://www.masslive.com/worcester/2019/02/college-of-the-holy-cross-president-plans-to-meet-with-students-tuesday-as-sit-in-to-protest-the-schools-handling-of-sexual-misconduct-continues.html,,,,,,
Williamsburg,Merchants Square,Williamsburg,VA,US,2019-02-04,Count Pic,6,,6,,,Moral Mondays,Civil Rights; For racial justice,0,protest,0,0,0,0,1,1,https://www.vagazette.com/news/va-vg-moral-mondays-protest-northam-0206-story.html,,,,,,,
Washington,Education Department Headquarter,DC,DC,US,2019-02-04,40 students and some adults,40,,40,,,general protesters,Healthcare; For local services,0,protest,0,0,0,0,1,1,http://www.santafenewmexican.com/news/corrections/students-rally-in-pushing-devos-for-menstrual-equity/article_3ded9c31-0c49-5fc1-b5e7-12ba44145e51.html,,,,,,,
Birmingham,,Jefferson,AL,US,2019-02-05,Count Pic,28,,28,,,general protestors,remembering Trayvon Martin and EJ Bradford,0,Vigil,0,0,0,0,1,1,http://www.wbrc.com/2019/02/06/ej-bradfords-mom-has-heartfelt-call-with-trayvon-martins-mom-during-vigil/,,,,,,,
Albany,Capitol,Albany,NY,US,2019-02-05,pic: several dozen,24,,24,,,NYC professional taxi drivers,Against fees; Transportation,0,protest,0,0,0,0,1,1,https://www.timesunion.com/news/article/Cabs-circle-Capitol-to-protest-new-surcharge-13591425.php,,,,,,,
Athens,University of Georgia,Clarke,GA,US,2019-02-05,Count Pic,6,,6,,,bloodstained men,anti-circumcision,0,protest,0,0,0,0,1,1,https://twitter.com/BloodstainedMen/status/1093137242481135616,,,,,,,
Augusta,State House,Kennebec,ME,US,2019-02-05,More than 100,100,,100,,,general protestors,For marijuana,0,protest,0,0,0,0,1,1,https://www.pressherald.com/2019/02/05/advocates-rally-for-easy-access-to-cbd-products/,,,,,,,
Boulder,University of Colorado,Boulder,CO,US,2019-02-05,Hundreds,200,,200,,,Committee on Rights and Compensation,Collective Bargaining; For better compensation; Against fees,0,Walkout and Rally,0,0,0,0,1,1,http://www.dailycamera.com/cu-news/ci_32431841/hundreds-cu-boulder-graduate-student-workers-protest-fees,,,,,,,
Cambridge,Harvard Square,Middlesex,MA,US,2019-02-05,FB: 4,4,,4,,,IndivisibleActon,Other; Campaign; Against candidate,0,protest,0,0,0,0,1,1,http://www.cambridgeday.com/2019/02/03/attend-meetings-on-renter-relocation-help-protest-of-howard-schultz-campaign-more/,https://www.facebook.com/events/234930190769315/,,,,,,
Colorado Springs,Administration Building 620 Wilcox St,El Paso,CO,US,2019-02-05,About 2 dozen,24,,24,,,Douglas County Parents,Education; For greater accountability,0,Protest,0,0,0,0,1,1,https://gazette.com/blogs/dougco-parents-to-protest-teacher-s-tweet-calling-covington-catholic/article_76f98a32-28c9-11e9-b320-53c0ded8d291.html,,,https://kdvr.com/2019/02/05/douglas-county-teacher-facing-termination-following-controversial-tweets/,,,,
Chicago,Federal Plaza,Cook,IL,US,2019-02-05,Over 50,50,,50,,,Freedom Road Socialist Organization,Against war; International; Against US intervention; Venezuela,1,Protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/2/4/chicago-emergency-demonstration-demand-hands-venezuela-not-another-us-coup,http://www.fightbacknews.org/2019/2/8/chicago-rally-demands-us-hands-venezuela,,,,,,
Frankfort,Capitol,Franklin,KY,US,2019-02-05,About 100,100,,100,,, General Protestors,Against state executive; For greater participation; Other; Poor People's Campaign,0,Protest,0,0,0,0,1,1,https://www.courier-journal.com/story/news/politics/ky-legislature/2019/02/05/matt-bevins-kentucky-office-occupied-protesters/2779480002/,,,,,,,
Greenville,Greenville High School; Main St,Washington,MS,US,2019-02-05,count pic,50,,100,,,students,against criminal violence and bullying,0,march,0,0,0,0,1,1,https://www.deltanews.tv/community/students-protest-hoping-to-stop-the-violence/article_2b4c6546-29aa-11e9-bdf5-7baa4cee0488.html,,,,,,,
Hoover,City Hall,Jefferson,AL,US,2019-02-05,,,,,,,Birmingham Justice League; Outcast Voter's League,Civil Rights; For greater accountability; For racial justice; Police,1,protest,0,0,0,0,1,1,http://www.birminghamtimes.com/2019/02/new-generation-of-birmingham-protesters-step-up/,,,,,,,
Madison,Monona Terrace Community and COnvention Center,Dane,WI,US,2019-02-05,More Than 40,40,,40,,,Wisconsin School Counselors Association,Education; Healthcare; For local services; Mental health,0,Protest,0,0,0,0,1,1,https://www.weau.com/content/news/Wisconsin-school-counselors-march-for-change-505363351.html,,,https://dpi.wi.gov/education-events/events/wisconsin-school-counselor-association-2019-conference,,,,
New York,Capitol Building (Taxis circled building then held speeches),New York,NY,US,2019-02-05,,,,,,,taxi and shared ride drivers,protesting new surcharge tax on rides in NYC,0,protest,0,0,0,0,1,1,https://www.timesunion.com/news/article/Cabs-circle-Capitol-to-protest-new-surcharge-13591425.php,,,,,,,
Raleigh,United Daughters of the Confederacy house,Wake,NC,US,2019-02-05,About half a dozen,6,,6,,,general protestors,Civil Rights; For racial justice; Against Confederate symbol,0,protest,0,0,0,0,1,1,https://www.newsobserver.com/news/local/article225543520.html,,,,,,,
Santa Clarita,Saugus,Santa Clara,CA,US,2019-02-05,count pics: at least 5,5,,5,,,general protestors; Saugus board members,Against disrespecting flag,2,protest,0,0,0,0,1,1,https://signalscv.com/2019/02/saugus-board-meeting-turns-heated-over-board-members-protest/,,,,,,,
Torrance,City Hall,Los Angeles,CA,US,2019-02-05,More than 100,100,,100,,,Torrance Union Members,Collective Bargaining; For better compensation,0,protest,0,0,0,0,1,1,http://www.dailybreeze.com/torrance-city-workers-protest-outside-city-hall,,,,,,,
Tucson,University of Arizona,Pima,AZ,US,2019-02-05,Count Pic,8,,8,,,Black Student Union,Civil Rights; For racial justice; For greater accountability; Police,1,Protest,0,0,0,0,1,1,http://www.wildcat.arizona.edu/article/2019/02/n-bsu-protest,,,,,,,
Wailuku,Wailuku Elementary School,Maui,HI,US,2019-02-05,five parents,5,,5,,,general protestors,Against bullying,0,March,0,0,0,0,1,1,http://www.mauinews.com/news/local-news/2019/02/wailuku-parents-pray-march-in-order-to-protest-school-bullying/,,,Weekly on Tuesdays,,,,
Augusta,House of Congress,Kennebec,ME,US,2019-02-06,about two dozen,24,,24,,,general protestors,Families; For compassionate immigration; Immigration,1,Protest,0,0,0,0,1,1,https://www.wabi.tv/content/news/Faith-leaders-rally-against-migrant-children-detention-505467941.html,,,https://www.pressherald.com/2019/02/06/faith-leaders-rally-in-augusta-to-protest-detention-of-immigrant-children/,,,,
Baltimore,Johns Hopkins University,Baltimore,MD,US,2019-02-06,around 150,150,,150,,,Hopkins Coalition against ICE,Immigration; Against ICE; Families,1,Walk out,0,0,0,0,1,1,https://www.baltimoresun.com/news/maryland/education/higher-ed/bs-md-jhu-protest-20190206-story.html,,,,,,,
Binghamton,Broome County Court,Broome,NY,US,2019-02-06,couple dozen,24,,24,,,Citizen Action of New York,Incarceration rates in county,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/313640369258926/?active_tab=discussion,https://www.mytwintiers.com/news/local-news/activists-alarmed-by-broome-county-s-high-incarceration-rate-plan-to-monitor-courts/1764243436,,Will continue every mon-fri throughout Feb.,,,,
Boise,Capitol,Ada,ID,US,2019-02-06,count pic: at least a dozen,12,,12,,,general protestors,Against crime; For greater regulation,0,protest,0,0,0,0,1,1,https://www.idahopress.com/news/local/marsy-s-law-advocates-lawmakers-rally-at-the-state-capitol/article_7e2069b8-4fa0-533b-a7e0-40a24fd2f113.html,,,,,,,
Camden,outside Adventure Aquarium,Camden,NJ,US,2019-02-06,about 50,50,,50,,,Camden Workers Rising,"Protesting ""future of Camden"" event",0,protest,0,0,0,0,1,1,https://twitter.com/suealtman/status/1093128060596047873,https://www.courierpostonline.com/story/news/local/south-jersey/2019/02/07/camden-nj-employees-activists-question-officials/2791981002/,,,,,,
Denver,Capitol,Denver,CO,US,2019-02-06,Several Hundred,200,,200,,,general protestors,protesting unfair pay for teachers,0,protest,0,0,0,0,1,1,https://twitter.com/BoulderValleyEA/status/1093136739982602240,https://www.usatoday.com/story/news/education/2019/02/10/dps-denver-public-schools-teacher-strike-dcta-school-closing/2812038002/,,,,,,
Fairborn,Wright State University,Greene,OH,US,2019-02-06,Dozens,24,,24,,,general protestors,Collective Bargaining; For better compensation; Education; Against understaffing,0,protest,0,0,0,0,1,1,https://www.wdtn.com/news/local-news/wsu-students-stage-silent-protest/1760407788,,,,,,,
Frankfort,State Capitol,Franklin,KY,US,2019-02-06,Dozens,24,,24,,,Kentuckians vote for animals,For animal welfare,0,protest,0,0,0,0,1,1,https://www.wtvq.com/2019/02/06/animal-welfare-rally-state-capitol/,,,,,,,
Frankfort,State Capitol Rotunda,Franklin,KY,US,2019-02-06,CountPic,65,,65,,,general protestors,For marijuana,0,rally,0,0,0,0,0,1,https://www.wkyt.com/content/news/Advocates-rally-at-Capitol-to-change-Kentuckys-marijuana-laws-505464361.html,,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-02-06,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,,
Montgomery,Outside Attorney Generals Office,Montgomery,AL,US,2019-02-06,Group of 40,40,,40,,,General protestors,Civil Rights; For racial justice; For greater accountability; Police,1,protest,2,0,0,0,1,1,https://www.montgomeryadvertiser.com/story/news/2019/02/06/bradford-family-supporters-protest-ags-decision-not-prosecute-police-officer/2789717002/,,,,,,,
New York,City Hall,New York,NY,US,2019-02-06,count video: at least a dozen,12,,12,,,general protestors,For criminal justice,0,rally,0,0,0,0,1,1,https://pix11.com/2019/02/06/new-yorkers-rally-to-end-wrongful-convictions/,,,,,,,
New York,9th ave between 15th and 16th st,New York,NY,US,2019-02-06,,,,,,,general protestors,against pay for play in politics,0,protest,0,0,0,0,0,1,https://twitter.com/JaredRichNYC/status/1093136868894539780,,,,,,,
Oklahoma City,House Chambers,Oklahoma,OK,US,2019-02-06,hundreds,200,,200,,,general protestors,Against abortion rights,2,rally,0,0,0,0,1,1,https://journalrecord.com/2019/01/24/annual-rose-day-rally-set-at-capitol/,https://www.oklahoman.com/stitt-reaffirms-anti-abortion-stance-during-rose-day-rally/article/5622220,https://www.bgco.org/event/rose-day-7/2019-02-06/,,,,,
Pocatello,Liberty Hall,Bannock,ID,US,2019-02-06,FB: 6,6,,6,,,Bannock County Democrats,For higher minimum wage,0,rally,0,0,0,0,1,1,https://www.idahostatejournal.com/news/local/bannock-county-democrats-plan-rally-on-minimum-wage-bill/article_98d75147-c20b-5889-a725-68f57ba39eb1.html,,,https://www.facebook.com/events/280841552581652/,,,,
Poughkeepsie,intersection of South White Street and Fox Terrace,Dutchess,NY,US,2019-02-06,About 20,20,,20,,,Family Services SNUG Program,Against violence,0,protest,0,0,0,0,1,1,https://www.poughkeepsiejournal.com/story/news/local/2019/02/08/snug-plans-anti-gun-violence-rally-response-city-shooting/2813181002/,,,,,,,
