CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,
Julian,outside volunteer fire station,CA,US,2018-06-01,about three dozen,36,,36,,,general protestors,Protesting the closing of volunteer fire department,0,protest,0,0,0,0,1,1,http://www.sandiegouniontribune.com/communities/north-county/sd-no-julian-protest-20180531-story.html,,,,,,,
Kalamazoo,YWCA of Kalamazoo,MI,US,2018-06-01,FB: 98,98,,98,,,YWCA of Kalamazoo,against racism,0,rally,0,0,0,0,1,1,http://wwmt.com/news/local/pushing-for-change-ywca-of-kalamazoo-to-host-stand-against-racism-rally,https://www.facebook.com/events/459985351098260/,,,,,,
LaCrosse,Cameron Park,WI,US,2018-06-01,FB: 14,14,,14,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/2239321669628515/,,,,,,,
Los Angeles,outside U.S. Immigration Services federal building,CA,US,2018-06-01,more than 100,100,,100,,,general protestors,against separating children from families at border,1,rally,0,0,0,0,1,1,http://abc7.com/politics/protest-forms-in-dtla-over-trump-admins-separation-immigration-policy/3551605/,,,National Day of Action for Children,,,,
Maui,University of Hawaiʻi Maui College campus in Kahului,HI,US,2018-06-01,,,,,,,general protestors,against separating children from families at border,1,rally,0,0,0,0,1,1,http://mauinow.com/2018/06/01/stop-separating-families-rally-on-maui-today/,,,National Day of Action for Children,,,,
Miami,outside immigration office,FL,US,2018-06-01,dozens,24,,24,,,general protestors,against separating children from families at border,1,protest,0,0,0,0,1,1,https://www.npr.org/2018/06/01/616257822/immigration-rights-activists-protest-trump-administration-child-separation-polic,http://www.miamiherald.com/news/local/immigration/article212382089.html,,National Day of Action for Children,,,,
Milwaukee,Sojourner Family Peace Center,WI,US,2018-06-01,FB: 9,9,,9,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,everytown.org,https://www.facebook.com/events/169264003895943/,,#wearorange,,,,
Minneapolis,downtown courthouse,MN,US,2018-06-01,more than 100,100,,100,,,ACLU; Minnesota Immigrants Rights Action Committee,Rallying against the separation of immigrant families at the border,1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2018/6/1/minneapolis-protest-against-separation-immigrant-families-border,,,,,,,
Miramar,outside ICE detention facility,FL,US,2018-06-01,count pic,20,,40,,,general protestors,against separating children from families at border,1,protest,0,0,0,0,1,1,https://nation.com.pk/02-Jun-2018/us-protestors-across-us-rally,https://www.miaminewtimes.com/news/national-familiesbelongtogether-protest-at-miami-ice-facility-in-miramar-10401296,,National Day of Action for Children- count pic,,,,
New Brunswick,New Brunswick to Newark; Trenton,NJ,US,2018-06-01,nearly a dozen,11,,11,,,general protestors,Marching for driver's licenses for undocumented immigrants,0,march; rally,0,0,0,0,1,1,https://www.northjersey.com/story/news/new-jersey/2018/06/04/drivers-licenses-undocumented-immigrants-march-newark/668438002/,https://www.app.com/story/news/local/red-bank-middletown-area/red-bank/2018/06/07/300-mile-trek-drivers-license-immigration-bill-reaches-bayshore-red-bank/676807002/,,March ended on 11th with a rally in Trenton,,,,
New York,125th St. and Lexington Ave in front of a bodega; Harlem,NY,US,2018-06-01,na,5,,5,,,National Action Network,protest drug sales,0,protest,5,0,0,0,0,1,http://www.nydailynews.com/new-york/manhattan/ny-metro-activists-arrested-k2-protest-harlem-20180601-story.html,,,civil dis,,,,
New York,Foley Square; outside Dept of Homeland Security building,NY,US,2018-06-01,hundreds; FB: 501,200,,501,,,general protestors,against separating children from families at border,1,rally,0,0,0,0,1,1,http://pix11.com/2018/06/01/immigration-rally-in-manhattan-protests-policy-separating-children-from-parents-at-the-border/,,,National Day of Action for Children,,,,
New York,Foley Square; outside Dept of Homeland Security building,NY,US,2018-06-01,na,1,,1,,,general protestor,supports separating children from families at border,2,protest,0,0,0,0,0,1,http://pix11.com/2018/06/01/immigration-rally-in-manhattan-protests-policy-separating-children-from-parents-at-the-border/,,,,,,,
Oakland,outside Alameda County Sheriff's Office,CA,US,2018-06-01,FB: 88,88,,88,,,general protestors,against separating children from families at border,1,rally,0,0,0,0,1,1,https://m.sfgate.com/news/bayarea/article/Two-Rallies-Today-Protesting-Separation-Of-12960561.php,https://www.sfgate.com/news/article/Families-First-12961664.php#item-85307-tbla-3,https://www.facebook.com/events/612429919121977/,National Day of Action for Children,,,,
Philadelphia,outside ICE office,PA,US,2018-06-01,more than 100,100,,100,,,general protestors,against separating children from families at border,1,rally,0,0,0,0,1,1,https://whyy.org/articles/philly-protest-dozens-more-blast-trump-for-splitting-up-families-at-mexican-border/,,,National Day of Action for Children,,,,
Portland,outside ICE office,OR,US,2018-06-01,na,35,,35,,,ACLU,against separating children from families at border,1,rally,0,0,0,0,1,1,http://www.kptv.com/story/38330488/rally-held-in-downtown-portland-urging-ice-to-stop-separating-families-at-the-border,,,National Day of Action for Children,Partial count estimated from video in article,,,
Riverhead,Pulaski Street Elementary School,NY,US,2018-06-01,hundreds,200,,200,,,students; teachers,against drug use,0,rally,0,0,0,0,1,1,https://riverheadlocal.com/2018/06/01/rain-cancels-march-but-say-no-to-drugs-message-shines-through-in-rally/,,,,,,,
Rochester,outside the Government Center,MN,US,2018-06-01,FB: 36,36,,36,,,Communities United for Rochester Empowerment,press county sheriff to end cooperation with ICE,1,rally,0,0,0,0,1,1,http://www.postbulletin.com/gallery/photos-cure-immigration-rally/collection_8b2665d6-65e0-11e8-b7dd-47ed3f7c3639.html#2,https://www.facebook.com/events/211171032944915/,,,,,,
Rochester,outside Federal Building,NY,US,2018-06-01,FB: 24,24,,24,,,New York Civil Liberties Union; Rochester Rapid Response Network,against separating children from families at border,1,rally,0,0,0,0,1,1,http://wxxinews.org/post/rally-demands-end-separated-immigrant-families,https://www.facebook.com/events/196818217615006/,,National Day of Action for Children,,,,
Salt Lake City,outside US Attorney's Office,UT,US,2018-06-01,about 50; FB: 66,50,,66,,,ACLU of Utah,against separating children from families at border,1,rally,0,0,0,0,1,1,http://fox13now.com/2018/06/01/supporters-of-immigrant-children-separated-from-parents-at-the-border-rally-for-change/,https://www.deseretnews.com/article/900020335/protesters-rally-in-salt-lake-against-us-immigration-policy.html,https://www.facebook.com/events/234149930677268/,National Day of Action for Children,,,,
San Diego,outside ICE office in Federal building,CA,US,2018-06-01,about 50,50,,50,,,general protestors,against separating children from families at border,1,rally,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/immigration/sd-me-ice-protest-20180601-story.html,,,National Day of Action for Children,,,,
Santa Ana,outside ICE office,CA,US,2018-06-01,count pic,10,,10,,,general protestors,support a gay Nigerian asylum seeker imprisoned since 2016,0,rally,0,0,0,0,1,1,http://www.losangelesblade.com/2018/06/01/rally-held-for-gay-nigerian-asylum-seeker-caged-by-ice-since-2016/,https://www.ocregister.com/2018/06/01/advocates-call-for-release-of-gay-nigerian-asylum-seeker/,,rally and press conference - count pic,,,,
Santa Monica,,CA,US,2018-06-01,,,,,,,general protestors,against separating children from families at border,1,protest,0,0,0,0,1,1,https://www.npr.org/2018/06/01/616257822/immigration-rights-activists-protest-trump-administration-child-separation-polic,,,,,,,
Santa Rosa,Courthouse Square,CA,US,2018-06-01,,,,,,,general protestors,against separating children from families at border,1,rally,,,,,1,1,https://m.sfgate.com/news/bayarea/article/Two-Rallies-Today-Protesting-Separation-Of-12960561.php,,,National Day of Action for Children,,,,
Sheboygan,AT&T building,WI,US,2018-06-01,na,4,,4,,,Communications Workers of America,Protesting unfair labor contract,0,protest,0,0,0,0,1,1,https://www.sheboyganpress.com/story/news/2018/06/01/sheboygan-t-strikers-protest-unfair-labor-union-president/664310002/,,,,,,,
Springfield,,IL,US,2018-06-01,,,,,,,general protestors,Protesting against separating families at the border,1,protest,0,0,0,0,1,1,http://foxillinois.com/news/local/springfield-advocates-rally-to-keep-immigrant-families-together-06-01-2018,,,National Day of Action for Children,,,,
Upper Saddle River,Liberty Park,NJ,US,2018-06-01,,,,,,,Moms Demand Action,support gun reform and gun safety,1,vigil,,,,,1,1,everytown.org,,,#wearorange,,,,
Warwick,at ICE office,RI,US,2018-06-01,,,,,,,general protestors,against separating children from families at border,1,rally,0,0,0,0,1,1,http://www.providencejournal.com/news/20180601/rally-at-customs-office-in-warwick-protests-separating-migrant-children-parents,,,National Day of Action for Children,,,,
Washington,US Dept of Justice,DC,US,2018-06-01,more than 100,100,,100,,,ACLU,against separating children from families at border,1,rally,0,0,0,0,1,1,https://twitter.com/CASAforall/status/1002570405423538177,https://twitter.com/peoplepower/status/1002570854713233408,https://www.npr.org/2018/06/01/616257822/immigration-rights-activists-protest-trump-administration-child-separation-polic,#FamiliesBelongTogether,,,,
Abilene,Cal Young Park,TX,US,2018-06-02,FB: 13,13,,13,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,everytown.org,https://www.facebook.com/events/181120256041652/,,#wearorange,,,,
Akron,Hyre Park,OH,US,2018-06-02,FB: 27,27,,27,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/262541710956352/,,,,,,,
Alexandria,Market Square,VA,US,2018-06-02,FB: 191,191,,191,,,Moms Demand Action,against gun violence,1,rally,0,0,0,0,1,1,https://twitter.com/shannonrwatts/status/1002364631611035648,https://www.facebook.com/events/186716601951996/,,,,,,
Allentown,Center Square,PA,US,2018-06-02,dozens; FB: 66,24,,66,,,Make the Road Pennsylvania,Protesting against separating families at the border,1,protest,0,0,0,0,1,1,http://www.mcall.com/news/breaking/mc-nws-allentown-immigration-protest-20180602-story.html,https://www.facebook.com/events/1989636264682780/,,,,,,
Anaheim,River Church,CA,US,2018-06-02,FB: 183,183,,183,,,general protestors,Rallying for Disney Resort Workers,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/453963401683382/,,,,,,,
Ann Arbor,Liberty Square Plaza,MI,US,2018-06-02,about 150,150,,150,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,everytown.org,http://www.mlive.com/news/ann-arbor/index.ssf/2018/06/locals_protest_in_gun_sense_ra.html,,#wearorange,,,,
Arlington,Courthouse Plaza,VA,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Asbury Park,Springwood Park,NJ,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Austin,A.B. Cantu Pan-American Recreation Center Community Advisory Board,TX,US,2018-06-02,FB:16,16,,16,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,0,1,https://www.facebook.com/events/176665166328846/,,,,,,,
Austin,Austin City Hall,TX,US,2018-06-02,,,,,,,general protestors,Rallying for gun rights,2,rally,0,0,0,0,1,1,http://www.kxan.com/news/local/austin/gun-rights-supporters-rally-at-city-hall/1215169998,,,,,,,
Baraboo,Devil's Lake State Park,WI,US,2018-06-02,FB: 8,8,,8,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/126198054826578/,,,,,,,
Batavia,War of 1812 Bicentennial Memorial Peace Garden,NY,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,walk,,,,,1,1,everytown.org,,,#wearorange,,,,
Bend,Troy Field,OR,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Boise,City Hall Plaza,ID,US,2018-06-02,roughly 100,100,,100,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,https://www.idahopress.com/news/local/a-treasure-valley-saturday-features-gun-violence-rally-just-miles/article_14f140f9-2424-5776-8181-a95952795bd3.html,,#wearorange,,,,
