CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,
New York,"outside Bain Capital, KKR and real estate firm Vornado",NY,US,2018-06-04,,,,,,,Toys R Us employees,protest lack of severance pay,0,protest,0,0,0,0,0,1,http://money.cnn.com/2018/06/04/news/companies/toys-r-us-employees-severance-protests/index.html,,,,,,,
Raleigh,outside the offices of NC House Speaker Tim Moore and NC Senate leader Phil Berger,NC,US,2018-06-04,over 150,150,,150,,,The Poor People's Campaign,support healthcare and a healthy planet; multiple causes,1,protest,13,0,0,0,1,1,https://www.houstonchronicle.com/news/crime/article/About-2-dozen-arrested-at-North-South-Carolina-12967226.php,,,civil dis,,,,
Sacramento,capitol rotunda,CA,US,2018-06-04,dozens,24,,24,,,The Poor People's Campaign, support healthcare and a healthy planet; multiple causes,1,protest,13,0,0,0,1,1,http://www.kcra.com/article/13-protesters-arrested-inside-california-capitol-rotunda/21076812,,,civil dis,,,,
Springfield,Court Square,MA,US,2018-06-04,almost 200,200,,200,,,The Poor People's Campaign,support healthcare and a healthy planet; multiple causes,1,protest,21,0,0,0,1,1,https://www.wwlp.com/news/local-news/hampden-county/local-residents-rally-for-right-to-health-in-springfield/1218211700,http://valleyadvocate.com/2018/06/04/activist-gather-in-springfield-to-support-poor-peoples-campaign/,http://valleypost.org/node/1402,,,,,
St. Paul,capitol,MN,US,2018-06-04,more than 100,100,,100,,,The Poor People's Campaign,against pipeline,0,protest,,,,,1,1,https://www.tcdailyplanet.net/events/mn-ppc-an-interfaith-response-no-line-3/,http://www.startribune.com/minnesota-religious-leaders-oppose-new-enbridge-oil-pipeline/484501501/,,,,,,
Topeka,in front of Gov. Jeff Colyer's office,KS,US,2018-06-04,around 60,60,,60,,,The Poor People's Campaign,support healthcare and a healthy planet; multiple causes,1,protest,16,0,0,0,1,1,http://www.wibw.com/content/news/Poor-Peoples-Campaign-expected-to-rally-for-4th-week--484498231.html,http://www2.ljworld.com/news/2018/jun/04/protesters-removed-statehouse-handcuffs/,,civil dis,,,,
Albany,State Capitol building,NY,US,2018-06-05,dozens,24,,24,,,union members,Rallying for bill that would tax overseas call center jobs,0,rally,0,0,0,0,1,1,https://blog.timesunion.com/capitol/archives/282660/workers-rally-for-bill-penalizing-companies-that-off-shore-call-center-jobs/,,,,,,,
Bloomfield,outside Board of Education,NJ,US,2018-06-05,about 25,25,,25,,,general protestors,against adding armed guards to schools,1,protest,0,0,0,0,1,1,https://www.tapinto.net/towns/soma/articles/bloomfield-parents-protest-school-district-decisi-3,,,,,,,
Chicago,3751 N Broadway,IL,US,2018-06-05,na,200,,200,,,Coalition for Justice in Palestine - CJP; other organizations,protest speech by Israeli ambassador; pro-Palestine,0,protest,0,0,0,0,0,1,https://www.facebook.com/events/247185116025948/,https://twitter.com/uspcn/status/1004193647334690817,,,,,,
Chicago,Federal Plaza,IL,US,2018-06-05,,,,,,,ACLU People Power,against ICE; keeping families together,1,protest,,,,,1,1,https://go.peoplepower.org/event/action/13969/signup/?akid=&zip=,,,,,,,
Chicago,,IL,US,2018-06-05,,,,,,,general protestors,Protesting Police Training Academy,0,protest,,,,,0,1,https://chicago.cbslocal.com/2018/06/05/mccarthy-opposes-new-police-academy/,,,,,,,
Dover,Legislative Mall,DE,US,2018-06-05,,,,,,,Clean Water Alliance,funding for clean waterways and water systems,0,rally,0,0,0,0,1,1,https://www.delaware1059.com/news/clean-water-rally-to-take-place-next-week-outside-legislative/article_0cffc3f0-6595-11e8-b551-9b97338355f1.html,https://www.delaware1059.com/news/delawareans-rally-for-clean-water-funding-outside-legislative-hall-in/article_6ada0adc-6976-11e8-8acd-f384e5df8ac3.html,,,,,,
Eugene,Johnson Hall,OR,US,2018-06-05,na,4,,4,,,Climate Justice League,Protesting University of Oregon's level of carbon emissions,0,protest,0,0,0,0,1,1,https://www.dailyemerald.com/2018/06/07/breaking-climate-justice-league-holds-demonstration-outside-johnson-hall/,,,count from pic,,,,
Haverhill,GAR Park,MA,US,2018-06-05,na,100,,100,,,general protestors,Rallying against gun violence,1,rally,0,0,0,0,1,1,http://www.eagletribune.com/news/haverhill/haverhill-residents-rally-against-violence/article_5e62150e-3dd5-5b4f-bb83-720f30a29cef.html,,,,,,,
Hendersonville,outside the Historic Courthouse,NC,US,2018-06-05,more than 50,50,,50,,,Progressive Organized Women; People for Healthcare for Everyone; Healthcare for All WNC,,1,rally,0,0,0,0,1,1,http://www.blueridgenow.com/news/20180605/crowd-rallies-for-medicare-for-all-in-hendersonville,,,,,,,
Jefferson City,outside Missouri Supreme Court building,MO,US,2018-06-05,around 25,25,,25,,,NAACP; Missourians for Alternatives to the Death Penalty,Rallying for the exoneration of Marcellus Williams,0,rally,0,0,0,0,1,1,https://www.columbiamissourian.com/news/state_news/naacp-local-advocates-host-rally-to-free-marcellus-williams/article_32c9da5a-6917-11e8-ba4f-977cdb02b8f7.html,,,,,,,
New York,outside An-Noor Social Center; Bay Ridge ,NY,US,2018-06-05,dozens,24,,24,,,Within Our Lifetime (United for Palestine); An-Noor Social Center,pro-Palestine; against Israel parade,0,protest,0,0,0,0,1,1,http://brooklynreporter.com/story/palestinians-supporters-take-streets-bay-ridge-protest-new-york-officials-participation-israeli-day-parade/,,,,,,,
New York,Outside City Hall,NY,US,2018-06-05,,,,,,,general protestors,Protesting the end of SHSAT,0,protest,0,0,0,0,0,1,http://gothamist.com/2018/06/05/asian-american_groups_push_back_on.php,,,,,,,
New York,outside Manhattan Supreme Court at 60 Centre St,NY,US,2018-06-05,dozens,24,,24,,,general protestors,support bill to limit ICE arrests at courthouses,1,protest,0,0,0,0,0,1,https://www.amny.com/news/ice-courthouse-arrests-immigrants-1.18967615,,,,,,,
New York,,NY,US,2018-06-05,count pic,7,,7,,,general protestors,against private prison company attending real estate conference,0,protest,0,0,0,0,0,1,https://www.democracynow.org/2018/6/6/headlines/protests_disrupt_real_estate_conference_over_private_prison_companies_attendance,,,,,,,
Raleigh,Bicentennial Plaza,NC,US,2018-06-05,FB: 89,89,,89,,,Democracy NC,Rallying for voter rights; against voter ID restrictions; against changes to state judiciary,1,rally,0,0,0,0,1,1,https://www.salisburypost.com/2018/06/04/political-notebook-local-groups-plan-to-rally-in-raleigh/,https://www.facebook.com/events/376057789556945/,,,,,,
Stamford,Outside Purdue Pharma headquarters,CT,US,2018-06-05,na,2,,2,,,general protestors,Protesting Purdue's complicity in the Opioid Crisis,0,protest,0,0,0,0,1,1,https://www.stamfordadvocate.com/business/article/Purdue-Pharma-HQ-protest-seeks-opioid-12972650.php,,,,,,,
Albuquerque,Outside ICE building,NM,US,2018-06-06,about 60,60,,60,,,general protestors,Protesting death of transgender migrant in US custody,1,protest,0,0,0,0,1,1,https://www.wsbtv.com/news/groups-to-protest-transgender-migrants-death-in-us-custody/764177422?utm_source=homestream&utm_medium=site_navigation&utm_campaign=homestream_click,,,,,,,
Corvalis,courthouse on 4th street,OR,US,2018-06-06,,,,,,,general protestors,anti-war,0,protest,0,0,0,0,1,1,http://www.corvallisadvocate.com/2018/17-years-courthouse-protests/,,,protest meets every day,,,,
Los Angeles,Hall of Justice,CA,US,2018-06-06,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,,
Mountain View,outside Google headquarters,CA,US,2018-06-06,na,27,,27,,,Silicon Valley Rising,concern about new Google campus development; want Google to put money into affordable housing,0,protest,0,0,0,0,1,1,http://abc7news.com/business/activists-rally-outside-alphabet-shareholders-meeting-in-mountain-view/3569558/,,,count from video,,,,
New York,Fort Hamilton; down Fifth Avenue,NY,US,2018-06-06,dozens,24,,24,,,general protestors,demand ICE release Pablo Villavicencio,1,protest,7,0,0,0,1,1,https://www.amny.com/news/pablo-villavicencio-ice-brooklyn-1.19011570,,,civil dis (block street),,,,
New York,Jackson Heights Post Office at 78-02 37th Ave,NY,US,2018-06-06,,,,,,,general protestors,against assault on LGBT man; against death of Roxsana Hernandez in ICE custody,1,protest,,,,,0,1,https://jacksonheightspost.com/lgbt-community-and-allies-to-protest-pride-day-assault-on-lgbt-man-tonight,,,,,,,
Palo Alto,957 Colorado Ave,CA,US,2018-06-06,,,,,,,Palo Alto Friends,"support bills addressing childhood poverty, prison reform and police militarization",0,march,,,,,1,1,https://www.mercurynews.com/2018/05/30/palo-alto-quakers-group-plans-silent-protest/,,,,,,,
Phoenix,State Capitol,AZ,US,2018-06-06,more than 300,300,,300,,,general protestors,support delaying closing of coal plant,0,protest,0,0,0,0,1,1,http://www.wdtn.com/news/u-s-world/native-americans-rally-in-bid-to-save-arizona-coal-plant/1222865221,,,,,,,
Washington,outside White House,DC,US,2018-06-06,,,,,,,general protestors,Protesting Trump's anti-Muslim rhetoric,1,protest,0,0,0,0,1,1,http://www.nydailynews.com/news/politics/ny-news-trump-iftar-white-house-20180606-story.html,,,,,,,
Albuquerque,Transgender Resource Center of New Mexico to Morningside Park,NM,US,2018-06-07,FB: 164,164,,164,,,general protestors; New Mexico LGBTQ Resource Center,,1,protest; march,0,0,0,0,1,1,http://www.dailylobo.com/article/2018/06/2018-abq-trans-march,https://www.facebook.com/events/229755051122123/,,,,,,
Gloucester,outside Gloucester Police Department,MA,US,2018-06-07,,,,,,,Gloucester Council on Aging; SeniorCare Inc,Rallying against Elder Abuse,0,rally; march,0,0,0,0,1,1,http://www.gloucestertimes.com/news/local_news/gloucester-to-rally-against-elder-abuse/article_328b24c4-ff8f-54f6-94b6-024892e9e7d2.html,,,,,,,
Grove City,Eagle Pavilion Fryer Park,OH,US,2018-06-07,,,,,,,Reagan Delaney Tokes Memorial Foundation,promote self-defense,0,rally,,,,,1,1,http://www.toledoblade.com/State/2018/05/31/Reagan-Tokes-rally-to-promote-self-defense-legislative-reforms.html,,,,,,,
Hartford,outside ICE office; 450 Main Street,CT,US,2018-06-07,more than 100,100,,100,,,Connecticut Immigrant Rights Alliance; many other organizations,oppose ICE and its killings of migrants,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/213524545924579/,http://www.courant.com/breaking-news/hc-immigration-rally-deportations-claudia-gonzalez-20180607-story.html#nt=oft12aH-1li3,,,,,,
Hunt Valley,outside Sinclair Broadcasting headquarters,MD,US,2018-06-07,several dozen,36,,36,,,general protestors,against Sinclair buying Tribune media company,0,protest,0,0,0,0,1,1,http://www.baltimoresun.com/business/bs-bz-sinclair-tribune-protest-shareholders-20180605-story.html,,,,,,,
Jackson,city hall,TN,US,2018-06-07,dozens,24,,24,,,Indivisible Jackson,"for immigrants' rights, against President Trump",1,protest,0,0,0,0,1,1,https://www.jacksonsun.com/story/news/local/2018/06/07/indivisible-jackson-protests-trumps-zero-tolerance-immigration-policy/679237002/,https://www.jacksonsun.com/story/news/education/2019/07/26/indivisible-jackson-launches-weekly-protests-against-immigration-detention-centers-donald-trump/1843138001/,,,,,,
Kenner,city hall,LA,US,2018-06-07,several dozen,36,,36,,,general protestors,Protesting police violence,1,protest,0,0,0,0,1,1,https://www.theadvocate.com/new_orleans/news/crime_police/article_b28284f4-6aa7-11e8-a73f-735f84a19eef.html,,,,,,,
Los Angeles,City Hall,CA,US,2018-06-07,more than 300,300,,300,,,general protestors,against ICE; keeping families together,1,protest,0,0,0,0,1,1,https://mynewsla.com/crime/2018/06/07/protesters-at-l-a-city-hall-oppose-trumps-immigration-policies/,http://abc7.com/politics/more-than-300-protest-child-separation-immigration-policy-in-dtla/3578742/,,,,,,
New York,outside Gov Cuomo's Third Avenue office,NY,US,2018-06-07,about 30,30,,30,,,students,Rally for speed cameras,0,rally,0,0,0,0,0,1,https://www.amny.com/news/speed-camera-bill-nyc-1.19037329,,,,,,,
New York,Varick Detention Center; 201 Varick Street,NY,US,2018-06-07,,,,,,,NY Immigration Coalition,demand ICE release Pablo Villavicencio,1,protest,,,,,1,1,https://twitter.com/thenyic/status/1004814594790051840,,,,,,,
New York,,NY,US,2018-06-07,,,,,,,general protestors,against city's airbnb crackdown,0,protest,0,0,0,0,1,1,http://abc7ny.com/realestate/protests-against-nyc-councils-proposed-airbnb-bill/3573528/,,,,,,,
Red Bank,St Thomas Episcopal Church,NJ,US,2018-06-07,nearly a dozen,12,,12,,,general protestors,Marching for driver's licenses for undocumented immigrants,0,march; rally,0,0,0,0,1,1,https://www.app.com/story/news/local/red-bank-middletown-area/red-bank/2018/06/07/300-mile-trek-drivers-license-immigration-bill-reaches-bayshore-red-bank/676807002/,,,,,,,
St Louis,city hall park,MO,US,2018-06-07,few dozen,24,,24,,,general protestors,protesting police brutality,1,march; protest,0,0,0,0,1,1,http://www.kmov.com/story/38373207/protesters-march-into-slmpd-headquarters-for-shooting-of-isaiah-hammett,,,,,,,
Albuquerque,Central Avenue,NM,US,2018-06-08,thousands,2000,,2000,,,Albuquerque Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,http://www.dailylobo.com/article/2018/06/2018-abq-pride-parade,,,,,,,
Billings,Yellowstone County Courthouse,MT,US,2018-06-08,about 150,150,,150,,,general protestors,march against drugs and violence,0,march,0,0,0,0,1,1,https://billingsgazette.com/news/local/speakers-at-march-drug-use-violence-on-the-rise-but/article_6a22d3a9-314b-57e5-97fb-9caf258e6ea7.html,,,,,,,
Bowling Green,First Presbyterian Church of Bowling Green,OH,US,2018-06-08,FB: 30,30,,30,,,Wood County Canine Alliance,protesting treatment of dogs at Wood County pound,0,protest,0,0,0,0,1,1,http://www.13abc.com/content/news/Dog-owners-vs-Dog-Warden-in-Wood-County-485017361.html,,,,,,,
Brooklyn,Launch Expeditionary Learning Charter School,NY,US,2018-06-08,,,,,,,Save Our Streets Crown Heights; students,walkout to protest gun violence,0,protest,0,0,0,0,1,1,https://www.amny.com/news/gun-violence-brooklyn-1.19059310,,,,,,,
Charlottesville,outside of Emancipation Park,VA,US,2018-06-08,20 to 30,20,,30,,,general protestors,protesting the outcome of the case of Corey Long,0,protest,7,0,0,0,1,1,http://www.roanoke.com/news/virginia/woman-injured-in-aug-car-attack-among-late-night-protest/article_0b6d4f9a-841a-5754-8bf6-c50b5d96dec2.html,https://www.dailyprogress.com/news/local/city/activists-upset-by-corey-long-conviction-arrested-during-protest/article_73bebb1a-6b93-11e8-be35-1f7666f3511e.html,,Long was anti-far right. Civil dis (refused to leave roadway),,,,
DeKalb,Memorial Park,GA,US,2018-06-08,dozens,24,,24,,,general protestors,Calling for immigration reform,1,protest; rally,0,0,0,0,1,1,http://www.daily-chronicle.com/2018/06/08/dozens-chant-for-immigration-reform-during-friday-rally-in-dekalb/au5ynzx/,,,,,,,
Flushing,Queens Crossing,NY,US,2018-06-08,dozens,24,,24,,,general protestors,rally against removal of specialized high school admittance test,0,protest; rally,0,0,0,0,1,1,https://qns.com/story/2018/06/12/parents-rally-flushing-citys-move-eliminate-specialized-high-school-test/,,,,,,,
Fort Pierce,Pinewood Park to the federal courthouse,FL,US,2018-06-08,at least 100,100,,100,,,general protestors,Calling for justice following the death of Greg Hill Jr. ,1,protest;march,0,0,0,0,1,1,https://www.wptv.com/news/region-st-lucie-county/fort-pierce/community-rallies-for-family-of-greg-hill-jr-given-4-settlement-after-hill-was-killed-by-deputy,https://waok.radio.com/blogs/amanda-cooper/florida-commissioner-holds-peace-rally-pay-tribute-gregory-hill,,,,,,
Highland Park,Reformed Church of Highland Park,NJ,US,2018-06-08,dozens,24,,24,,,general protestors,Rally in support of detained green card holder Cloyd Edralin,1,rally,0,0,0,0,1,1,https://www.app.com/story/news/new-jersey/2018/06/08/dozens-rally-highland-park-detained-green-card-holder/681357002/,,,,,,,
Manitowoc,Manitowoc County Courthouse,WI,US,2018-06-08,about 30,30,,30,,,general protestors,Rally in support of Steven Avery and Brendan Dassey,0,rally,0,0,0,0,1,1,https://www.sheboyganpress.com/story/news/local/steven-avery/2018/06/08/steven-avery-making-murderer-circuit-court-hear-motion-brendan-dassey/685684002/,,,,,,,
Mesa,City of Mesa Police Department Headquarters down mainstreet,AZ,US,2018-06-08,about 30,30,,30,,,Black Lives Matter,protesting police brutality,1,protest; march,0,0,0,0,1,1,https://www.abc15.com/news/region-southeast-valley/mesa/mesa-police-protest-black-lives-matter-planning-march-at-7pm,,,,,,,
Rochester,Hotel Cadillac,NY,US,2018-06-08,na,15,,15,,,general protestors,protesting lockout of Hotel Cadillac resident; protesting gentrification,0,protest,0,0,0,0,1,1,http://wxxinews.org/post/protestors-say-hotel-cadillac-symbolic-gentrification-issue-city,,,Partial count taken from video clip in article,,,,
Seattle,outside Franklin High School,WA,US,2018-06-08,about 1100,1100,,1100,,,students; teachers,against gun violence; for gun control,1,protest,0,0,0,0,1,1,https://southseattleemerald.com/2018/06/09/dream-for-the-dreamer-franklin-high-students-unite-to-honor-fallen-classmate/,,,"#KeepTheSouthEndSafe,",,,,
Westport,Ruth Steinkraus Cohen bridge,CT,US,2018-06-08,about 50,50,,50,,,general protestors,protesting family separation and detention,1,protest,0,0,0,0,1,1,https://www.westport-news.com/news/article/In-Pictures-Immigration-protest-in-Westport-12992054.php,,,,,,,
Williston,U.S. Immigration and Customs office,VT,US,2018-06-08,roughly 100,100,,100,,,general protestors,protesting family separation by ICE,1,protest,0,0,0,0,1,1,http://www.mynbc5.com/article/100-vermonters-protest-against-new-mandatory-separation-policy-for-immigrant-children/21241853,,,,,,,
Austin,Bass Concert Hall,TX,US,2018-06-09,na,24,,24,,,general protestors; MeToo movement,Protesting appearance of President Clinton,0,protest,0,0,0,0,1,1,https://www.kxan.com/video/group-protests-bill-clinton-at-book-tour-appearance-in-austin_20180611031858/1230798713,,,count estimated from video,,,,
Birmingham,1019 1st Ave N,AL,US,2018-06-09,more than 200,200,,200,,,Charismatic Episcopal Church for Life,"against new Planned Parenthood facility, against abortion, for Christian values",2,protest,0,0,0,0,1,1,https://yellowhammernews.com/pro-life-groups-gather-to-protest-planned-abortion-clinic-visible-from-i-65-in-birmingham/,https://www.cecforlife.com/press-release-after-halting-abortions-planned-parenthood-birmingham-is-attempting-to-build-a-new-facility/,,,,,,
Birmingham,1019 First Ave N - proposed site of new Planned Parenthood,AL,US,2018-06-09,FB: 38,38,,38,,,general protestors,Pro-Life; protesting construction of new Planned Parenthood building,0,rally; vigil,0,0,0,0,1,1,https://www.facebook.com/events/594232484271321/,https://www.lifesitenews.com/news/planned-parenthood-trying-to-replace-its-failing-birmingham-abortion-center,,,,,,
Boston,Copley Square to City Hall Plaza,MA,US,2018-06-09,tens of thousands,20000,,20000,,,general protestors,protect transgender bathroom rights; PRIDE parade; pro-LGBTQ,0,protest,0,1,0,0,1,1,http://www.bostonherald.com/news/local_politics/2018/06/part_parade_part_protest_as_bathroom_bill_vote_looms,,,"Theme: ""Rainbow Resistance""",,,,
Boulder,downtown Boulder,CO,US,2018-06-09,100 to 110,100,,110,,,Rally for Our Rights,protesting semi-automatic firearm sale ban in Boulder,2,protest,0,0,0,0,1,1,http://www.dailycamera.com/news/boulder/ci_31934378/boulder-rally-our-rights-again,,,,,,,
Conyers,Rockdale County Jail,GA,US,2018-06-09,nearly 200,200,,200,,,general protestors,rallying for investigation following inmate deaths,0,rally,0,0,0,0,1,1,http://www.rockdalenewtoncitizen.com/news/local/rockdale/rally-held-protesting-deaths-at-rockdale-jail/article_f4a56050-2d25-59b4-b46b-fb339feffcbf.html,,,,,,,
Houston,Water Works at Sabine to City Hall,TX,US,2018-06-09,a few dozen,36,,36,,,women veterans,rally to celebrate progress and speak out against abuse and challenges faced,0,rally; march,0,0,0,0,1,1,https://www.chron.com/news/houston-texas/houston/article/Women-veterans-share-brutal-struggle-in-Houston-12981562.php?ipid=hpctp,https://actionnetwork.org/events/women-veterans-march-2018?source=direct_link,,,,,,
Jersey City,Corner of Martin Luther King Dr. and McAdoo Ave. to Lincoln Park,NJ,US,2018-06-09,hundreds,200,,200,,,Jersey City Anti-violence coalition,rally to promote unity and condemn community violence,0,march; rally,0,0,0,0,1,1,https://www.nj.com/jjournal-news/index.ssf/2018/06/jersey_city_residents_march_in_1.html,https://hudsoncountyview.com/jersey-city-anti-violence-coalition-movement-marches-to-stop-gun-violence/,,,,,,
Los Angeles,West Hollywood,CA,US,2018-06-09,na,170000,,170000,,,LA Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.timeout.com/los-angeles/news/la-pride-2018-attracted-a-record-number-of-attendees-061118,,,,,,,
Milwaukee,Italian Community Center,WI,US,2018-06-09,,,,,,,democrats,Rally for Tammy Baldwin,1,rally,0,0,0,0,1,1,https://www.jsonline.com/story/news/politics/2018/06/09/california-sen-kamala-harris-headlines-campaign-rally-tammy-baldwin/687670002/,,,,,,,
New Orleans,Elysian Fields Avenue,LA,US,2018-06-09,thousands,2000,,2000,,,New Orleans Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.nola.com/festivals/index.ssf/2018/06/the_pride_parade_2018_circles.html,,,,,,,
New York,Lincoln Place to 9th St & 5th Avenue,NY,US,2018-06-09,thousands,2000,,2000,,,Brooklyn Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,http://brooklynpride.org/pride-events/,https://www.facebook.com/events/179609869525675/,https://www.brooklynpaper.com/stories/41/24/dtg-park-slope-pride-parade-2018-06-15-bk.html,,,,,
New York,Restoration Plaza,NY,US,2018-06-09,approximately 200,200,,200,,,students,Marching against gun violence,1,march; rally,0,0,0,0,1,1,https://www.amny.com/news/gun-violence-brooklyn-1.19059310,,,,,,,
Norman,Andrews Park,OK,US,2018-06-09,about 70,70,,70,,,general protestors,Rallying for medical marijuana legislation,0,rally,0,0,0,0,1,1,https://newsok.com/article/5597602/speeches-and-music-highlight-pro-medical-marijuana-rally-in-norman,,,,,,,
Pensacola,The Palafox House,FL,US,2018-06-09,80 to 100,80,,100,,,Florida republicans,rally for Ron DeSantis,2,rally,0,0,0,0,1,1,https://www.pnj.com/story/news/politics/2018/06/09/matt-gaetz-goes-after-adam-putnam-ron-desantis-campaign-rally/685374002/,,,,,,,
Phoenix,outside a Valley Metro community office,AZ,US,2018-06-09,a dozen,12,,12,,,general protestors,protest planned extension of Light Rail,0,protest,0,0,0,0,1,1,http://kjzz.org/content/648525/south-phoenix-business-owners-protest-planned-light-rail-extension,https://www.azcentral.com/story/news/local/phoenix/2018/06/10/phoenix-protesters-rally-against-light-rail-plan-central-avenue/687897002/,,,,,,
Pittsburgh,O'Hara Township,PA,US,2018-06-09,nearly 50,50,,50,,,general protestors,protest developer Stapleton Homes for unpaid workers,0,protest,0,0,0,0,1,1,http://www.post-gazette.com/local/north/2018/06/09/OHara-Stapleton-Homes-immigrant-protesters-Chapel-Harbor-at-the-Water-n/stories/201806090096,,,,,,,
Portland,Custom House Wharf to Union Wharf,ME,US,2018-06-09,about 70,70,,70,,,general protestors,protest development that could hurt fishing community,0,protest,0,0,0,0,1,1,https://www.pressherald.com/2018/06/09/fisherman-others-protest-portland-waterfront-development/,,,,,,,
Rexburg,Outside Church of Jesus Christ of Latter-day Saints stake center,ID,US,2018-06-09,na,7,,7,,,Westboro Baptist Church,Protesting BYU-Idaho; Mormonism,0,protest,0,0,0,0,1,1,https://carlyreports.wordpress.com/2018/06/11/the-westboro-baptist-church-calls-citizens-of-rexburg-to-repentance/,,,,,,,
Richmond,West County Detention Center,CA,US,2018-06-09,na,75,,75,,,general protestors; Interfaith Movement for Human Integrity,,1,protest; rally,0,0,0,0,1,1,http://richmondstandard.com/richmond/2018/06/12/girl-dances-in-quinceanera-gown-outside-richmond-jail-to-be-near-dad/,https://www.nbcbayarea.com/news/local/Teen-Holds-Quinceanera-Outside-Detention-Facility-Housing-Her-Father-485075671.html,http://richmondstandard.com/richmond/2018/06/12/girl-dances-in-quinceanera-gown-outside-richmond-jail-to-be-near-dad/,Partial count taken from video clips in articles,,,,
Rutland,Grace Congregational Church to West Street to Merchants Row to Center Street,VT,US,2018-06-09,more than 70,70,,70,,,Castleton Indivisible,against ICE; keeping families together,1,protest,0,0,0,0,1,1,https://www.rutlandherald.com/articles/locals-protest-national-immigration-policy/,https://www.rutlandherald.com/articles/rutland-march-protests-immigration-policy/,,,,,,
Sacramento,Crocker Park to the Capitol building,CA,US,2018-06-09,hundreds,200,,200,,,Sacramento Black Women United,Support black women; protesting racism,1,march,0,0,0,0,1,1,https://www.sacbee.com/news/local/article212887379.html,,,,,,,
Salt City,17th Avenue,KS,US,2018-06-09,about 500,500,,500,,,Salt City Pride,Pro-LGBTQ,1,rally; parade,0,0,0,0,1,1,http://www.hutchnews.com/news/20180609/love-trumps-hate-500-march-in-event-that-kicks-off-salt-city-pride,,,,,,,
Seattle,outside Federal Detention Center at SeaTac,WA,US,2018-06-09,FB:481,481,,481,,,general protestors,against ICE; keeping families together,1,rally,0,0,0,0,1,1,https://www.kiro7.com/news/local/protest-planned-after-asylum-seeking-mothers-reportedly-detained-in-seatac/765807328,https://www.facebook.com/events/129272717940781/,,,,,,
Spokane,Riverfront Park; downtown,WA,US,2018-06-09,thousands,2000,,2000,,,Spokane Pride,Pro-LGBTQ,1,rally; parade,0,0,0,0,1,1,https://www.krem.com/article/news/local/spokane-county/spokane-celebrates-its-pride-now-more-than-ever/293-562934078,https://www.kxly.com/news/thousands-take-downtown-to-celebrate-spokane-pride/751283194,,,,,,
Tarpon Springs,East Lake High School,FL,US,2018-06-09,na,11,,11,,,general protestors,Protesting Rep Bilrakis' Women's Summit,1,protest,0,0,0,0,1,1,http://www.baynews9.com/fl/tampa/news/2018/06/09/attendees-of-bilirakis--women-s-summit-were-met-by-protesters-on-saturday,,,count taken from picture in article,,,,
Tulsa,Fuel 66 at 2439 E. 11th Street,OK,US,2018-06-09,,,,,,,Oklahomans for Health,support ballot initiative for medical marijuana,0,rally,,,,,1,1,https://hightimes.com/news/oklahoma-senator-medical-marijuana-harmful-families/,,,,,,,
Washington,Dupont Circle to 14th Street,DC,US,2018-06-09,thousands,2000,,2000,,,Capital Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.metroweekly.com/2018/06/capital-pride-2018-was-a-big-party-celebrating-who-we-are-and-who-we-want-to-be/,,,,,,,
West Chester,Outside Chester County Courthouse,PA,US,2018-06-09,more than 300,300,,300,,,general protestors,Rallying against Mariner East Pipeline,0,rally,0,0,0,0,1,1,https://www.desmogblog.com/2018/06/11/following-spills-and-sinkholes-mariner-east-pipeline-opponents-call-pa-governor-wolf-stop-construction,http://www.delcotimes.com/general-news/20180609/300-protesters-call-for-end-to-sunoco-pipelines,,,,,,
West Palm Beach,downtown West Palm Beach,FL,US,2018-06-09,about 35,35,,35,,,general protestors,March for the Ocean ,0,rally; march,0,0,0,0,1,1,https://www.palmbeachpost.com/news/local/residents-rally-protect-the-ocean-sea-life-west-palm-event/RwFaa8zfehvOgWSA8YBQBK/,,,,,,,
Wichita,front of US Citizenship and Immigration Services office,KS,US,2018-06-09,about 60,60,,60,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.kansas.com/news/local/article213216004.html,https://www.csmonitor.com/USA/Justice/2018/0618/Family-separation-Evangelicals-add-their-voices-to-opposition,,,,,,
