CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Indian Springs,Creech Air Force Base,Clark,NV,US,2019-04-02,NA,6,,6,,,general protestors,Against drones; International,1,protest,6,0,0,0,1,1,https://www.reviewjournal.com/news/military/6-arrested-during-protest-of-creech-bases-role-in-drone-attacks-1633001/,,21004,
Lehi,City Hall ,Utah,UT,US,2019-04-02,,,,,,,Lehi Moms; Allies for Clean Air,Environment; Against mining,0,protest,0,0,0,0,1,1,https://www.sltrib.com/news/politics/2019/04/03/childrens-chalk-art-aims/,,21001,
Olympia,Capitol,Thurston,WA,US,2019-04-02,count pic,28,,28,,,Seattle Public Schools librarians,Education; Against budget; For library,0,protest,0,0,0,0,1,1,https://www.kitsapdailynews.com/news/school-librarians-demonstrate-at-the-capitol-to-protest-funding-cuts/,,20999,
Santa Monica,Santa Monica College,LA,CA,US,2019-04-02,,,,,,,SMC students,Education; For homeless residents,0,rally,0,0,0,0,1,1,https://www.smdp.com/smc-students-rally-in-support-of-homeless-peers/174085,,21109,
Tampa,Hillsborough County School Board,Hillsborough,FL,US,2019-04-02,over 40,40,,40,,,Hillsborough State Employee Federation; Hillsborough County Teachers Association,Against privatization; Other,1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2019/4/3/hillsborough-fl-custodians-and-teachers-rally-against-privatization,,20992,
Torrance,Torrance City Council,LA,CA,US,2019-04-02,,,,,,,Black Lives Matter,Civil Rights; For greater accountability; For racial justice; Police,0,protest,0,0,0,0,1,1,http://www.dailybreeze.com/black-lives-matters-protesters-seeking-camera-evidence-in-police-shooting-cause-problems-for-torrance-city-council,,21082,
Anchorage,WKFL Park,Anchorage,AK,US,2019-04-03,some 40,40,,40,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.homertribune.com/article/1915homer_residents_call_for_release_of_mueller,,21177,
Chicago,McDonald's,Cook,IL,US,2019-04-03,,,,,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,,20980,
Columbia,State House,Richland ,SC,US,2019-04-03,over 150,150,,150,,,general protestors,Education; Against closure/relocation,0,rally,0,0,0,0,1,1,http://www.wistv.com/2019/04/03/students-staff-leaders-rally-save-denmark-technical-college/,https://thetandd.com/news/local/denmark-tech-really-counts-supporters-hold-rally-for-college-at/article_daf16b6a-60fd-502d-a51a-00796afe46ea.html,20994,
Dover,City Hall ,Strafford,NH,US,2019-04-03,,,,,,,Dover teachers,Education; Against budget,0,rally,0,0,0,0,1,1,https://www.wmur.com/article/dover-teachers-rally-to-protest-budget-pay-class-size/26966409,,,20886
Durham,McDonald's,Durham,NC,US,2019-04-03,,,,,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,,20981,
Flint,McDonald's,Genesee,MI,US,2019-04-03,more than 30,30,,30,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,https://www.mlive.com/expo/news/g66l-2019/04/d6e0ee3b3a3691/dozens-protest-for-minimum-wage-increase-at-flint-mcdonalds.html,20973,
Hackettstown,Centenary University,Warren,NJ,US,2019-04-03,about 50,50,,50,,,Centenary University,Education; Against extracurricular changes,0,protest,0,0,0,0,1,1,https://www.njherald.com/20190405/centenary-university-students-protest-pools-closure,,21049,
Kansas City,McDonald's,Jackson,MO,US,2019-04-03,,,,,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,,20977,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-04-03,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,
Los Angeles,McDonald's,LA,CA,US,2019-04-03,,,,,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,,20974,
Memphis,McDonald's,Shelby,TN,US,2019-04-03,,,,,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,,20982,
Miami,McDonald's,Miami- Dade,FL,US,2019-04-03,,,,,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,,20978,
Milwaukee,McDonald's,Milwaukee,WI,US,2019-04-03,about 30,30,,30,,,McDonald's employees; Fight for $15,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,https://www.jsonline.com/story/money/business/health-care/2019/04/03/fight-for-15-campaign-protests-at-mcdonalds-restaurant-in-milwaukee/3357458002/,20983,
Norman,Lions Park,Cleveland,OK,US,2019-04-03,hundreds,100,,100,,,general protestors,Civil Rights; For religious tolerance; For racial justice,0,rally,0,0,0,0,1,1,http://www.oudaily.com/news/mayor-elect-breea-clark-to-hold-community-rally-after-racist/article_fe525fba-5635-11e9-9458-375a9f0d4905.html,http://www.oudaily.com/news/norman-community-condemns-racism-champions-diversity-at-community-rally-following/article_12086988-5685-11e9-84f4-af64d670ca90.html,20995,
Parkland,Marjory Stoneman Douglas High School,Broward,FL,US,2019-04-03,approximately 200,200,,200,,,Marjory Stoneman Douglas students,Education; Guns; Mental health; For local services,0,walkout; protest,0,0,0,0,1,1,https://www.miamiherald.com/news/local/education/article228790104.html,,20993,
