date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-07-01,Lame Deer,MT,43426 Highway 212,Arise USA The Resurrection Tour,,,,Constitutional Sheriff & Peace Officer's Association; Earth Intelligence Network,,"for constitutional freedom, for health freedom, for Christian faith, for patriotism, for sovereign citizenship, against state coronavirus mandates and vaccines, against election fraud, against critical race theory, against satanic pedophelia",2,rally,,,,,,,,,,,,https://ariseusa.com/about/,https://bigbatusa.org/2021/06/23/location-36-lame-deer-mt-1-july-5-8-pm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Lonoke,AR,"Lonoke County Sheriff's Office, 440 Dee Dee Ln",,,,,,,"for justice for Hunter Brittain, against police violence, for police transparency and accountability",1,protest,,,,,,,,,,,,https://www.kark.com/news/local-news/supporters-of-hunter-brittain-hold-rally-following-memorial-service-call-for-change/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Los Angeles,CA,L.A. City Hall,Rally at City Hall Against the Criminalization of Homelessness,count pic,50,60,Ktown for All,,against criminalization of homelessness,0,rally,,,,,,,,,,,,https://twitter.com/KtownforAll/status/1410392894305828865,https://twitter.com/kennethmejiaLA/status/1410644250757193740,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Minneapolis,MN,Merwyn Triangle Park,Solidarity with Palestine Bannering and Teach-In,count pic,15,25,American Muslims for Palestine; Samidoun; Al-Awda; Within Our Lifetime; NY4Palestine,,"solidarity with Palestine, end apartheid",0,teach-in; demonstration; banner drop,,,,,,,,,,,,https://www.instagram.com/p/CQycueUMDQA/?utm_source=ig_web_copy_link,https://www.instagram.com/p/CQzPmv_MjFU/?utm_source=ig_web_copy_link,https://www.instagram.com/p/CQzu9R5MDAM/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Muncie,IN,Muncie City Hall,Support for the People,FB: 9,9,9,Muncie Resists,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163391/signup/,https://www.facebook.com/events/213580973948704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New Orleans,LA,NOFD Station 14; New Orleans City Hall,,,,,New Orleans Fire Fighters Association,firefighters,for fair wages for firefighters,0,march,,,,,,,,,,,,https://www.wdsu.com/article/new-orleans-firefighters-plan-march-on-city-council-to-call-for-fair-wages/36891389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New York,NY,"1 Police Plaza, Manhattan",,,,,Communities United for Police Reform,family; elected officials,"for justice for Antonio Williams, for police accountability, against racism",1,rally,,,,,,,,,,,,https://twitter.com/changethenypd/status/1410618465300357139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New York,NY,"1419 Avenue J, Brooklyn",Aqui Estamos y No Nos Vamos,,,,Mexicanos Unidos,,"against harassment of immigrant family by slumlord, for tenants' rights, for immigrants' rights",0,direct action,,,,,,,,,,,,https://www.instagram.com/p/CQyiM1lDQL6/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New York,NY,"Brooklyn Museum, Brooklyn",Our father Ali Mustafa: We want him back,,,,,,"against Assad government in Syria, for return of detainees",0,vigil,,,,,,,,,,,,https://twitter.com/hyyppati/status/1409820932542173188?,https://www.facebook.com/events/858204978119347/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New York,NY,"Carl Schurz Park, Manhattan",,,,,Upper East Side for Black Lives Matter,,"against racism, against police violence",1,vigil; march,,,,,,,,,,,,https://www.instagram.com/p/CQyTYJEj2MX/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New York,NY,"Diversity Plaza, Queens",,count video,40,60,The Stonewall Protests,,"Black trans and Black queer lives matter, Black Lives Matter, for dropping charges against all protesters for racial justice, for justice for Winston Smith",1,march,on scene; followed marchers,marched in street,,,,,,,,,,https://www.instagram.com/p/CQwy7ozjuFe/?utm_source=ig_web_copy_link,https://twitter.com/protest_nyc/status/1410729817041817602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New York,NY,"McCarren Park, Brooklyn",,,,,,,"against racism, against police violence",1,vigil,,,,,,,,,,,,https://www.instagram.com/p/CQw4AH-n6Lg/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New York,NY,"780 3rd Ave, Manhattan",,count video,60,80,Sunrise NYC,,"for Green New Deal for public housing, for Civilian Climate Corps, no climate no deal",1,demonstration,,,,,unspecified,,,,,office of U.S. Senator Chuck Schumer,,https://twitter.com/sunrisemvmtnyc/status/1410642596905590787,https://twitter.com/sunrisemvmtnyc/status/1410662728314855428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,New York,NY,"United Metro Energy Corp., 500 Kingsland Ave, Brooklyn",,,,,Teamsters Local 553,,for higher pay and better health benefits for United Metro Energy workers,0,strike; picket,,,,,,,,,,,,https://inthesetimes.com/article/united-metro-energy-labor-politics-unions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Park Rapids,MN,,,,,,Giniw Collective; Rainforest Action Network,,"against Line 3 oil pipeline, for environmental protection, for native peoples' rights, against climate catastrophe",1,demonstration; direct action,threatened to arrest protesters standing by roadside; blocked road access to area; riot gear,two protesters locked themselves to pipeline at work site,,,28,,,,,,,https://twitter.com/GiniwCollective/status/1410635965555695621,https://twitter.com/hungrybowtie/status/1410611928142020628,https://twitter.com/UR_Ninja/status/1410636408872701957,https://twitter.com/UR_Ninja/status/1411111562329399297,https://twitter.com/RisingTideNA/status/1411750993788751872,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Paterson,NJ,Paterson City Hall,Fire Spencer Finch,,,,,,"against police brutality, for police accountability, against racism, fire Spencer Finch",1,rally,,,,,,,,,,,,https://twitter.com/zellieimani/status/1410375445233741831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Pittsburgh,PA,West Penn Hospital,,count pic,45,50,SEIU Healthcare Pennsylvania,nurses,for higher pay and benefits and staffing levels for nurses at West Penn Hospital,0,rally,,,,,,,,,,,,https://triblive.com/local/west-penn-hospital-nurses-rally-for-new-contract-citing-continuing-stresses/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Portland,ME,Lobsterman Park,Pass the For the People Act,,,,Mainers for Accountable Leadership,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163121/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Portland,OR,MLK & Killingsworth,Justice for Patrick Kimmons March & Rally,,,,Justice for Patrick Kimmons,,"for justice for Patrick Kimmons, against racism, against police brutality",1,march; rally,,,,,,,,,,,,https://www.instagram.com/p/CQv_LYmBwh3/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Rockford,IL,Rockford City Hall,,,,,May 30th Alliance,,"against racism, against police violence",1,demonstration,,encamped outside city hall,,,,,,,,,,https://twitter.com/M30Alliance/status/1370029296509652993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Rockland,ME,"Rockland Health & Human Services, 91 Camden St",Maddox Matters,count video,9,10,,,"in remembrance of Maddox Williams, for more state action to prevent child abuse",0,rally,,,,,,,,,,,,https://www.wabi.tv/2021/06/28/peaceful-rally-planned-memory-maddox-williams/,https://www.wabi.tv/2021/07/01/organizers-maddox-matters-rally-change-within-maines-child-welfare-system/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Saint Louis,MO,Kiener Plaza Park,Deadline for Democracy,,,,Indivisible Saint Louis,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163030/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,San Diego,CA,"San Diego Police Department, 7222 Skyline Dr",SDPD Protest,,,,,,"for firing several San Diego Police Department officers, against police brutality, against racism",1,protest,,,,,,,,,,,,https://twitter.com/LoveForgivPeace/status/1409349961238548488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,San Francisco,CA,"San Francisco Federal Building, 90 7th St",Tell Pelosi: Take Action for Palestine,FB: 73,73,73,AROC; Al-Awda; Palestinian Youth Movement; Jewish Voice for Peace; U.S. Palestinian Community Network; American Muslims for Palestine,,against U.S. support for ethnic cleansing in Palestine and Israeli apartheid,0,protest,,,,,,,,,,,,https://www.indybay.org/newsitems/2021/06/29/18843498.php,https://www.facebook.com/events/s/tell-pelosi-take-action-for-pa/158525689599105/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Sausalito,CA,Suasalito Presbyterian Church,Indivisible Sausalito - Voting Rights at Risk!,,,,Indivisible Sausalito,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163324/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Seattle,WA,Alki Beach,,,,,,,"in remembrance of indigenous children killed in residential schools, against genocide",0,vigil,,,,,,,,,,,,https://www.instagram.com/p/CQwDWR6s5s_/?utm_source=ig_web_copy_link,https://www.instagram.com/p/CQv80pRLg63/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Sherman Oaks,CA,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,,,,The Valley of Change,,"Black Lives Matter, against police brutality",1,demonstration,,,,,,,,,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Swampscott,MA,Lynn Shore Dr & Humphrey St,,,,,Freedom Fighters Coalition,,Black Lives Matter,1,demonstration,,,,,,,,,,,,https://www.instagram.com/p/CQwcNbHsM_L/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Tupelo,MS,"office of U.S. Representative Trent Kelly, 431 West Main St",Indivisible Light Brigade- Deadline for Democracy,,,,Indivisible Northeast Mississippi,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163381/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,West Hartford,CT,Wilfred St & Oakwood Ave,Overpass for Democracy,,,,IndivisibleCT,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163391/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Winthrop,MA,town hall,,,,,,,"against murder of Ramona Cooper and David Green, against racism",0,vigil ,,,,,,,,,,,,https://boston.cbslocal.com/2021/06/28/winthrop-vigil-dave-green-ramona-cooper-nathan-allen/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Wooster,OH,Wooster Square,,,,,Wayne County Racial Justice Coalition,,against racism,1,demonstration,,,,,,,,,,,,online submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Worcester,MA,St. Vincent Hospital,,,,,Massachusetts Nurses Association,nurses,for fair contract and safe staffing levels for nurses at St. Vincent Hospital,0,strike; picket,,,,,,,,,,,,https://www.telegram.com/story/news/2021/07/21/st-vincent-hospital-nurses-strike-marlena-pellegrino-tenet-healthcare/8043601002/,https://www.masslive.com/worcester/2021/07/supporters-march-through-worcester-in-solidarity-with-striking-saint-vincent-hospital-nurses-well-be-here-as-long-as-it-takes.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Addison,IL,Portillo's Food Service,,17,17,17,Arise Chicago,workers,"for better working conditions and higher pay for workers at Portillo's Food Service, for collective bargaining rights",0,strike; picket; press conference,,,,,,,,,,,,https://chicago.suntimes.com/2021/7/2/22561028/portillos-rally-walkout-addison-river-north-restaurant-arise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Alison Park,PA,"Cadence Clubhouse Cafe & Taproom, 9999 Kummer Rd",Faith Family Freedom Rally,,,,MAGA Masters,,"against coronavirus mask and vaccination mandates, for audit of 2020 presidential election, for Christian values, for freedom",2,rally,,,,,,,,,,,,https://twitter.com/pghfashwatch/status/1409612663391461378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Beckley,WV,New River Park,"WV Summer Jam: Democracy, Jobs, and Care-a-van Tour",,,,West Virginia Working Families Party; SEIU 1199 WV/KY/OH; WV Citizen Action Group; WV New Jobs Coalition,,"for the For The People Act, for voting rights, for the THRIVE Act, for clean energy, for climate action, for union jobs",1,rally,,,,,,,,,,,,https://www.register-herald.com/news/state_region/tour-aims-to-rally-support-for-voting-rights-infrastructure/article_3b7be54e-3921-5b12-b933-eb1a50e2ff1b.html,https://act.indivisible.org/event/local-actions/163451/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Boston,MA,Massachusetts State House,#FreeHer ClemencyWorks Rally and March,FB: 36,36,36,Justice 4 Housing; Showing Up for Racial Justice; AARW; New Beginnings; Building Up People Not Prisons; Community Love Fund; Families for Justice and Healing,,"for clemency for incarcerated women and girls, for racial justice, for decarceration",1,rally; march,,,,,,,,,,,,https://www.instagram.com/p/CQwN2JgMUgT/?utm_source=ig_web_copy_link,https://www.facebook.com/events/massachusetts-state-house/freeher-clemencyworks-rally-and-march/504060414038997/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://umwa.org/news-media/press/fourthmonthwarriormetstrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
