CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,,,,
Caldwell,Caldwell High School,,ID,US,2020-10-01,,,,,,,People's Rights,against state coronavirus mandates,2,direct action,,,,,1,1,,Group refused to wear masks and refused to leave school grounds when asked by police. Game was cancelled at halftime due to threats from group.,,https://www.eastidahonews.com/2020/10/idaho-high-school-football-game-stopped-at-halftime-after-dispute-involving-ammon-bundy/,,,,,,,,,,,,,,,,,,
Carbondale,Catherine Store,,CO,US,2020-10-01,60 or so,60,,60,,,general protesters,for President Trump,2,rally,,,,,1,1,,,,https://www.aspendailynews.com/news/trump-rally-garners-mostly-positive-feedback-from-rush-hour-commuters/article_16e7396e-0914-11eb-8402-4b2cf6c0f4a9.html,,,,,,,,,,,,,,,,,,
Carter Lake,PVS Metals,,IA,US,2020-10-01,,,,,,,Pottowamie County Republican Party,for President Trump,2,rally,0,0,0,0,1,1,20201001-carterlake-pence,Feat. Mike Pence,,https://www.ketv.com/article/iowa-democrats-protest-vice-president-rally-supporters-praise-president-trump/34241916,,,,,,,,,,,,,,,,,,
Carter Lake,PVS Metals,,IA,US,2020-10-01,count video,10,,12,,,LiUNA,"against President Trump, for Joe Biden, against risk of rally spreading COVID-19, Trump lied 200K died",1,counter-protest,0,0,0,0,0,1,20201001-carterlake-pence,protested outside rally venue,,https://www.ketv.com/article/iowa-democrats-protest-vice-president-rally-supporters-praise-president-trump/34241916,,,,,,,,,,,,,,,,,,
Cary,Wake County Public School System headquarters,,NC,US,2020-10-01,about 200; more than 100,100,,200,,,general protesters,for opening schools in-person during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://www.wral.com/coronavirus/parents-students-teachers-rally-for-return-to-in-class-learning-in-wake-county/19315854/,https://abc11.com/education/frustrated-parents-protest-outside-wake-schools-headquarters/6699499/,Wake County families rally for all schools to reopen | Durham Herald Sun,More than 100 turn out for rally demanding WCPSS schools reopen | CBS 17,,,,,,,,,,,,,,,
Cedar Falls,,,IA,US,2020-10-01,count pic,100,,200,,,Racial and Ethnic Coalition,"against racism, against police violence",1,march,,,,,1,1,,,,https://kwwl.com/2020/10/01/protesters-marching-in-cedar-falls/,,,,,,,,,,,,,,,,,,
Charleston,"Kroger, 5717 McCorkle Ave SE",,WV,US,2020-10-01,,,,,,,UFCW Local 400,for better wages and healthcare and safer workplace conditions during coronavirus pandemic for Kroger grocery store workers in West Virginia,0,car caravan,,,,,1,1,,,,https://wvva.com/2020/10/01/local-kroger-workers-protesting-today/,,,,,,,,,,,,,,,,,,
Charleston,State Capitol,,WV,US,2020-10-01,around two dozen,24,,24,,,general protesters,for the confirmation of Judge Amy Coney Barrett to the U.S. Supreme Court,2,rally,0,0,0,0,0,1,,,,W.Va. Attorney General Rallies for Judge Amy Coney Barrett | West Virginia News | US News,,,,,,,,,,,,,,,,,,
Charlotte,federal courthouse,,NC,US,2020-10-01,one to two dozen,12,,24,,,bar owners,"against Gov. Cooper's Phase 3 reopening order, for allowing bars to reopen during coronavirus pandemic",0,rally,0,0,0,0,0,1,,,,https://www.wcnc.com/article/money/bar-owners-protest-north-carolina-phase-3-restriction-reopening-coronavirus/275-e42b5a11-c769-47de-a468-cdad07b54954,https://www.charlotteobserver.com/news/business/article246133075.html,,,,,,,,,,,,,,,,,
Charlotte,First Ward Park to Romare Bearden Park,,NC,US,2020-10-01,dozens,24,,24,,,general protesters,"against racism, against police violence, for justice for Harold Easter",1,march,,,,,1,1,,"Earlier in the day, police released video showing prelude to Easter's death.",,https://www.wsoctv.com/news/local/dozens-protest-uptown-over-death-harold-easter-while-cmpd-custody/UK2YSPMCUBENLDHQLQ3W6POQTA/,https://www.wcnc.com/article/news/local/harold-easter-protest-uptown-charlotte/275-a551cda0-f292-4c95-949f-48f24488ebcf,https://www.wbtv.com/2020/10/01/march-happening-after-cmpd-releases-video-moments-leading-harold-easters-death/,,,,,,,,,,,,,,,,
Chevy Chase,"Eagle Bank, 5480 Wisconsin Ave",,MD,US,2020-10-01,,,,,,,Bethesda African Cemetery Coalition,"against planned development on site of Moses Cemetery, against erasure of Black history, against Eagle Bank's loan to fund development project",1,protest,,,,,1,1,,,,https://www.instagram.com/p/CFyEQrKpvSf/,,,,,,,,,,,,,,,,,,
Chicago,"Canada Goose, 800 N Michigan Ave",,IL,US,2020-10-01,,,,,,,People for the Ethical Treatment of Animals,"against fur and feather jackets, against animal cruelty",0,protest,,,,,1,1,,,,https://www.peta.org/media/news-releases/canada-goose-to-face-bloody-peta-protest/,https://www.chicagotribune.com/lifestyles/fashion/ct-life-canada-goose-protest-chicago-1002-20201002-h4cmg4cjx5confqt2dpnkopm5m-story.html,,,,,,,,,,,,,,,,,
Chico,Chico City Hall,,CA,US,2020-10-01,few hundred ,300,,300,,,Open Up Butte County,"for reopening schools and businesses during coronavirus pandemic, for freedom",2,rally,0,0,0,0,1,1,,,,https://www.actionnewsnow.com/content/news/Community-members-gather-at-Chico-city-hall-for-reopening-rally-572609371.html,https://www.facebook.com/KRCR7/videos/open-butte-county-rally-happening-now-in-chico-over-100-community-members-have-c/1226507587719059/,https://www.chicoer.com/2020/10/02/open-up-butte-county-group-rallies-for-end-to-countys-coronavirus-emergency/,,,,,,,,,,,,,,,,
Des Moines,,,IA,US,2020-10-01,about 600,600,,600,,,The Family Leader,for President Trump,2,rally,0,0,0,0,1,1,,,,"Pence rallies with Republicans, gets ovation for defense of Barrett | KGLO News",,,,,,,,,,,,,,,,,,
Dover,Delaware Department of Education,,DE,US,2020-10-01,about 100,100,,100,,,parents; children,for reopening Delaware schools for in-person classes during coronavirus pandemic,0,rally; protest,,,,,1,1,,,,https://www.delawareonline.com/story/news/2020/10/02/delaware-parents-gop-candidates-rally-urge-carney-reopen-schools-full-time/5878371002/,https://www.facebook.com/events/420743025562587/,https://www.capegazette.com/article/residents-rally-school-reopen/210030,,,,,,,,,,,,,,,,
Gulfport,Jones Park to Harrison County Courthouse,,MS,US,2020-10-01,,,,,,,general protesters,"against racism, for police accountability and reform",1,march,,,,,1,1,,,,https://www.wxxv25.com/2020/10/01/gulfport-residents-march-police-accountability/,,,,,,,,,,,,,,,,,,
Happy Valley,Clackamas Town Center,,OR,US,2020-10-01,dozens,24,,24,,,Clack to School,for resumption of in-person schooling during coronavirus pandemic,0,rally,,,,,1,1,,,,https://www.kgw.com/article/news/education/clackamas-county-parents-rally-to-get-kids-back-in-school/283-f1de13fd-c1e4-477a-b26c-798be0522c6a,https://katu.com/news/local/parents-rally-to-get-kids-back-in-the-classroom,,,,,,,,,,,,,,,,,
Indianapolis,Indiana State House to Indianapolis City County Building,,IN,US,2020-10-01,,,,,,,Indiana Going Blue,"for police, against police reform",2,march,,,,,1,1,,,,https://www.facebook.com/events/747312799175136/,,,,,,,,,,,,,,,,,,
Ithaca,Dewitt Park,,NY,US,2020-10-01,,,,,,,Ithaca Tenants Union,"against soft evictions and other predatory practices by landlords, for extension of eviction moratorium during coronavirus pandemic",0,protest; march,,,,,1,1,,,,https://ithacavoice.com/2020/10/tenants-union-organizes-protest-against-soft-evictions-citing-local-landlords/,,,,,,,,,,,,,,,,,,
Klamath Falls,Klamath County Fairgrounds,,OR,US,2020-10-01,,,,,,,Klamath County Patriots,for reopening schools and businesses during coronavirus pandemic,2,protest,0,0,0,0,1,1,,Attended by local Republican politicians.,,https://www.heraldandnews.com/news/local_news/klamath-county-residents-protest-covid-19-restrictions-at-maskless-gathering/article_0e040c44-b844-5d99-8e24-104dbc3735a8.html,Klamath County residents protest COVID-19 restrictions at maskless gathering | Local News | heraldandnews.com,,,,,,,,,,,,,,,,,
Lansing,Michigan State Capitol,,MI,US,2020-10-01,,,,,,,general protesters,against domestic violence,0,rally,,,,,1,1,,,,https://www.lenconnect.com/news/20200930/domestic-violence-rally-returns-to-state-capitol,https://www.lenconnect.com/story/news/local/2020/09/30/domestic-violence-rally-returns-to-state-capitol/42838589/,,,,,,,,,,,,,,,,,
