CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
New York ,Garfield Entrance of Prospect Park ,NY ,US,2017-11-08,FB: 6,6,,6,,,general protestors,Screaming protest ,1,protest ,0,0,0,0,0,1,https://www.facebook.com/events/1558925460836356/?active_tab=about,,,,,
Oakland,,CA,US,2017-11-08,over two dozen,24,,24,,,teachers,Protesting budget cuts,0,protest,0,0,0,0,1,1,http://blog.sfgate.com/inoakland/2017/11/09/teachers-protest-proposed-budget-cuts-as-school-board-votes-down-possible-charter-school/,,,,,
Oklahoma City,Santa Fe HS,OK,US,2017-11-08,hundreds,200,,200,,,high school students,Protesting Inaction for DACA recipients,1,walk out,0,0,0,0,0,1,http://www.tulsaworld.com/news/state/oklahoma-city-students-stage-walkout-in-protest-of-daca-termination/article_7ada6223-4405-52ad-a9ee-dfd08fbf671e.html,,,,,
Oklahoma City,State Capitol,OK,US,2017-11-08,,,,,,,Oklahoma Behavioral Health Association,Rallying in support of Senate bill,1,rally,0,0,0,0,1,1,http://kfor.com/2017/11/08/oklahoma-behavioral-health-association-hosting-rally-in-support-of-bill-aimed-to-tackle-state-budget-crisis/,,,,,
Philadelphia,City Hall,PA,US,2017-11-08,,,,,,,general protestors,screaming protest ,1,protest,0,0,0,0,1,1,http://www.foxnews.com/us/2017/11/09/anti-trump-protesters-scream-helplessly-at-sky-to-demonstrate-on-election-anniversary.html,,,,,
Philadelphia,Dilworth Park,PA,US,2017-11-08,nearly 500,,,,,,general protestors,display frustration at 2016 election,1,demonstration,0,0,0,0,1,1,http://www.phillyvoice.com/hundreds-plan-scream-helplessly-sky-philly-election-anniversery/,https://pjmedia.com/video/watch-liberals-gather-scream-sky-ny-philly/,,,,
San Antonio,5 Diamonds Park,TX,US,2017-11-08,hundreds,200,,200,,,general protestors,vigil for boy shot; rally against violence,0,rally,0,0,0,0,1,1,https://www.ksat.com/news/hundreds-attend-vigil-for-3-year-old-boy-killed-in-highway-shooting-1,,,,,
San Francisco,Federal courthouse,CA,US,2017-11-08,,,,,,,general protestors,Rallying behind teacher accused of fostering unsafe environment for Jewish students due to being pro-Palestine,0,rally,0,0,0,0,1,1,https://electronicintifada.net/blogs/nora-barrows-friedman/israel-lobby-lawsuit-against-san-francisco-state-university-collapses,,,,,
Superior,Enbridge pipeline site,MI,US,2017-11-08,at least two,2,,2,,,general protestors,Protesting pipeline,0,protest,2,0,0,0,1,1,http://www.duluthnewstribune.com/news/superior/4356265-least-two-arrested-pipeline-protest-superior,,,,,
Tampa,Jefferson High School,FL,US,2017-11-08,hundreds,200,,200,,,Students,Rallying for higher teacher salaries,0,rally; walk-out,0,0,0,0,1,1,http://www.wtsp.com/news/education/tampa-high-school-students-protest-in-support-of-teacher-salary-raises/490179918,,,,,
Warren,Andioma's Banquet and Event Center,MI,US,2017-11-08,about 200,200,,200,,,general protestors,Protesting appearance by Steve Bannon,1,protest,0,0,0,0,1,1,http://www.record-eagle.com/state/suburban-detroit-city-preparing-for-bannon-speech-protest/article_90e2ad17-8b3b-5035-bcd7-9f45efb937c4.html,http://www.detroitnews.com/story/news/local/macomb-county/2017/10/21/warren-steve-bannon/106884110/,http://www.arabamericannews.com/2017/11/10/protest-over-steve-bannon-takes-place-outside-macomb-county-republican-partys-unity-dinner/,,,
Austin,Rep. Cornyn's office,TX,US,2017-11-09,,,,,,,general protestors,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,http://www.statesman.com/news/local/today-students-plan-walkout-rally-cornyn-office-protest-end-daca/xa2TnFG65VKzzx2sz1JqNK/,,,,,
Bedford,Near Amtrak station,VA,US,2017-11-09,about 100p; dozens,100,,100,,,Bedford/Franklin Regional Rail Initiative,Rallying for train stop,0,rally,0,0,0,0,1,1,http://www.newsadvance.com/news/local/bedford-area-residents-rally-in-support-of-a-train-stop/article_072db9f6-c59e-11e7-933c-7b0f2161aa02.html,http://www.roanoke.com/news/local/bedford_county/with-signs-and-luggage-supporters-rally-for-bedford-train-stop/article_e33a2cb9-8058-50f4-b087-04460c88a9e7.html,http://www.newsadvance.com/news/local/with-signs-and-luggage-supporters-rally-for-bedford-train-stop/article_9decd277-8d31-5da2-af1b-7ffe592e4c9d.html,,,
Biloxi,VA Medical Center,MS,US,2017-11-09,,,,,,,American Federation of Government Employees,Protesting understaffing,0,protest,0,0,0,0,1,1,http://www.wlox.com/story/36808783/rally-calls-for-more-employees-at-biloxi-va-medical-center,http://www.sunherald.com/latest-news/article183733676.html,,,,
Bloomington,Yellowwood State Forrest,IN,US,2017-11-09,hundreds,200,,200,,,Indiana Forrest Alliance,Protesting logging in forrest,0,protest,0,0,0,0,1,1,http://wfhb.org/news/night-owls-protest-yellowwood-logging/,,,,,
Colorado Springs,,CO,US,2017-11-09,picture,3,,9,,,general protestors,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,https://www.csindy.com/TheWire/archives/2017/11/09/daca-colorado-springs-dream-team-rallies-congress-to-act,,,,,
Detroit,Marathon Petroleum refinery,MI,US,2017-11-09,dozens,24,,24,,,general protestors,Protesting pollution from plant,0,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/michigan/articles/2017-11-10/residents-protest-detroit-refinery-over-pollution-concerns,http://www.mankatofreepress.com/region/residents-protest-detroit-refinery-over-pollution-concerns/article_3fe39541-f608-54d7-b94e-3f840ef2cadd.html,http://www.ourmidland.com/news/article/Residents-protest-Detroit-refinery-over-pollution-12347771.php,,,
Edinburg,University of Texas Rio Grande Valley,TX,US,2017-11-09,,,,,,,general protestors,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,http://www.themonitor.com/gallery/news/collection_0901c9e0-c5c4-11e7-b334-ff446dc07226.html,,,,,
Franklin,Public Square,TN,US,2017-11-09,NA,20,,20,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.tennessean.com/story/news/local/williamson/2017/11/09/small-group-franklin-protest-potential-tax-reform-bill/848310001/,,,,,
Hartford,Outside Rep. Valado's office,CT,US,2017-11-09,around 30,30,,30,,,general protestors,Protesting ICE detention,1,rally,0,0,0,0,1,1,http://hanfordsentinel.com/news/local/rally-for-daca-in-hanford/article_9ab19491-cd4d-5392-b26f-ea6ae319fe46.html,,,,,
Ithaca,Ithaca College,NY,US,2017-11-09,More than 50,50,,50,,,Students,Protesting pro-NRA speaker,1,protest,0,0,0,0,1,1,https://theithacan.org/news/students-plan-to-protest-right-wing-gun-advocate-speaker-at-ic/,https://thinkprogress.org/students-stand-up-extreme-gun-rights-lobbyist-008571e0e39c/,,,,
Laramie,University of Wyoming,WY,US,2017-11-09,FB: 43,,,,,,Students,Protesting speech by Dennis Prager,1,protest,0,0,0,0,1,1,https://www.campusreform.org/?ID=10120,https://www.facebook.com/events/1750810875223687/,http://www.laramieboomerang.com/news/uw-students-plan-protest-of-conservative-speaker/article_4d3ebff6-c50f-11e7-995f-3381a9eade6e.html,,,
Las Vegas,Las Vegas Strip,NV,US,2017-11-09,thousands,2000,,2000,,,general protestors,Show of solidarity with those affected by the gunfire in October,0,march,0,0,0,0,1,1,http://www.ktvn.com/story/36814263/thousands-march-on-vegas-strip-in-honor-of-october-shooting,https://www.usnews.com/news/best-states/nevada/articles/2017-11-10/thousands-march-on-vegas-strip-in-honor-of-october-shooting,,,,
Louisville,City Hall,KY,US,2017-11-09,more than four dozen,48,,48,,,general protestors,#MeToo rally; against sexual assault,0,rally,0,0,0,0,1,1,https://insiderlouisville.com/metro/metoo-rally-expresses-publics-disappointment-with-dan-johnson-settlement/,http://www.courier-journal.com/story/news/politics/metro-government/2017/11/09/metoo-rally-demands-dan-johnson-be-kicked-out/846276001/,,,,
Lynchburg,Virginia University of Lynchburg,VA,US,2017-11-09,more than 50,50,,50,,,Students,Protesting university living standards,0,protest,0,0,0,0,1,1,http://www.newsadvance.com/news/local/vul-students-protest-air-grievances-on-campus/article_2ae9771a-c5ba-11e7-9f6d-57e167e7e19a.html,http://www.richmond.com/news/virginia/virginia-university-of-lynchburg-students-protest-air-grievances-on-campus/article_30b071e8-2f1c-51a8-b0f5-90d4ff18c7ad.html,,,,
Manchester,Outside Manchester Catering Hall,NH,US,2017-11-09,more than 100,100,,100,,,NH Young Democrats; Granite State Progress; Seacoast Resistance,Protesting appearance by Steve Bannon,1,protest,0,0,0,0,1,1,https://manchesterinklink.com/the-light-brigade-protests-steve-bannon-event-in-manchester/,,,,,
Mansfield,University of Connecticut,CT,US,2017-11-09,FB: 25 went,25,,25,,,general protestors,"Rally to discuss race, religion, LGBT issues",0,rally,0,0,0,0,1,1,https://www.facebook.com/events/128628877776639/,,,,,
Minneapolis,Outside Sen. Klobuchar's office,MN,US,2017-11-09,over 50,50,,50,,,Minnesota Peace Action Coalition,Protesting Trump's aggressiveness toward North Korea,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/11/10/twin-cites-protest-slams-trump-war-moves-against-north-korea,http://www.fightbacknews.org/2017/11/10/twin-cites-protest-slams-trump-war-moves-against-north-korea,,,,
Nashville,Yellowwood State Forest Office,IN,US,2017-11-09,about 200 ,200,,200,,,general protestors,Protesting the sale of trees from Yellowwood state park to logging,0,protest,0,0,0,0,1,1,http://www.jconline.com/story/news/2017/11/09/dnr-receives-150-k-offer-preserve-yellowwood-sells-logging-company-less/845631001/,https://www.indystar.com/story/news/2017/11/09/dnr-receives-150-k-offer-preserve-yellowwood-sells-logging-company-less/845631001/,http://www.tribstar.com/news/indiana_news/timber-sale-at-indiana-forests-goes-ahead-despite-protest/article_e9c10a00-590d-5c50-9cd3-35261ea52658.html,,,
New Haven,College St.,CT,US,2017-11-09,NA,200,,200,,,Make the Road CT,Rallying for a clean DREAM Act,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/893611387487226/,https://yaledailynews.com/blog/2017/11/10/students-rally-for-clean-dream-act/,,,,
New York ,Kimmel Center,NY,US,2017-11-09,Approximately 60 ,60,,60,,,NYU Students,protest President Donald Trump’s decision to end DACA.,1,march,0,0,0,0,0,1,https://www.nyunews.com/2017/11/10/nyu-students-walkout-to-clean-the-dream-act/,,,,,
New York ,Manhattan; Union Square,NY,US,2017-11-09,more than 100,100,,100,,,general protestors,Protesting acquittal of cop accused of murder,0,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/manhattan/demonstrators-protest-acquittal-nypd-delrawn-small-slay-article-1.3622786,,http://www.nydailynews.com/new-york/manhattan/demonstrators-protest-acquittal-nypd-delrawn-small-slay-article-1.3622786,,,
New York ,Residential home of former Nazi,NY,US,2017-11-09,Photo; dozens; about 100; about 160,24,,160,,,Jewish teens,Protesting former Nazi,0,protest,0,0,0,0,0,1,http://www.foxnews.com/us/2017/11/09/demonstrators-protest-outside-nyc-home-former-nazi-guard.html,http://www.gettysburgtimes.com/news/national/article_71fae87a-7894-524a-923a-659930813b8f.html,,http://qns.com/story/2017/11/10/79th-anniversary-night-broken-glass-rally-demand-jackson-heights-nazi-deported/,,
Oklahoma City,Santa Fe High School,OK,US,2017-11-09,hundreds,200,,200,,,Students,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/oklahoma/articles/2017-11-10/oklahoma-city-students-call-for-immigration-reform,,,,,
Portland,Outside Bank of America,ME,US,2017-11-09,picture,6,,6,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://mainepublic.org/post/activists-urge-maine-lawmakers-reject-trump-s-tax-plan#stream/0,,,,,
Portland,Outside ICE facility,OR,US,2017-11-09,,,,,,,general protestors,Protesting Trump's immigration policy,1,protest,0,0,0,0,0,1,https://pdxactivist.org/events/1803,,,,,
Reading,City Hall,PA,US,2017-11-09,about a dozen,12,,12,,,PA Resist,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,http://www.readingeagle.com/news/article/immigration-advocates-rally-near-city-hall-in-reading#.WgeBaBNSyT8,,,,,
Salem,State Capitol,OR,US,2017-11-09,more than 300,300,,300,,,Salem-Keizer students,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,http://www.statesmanjournal.com/story/news/2017/11/09/salem-students-daca-rally-dream-act-oregon-capitol/850849001/,http://www.statesmanjournal.com/picture-gallery/news/2017/11/09/hundreds-of-salem-keizer-students-rally-at-state-capitol-for-daca/107515850/,,,,
San Marcos,CSUSM,CA,US,2017-11-09,,,,,,,Students,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,https://csusmchronicle.com/17346/news/students-walk-out-for-clean-dream-act/,,,,,
Washington,Senate building,DC,US,2017-11-09,hundreds,200,,200,,,Students,Rallying for DREAM Act,1,rally,15,0,0,0,1,1,https://www.nbcnews.com/news/latino/students-stage-walkouts-rally-congress-demand-dream-act-n819346,https://www.dailykos.com/stories/2017/11/9/1714264/--Paul-Ryan-show-yourself-Hundreds-of-Dreamers-allies-march-on-Capitol-Hill-for-clean-DREAM-Act,https://www.nbcnews.com/news/latino/students-stage-walkouts-rally-congress-demand-dream-act-n819346,,,
Biddeford,Town Hall,ME,US,2017-11-10,dozens,24,,24,,,general protestors,Protesting appearance by Ivanka Trump,1,protest,0,0,0,0,1,1,http://wgme.com/news/local/dozens-of-protesters-gather-outside-ivanka-trump-event,,,,,
Charleston,Hagood Stadium,SC,US,2017-11-10,About 200; more than 100,200,,200,,,general protestors,Protesting appearance by Steve Bannon,1,protest,0,0,0,0,1,1,http://www.postandcourier.com/news/crowd-of-about-protests-steve-bannon-s-talk-at-the/article_35a08b4a-c631-11e7-892b-0357d784224a.html,http://www.postandcourier.com/news/crowd-of-about-protests-steve-bannon-s-talk-at-the/article_35a08b4a-c631-11e7-892b-0357d784224a.html,http://www.live5news.com/story/36816903/security-increased-ahead-of-bannons-speech-at-the-citadel,,,
Chicago,Trump Tower,IL ,US,2017-11-10,10 (pic),10,,10,,,Indivisble Chicago ,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,https://www.facebook.com/events/1568364709910382/?active_tab=about,,,,,
Danville,,PA,US,2017-11-10,,1,,1,,,general protestors,Protesting appearence by Hillary Clinton,0,demonstration,0,0,0,0,1,1,https://www.newsitem.com/articles/trailer-parked-near-gmc-in-protest/,,,,,
Doral,Trump National Gulf Resort,FL,US,2017-11-10,,15,,15,,,general protestors,anti-war protestors,0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/11/13/anti-war-protesters-rally-trump-resort-miami,,,,,
Merced,,CA,US,2017-11-10,,,,,,,general protestors,March for immigrant rights,1,march ,0,0,0,0,1,1,http://www.mercedsunstar.com/news/local/community/article184007581.html,http://www.modbee.com/news/article184007581.html,,,,
Minneapolis,South Minneapolis,MN,US,2017-11-10,hundreds,200,,200,,,Students,Protesting Trump's decision to end DACA; rally for imigrants,1,protest; walk-out,0,0,0,0,1,1,http://www.fox9.com/news/minneapolis-students-walk-out-to-protest-daca-decision,,,,,
Paducah,,KY,US,2017-11-10,,,,,,,general protestors,Protesting ban on Confederate flags at parade,2,protest,0,0,0,0,1,1,http://www.wpsdlocal6.com/2017/11/10/peaceful-protest-held-local-veterans-day-parade/,,,,,
Schaumburg,Lifetime Fitness,IL,US,2017-11-10,,,,,,,Laborers Local One union,Protesting Employment of Non Union/ Out of State workers,0,protest,0,0,0,0,1,1,http://www.dailyherald.com/news/20171110/state-lawmakers-inflatable-rats-call-attention-to-schaumburg-union-protest,,,,,
Victorville,Rancho Motor Company,CA,US,2017-11-10,about 50,50,,50,,,general protestors,Protesting allegations of discrimation against company,0,protest,0,0,0,0,1,1,http://www.vvdailypress.com/news/20171110/protesters-march-outside-rancho-motor-company-amid-racial-discrimination-allegations,http://www.sbsun.com/2017/11/10/dozens-rally-outside-victorvilles-rancho-motor-company-amid-allegations-of-racism-credit-fraud/,,,,
Burlington,University of Vermont,VT,US,2017-11-11,a half dozen,6,,6,,,Saint Michael's College basketball players,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,https://www.sevendaysvt.com/OffMessage/archives/2017/11/08/saint-michaels-basketball-players-take-a-knee-before-uvm-game,,,,,
Coushatta,,LA,US,2017-11-11,almost 100,100,,100,,,general protestors,raise awarness for health of veterans,0,march,0,0,0,0,1,1,https://www.ktbs.com/news/a-memorial-awareness-march-for-combat-vet-killed-in-officer/article_ec95aa32-c74f-11e7-a0f8-5fc07dbe33a7.html,,,,,
Fayetteville,,NC,US,2017-11-11,about 100,100,,100,,,general protestors,Rallying for veterans,0,rally,0,0,0,0,1,1,http://spectrumlocalnews.com/nc/triangle-sandhills/news/2017/11/11/motorcycle-rally-celebrates-veterans,,,,,
Gainesville,Malcom Randall VA Medical Center,FL,US,2017-11-11,,5,,6,,,general protestors,Protesting use of opiods before marjuana alternative,0,protest,0,0,0,0,1,1,http://www.alligator.org/news/article_cebc5130-c80f-11e7-afa4-7b8b74361dc8.html,,,,,
Guilford,Boston Post Rd.,CT,US,2017-11-11,about 15,15,,15,,,vegans,Protesting killing and eating of animals,0,protest,0,0,0,0,1,1,http://www.shorelinetimes.com/news/guilford-s-colorful-turkeys-draw-vegan-protesters/article_eacef4dd-0c40-5298-b7a1-a78f5167878d.html,http://www.nhregister.com/shoreline/article/Guilford-s-colorful-turkeys-draw-vegan-12350728.php,http://www.thehour.com/shoreline/article/Guilford-s-colorful-turkeys-draw-vegan-12350728.php,,,
Los Angeles,Hollywood Boulevard ,CA,US,2017-11-11,,,,,,,general protestors,Linking Trump adminstration to escalating nuclear war ,1,march ,0,0,0,0,1,1,http://onlyinhollywood.org/?post_type=alerts&p=6184,,,,,
Martic Township,Atlantic Sunrise Pipeline,PA,US,2017-11-11,,,,,,,Lancaster Against Pipelines,Protesting pipeline,0,protest,3,0,0,0,1,1,http://lancasteronline.com/news/local/arrested-saturday-after-protesting-at-martic-township-atlantic-sunrise-pipeline/article_c117247e-c756-11e7-83d2-27cd295bfe71.html,,,,,
Mt. Pleasant,Central Michigan University,MI,US,2017-11-11,20 people,20,,20,,,general protestors,March to Bring Awareness to Hunger in Local Communities,0,march,0,0,0,0,1,1,http://www.cm-life.com/article/2017/11/hunger-march,,,,,
Ogden,Lester Park,UT,US,2017-11-11,dozens,24,,24,,,Black Lives Matter,Protesting race-fueled murder,0,protest,0,0,0,0,1,1,http://www.standard.net/Police-Fire/2017/11/11/Demonstrators-protest-death-of-Ogden-man-William-Torrence-at-Halloween-party.html,http://fox13now.com/2017/11/11/rally-calls-for-justice-after-man-killed-during-altercation-in-ogden/,,,,
Pittsfield,Berkshire Museum,MA,US,2017-11-11,dozens,24,,24,,,general protestors,Protesting art sale to fund construction,0,protest,0,0,0,0,1,1,http://cbs6albany.com/news/local/dozens-protest-art-sale-celebrate-temporary-halt,,,,,
Providence,,RI,US,2017-11-11,,,,,,,general protestors,Protesting arrest of area man,1,protest,0,0,0,0,1,1,http://www.fox25boston.com/news/protesters-rally-to-demonstrate-police-action-after-officer-involved-shooting/645793800,,,,,
Providence,,RI,US,2017-11-11,two dozen,24,,24,,,general protestors,Protesting police shooting of area men,0,protest,0,0,0,0,0,1,http://www.wcvb.com/article/protesters-want-providence-police-charged-after-fatal-highway-shooting/13522697,,,,,
Rapid City,Memorial Park,SD,US,2017-11-11,about 20,20,,20,,,general protestors,Rallying to support veterans,0,rally,0,0,0,0,1,1,http://www.blackhillsfox.com/content/news/Pennington-County-Democrats-honor-veterans-at-a-rally--456924093.html,,,,,
Vancouver,Vancouver Landing Ampiththeater,WA,US,2017-11-11,more than 70,70,,70,,,general protestors,Protesting city's lack of accountablity in recent sewage spills,0,protest,0,0,0,0,1,1,https://www.columbian.com/news/2017/nov/11/tribes-environmental-groups-protest-recent-sewage-spills/,,,,,
West Palm Beach,Trump Plaza to City Place,FL,US,2017-11-11,about 100,100,,100,,,general protestors,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.palmbeachpost.com/news/local/trump-protesters-command-streets-downtown-west-palm-beach/ziJpY3hii2WuiNNf20k51J/,http://www.palmbeachdailynews.com/news/hispanic-students-and-artists-join-trump-protesters-downtown-west-palm-beach/JWKPA2H6XfRu3jXiAUXY2I/,http://www.palmbeachdailynews.com/news/local/trump-protesters-command-streets-downtown-west-palm-beach/ziJpY3hii2WuiNNf20k51J/,,,
Westminster,,CO,US,2017-11-11,more than 100,100,,100,,,Mothers Against Drunk Driving,Rallying against drunk driving,0,rally,0,0,0,0,1,1,http://denver.cbslocal.com/2017/11/12/dui-increase-vigil-madd/,,,,,
Bergenfield,New Bridhe Rd.,NJ,US,2017-11-12,dozens,24,,24,,,general protestors,Protesting lack of safety with commercial trains,0,protest,0,0,0,0,1,1,http://www.northjersey.com/story/news/bergen/2017/11/12/protesters-push-transparency-oil-trains/856212001/,,,,,
Bethesda,Macedonia Baptist Church,MD,US,2017-11-12,,,,,,,general protestors,Protesting usage of site of African-American burial ground,0,protest,0,0,0,0,1,1,https://wtop.com/montgomery-county/2017/11/bethesda-community-rallies-save-african-burial-ground/slide/1/,,https://wtop.com/montgomery-county/2017/11/bethesda-community-rallies-save-african-burial-ground/slide/1/,,,
Cheshire ,Cheshire First Congregational Church,CT,US,2017-11-12,hundreds ,200,,200,,,general protestors,Protesting deportation of community member ,0,protest ,0,0,0,0,1,1,http://wtnh.com/2017/11/12/vigil-held-in-cheshire-for-mother-of-3-fighting-deportation/,http://wtnh.com/2017/11/10/politicians-helping-mother-of-three-fight-deportation/,,,,
Cincinnati,Outside Rep. Protman's office,OH,US,2017-11-12,dozens,24,,24,,,general protestors,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,http://www.wcpo.com/news/local-news/hamilton-county/cincinnati/xavier-university-students-daca-recipients-rally-downtown-for-immigration-reform,,,,,
Denver,Mile High Stadium,CO,US,2017-11-12,dozens,24,,24,,,general protestors,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://denver.cbslocal.com/2017/11/12/fans-kneel-broncos-game/,,,,,
Evanston,Lake Street Church,IL,US,2017-11-12,about 100,100,,100,,,general protestors,Rally for unity,0,rally,0,0,0,0,1,1,https://dailynorthwestern.com/2017/11/12/city/interfaith-rally-calls-solidarity-1-year-presidential-election/,,,,,
Evansville,Main St. to Civic Center,IN,US,2017-11-12,more than 150,150,,150,,,general protestors,"Rallying for love, not hate",0,march; rally,0,0,0,0,1,1,http://www.courierpress.com/story/news/local/2017/11/12/local-children-march-celebrate-love-and-diversity-3-ways-promote-diversity/854682001/,,,,,
Lake Havasu City,Havasu Shrine Circus,AZ,US,2017-11-12,dozens,,,,,,general protestors,Protesting circus's animal rights abuses,0,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/arizona/articles/2017-11-12/animal-rights-activists-protest-circus-stop-in-havasu,http://www.havasunews.com/news/dozens-protest-circus-stop-in-havasu/article_6e61d214-c5ea-11e7-b921-7b0d82be1b86.html,http://www.kob.com/us-news/animal-rights-activists-protest-circus-stop-in-havasu/4667094/?cat=500,,,
Los Angeles,Hollywood Boulevard ,CA,US,2017-11-12,several hundreds; about 200 to 300; hundreds,200,,300,,,The HEART Women and Girls Project ,Protesting sexual assault ,0,march ,0,0,0,0,1,1,https://www.facebook.com/events/2043643159297870/,http://www.latimes.com/local/lanow/la-me-ln-me-too-march-20171111-story.html,http://abcnews.go.com/Entertainment/wireStory/hundreds-hollywood-march-sexual-harassment-51103716,http://kval.com/news/entertainment/hundreds-in-hollywood-march-against-sexual-harassment,,
New York ,City Hall,NY,US,2017-11-12,,,,,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://newyork.cbslocal.com/2017/11/12/local-lawmakers-rally-against-gop-tax-bill/,,,,,
New York ,New York Public Library ,NY ,US,2017-11-12,hundreds,200,,200,,,IfNotNow NYC ,Protesting Steven Bannon's visit ,1,protest ,0,0,0,0,0,1,https://www.facebook.com/events/1978807355668582/,http://jewishcurrents.org/hundreds-of-young-jews-challenge-bannon-at-zoa-gala/,,,,
Newburgh,Old National Bank Atrium,IN,US,2017-11-12,more than 150,150,,150,,,general protestors,Promote diversity and social justice,0,march,0,0,0,0,1,1,http://www.courierpress.com/story/news/local/2017/11/12/local-children-march-celebrate-love-and-diversity-3-ways-promote-diversity/854682001/,,,,,
Okeechobee,Larson Dary Farm,FL,US,2017-11-12,,,,,,,Okeechobee Animal Save,Protesting farm's animal rights abuses,0,protest,0,0,0,0,1,1,http://cbs12.com/news/local/protest-against-larson-dairy-farm-following-probation-status,,,,,
Ossining,,NY,US,2017-11-12,,,,,,,general protestors,protesting removal of cat shelter,0,protest,0,0,0,0,1,1,http://westchester.news12.com/story/36824745/activists-protest-removal-of-cat-shelters-in-ossining,,,,,
Pearl River ,Pearl River Post ,NY ,US ,2017-11-12,100 (pic); a crowd ,100,,100,,,American Legion ,Protesting Football Protests ,0,protest ,0,0,0,0,1,1,http://westchester.news12.com/story/36824724/american-legion-protests-nfl-for-kneeling-controversy,,,,,
San Francisco,Levi's Stadium,CA,US,2017-11-12,NA,3,,3,,,"Eric Reid, Marquise Goodwin, Olivier Vernon",National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,https://www.cbsnews.com/news/nfl-protests-veterans-day-weekend/,,,,,
San Rafael,San Rafael Community center ,CA,US,2017-11-12,FB: 1 ,1,,1,,,OFA Sonoma County ,#StillIN Environmental protest ,1,protest ,0,0,0,0,0,1,https://www.facebook.com/events/1986530521627518/,,,,,
San Rafael,,CA,US,2017-11-12,,,,,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.marinij.com/government-and-politics/20171113/marin-activists-protest-gop-tax-overhaul-on-home-turf,,,,,
Springfield,Intersection of Glenstone Ave. and Battlefield Rd.,MO,US,2017-11-12,about two dozen,24,,24,,,general protestors,Protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.news-leader.com/story/news/local/2017/11/12/group-gathers-springfield-protest-racism-inequality/856728001/,,,,,
Baton Rouge,City Hall,LA,US,2017-11-13,a crowd,,,,,,Together Baton Rouge Suppporters,Protest lack of acess to fresh food,0,protest,0,0,0,0,1,1,http://www.theadvocate.com/baton_rouge/news/article_e09563fa-c8ba-11e7-b96c-2baf9d94061e.html,,,,,
Bayville,Outside Fire Hall,NJ,US,2017-11-13,about 35,35,,35,,,general protestors,"Counter-protest, against Trump and tax plan",1,protest,0,0,0,0,1,1,http://www.app.com/story/news/politics/2017/11/13/party-lines-drawn-ivanka-trump-event-protests-gather-drizzle-new-jersey-tax-reform/858604001/,,,,,
Boston,Berklee College of Music,MA,US,2017-11-13,over 1200,1200,,1200,,,"Students, faculty",Protesting sexual assault allegations against teachers,0,protest,0,0,0,0,1,1,http://dailyfreepress.com/2017/11/14/berklee-students-walk-out-in-protest-of-sexual-assault-allegations/,,,,,
Chapel Hill,University of North Carolina,NC,US,2017-11-13,about 45,45,,45,,,Carolina Peace Council,Protesting speech by former Trump aid,1,protest,0,0,0,0,1,1,http://www.wral.com/groups-protest-speech-by-former-trump-assistant-at-unc-ch/17112026/,http://www.newsobserver.com/news/local/education/article184458403.html,http://www.heraldsun.com/news/local/education/article184458403.html,,,
