CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Ithaca,Cornell University,NY,US,2017-11-02,nearly a hundred,100,,100,,,Students,Protesting defunding of student cinema,0,protest,0,0,0,0,1,1,http://cornellsun.com/2017/11/03/students-protest-at-s-a-after-committee-votes-to-defund-cornell-cinema/,,,,,
Jersey City,City Hall,NJ,US,2017-11-02,From photo: dozens,24,,24,,,City council candidates,Rallying for affordable housing,0,rally,0,0,0,0,1,1,http://www.nj.com/hudson/index.ssf/2017/11/in_unusual_show_of_camaraderie_jersey_city_council.html,,,,,
Nashville,Jefferson Street,TN,US,2017-11-02,around 20,20,,20,,,general protestors,Protesting gentrification,0,protest,0,0,0,0,1,1,http://www.tennessean.com/story/news/2017/11/02/nashville-transit-protest-gentrification-funeral-procession/826656001/,,,,,
New York ,Along Hudson River,NY,US,2017-11-02,hundreds,200,,200,,,general protestors,Vigil for those killed in terror attack,0,rally; vigil,0,0,0,0,0,1,http://www.uticaod.com/news/20171102/8-killed-in-nyc-bike-path-attack-remembered-at-vigil-march,http://www.nydailynews.com/new-york/manhattan/hundreds-march-mourning-victims-nyc-terror-attack-article-1.3608068,,,,
New York ,Near Arthur Ashe Stadium,NY,US,2017-11-02,,,,,,,Union workers,Protesting labor dispute,0,protest,1,3,0,0,1,1,http://www.nydailynews.com/new-york/queens/non-union-worker-knifes-3-union-protesters-queens-labor-rally-article-1.3607907,,,,,
Pittsburg,Pittsburg State University,KS,US,2017-11-02,,,,,,,general protestors,March to end victim blaming; against sexual assault,0,rally,0,0,0,0,1,1,"
http://www.morningsun.net/news/20171102/walking-for-awareness---pittsburg-state-university-students-take-part-in-march-to-raise-awareness-around-sexual-assault-on-college-campuses",,,,,
San Rafael,Kaiser Medical Center,CA,US,2017-11-02,,,,,,,National Nurses United,Protesting eroding patient care conditions,0,protest,0,0,0,0,1,1,http://www.marinij.com/general-news/20171102/san-rafael-kaiser-nurses-allege-inadequate-staffing,,,,,
Sheboygan,Outside County Courthouse,WI,US,2017-11-02,more than 70,70,,70,,,general protestors,"Rallying for ""court integrity""",0,rally,0,0,0,0,1,1,http://www.sheboyganpress.com/story/news/2017/11/02/sheboygan-demonstrators-urge-integrity-courts/826390001/,,,,,
Topeka,Outside law enforcement center,KS,US,2017-11-02,60 (pic),60,,60,,,general protestors,Demanding justice in death of area man by police,0,protest,0,0,0,0,1,1,http://www.wibw.com/content/news/Dominique-Whites-family--friends-rally-for-answers-in-his-death-454859003.html,http://www.kansascity.com/news/local/article183281466.html,,,,
West Lafayette,Purdue University,IN,US,2017-11-02,more than 100,100,,100,,,National Society of Black Engineers,Protesting police brutality,0,protest,0,0,0,0,1,1,https://www.purdueexponent.org/campus/article_4864d44c-51fd-5f90-bf19-b900206a5ff9.html,,,,,
Benton,Kelly High School,MO,US,2017-11-03,,,,,,,"Students, parents",Protesting bullying,0,protest,0,0,0,0,1,1,http://www.kfvs12.com/story/36758056/students-parents-protest-at-benton-mo-high-school,,,,,
Elizabethtown,Central Hardin High School,KY,US,2017-11-03,about 100,100,,100,,,Students,Rallying for teachers against proposed pension plan,0,protest,0,0,0,0,1,1,http://www.thenewsenterprise.com/news/education/area-students-rally-against-pension-plan/article_f06bfc00-aa29-59c3-9bcc-0934f593c940.html,,,,,
Evanston,Northwestern University,IL,US,2017-11-03,about 40,40,,40,,,general protestors,Rallying against sexual violence,0,rally,0,0,0,0,1,1,https://dailynorthwestern.com/2017/11/04/campus/students-gather-sae-headquarters-lawn-protest-rape-culture-campus/,,,,,
Franklin,County Jail,OH,US,2017-11-03,,,,,,,general protestors,Protesting jail conditions that may have caused inmates death,0,protest,0,0,0,0,1,1,http://abc6onyourside.com/news/local/father-leads-protest-at-franklin-county-jail-after-imprisoned-son-dies-in-custody,,,,,
Gresham,East County Health Center,OR,US,2017-11-03,roughly 30,30,,30,,,medical workers,protest an unsigned labor contract for their union.,0,protest,0,0,0,0,1,1,http://portlandtribune.com/go/42-news/378265-264154-union-members-walk-out-to-protest-unsigned-contract,,,,,
Honolulu,State Capitol,HI,US,2017-11-03,about 200,200,,200,,,general protestors,Protesting Trump's visit,1,protest,0,0,0,0,1,1,http://www.hawaiinewsnow.com/story/36759860/state-lawmaker-says-hell-participate-in-trump-protests,http://thehill.com/blogs/blog-briefing-room/358754-trump-in-hawaii-pearl-harbor-and-protests,http://www.latimes.com/nation/la-na-pol-trump-hawaii-asia-20171103-story.html,http://www.newsweek.com/protests-erupt-during-trumps-first-visit-hawaii-702145,,
Honolulu,State Capitol,HI,US,2017-11-03,1 (pic),1,,1,,,general protestors,counter-protest ,2,protest ,0,0,0,0,0,1,http://www.latimes.com/nation/la-na-pol-trump-hawaii-asia-20171103-story.html,,,,,
Lombard,Glenbard East School,IL,US,2017-11-03,dozens,24,,24,,,Students,"Rallying for DACA, immigrants rights",1,rally,0,0,0,0,1,1,http://www.dailyherald.com/news/20171103/glenbard-east-students-march-to-support-daca,,,,,
Miami,Northwest Miami,FL,US,2017-11-03,,,,,,,general protestors,Protesting dumpage of hurricane debris in residential neighborhood,0,protest,0,0,0,0,1,1,http://wsvn.com/news/local/north-miami-dade-residents-protest-debris-dumping-near-housing-development/,,,,,
New York,Bronx,NY,US,2017-11-03,hundreds,200,,200,,,general protestors,Vigil for woman killed; protesting domestic violence,0,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/bronx/mourners-pack-vigil-bronx-mom-slashed-death-apartment-article-1.3609986,,,,,
New York ,Midtown Manhattan,NY,US,2017-11-03,a small crowd,,,,,,general protestors,Protesting plans for new skyscraper,0,protest,0,0,0,0,0,1,https://www.dezeen.com/2017/11/03/architects-protest-snohetta-plans-att-building-philip-johnson-new-york/,,,,,
Orangeburg,Claflin University,SC,US,2017-11-03,roughly 115,115,,115,,,Students,Protesting university,0,protest,0,0,0,0,1,1,http://thetandd.com/news/claflin-students-hold-protest-issues-cited-include-homecoming-concert/article_96e28ce0-a6f8-549a-a178-4f18eb3ed20a.html,,,,,
Provo,Brigham Young University,UT,US,2017-11-03,some 60,60,,60,,,general protestors,Protesting changes to university radio,0,protest,0,0,0,0,1,1,http://www.sltrib.com/news/2017/11/03/classical-music-fans-politely-protest-byu-decision-to-change-radio-format/,,,,,
Worcester,City Hall,MA,US,2017-11-03,dozens,24,,24,,,general protestors,"Rallying for bikes, protesting policing of biking",0,rally,0,0,0,0,1,1,http://www.telegram.com/news/20171103/pro-bike-rally-held-at-worcester-city-hall,,,,,
Apple Valley,Intersection of Bear Valley and Apple Valley Roads,CA,US,2017-11-04,,,,,,,general protestors,Protesting tax increases,0,protest,0,0,0,0,1,1,http://www.vvdailypress.com/news/20171104/locals-protest-states-gas-hike,,,,,
Asheville,,NC,US,2017-11-04,hundreds,200,,200,,,general protestors,Protesting gerrymandering,0,protest,0,0,0,0,1,1,http://bpr.org/post/gerrymander-5k-run-draws-hundreds-protest-skewed-political-maps,,,,,
Atlanta,Little Five Points,GA,US,2017-11-04,dozens,24,,24,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.wsbtv.com/news/local/atlanta/dozens-gather-for-anti-trump-protest-in-atlanta/639533160,http://www.ajc.com/news/local/anti-trump-protests-held-atlanta/n7lbAdOmCTz1VHJXcOz9WP/,,,,
Austin,State Capitol,TX,US,2017-11-04,20 or so,20,,20,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.statesman.com/news/local/antifa-protest-begin-austin-city-hall/ms3IzHMDA4JcEbo5AE5iiP/,,,,,
Austin,State Capitol,TX,US,2017-11-04,NA,75,,75,,,general protestors,Counter-protest; pro-Trump,2,protest,0,0,0,0,0,1,http://www.statesman.com/news/local/antifa-protest-begin-austin-city-hall/ms3IzHMDA4JcEbo5AE5iiP/,,,,,
Bastrop,Jackson St.,LA,US,2017-11-04,hundreds,200,,200,,,general protestors,Rallying for justice for man who was killed,0,rally,0,0,0,0,1,1,http://www.knoe.com/content/news/Candlelight-vigil-held-for-Bastrop-shooting-victim-455282233.html,,,,,
Boston,Boston Common,MA,US,2017-11-04,scores,40,,40,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2017/11/04/rally/UsAgU2hRvoW0EMk8VWYdfK/story.html,,,,,
Chicago,The Loop,IL,US,2017-11-04,more than 100,100,,100,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/local/breaking/ct-trump-pence-chicago-protest-march-20171104-story.html,,,,,
Cleveland,Public Square,OH,US,2017-11-04,a few dozen,24,,24,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.clevescene.com/scene-and-heard/archives/2017/11/06/photos-refuse-fascism-protest-and-march-in-downtown-cleveland,,,,,
Corpus Christi,Shoreline Blvd.,TX,US,2017-11-04,about 10,10,,10,,,general protestors,Protesting violence against trans community,0,protest,0,0,0,0,1,1,http://www.caller.com/story/news/local/2017/11/04/advocates-allies-attend-rally-wake-death-transgender-woman/823043001/,,,,,
Frankfort,Scott County Courthouse,KY,US,2017-11-04,,,,,,,general protestors,Protesting proposed pension cuts,0,protest,0,0,0,0,1,1,http://www.lex18.com/story/36765192/teachers-and-supporters-rally-at-state-capitol-against-bevins-pension-plan,,,,,
