CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Iowa City,University of Iowa,Johnson,IA,US,2019-05-01,,,,,,,students,disability rights,1,protest,0,0,0,0,1,1,https://dailyiowan.com/2019/05/01/students-rally-for-disability-awareness-and-inclusion-on-campus/,,,,,,
Jersey City,Hudson river,Hudson,NJ,US,2019-05-01,,,,,,,Make the Road New Jersey; Make the Road New York,pro workers rights,1,protest,0,0,0,0,1,1,https://www.northjersey.com/story/news/2019/04/30/may-day-marked-protests-licenses-undocumented-immigrants/3629705002/,,,,,,
Kalamazoo,,Kalamazoo,MI,US,2019-05-01,Hundreds,200,,200,,,general protestors,compassionate immigration,1,protest,0,0,0,0,1,1,https://www.mlive.com/news/g66l-2019/05/5f68cccac04760/west-michigan-demonstrators-seek-drivers-licenses-for-undocumented-immigrants-.html,,,,,,
Lincoln,State Capitol,Lancaster,NE,US,2019-05-01,about 30,30,,30,,,general protestors,against tax,1,protest,0,0,0,0,1,1,https://www.omaha.com/news/legislature/grassroots-group-rallies-at-state-capitol-for-ballot-initiative-on/article_76b5af43-c6b7-579a-b6d4-904ea6cc5e8c.html,,,,,,
Long Beach,MacArthur Park,Los Angeles,CA,US,2019-05-01,more than 200,200,,200,,,general protestors,workers rights,1,protest,0,0,0,0,1,1,https://www.presstelegram.com/2019/05/01/workers-march-through-central-long-beach-in-honor-of-may-day/,,,,,,
Long Island City,One Court Square,Nassau,NY,US,2019-05-01,about 200,200,,200,,,general protestors,protect library,0,protest,0,0,0,0,1,1,https://qns.com/story/2019/05/02/court-square-community-rallies-for-permanent-home-for-beloved-library-branch/,,,,,,
Los Angeles,Boyle Heights,Los Angeles,CA,US,2019-05-01,,,,,,,general protestors,"compassionate immigration, against border",1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/4/30/may-day-rally-and-march-set-la,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-05-01,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Lowell,UMASS Lowell,Middlesex,MA,US,2019-05-01,roughly dozen ,12,,12,,,students,against sexual/domestic violence,1,protest,0,0,0,0,1,1,https://www.lowellsun.com/2019/05/01/uml-students-protest-over-alleged-harassing-professor/,,,,,,
Lynn,City Hall,Essex,MA,US,2019-05-01,hundreds,200,,200,,,general protestors,workers rights,0,protest,0,0,0,0,1,1,https://www.itemlive.com/2019/05/01/lynn-union-representatives-activists-join-workers-for-annual-may-day-march/,,,,,,
Madison,State Capitol,Dane,WI,US,2019-05-01,NA,3000,,3000,,,general protestors,compassionate immigration,1,protest,0,0,0,0,1,1,https://www.weau.com/content/news/Thousands-rally-for-immigrant-drivers-licenses-509328451.html,,,,,,
Milwaukee,Marquette University,Milwaukee,WI,US,2019-05-01,about 70,70,,70,,,teacher and faculty,pro unionization,1,rally,0,0,0,0,1,1,https://www.jsonline.com/story/news/education/2019/05/01/marquette-university-staff-students-sit-union-effort/3645718002/,,,,,,
Minneapolis,State Capitol,Hennepin,MN,US`,2019-05-01,hundreds,200,,200,,,union members; hotel workers; other employees,pro workers rights; pro greater compensation,1,march,0,0,0,0,1,1,http://www.fightbacknews.org/2019/5/2/hundreds-march-minnesota-capitol-may-1-demand-drivers-licenses-immigrants,http://www.fightbacknews.org/2019/5/3/minneapolis-hotel-workers-march-may-day,,,,,
Montpelier,State Capitol,Washington,VT,US,2019-05-01,Hundreds,200,,200,,,students,against climate change; environment,1,protest,0,0,0,0,1,1,https://vtdigger.org/2019/05/02/students-reiterate-demand-for-climate-action-in-rally-at-statehouse/,https://www.wcax.com/content/news/Vermont-students-hold-May-Day-rally-at-Statehouse-509334441.html,,,,,
Mountain View,Google Headquarters,Santa Clara,CA,US,2019-05-01,NA,20000,,20000,,,Google employees,against retaliation,1,protest,0,0,0,0,1,1,https://www.cnet.com/news/google-sit-in-workers-protest-alleged-company-retaliation-after-walkout/,,,,,,
New Haven,Elm City Prep,New Haven,CT,US,2019-05-01,,,,,,,students,against violence; other,0,protest,0,0,0,0,1,1,https://www.wtnh.com/news/connecticut/new-haven/students-protest-recent-shootings-violence-in-new-haven/,,,,,,
New York,Manhattan,New York,NY,US,2019-05-01,,,,,,,military family,other; for pet; military,0,protest,0,0,0,0,1,1,https://nj1015.com/nj-military-family-plans-public-protest-over-losing-k9-mattie/,,21227,,,,
New York,Union Square; Manhattan,New York,NY,US,2019-05-01,about 100,100,,100,,,students; teachers,pro workers rights,0,protest,0,0,0,0,0,1,https://www.amny.com/news/may-day-protests-nyc-1-30517710/,,,,,,
New York,Trump building; Manhattan,New York,NY,US,2019-05-01,dozens,24,,24,,,general protestors,compassionate immigration,1,protest,0,0,0,0,0,1,https://www.amny.com/news/may-day-protests-nyc-1-30517710/,,,,,,
New York,Columbus Circle to Trump Tower; Manhattan,New York,NY,US,2019-05-01,,,,,,,general protestors,compassionate immigration; pro undocumented immigrants,1,march,0,0,0,0,0,1,https://www.northjersey.com/story/news/2019/04/30/may-day-marked-protests-licenses-undocumented-immigrants/3629705002/,,,,,,
Palo Alto,Stanford University,Santa Clara,CA,US,2019-05-01,,,,,,,Stanford employees,better compensation,0,rally,0,0,0,0,1,1,https://www.stanforddaily.com/2019/05/02/campus-workers-students-rally-on-international-workers-day/,,,,,,
Pittsburgh,Google Headquarters,Allegheny,PA,US,2019-05-01,Hundreds,200,,200,,,Google employees,against retaliation,1,protest,0,0,0,0,1,1,https://abcnews.go.com/Business/google-walkout-organizers-hold-sit-protest-alleged-retaliation/story?id=62752641,,,,,,
