CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5
New York,Grand Army Plaza; Brooklyn,Kings,NY,US,2019-12-31,some 150,150,,150,,,general protesters,Against hate crimes targeted at Jewish communities,0,protest,0,0,0,0,1,1,https://www.nydailynews.com/new-york/ny-rally-against-hate-anti-semitism-20200101-jvkz4cmgojhz5gwsx4pohahayi-story.html,,,,,
Bradenton,,Manatee,FL,US,2019-12-31,,,,,,,general protesters,Against violent act against woman,0,protest; rally,0,0,0,0,1,1,https://www.abcactionnews.com/news/region-sarasota-manatee/supporters-rally-for-70-year-old-woman-tased-in-her-home-by-manatee-county-deputy,,,,,
Milford,,Hillsborough ,NH,US,2019-12-29,,,,,,,general protesters,Against presidential candidate Joe Biden ,0,Protest,0,0,0,0,1,1,https://www.washingtontimes.com/news/2019/dec/30/joe-biden-scolds-heckler-in-new-hampshire-this-not/,,,,,
West Hartford,Beth El Temple,Hartford,CT,US,2019-12-30,,,,,,,general protesters,Against hate,0,Protest,0,0,0,0,1,1,https://www.courant.com/news/connecticut/hc-news-connecticut-anti-semitism-rally-20191231-fp64257ygrdjdofqhta5zfrjj4-story.html,,,,,
Charlotttesville,Downtown Mall,Charlottesville City,VA,US,2019-12-30,,,,,,,Monumental Justice Virginia Campaign,Against Confederate monuments,0,Protest,0,0,0,0,1,1,https://www.nbc29.com/2019/12/30/monumental-justice-virginia-campaign-rally-held-free-speech-wall-charlottesville/,,,,,
Stony Point,,Rockland,NY,US,2019-12-29,,,,,,,general protesters,Against reforms that mandate no bail for misdemeanors and certain felonies,0,protest; strike,,,,,1,1,https://www.lohud.com/story/news/local/rockland/2019/12/28/rally-planned-stony-point-mother-killed-christmas-eve-hit-and-run/2765506001/,,,,,
Monsey,,Rockland,NY,US,2019-12-29,about 300,300,,300,,,members of the Ohr Hachaim synagogue,Against violence towards Jewish individuals; Jewish pride,0,protest; strike,0,0,0,0,1,1,https://www.lohud.com/story/news/local/rockland/monsey/2019/12/29/monsey-stabbing-torah-procession-sunday-show-solidarity-grafton-thomas/2769149001/,,,,,
Skokie,Westfield Old Orchard Shopping Center,Cook,IL,US,2019-12-29,,,,,,,general protesters,Against violence towards Jewish individuals; Jewish pride,0,protest; strike,0,0,0,0,1,1,https://www.lohud.com/story/news/local/rockland/monsey/2019/12/29/monsey-stabbing-torah-procession-sunday-show-solidarity-grafton-thomas/2769149001/,,,,,
South Sacramento,,Sacramento,CA,US,2019-12-27,almost 50,50,,50,,,general protesters,Against a prominent Sikh preacher,0,protest,0,0,0,0,1,1,https://sacramento.cbslocal.com/2019/12/27/protest-south-sacramento-sikh-temple-elk-grove-florin/,,,,,
St. Clairsville,,Belmont,OH,US,2019-12-27,almost 10 ,10,,10,,,general protesters,In support of police,0,protest,0,0,0,0,1,1,https://www.timesleaderonline.com/news/local-news/2019/12/small-rally-held-to-support-st-c-police/,,,,,
Arcadia,Santa Anita Park,Los Angeles,CA,US,2019-12-28,,,,,,,general protesters,Against deaths of horses at Arcadia track ,0,protest,0,0,0,0,1,1,https://www.fox29.com/news/santa-anita-park-begins-winter-racing-season-amid-protest,,,,,
Satellite Beach,,Brevard,FL,US,2019-12-28,more than 50,50,,50,,,general protesters,In support of better crosswalk safety,0,protest,0,0,0,0,1,1,https://www.clickorlando.com/news/local/2019/12/29/dozens-protest-for-better-crosswalk-safety-in-brevard-county/,,,,,
Olympia,Outside the Thurston County Superior Court,Thurston ,WA,US,2019-12-30,,,,,,,general protesters,In support of $30 tabs,0,rally,,,,,1,1,https://www.kxly.com/youre-gonna-love-it-activist-tim-eyman-to-host-car-tab-lawsuit-rally-in-olympia/,,,,,
Rifle,Ute Theater,Garfield,CO,US,2019-12-10,,,,,,,general protesters,support oil and gas industry,0,rally,,,,,1,1,https://www.coloradopolitics.com/news/premium/industry-plans-rallies-in-loveland-rifle-ahead-of-rulemaking-on/article_9779da22-1154-11ea-8189-cfa765e9d85c.html,Future.,,,,
Loveland,,Larimer,CO,US,2019-12-16,,,,,,,general protesters,support oil and gas industry,0,rally,,,,,1,1,https://www.coloradopolitics.com/news/premium/industry-plans-rallies-in-loveland-rifle-ahead-of-rulemaking-on/article_9779da22-1154-11ea-8189-cfa765e9d85c.html,Future.,,,,
