CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Sioux Falls,Intersection of 41st Street and Louise Ave.,SD,US,2017-08-01,about 8,8,,8,,,Bloodstained Men and Their Friends,Protesting circumcision,0,protest; demonstration,0,0,0,0,1,1,http://www.argusleader.com/story/news/2017/08/01/traveling-group-bring-anti-circumcision-message-sioux-falls/530573001/,http://www.ksfy.com/content/news/Group-travels-to-Sioux-Falls-to-spread-awareness-about-infant-circumcision-437953193.html,http://www.kdlt.com/2017/08/01/group-protests-circumcision-sioux-falls/,,,,
Springfield,Snyder Park; Bechtle Avenue,OH,US,2017-08-01,about 20,20,,20,,,Springfield Promise Neighborhood,second annual peace march,0,march,0,0,0,0,1,1,http://www.springfieldnewssun.com/news/peace-march-unites-different-sides-springfield/r4WwMyBTtOdYAuv1YjdE9K/,,,,,,
Trenton,State House,NJ,US,2017-08-01,,,,,,,New Jersey Citizens Action,Against repealing ACA,1,protest,0,0,0,0,1,1,http://newjersey.news12.com/story/36026934/activists-rally-at-state-house-in-support-of-affordable-care-act,,,,,,
Vista,1800 Thibodo Rd,CA,US,2017-08-01,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,,
Vista,1800 Thibodo Rd.,CA,US,2017-08-01,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,,
Billings,Billings First Church,MT,US,2017-08-02,,,,,,,ACLU; Billings SURJ,Protesting ICE detention of man,1,protest,0,0,0,0,1,1,https://twitter.com/ACLUMT/status/893133061122019329,https://www.facebook.com/events/142378239680491/?,,,,,
Charlotte,3 Wells Fargo Center,NC,US,2017-08-02,about 20,20,,20,,,Action NC,Oppose investment in detention and immigration enforcement,1,protest,0,0,0,0,1,1,http://www.charlotteobserver.com/news/local/article164915282.html,http://www.charlotteobserver.com/news/local/article164915282.html,,,,,
Columbus,outside the Columbus Police Training Academy on Hague Avenue,OH,US,2017-08-02,about 25,25,,25,,,People’s Justice Project,Oppose US Attorney General Jeff Sessions's visit and policies,1,protest,0,0,0,0,1,1,http://nbc4i.com/2017/08/02/two-dozen-protesters-picket-jeff-sessions-speech-in-columbus/,,,,,,
Fargo,Downtown,ND,US,2017-08-02,more than 100,100,,100,,,general protestors,Rally against intolerance/hate,0,rally; protest,0,0,0,0,1,1,https://www.mprnews.org/story/2017/08/03/fargo-rally-intolerance,,,,,,
Grand Junction,Mesa County Justice Center,CO,US,2017-08-02,NA,4,,4,,,family of slain Travis Carothers,Oppose prosecutors’ recent decision not to charge the killer with murder,0,demonstration,0,0,0,0,1,1,http://www.gjsentinel.com/news/articles/family-members-protest-lack-of-charges-in-fatal-sh,,,Count from picture,,,
