CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Port Angeles,,Clallam,WA,US,2020-02-03,,,,,,,general protesters,support of capital levy to renovate and expand Stevens Middle School,0,rally,0,0,0,0,1,1,https://www.peninsuladailynews.com/news/port-angeles-high-school-teachers-rally-in-favor-of-the-capital-levy/,,,,
San Diego,City Heights Park,San Diego,CA,US,2020-02-03,,,,,,,general protesters,"against Measure A, against ballot measure requiring a countywide vote on every development project that has been granted a General Plan amendment",0,protest,0,0,0,0,1,1,https://www.10news.com/news/local-news/san-diego-extreme-commuters-rally-against-measure-a,,,,
Westwood,University of California,Lassen,CA,US,2020-02-03,over 100,100,,100,,,The University Council-American Federation of Teachers,against expiration of contract for University of California non-Academic Senate faculty and librarians,0,protest,0,0,0,0,1,1,https://dailybruin.com/2020/02/04/uc-aft-local-1990-rallies-for-equity-job-security-and-resources-for-lecturers/,,,,
Youngstown,Summit Academy,Westmoreland,PA,US,2020-02-03,,,,,,,general protesters,in celebration of Black History Month,1,march,0,0,0,0,1,1,https://www.wfmj.com/story/41647635/summit-academy-in-youngstown-holds-inaugural-peace-march,,,,
Albany,State Capitol,Albany,NY,US,2020-02-04,,,,,,,Citizen Action of New York; Health Care Union 1199,support bail reform,0,rally,0,0,0,0,1,1,https://www.news10.com/news/albany-county/pro-bail-reform-rally-set-for-tuesday/,https://www.localsyr.com/news/local-news/community-leaders-rally-against-bail-reform-rollback/,,,
Athens,University of Georgia,Clarke,GA,US,2020-02-04,dozens,24,,24,,,general protesters,"for payment of reparations from University of Georgia to residents of Linnentown neighborhood in 1960s, against white supremacy and systemic racism, against gentrification and displacement",1,protest,0,0,0,0,1,1,https://www.redandblack.com/athensnews/linnentown-protesters-pack-athens-mayor-and-commission-meeting/article_6cb6e950-47e7-11ea-8b27-5f6b6e7ebd17.html,,,,
Atlanta,State Capitol,Fulton,GA,US,2020-02-04,hundreds,200,,200,,,The Georgia Coalition Against Domestic Violence; the Georgia Network to End Sexual Assault; Raksha,against domestic violence,0,protest,0,0,0,0,1,1,https://www.albanyherald.com/news/coalition-against-domestic-violence-to-rally-at-capitol/article_e5daffbc-45dd-11ea-91ff-37ecb6231b2b.html,,,,
Bakersfield,,Kern,CA,US,2020-02-04,,,,,,,general protesters,support working contract for workers with in-home support services,0,protest,0,0,0,0,1,1,https://www.kget.com/news/local-news/health-care-workers-rally-at-supes-meeting-over-contract-impasse/,,,,
Boston,State Capitol,Suffolk,MA,US,2020-02-04,,,,,,,Massachusetts Freedom Coalition,"against mandatory vaccinations for children in schools, for medical freedom, medical mandates violate human rights",2,protest,0,0,0,0,1,1,https://dailyfreepress.com/2020/02/05/anti-vaccination-protest/,,,,
Greenville,Main St,Greenville,SC,US,2020-02-04,30-40,30,,40,,,Tell Them Tuesday,against President Trump,1,demonstration ,0,0,0,0,1,1,https://www.greenvilleonline.com/story/news/2020/02/18/downtown-protesters-tuesdays-we-wont-stop-till-trump-done-tell-them-tuesday-protesters/4479609002/,,,Protestors return to same site every Tuesday afternoon,
