CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Panama City ,23rd st. ,FL,US,2017-10-01,over 200 ,200,,200,,,Saint Dominic Catholic Church ,Pro-life protest ,0,demonstration ,0,0,0,0,1,1,http://www.mypanhandle.com/news/pro-life-group-prays-at-annual-demonstration/822525165,,,,,,,
Philadelphia,Police Lodge 5's Office,PA,US,2017-10-01,about a dozen,12,,12,,,Black Lives Matter,Protesting fundraising event for suspended cop who shot man,1,protest,0,0,0,0,1,1,http://www.philly.com/philly/news/pennsylvania/philadelphia/police-fundraiser-for-fired-cop-draws-protest-20171001.html,,,,,,,
Providence,201 India Street; India Point Park,RI,US,2017-10-01,,,,,,,general protestors,Rally for racial justice,1,rally,,,,,1,1,https://www.facebook.com/events/477876145944171/?,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,,,,,,
Raleigh,Downtown,NC,US,2017-10-01,more than 250,250,,250,,,general protestors,Protesting Trump's decision to end DACA,1,protest,0,0,0,0,1,1,http://www.newsobserver.com/news/politics-government/article176455241.html,,,,,,,
San Diego,Balboa Park,CA,US,2017-10-01,more than 150,150,,150,,,general protestors,"Protesting poaching of elephants, rhinos",0,protest,0,0,0,0,1,1,http://www.cbs8.com/story/36496259/dozens-protest-poaching-of-elephants-and-rhinos,,,,,,,
St. Joseph,Across from LeBlond High School,MO,US,2017-10-01,,,,,,,Life Day Coalition,Rally for life; pro-life,0,rally,0,0,0,0,1,1,http://www.newspressnow.com/news/local_news/activists-rally-for-life-day/article_99ee08c2-d398-5019-b16f-b072b424b3b6.html,,,,,,,
Traverse City,Grandview Parkway,MI,US,2017-10-01,Over 100,100,,100,,,general protestors,Rally for life; pro-life,0,rally,0,0,0,0,1,1,http://upnorthlive.com/news/local/church-groups-rally-for-right-to-life,,,,,,,
Trenton,Trinity Episcopal Cathedral,NJ,US,2017-10-01,,,,,,,general protestors,Rally for racial justice,1,rally,,,,,1,1,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,,,,,,,
Waterville,Pugh Center to Waterville Opera House,ME,US,2017-10-01,,,,,,,general protestors,Rally for racial justice,1,rally; march,,,,,1,1,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,,,,,,,
Wilder,Sports Bar in Campbell County,KY,US,2017-10-01,,,,,,,general protestors,Jersey-burning; protesting players who knelt during national anthem,2,protest,0,0,0,0,1,1,http://www.fox19.com/story/36496326/nfl-jerseys-burned-shredded-at-nky-bars-counter-protest,,,,,,,
Winchester,Amhert St.,VA,US,2017-10-01,over 100,100,,100,,,general protestors,"Pro-life, anti-abortion",0,rally,0,0,0,0,1,1,http://www.winchesterstar.com/news/over-attend-pro-life-rally/article_dbb28298-7b82-5767-ab26-d6176e893956.html,,,,,,,
Creswell,Exit off Interstate 5,OR,US,2017-10-02,about 80,80,,80,,,general protestors,Rallying people to vote against legalizing marijuana vendors,0,rally,0,0,0,0,1,1,http://registerguard.com/rg/news/local/36017427-75/rush-hour-protest-tells-voters-to-keep-creswell-from-going-to-pot.html.csp,,,,,,,
Kansas City ,Arrowhead Stadium ,MO,US,2017-10-02,2,2,,2,,,Marcus Peters; Ukeme Eligwe,Anthem protest ,0,protest ,0,0,0,0,1,1,https://www.usatoday.com/story/sports/nfl/2017/10/02/chiefs-redskins-las-vegas-shooting-moment-silence-national-anthem/725855001/#,http://www.bbc.com/news/world-us-canada-41487808,,,,,,
Milwaukee,Plymouth Church,WI,US,2017-10-02,around 150,150,,150,,,Fair Elections Project,Rallying for plaintiffs in Supreme Court gerrymandering case,0,rally,0,0,0,0,1,1,https://www.usatoday.com/story/news/nation-now/2017/10/02/wisconsin-redistricting-case-plaintiffs-rally/725021001/,,,,,,,
Nashville ,Ascend Amphitheater,TN,US,2017-10-02,,,,,,,Country musicians; Mayor; Country fan enthusiasts ,vigil for Las Vegas shooting,0,demonstration ,0,0,0,0,1,1,http://www.billboard.com/articles/columns/country/7982085/las-vegas-shooting-nashville-vigil-keith-urban-vince-gill,http://abcnews.go.com/Entertainment/keith-urban-vince-gill-alison-krauss-honor-las/story?id=50245136,https://www.youtube.com/watch?v=mFZiH4aEPJc,,,,,
New Brunswick ,Between George and Albany St. ,NJ,US,2017-10-02,,,,,,,Central Jersey Coalition Against Endless War,Rallying support for Puerto Rico--not for war,1,protest ,,,,,1,1,http://www.mycentraljersey.com/story/news/local/how-we-live/purpose/2017/10/01/trump-puerto-rico-protest-new-brunswick-monday/721335001/,,,,,,,
New York City ,New York University,NY,US,2017-10-02,FB: 152 went,152,,152,,,NYU Global Spiritual Life,vigil for Las Vegas shooting,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/146394095968123/?ref=br_rs&acontext=%7B%22action_history%22%3A%22null%22%7D,,,,,,,
New York City ,Manhattan; Union Square to Times Square ,NY ,US,2017-10-02,more than 100 ,100,,100,,,Gays against Guns ,Protesting against lack of gun control; Protestesting NRA ,0,rally,0,0,0,0,0,1,http://www.amny.com/news/las-vegas-shooting-prompts-gun-control-rally-in-manhattan-1.14333568,,,,,,,
Newark,East Side High School,NJ,US,2017-10-02,,,,,,,general protestors,Rallying for bullied transgender girl,0,rally,0,0,0,0,1,1,http://abc7ny.com/rally-held-after-transgender-teen-attacked-at-high-school/2480554/,,,,,,,
Perry County,,KY,US,2017-10-02,hundreds,200,,200,,,Kentucky Education Association,Rally for pensions,0,rally,0,0,0,0,1,1,http://www.wymt.com/content/news/Hundreds-gather-at-pension-rally-449139103.html,,,,,,,
Saratoga Springs,Broadway; downtown,NY,US,2017-10-02,,,,,,,general protestors,vigil for Las Vegas shooting,0,vigil,0,0,0,0,1,1,eyewitness ,,,,,,,
Wawayanda,,NY,US,2017-10-02,,,,,,,general protestors,Rallying against proposed power plant construction,0,rally,0,0,0,0,1,1,http://www.recordonline.com/news/20171002/cpv-power-plant-opponents-hold-rally,,,,,,,
Birmingham ,Doug Jones Rally,AL,US,2017-10-03,more than 1000,1000,,1000,,,Doug Jones; Joe Biden; Democratic Party ,Campaign Rally for Doug Jones,0,rally ,0,0,0,0,1,1,http://whnt.com/2017/10/03/more-than-a-thousand-people-attend-doug-jones-rally-in-birmingham/,,,,,,,
Bradenton,Lakewood Ranch High School,FL,US,2017-10-03,roughly 20,20,,20,,,Students,Rallying for racial justice,0,rally,0,0,0,0,1,1,http://www.bradenton.com/news/local/article176874521.html,,,,,,,
Fall River,Outside Fall River District Court,MA,US,2017-10-03,,,,,,,Stop the Insanity Westport,Rallying for stronger penalties for animal abusers,0,rally,0,0,0,0,1,1,http://wpri.com/2017/10/03/animal-rights-activists-protest-for-stronger-penalties-for-animal-abusers/,,,,,,,
Greeville,East Carolina University,NC,US,2017-10-03,about 30,30,,30,,,Students,Against sexual assault,0,rally,0,0,0,0,1,1,http://www.reflector.com/News/2017/10/04/ECU-students-march-to-Take-Back-the-Night.html,,,,,,,
Indianapolis,Outside Indiana Federal Courthouse,IN,US,2017-10-03,dozens,24,,24,,,general protestors,Protesting gerrymandering,0,protest,0,0,0,0,1,1,http://www.pharostribune.com/news/state_news/article_e1cf75e4-61e7-5c72-86e7-216a315e42d0.html,,,,,,,
Phoenix, E Camelback Rd,AZ,US,2017-10-03,,,,,,,general protestors,"Protesting efforts to cut Social Security, Medicare, Medicaid, education and other services for working families",1,protest,,,,,1,1,http://www.resistandprotest.com/event/resist-trump-tuesday-not-one-penny,,,,,,,
Pittsfield,Berkshire Medical Center,MA,US,2017-10-03,NA,120,,120,,,Nurses,Strike; rallying for safer working conditions,0,rally; protest,0,0,0,0,1,1,https://drive.google.com/drive/my-drive,,,,,,,
Plymouth,,NH,US,2017-10-03,,,,,,,general protestors,Protesting Northern Pass proposal,0,protest,0,0,0,0,1,1,http://www.laconiadailysun.com/newsx/local-news/108212-northern-pass-project-criticized-in-plymouth-rally,,,,,,,
St. Louis ,Interstate 64,MO,US,2017-10-03,,143,,143,,,general protestors,Protesting acquittal of Jason Stockley ,0,protest,143,0,0,0,1,1,http://www.news-journalonline.com/zz/news/20171004/143-arrested-after-protest-blocks-st-louis-highway-traffic,http://hosted.ap.org/dynamic/stories/U/US_POLICE_SHOOTING_ST_LOUIS?SITE=MOMAR&SECTION=STATE&TEMPLATE=DEFAULT,http://www.stltoday.com/news/local/crime-and-courts/protesters-march-on-street-at-police-headquarters-in-ferguson/article_7a04468c-30f1-5d4b-928b-cbb933dc4a9f.html,,,,,
Vista,1800 Thibodo Rd,CA,US,2017-10-03,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa, for gun control",1,demonstration,0,0,0,0,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,http://www.cbs8.com/story/36512548/tax-plan-gun-control-protesters-rally-at-rep-issas-vista-office,,,,,,
Vista,1800 Thibodo Rd.,CA,US,2017-10-03,,,,,,,general protesters,for President Trump,2,counter-protest,0,0,0,0,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,,,
Washington,Capitol Lawn,DC,US,2017-10-03,,,,,,,general protestors,protest DACA decision,1,protest,0,0,0,0,0,1,http://www.resistandprotest.com/event/women-families-lgbtq-community-cleandream-rally,,,,,,,
Washington,Supreme Court,DC,US,2017-10-03,,,,,,,general protestors,Protesting Gerrymandering,0,rally,0,0,0,0,1,1,http://www.resistandprotest.com/event/supreme-court-rally-end-gerrymandering,http://variety.com/2017/politics/news/arnold-schwarzenegger-supreme-court-gerrymandering-1202579967/,,,,,,
Ann Arbor,,MI,US,2017-10-04,hundreds,200,,200,,,general protestors,Protesting police officer who allegedly used excessive force,0,protest,0,0,0,0,1,1,https://www.clickondetroit.com/news/hundreds-protest-teen-s-arrest-for-refusing-to-leave-ann-arbor-bus-stop,,,,,,,
Bloomington,Indiana University,IN,US,2017-10-04,,,,,,,Students for Life,Protesting abortion,0,protest,0,0,0,0,1,1,http://www.idsnews.com/article/2017/10/students-for-life-display-posters-of-fetuses-wednesday-during-pro-life-demonstration,,,,,,,
Bloomington,Indiana University,IN,US,2017-10-04,NA,2,,2,,,Planned Parenthood,"Counter-protest, defending abortion",0,rally,0,0,0,0,0,1,http://www.idsnews.com/article/2017/10/students-for-life-display-posters-of-fetuses-wednesday-during-pro-life-demonstration,,,,,,,
Detroit,Wayne State University,MI,US,2017-10-04,about 50 ,50,,50,,,general protestors,Protesting Trump's immigration/anti-muslim agenda,1,protest,0,0,0,0,1,1,http://www.detroitnews.com/story/news/local/detroit-city/2017/10/04/protesters-wsu-target-travel-ban-border-wall/106317278/,,,,,,,
Endicott,Former IBM campus,NY,US,2017-10-04,NA,2,,2,,,general protestors,Protesting Israel,0,protest,0,0,0,0,1,1,http://www.ithacajournal.com/story/news/2017/10/04/protest-disrupts-cuomos-endicott-jobs-announcement/733083001/,,,,,,,
Helena,State Capitol,MT,US,2017-10-04,a large group,,,,,,general protestors,Rallying over fears about state budget cuts,0,rally,0,0,0,0,1,1,http://www.krtv.com/story/36530653/group-rallies-over-concerns-about-montana-budget-cuts,http://www.kbzk.com/story/36533559/group-rallies-over-concerns-about-montana-budget-cuts,,,,,,
Los Angeles,Intersection of Ventura and Coldwater Canyon,CA,US,2017-10-04,,,,,,,general protestors,Protesting proposed development,0,protest,0,0,0,0,1,1,http://abc7.com/education/protesters-rally-against-studio-city-development-project-/2488665/,,,,,,,
Merced,Courthouse Park to Applegate Park,CA,US,2017-10-04,dozens,24,,24,,,general protestors,Rallying against domestic abuse,0,rally; march,0,0,0,0,1,1,http://www.mercedsunstar.com/news/local/article177122661.html,,,,,,,
Mountainlair,West Virginia University ,WV,US,2017-10-04,dozens,24,,24,,,general protestors,Rally to raise issue of racial inequality ,0,demonstration ,0,0,0,0,1,1,http://www.wdtv.com/content/news/Community-organizers-lead-take-a-knee-rally--449514403.html,,,,,,,
New York City ,City Hall,NY,US,2017-10-04,more than 100,100,,100,,,general protestors,Rally to hold Trump's word on writing off Puerto Rico's debt ,0,rally,0,0,0,0,1,1,https://www.bloomberg.com/news/articles/2017-10-04/new-yorkers-rally-to-hold-trump-to-his-words-on-puerto-rico-debt,,,,,,,
Newtown ,Mile Hill Road ,CT,US,2017-10-04,about 50 ,50,,50,,,Newtown Action Alliance,Rally for tougher gun laws,0,rally,0,0,0,0,1,1,http://www.newstimes.com/local/article/Newtown-rallies-for-tougher-gun-laws-12254027.php,,,,,,,
Philadelphia,Center City ,PA,US,2017-10-04,dozens,24,,24,,,Building Services Union ,Rally to relieve and rebuild Puerto Rico,0,rally,0,0,0,0,1,1,http://philadelphia.cbslocal.com/2017/10/04/dozens-rally-in-center-city-to-relieve-rebuild-puerto-rico/,,,,,,,
Phoenix,Outside city council meeting,AZ,US,2017-10-04,hundreds,200,,200,,,general protestors,Protesting changes to Chinese Cultural center,0,protest,0,0,0,0,1,1,http://www.azcentral.com/story/news/local/phoenix/2017/10/04/hundreds-protest-potential-changes-phoenix-chinese-cultural-center/733902001/,,,,,,,
Raleigh,city streets,NC,US,2017-10-04, more than 100,100,,100,,,general protestors,oppose redistricting law Bill 717,0,protest; march,0,0,0,0,1,1,http://www.independenttribune.com/news/locals-join-state-gerrymandering-protest/article_b5f878c4-b2d7-11e7-a377-9b16e2f5dd2f.html,,,,,,,
San Juan ,Univision interview ,PR,US,2017-10-04,1,1,,1,,,Mayor of San Juan,Protesting Trump's comments on Puerto Rico,1,demonstration ,0,0,0,0,1,1,http://www.newsweek.com/san-juan-mayor-protests-trump-nasty-t-shirt-live-tv-677945,,,,,,,
Springfield,Outside Carver Middle School,MO,US,2017-10-04,,,,,,,Parents,Protesting counselor who allegedly hit a student,0,protest,0,0,0,0,1,1,http://www.ky3.com/content/news/Parents-protest-outside-Springfields-Carver-Middle-School-over-incident-449479223.html,,,,,,,
Studio City ,Ventura and Coldwater Canyon ,CA,US,2017-10-04,"""large""",,,,,,general protestors,Protesting Harvard Westlake Development Project ,0,demonstration ,0,0,0,0,1,1,http://abc7.com/education/protesters-rally-against-studio-city-development-project-/2488665/,,,,,,,
West Hartford,Blue Back Square,CT,US,2017-10-04,More than 60,60,,60,,,Women's March,vigil for Las Vegas shooting,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/288420774991486/,http://we-ha.com/west-hartford-comes-together-vigil-las-vegas-victims/,,,,,,
Westport ,"northeastern side of the Ruth Steinkraus Cohen Bridge on Route 1, at the corner of Parker-Harding Plaza",CT,US,2017-10-04,among 25,25,,25,,,Westport Weston Clergy Association ,vigil for Las Vegas shooting,0,vigil ,0,0,0,0,1,1,http://www.minutemannewscenter.com/news/westport-vigil-held-for-las-vegas-victims/article_bd77fcc8-0e27-5894-9f90-6d9c6543c4f1.html,,,,,,,
Wichita,Old Town,KS,US,2017-10-04,about 25,25,,25,,,general protestors,Protesting gun violence in the wake of Las Vegas shooting,0,protest,0,0,0,0,1,1,http://www.kansas.com/news/local/article177111131.html,,,,,,,
Chestertown,Dixon Valve & Coupling Co.,MD,US,2017-10-05,about 50,50,,50,,,Indivisible,Protesting visit from Paul Ryan,1,protest,0,0,0,0,1,1,http://www.cecildaily.com/news/state_news/article_cabd4a61-24c5-5cce-9640-476c55085b57.html,,,,,,,
Fresno,City Hall,CA,US,2017-10-05,hundreds; 300,200,,300,,,Truckers,"Protesting for fair wages, improved regulations",0,protest,0,0,0,0,1,1,http://www.fresnobee.com/news/business/article177256446.html,,,,,,,
Grand Island,Anna St.,NE,US,2017-10-05,about 20,20,,20,,,general protestors,Protesting gun laws in the wake of Las Vegas shooting,0,protest,0,0,0,0,1,1,http://www.theindependent.com/news/local/protesters-gather-outside-of-friends-of-nra-fundraiser/article_1848f452-aa33-11e7-a6bd-a3c6b712f7b3.html,,,,,,,
Hartford,U.S. District Court,CT,US,2017-10-05,,,,,,,Connecticut Immigrants Rights Alliance,Rallying for man facing deportation,1,rally,,,,,1,1,https://www.facebook.com/events/131725520904508/,http://www.fresnobee.com/news/local/article177532246.html,,,,,,
Houston,Sen. Cornyn's office,TX,US,2017-10-05,dozens; about three dozen ,24,,36,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigration reform,1,protest,0,0,0,0,1,1,http://www.khou.com/news/local/houston-dreamers-protest-daca-deadline/481122103,http://www.chron.com/news/houston-texas/article/Protesters-rally-outside-Sen-John-Cornyn-s-12256051.php,,,,,,
New York City ,Outside Trump Tower,NY,US,2017-10-05,dozens,24,,24,,,Asian American Federation,Protesting Trump's decision to end DACA,1,protest,0,0,0,0,1,1,http://www.nydailynews.com/news/politics/daca-supporters-rally-trump-tower-article-1.3544634,,,,,,,
North Adams,Berkshire Medical Center,MA,US,2017-10-05,more than 100,100,,100,,,Nurses,Protesting lack of safe staffing levels,0,protest,0,0,0,0,1,1,"http://www.berkshireeagle.com/stories/100-plus-locked-out-bmc-nurses-rally-in-north-adams,521265",,,,,,,
Oneonta,Muller Plaza,NY,US,2017-10-05,,8,,8,,,women,Rally to call attention to women's rights,0,demonstration ,0,0,0,0,1,1,http://www.thedailystar.com/news/local_news/activists-hold-women-s-rights-rally-in-muller-plaza/article_24fee843-9b7c-5a5f-afe5-2e7ae32bbffc.html,,,,,,,
Philadelphia,Center City ,PA,US,2017-10-05,about 40,40,,40,,,Tikkun Olam Chvurah,Protesting ICE,1,protest,0,0,0,0,1,1,http://www.philly.com/philly/news/ice-immigrants-undocumented-philadelphia-arrests-protest-sanctuary-city-sukkah-20171005.html,,,,,,,
Pittsburgh,Carnegie Mellon University,PA,US,2017-10-05,NA,4,,4,,,Westboro Baptist Church,"Protesting LGBT, POC",2,protest,0,0,0,0,1,1,http://wesa.fm/post/westboro-protests-pittsburgh-met-hundreds-counter-protesters#stream/0,,,,,,,
Pittsburgh,Carnegie Mellon University,PA,US,2017-10-05,hundreds; hundred people,100,,200,,,general protestors,Counter-protest; against Westboro Baptist Church,1,protest,0,0,0,0,0,1,http://wesa.fm/post/westboro-protests-pittsburgh-met-hundreds-counter-protesters#stream/0,https://www.pghcitypaper.com/Blogh/archives/2017/10/06/100-vs-4-pittsburgh-protesters-come-out-in-force-against-the-westboro-baptist-church,,,,,,
Pittsburgh,Pine-Richland High School,PA,US,2017-10-05,about 70,70,,70,,,general protestors,Counter-protest; against Westboro Baptist Church,0,protest,0,0,0,0,0,1,http://www.post-gazette.com/local/north/2017/10/06/Pittsburgh-counter-protest-Westboro-Baptist-Church-demonstrators-Pine-Richland-High-School-transgender-students/stories/201710060117,,,,,,,
Pueblo,,CO,US,2017-10-05,,,,,,,general protestor,Protesting DACA Decision,1,protest,0,0,0,0,1,1,http://fox21news.com/2017/10/05/dreamers-sending-a-message-at-daca-protest/,,,,,,,
San Diego,San Diego State University; In front of Hepner Hall ,CA,US,2017-10-05,,,,,,,Native American Student Alliance,Protesting Columbus Day; Indigenous People's rally,0,rally,0,0,0,0,1,1,http://thedailyaztec.com/84735/news/native-american-student-alliance-protests-columbus-day/,,,,,,,
Santa Maria,Lompoc's Centennial Park,CA,US,2017-10-05,about 50,50,,50,,,community members; local organizations,Domestic Violence Awareness and Solidarity,0,vigil; walk,0,0,0,0,1,1,http://santamariatimes.com/news/local/don-t-be-afraid-emotional-lompoc-vigil-shines-light-on/article_bb52b58b-f364-5a06-af4f-41acb5359b86.html,https://www.noozhawk.com/article/domestic_violence_awareness_vigil_looks_to_break_the_silence,http://santamariatimes.com/domestic-violence-vigil-jpg/image_4acb44eb-5617-5629-932c-0ec25a8846c7.html,,,,,
St. Louis ,Intersection of Hampton Ave. and Chippewa St.,MO,US,2017-10-05,,,,,,,general protestors,Protesting acquittal of Jason Stockley ,1,protest,0,0,0,0,1,1,http://www.stltoday.com/news/local/crime-and-courts/protesters-briefly-block-south-st-louis-intersection-call-for-firing/article_27c0b28d-7bb2-569d-aead-97b7ecb240f3.html,,,,,,,
St. Louis ,Intersection of Hampton Ave. and Chippewa St.,MO,US,2017-10-05,about a dozen,12,,12,,,general protestors,Counter-protest; defending police,2,protest,0,0,0,0,0,1,http://www.stltoday.com/news/local/crime-and-courts/protesters-briefly-block-south-st-louis-intersection-call-for-firing/article_27c0b28d-7bb2-569d-aead-97b7ecb240f3.html,,,,,,,
Storrs,University of Connecticut,CT,US,2017-10-05,FB: 36 went,36,,36,,,UConn Against Gun Violence,vigil for Las Vegas shooting,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/292868281198323/?acontext=%7B%22action_history%22%3A%22null%22%7D,http://dailycampus.com/stories/2017/10/6/vigil-for-vegas-uconn-comes-together-to-mourn-discuss-gun-violence,,,,,,
Topeka,Kansas Corportation Commission,KS,US,2017-10-05,about two dozen,24,,24,,,general protestors,Protesting approved oil drilling project,0,protest,0,0,0,0,1,1,http://www2.ljworld.com/news/2017/oct/05/oil-production-flint-hills-draws-protests/?city_local,,,,,,,
Westwood,Outside Sen. Feinstein's office,CA,US,2017-10-05,dozens,24,,24,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigration reform,1,protest,9,0,0,0,1,1,http://www.nbclosangeles.com/news/local/DACA-Protest-Westwood.html,http://www.latimes.com/local/lanow/la-me-ln-daca-demonstration-westwood-20171005-story.html,,,,,,
