CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,,,,,,,,,,,,,,,
Beaver,,,WV,US,2020-06-10,,,,,,,Kroger employees,for hero pay for Kroger workers during coronavirus pandemic,0,protest; car caravan,0,0,0,0,1,1,,http://www.ufcw400.org/2020/06/03/june-10-car-caravan-protest-for-hero-pay-at-kroger/,,,,,,,,,,,,,,,,,,,,,
Blacksburg,,,VA,US,2020-06-10,,,,,,,Kroger employees,for hero pay for Kroger workers during coronavirus pandemic,0,protest; car caravan,0,0,0,0,1,1,,http://www.ufcw400.org/2020/06/03/june-10-car-caravan-protest-for-hero-pay-at-kroger/,,,,,,,,,,,,,,,,,,,,,
Charleston,,,WV,US,2020-06-10,,,,,,,Kroger employees,for hero pay for Kroger workers during coronavirus pandemic,0,protest; car caravan,0,0,0,0,1,1,,http://www.ufcw400.org/2020/06/03/june-10-car-caravan-protest-for-hero-pay-at-kroger/,,,,,,,,,,,,,,,,,,,,,
Charlottesville,,,VA,US,2020-06-10,,,,,,,Kroger employees,for hero pay for Kroger workers during coronavirus pandemic,0,protest; car caravan,0,0,0,0,1,1,,http://www.ufcw400.org/2020/06/03/june-10-car-caravan-protest-for-hero-pay-at-kroger/,,,,,,,,,,,,,,,,,,,,,
El Paso,,El Paso,TX,US,2020-06-10,,,,,,,general protesters,support police officers,2,protest,,,,,1,1,,https://www.elpasotimes.com/story/news/2020/06/12/el-paso-protest-city-encourages-protesters-test-coronavirus/5321129002/,,,,,,,,,,,,,,,,,,,,,
Fort Morgan,Cargill Meat Solutions,,CO,US,2020-06-10,around 15,15,,15,,,Teamsters Local Union 455,collective bargaining; for greater coronavirus protections for workers,0,protest,0,0,0,0,1,1,,https://www.fortmorgantimes.com/2020/06/10/food-supply-chain-workers-protest-at-cargill/,,,,,,,,,,,,,,,,,,,,,
Franklinville,Franklinville,Gloucester,NJ,US,2020-06-10,na,2,,2,,,Corrections Officer; Fed Ex employee,against anti-racism protesters,0,protest,0,0,0,0,1,1,,https://6abc.com/society/men-imitate-george-floyds-killing-during-black-lives-matter-protest/6239634/,,,,,,,,,,,,,,,,,,,,,
Lynchburg,,,VA,US,2020-06-10,,,,,,,Kroger employees,for hero pay for Kroger workers during coronavirus pandemic,0,protest; car caravan,0,0,0,0,1,1,,http://www.ufcw400.org/2020/06/03/june-10-car-caravan-protest-for-hero-pay-at-kroger/,,,,,,,,,,,,,,,,,,,,,
Oklahoma City,Federal Courthouse,Oklahoma,OK,US,2020-06-10,,,,,,,family and friends of Chris Ledbetter,protest arrest for illegal weapon ownership,2,protest,0,0,0,0,1,1,,https://kfor.com/news/local/family-friends-protest-oklahoma-mans-federal-weapons-charge/,,,,,,,,,,,,,,,,,,,,,
Orlando,,Orange,FL,US,2020-06-10,,,,,,,Fix It Florida,for fixing state unemployment insurance system during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.mysuncoast.com/2020/06/10/many-floridians-waiting-unemployment-benefits-small-rallies-pushing-action-state/,,,,,,,,,,,,,,,,,,,,,
Orlando,Orlando International Airport,Orange,FL,US,2020-06-10,as many as 100,100,,100,,,restaurant workers,seek fair standards and health protections for restaurant workers during coronavirus pandemic,0,protest,0,0,0,0,0,1,,https://www.orlandosentinel.com/news/transportation/os-ne-orlando-airport-workers-protest-20200610-av7lgl7v5nfcxg4tn6ciewiogq-story.html,,,,,,,,,,,,,,,,,,,,,
Parkersburg,,,WV,US,2020-06-10,,,,,,,Kroger employees,for hero pay for Kroger workers during coronavirus pandemic,0,protest; car caravan,0,0,0,0,1,1,,http://www.ufcw400.org/2020/06/03/june-10-car-caravan-protest-for-hero-pay-at-kroger/,,,,,,,,,,,,,,,,,,,,,
Richmond,,,VA,US,2020-06-10,,,,,,,Kroger employees,for hero pay for Kroger workers during coronavirus pandemic,0,protest; car caravan,0,0,0,0,1,1,,http://www.ufcw400.org/2020/06/03/june-10-car-caravan-protest-for-hero-pay-at-kroger/,,,,,,,,,,,,,,,,,,,,,
Stockton,,San Joaquin ,CA,US,2020-06-10,,,,,,,Food Processing Division of Teamsters Local 856,for hazard pay during coronavirus pandemic,0,rally,0,0,0,0,1,1,,https://www.recordnet.com/news/20200610/diamond-walnut-workers-rally-for-hazard-pay-at-stockton-plant,,,,,,,,,,,,,,,,,,,,,
Tallahasee,Florida Historic Capital,Leon,FL,US,2020-06-10,na,6,,6,,,Fix It Florida,for fixing state unemployment insurance system during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.tallahassee.com/picturegallery/news,https://www.tallahassee.com/picturegallery/news,https://www.mysuncoast.com/2020/06/10/many-floridians-waiting-unemployment-benefits-small-rallies-pushing-action-state/,,,,,,,,,,,,,,,,,,,
Tampa,,Hillsborough,FL,US,2020-06-10,,,,,,,Fix It Florida,for fixing state unemployment insurance system during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.mysuncoast.com/2020/06/10/many-floridians-waiting-unemployment-benefits-small-rallies-pushing-action-state/,,,,,,,,,,,,,,,,,,,,,
Virginia Beach,Kroger store in Little Neck section,Virginia Beach,VA,US,2020-06-10,a dozen,12,,12,,,United Food and Commercial Workers Local 400,for hero pay for Kroger workers during coronavirus pandemic,0,caravan,0,0,0,0,1,1,,https://www.pilotonline.com/business/vp-ib-kroger-protest-0615-20200610-u6u4nj4shfav7h3ff2gkbxwedy-story.html,,,,,,,,,,,,,,,,,,,,,
Whitefish,,,MT,US,2020-06-10,man,1,,1,,,general protesters,against Black Lives Matter protesters,2,counter-protest,1,0,0,0,1,1,20200610-whitefish-blm,https://www.eastidahonews.com/2020/06/he-showed-up-angry-at-a-black-lives-matter-protest-she-showed-how-to-stare-him-down/,https://www.cnn.com/videos/us/2020/06/08/protest-confrontation-black-lives-matter-montana-nr-vpx.cnn,,,,,,,,,,,,,,,,,,,,
Libby,Lincoln County Courthouse,Lincoln,MT,US,2020-06-11,,,,,,,Three Percenters; Yellowstone Militia of Montana,"against Black Lives Matter protesters, against antifa, for President Trump, against NPR",2,counter-protest,0,0,0,0,1,1,20200611-libby-blm,https://thewesternnews.com/news/2020/jun/16/black-lives-matter-demonstration-draws-large-12/,https://thewesternnews.com/news/2020/jun/12/local-black-lives-matter-demonstration-draws-12/,https://twitter.com/RedoubtAFA/status/1437955242751000578,militia members openly carried firearms,,,,,,,,,,,,,,,,,,
New York,"Assembly Member DenDekker’s district office, 75-35 31st Ave, East Elmhurst, Queens",Queens,NY,US,2020-06-11,more than 50,50,,50,,,Make the Road Action,for cancelling rent and providing financial assistance to workers during the coronavirus pandemic,0,protest,0,0,0,0,0,1,,https://qns.com/story/2020/06/15/make-the-road-action-dendekker-challenger-call-on-assemblyman-to-support-recovery-for-all-movement/,,,,,,,,,,,,,,,,,,,,,
New York,Brooklyn,Kings,NY,US,2020-06-11,hundreds,200,,200,,,local Jewish Youth,against closure of summer camps during coronavirus pandemic,0,march,0,0,0,0,1,1,,https://forward.com/news/448674/ultra-orthodox-children-protest-sleepaway-camp-and-park-closures-brooklyn/,,,,,,,,,,,,,,,,,,,,,
Pratt,Pratt Police Department,Pratt,KS,US,2020-06-11,more than 25,25,,25,,,the Bread of Life organization,in support of law enforcement,2,rally,0,0,0,0,1,1,,https://www.hdnews.net/news/20200614/support-for-law-enforcement-shown-at-pratt-rally,https://www.ottawaherald.com/news/20200614/support-for-law-enforcement-shown-at-pratt-rally,https://www.cjonline.com/news/20200614/support-for-law-enforcement-shown-at-pratt-rally,,,,,,,,,,,,,,,,,,,
Adelanto,Adelanto ICE Processing Center,San Bernardino,CA,US,2020-06-12,more than 150,150,,150,,,detainees,against lockdown imposed in ICE detention facility during coronavirus epidemic,0,protest,0,4,0,0,1,1,,https://laist.com/2020/06/22/adelanto-detention-facility-immigrant-detainee-protest.php,,,pepper spray,,,,,,,,,,,,,,,,,,
Adelanto,outside Adelanto Detention Center,San Bernardino,CA,US,2020-06-12,50,50,,50,,,general protesters,against lockdown imposed in ICE detention facility during coronavirus epidemic,0,protest,0,0,0,0,0,1,,https://laist.com/2020/06/22/adelanto-detention-facility-immigrant-detainee-protest.php,,,,,,,,,,,,,,,,,,,,,
Ashland,The Corner Park,Ashland,WI,US,2020-06-12,approximately 30,30,,30,,,The Coalition,support Donald Trump,2,rally,0,0,0,0,1,1,,https://www.times-gazette.com/story/news/local/2020/06/12/trump-rally-sparks-tension-with-black-lives-matter-protesters/42113335/,,,,,,,,,,,,,,,,,,,,,
Cedar City,Cedar City Hall,Iron,UT,US,2020-06-12,more than 100,100,,100,,,general protesters,supporting police,0,rally,0,0,0,0,1,1,,https://www.ksl.com/article/46764233/back-the-blue-protest-held-in-cedar-city,,,,,,,,,,,,,,,,,,,,,
Des Moines,South Union St and E Army Post Rd,Polk,IA,US,2020-06-12,a,1,,1,,,woman,White Lives Matter,2,counter-protest,0,0,0,0,1,1,20200612-desmoines-blm,https://www.desmoinesregister.com/story/news/2020/06/13/protesters-des-moines-pause-night-celebrate-their-wins/3182843001/,,,swerved car through protesters; parked and yelled at protesters,,,,,,,,,,,,,,,,,,
Floyd,Floyd County Courthouse,Floyd,VA,US,2020-06-12,about two dozen,24,,24,,,general protesters,against removal of Confederate monuments,2,demonstration,0,0,0,0,1,1,,https://www.wsls.com/news/local/2020/06/12/people-rally-in-floyd-county-to-save-confederate-monuments/,,,,,,,,,,,,,,,,,,,,,
Hagåtña,Chief Quipuha loop,Guam ,GU,US,2020-06-12,nearly 300,300,,300,,,general protesters,against the release of officials accused of sexual assault,0,protest,0,0,0,0,1,1,,https://www.guampdn.com/picture-gallery/news/local/2020/06/12/peaceful-protest-against-port-officer-held-hagatna/5347805002/,,,,,,,,,,,,,,,,,,,,,
McMinnville,,Yamhill,OR,US,2020-06-12,,,,,,,county employees,for safer workplace for county employees during coronavirus pandemic,0,protest,,,,,1,1,,https://newsregister.com/article?articleTitle=county-employees-rally-for-covid-19-protections--1591978040--37379--news,,,,,,,,,,,,,,,,,,,,,
Minneapolis ,outside Senator Klobuchar's office on Washington Avenue to the Hennepin County Jail ,Hennepin,MN,US,2020-06-12,almost 1000,1000,,1000,,,Minnesota Immigrant Rights Action Committee,"in support of the DACA program, for immigrants' rights",1,march,0,0,0,0,1,1,,http://www.fightbacknews.org/2020/6/16/hundreds-march-defend-daca-immigrant-youth-support-movement-against-police-terror,,,,,,,,,,,,,,,,,,,,,
Nashville,Tennessee State Capitol,Shelby,TN,US,2020-06-12,,,,,,,general protesters,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,1,1,20200612-nashville-blm,https://www.nashvillescene.com/news/pith-in-the-wind/article/21137198/activists-camp-outside-the-capitol-building-to-protest-police-brutality,,,,,,,,,,,,,,,,,,,,,
Pinckney,Main Street,Livingston,MI,US ,2020-06-12,one,1,,1,,,general protesters,"against Black Lives Matter protesters, for racism, go back to Africa",2,counter-protest,0,0,0,0,0,1,20200612-pinckney-blm,https://www.michiganradio.org/post/blm-protests-coming-small-rural-towns-michigan-too,,,online submission,,,,,,,,,,,,,,,,,,
Temecula,Ynez Rd and Winchester Rd,Riverside,CA,US,2020-06-12,about 100,100,,100,,,general protesters,"Blue Lives Matter, for President Trump, for patriotism, for freedom, against defunding police, for Sheriff Bianco",2,rally,0,1,0,0,1,1,20200612-temecula-bluelivesmatter,https://www.pe.com/2020/06/12/demonstrators-in-temecula-rally-for-blue-lives-matter/,,,,,,,,,,,,,,,,,,,,,
Cortland,290 S High St,Trumbull,OH,US,2020-06-13,,,,,,,Free Ohio Now,"for reopening Ohio schools during coronavirus pandemic, for freedom, against coronavirus mask mandates in schools, against Governor DeWine, stop fear mongering, for Christian values",2,rally,0,0,0,0,1,1,,https://www.wdtn.com/news/ohioans-hold-rallies-across-state-asking-dewine-to-open-schools-in-regular-session-this-fall/,https://fox8.com/wp-content/uploads/sites/12/2020/06/Free-Ohio-Now-Press-Release-6-13-20-2020-Final-1_1591873772.pdf,https://www.instagram.com/p/CBQ86rTAlxd/,https://www.instagram.com/p/CBY0LIAgc2s/,,,,,,,,,,,,,,,,,,
Dalton,downtown,Whitfield,GA,US,2020-06-13,,,,,,,general protesters,"against Black Lives Matter protesters, in defense of Confederate statue, for police",2,counter-protest,0,0,0,0,0,1,20200613-dalton-blm,https://www.dailycitizen.news/news/local_news/downtown-dalton-march-gets-heated-as-groups-trade-words-over-gen-johnston-statue/article_8e4553d9-024e-5552-a6d5-25236a17c467.html,,,,,,,,,,,,,,,,,,,,,
Elko,courthouse,Elko,NV,US,2020-06-13,a dozen,12,,12,,,Blue Lives Matter,Blue Lives Matter,2,protest,0,0,0,0,1,1,,https://elkodaily.com/news/local/watch-now-blue-lives-matter-rally-held-in-elko/article_b656151f-0595-550b-8b95-a3bf7312cd59.html,,,,,,,,,,,,,,,,,,,,,
Highland Falls,outside USMA Thayer gate,Orange,NY,US,2020-06-13,,,,,,,general protesters,for President Trump,2,protest,0,0,0,0,0,1,,https://www.recordonline.com/story/news/2020/06/13/trump-target-of-protest-outside-west-point/111958248/,,,,,,,,,,,,,,,,,,,,,
Kaanapali,,Maui,HI,US,2020-06-13,about 200,200,,200,,,Unite Here Local 5,"for reopening of hotels during coronavirus pandemic, for safe workplaces for hotel workers during coronavirus pandemic",0,caravan,0,0,0,0,1,1,,https://www.mauinews.com/news/local-news/2020/06/hotel-workers-rally-saturday-on-west-side-for-safe-reopening/,,,,,,,,,,,,,,,,,,,,,
Kerrville,Kerr County Courthouse,Kerr,TX,US,2020-06-13,about 20; few dozen,20,,36,,,Kerr County Patriots,"in support of local businesses during COVID-19 pandemic, for unity, in support of police, unity is unhyphenated citizenship, stronger together",2,rally,0,0,0,0,1,1,20200613-kerrville-unity,https://dailytimes.com/promotions/article_385dfaf8-af80-11ea-a647-cf1559cf80be.html,,,,,,,,,,,,,,,,,,,,,
Knoxville,Hardy Park,Knox,TN,US,2020-06-13,dozens,24,,24,,,general protesters,against gun violence,0,protest; march,0,0,0,0,1,1,,https://www.wbir.com/article/news/local/protests/protest-held-to-stop-senseless-violence/51-52497804-fac9-4bf6-8202-1cda967d7495,,,,,,,,,,,,,,,,,,,,,
Lincoln,Nebraska State Capitol,Lancaster,NE,US,2020-06-13,,,,,,,general protesters,pro unity; togetherness; against looting during anti-racism protests,2,march; rally,,,,,1,1,,https://journalstar.com/entertainment/dining/we-are-one-cookout-to-feed-lincoln-protest-marchers-saturday/article_51116709-a87c-5777-abac-666774b90ab9.html,,,,,,,,,,,,,,,,,,,,,
Marion,Smyth County Courthouse,Smyth,VA,US,2020-06-13,,,,,,,general protesters,"against Black Lives Matter protesters, in defense of Confederate monument",2,counter-protest,0,0,0,0,1,1,20200613-marion-blm,https://roanoke.com/news/virginia/black-lives-matter-all-lives-matter-protesters-square-off-in-marion/article_1468fec6-8e30-5926-9e0a-9c8054451329.html,,,some carried firearms; surrounded Confederate monument; verbal confrontations with protesters,,,,,,,,,,,,,,,,,,
Naples,"Oakes Farms Market, 2205 Davis Blvd",Collier,FL,US,2020-06-13,count pic,100,,100,,,general protesters,"against Black Lives Matter protesters, for President Trump, for patriotism, for freedom, All Lives Matter, in support of police, free speech does not exist if the leftists can run you out of business, God bless America",2,counter-protest,0,0,0,0,1,1,20200613-naples-blm,https://www.naplesnews.com/picture-gallery/news/local/2020/06/13/protests-held-oakes-farms-seed-table-market-after-incendiary-facebook-post/3182651001/,,,store owner sponsored live music and free food and drink for his supporters at scene,,,,,,,,,,,,,,,,,,
North Port,in front of North Port police headquarters,,FL,US,2020-06-13,more than 200,200,,200,,,police supporters,supporting police,0,rally,0,0,0,0,1,1,,https://www.yoursun.com/northport/news/rally-organizer-loses-job-after-online-posts/article_3824424a-b183-11ea-b0e0-ff648d9e47ec.html,https://www.yoursun.com/northport/news/wont-cop-out-group-plans-pro-police-rally-love-overcomes/article_16518d4c-b71b-11ea-ba27-efc91f17baad.html,,Organizer lost job after advertising rally on social media,,,,,,,,,,,,,,,,,,
North Ridgeville,32500 Lorain Rd,Lorain,OH,US,2020-06-13,count video,15,,20,,,Free Ohio Now,"for reopening Ohio schools during coronavirus pandemic, for freedom, for patriotism, against coronavirus mask mandates in schools, against Governor DeWine, stop fear mongering",2,rally,0,0,0,0,1,1,,https://www.wdtn.com/news/ohioans-hold-rallies-across-state-asking-dewine-to-open-schools-in-regular-session-this-fall/,https://fox8.com/wp-content/uploads/sites/12/2020/06/Free-Ohio-Now-Press-Release-6-13-20-2020-Final-1_1591873772.pdf,https://fox8.com/news/coronavirus/ohioans-rally-across-state-asking-dewine-to-open-schools-in-regular-session/,,,,,,,,,,,,,,,,,,,
Philadelphia,"Marconi Plaza, South Philadelphia",Philadelphia,PA,US,2020-06-13,about 50,50,,50,,,white South Philadelphians,"against Black Lives Matter protests, against antifa, for President Trump, in defense of Christopher Columbus statue",2,rally,0,0,0,0,1,1,,https://www.washingtonpost.com/politics/third-consecutive-weekend-of-anti-racism-protests-expands-to-suburbs-as-blue-lives-matter-demonstrators-push-back/2020/06/13/81ef674a-ada7-11ea-94d2-d7bc43b26bf9_story.html?,,,some armed with guns or baseball bats,,,,,,,,,,,,,,,,,,
Port Angeles,Clallam County Courthouse,,WA,US,2020-06-13,,1,,1,,,general protesters,"for racism, for homophobia",2,counter-protest,1,0,0,0,1,1,20200613-portangeles-blm,https://www.peninsuladailynews.com/crime/bail-set-for-man-accused-of-throwing-eggs-at-protesters/,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,Franklin Park,,CA,US,2020-06-13,,,,,,,general protesters,for a better future for America's youth,0,demonstration,,,,,1,1,,https://www.instagram.com/p/CBWGCjxBiU1/,,,,,,,,,,,,,,,,,,,,,
Scranton,"Christopher Columbus statue, North Washington Ave and Spruce St",Lackawanna,PA,US,2020-06-13,several,3,,3,,,general protesters,"in defense of Christopher Columbus statue, against Black Lives Matter protesters, for President Trump",2,counter-protest,0,0,0,0,1,1,20200613-scranton-blm,https://www.citizensvoice.com/news/black-lives-matter-protest-draws-over-1-000-to-scranton-1.2638382,https://www.wnep.com/article/news/local/lackawanna-county/thousands-show-up-for-black-lives-matter-rally-in-scranton/523-09ca437b-2b75-4f4f-bc0e-dbc949934e84,https://www.thetimes-tribune.com/news/over-1-000-people-attend-black-lives-matter-protest-in-scranton/article_8af9ce18-186a-5adb-bc30-5cdebc536e58.html,,,,,,,,,,,,,,,,,,,
Tampa,Hillsborough Community College,Hillsborough,FL,US,2020-06-13,,,,,,,general protesters,Back the Blue,2,rally,0,0,0,0,1,1,20200613-tampa-backtheblue,https://www.washingtonpost.com/politics/third-consecutive-weekend-of-anti-racism-protests-expands-to-suburbs-as-blue-lives-matter-demonstrators-push-back/2020/06/13/81ef674a-ada7-11ea-94d2-d7bc43b26bf9_story.html?,https://www.wfla.com/news/hillsborough-county/back-the-blue-rallies-planned-in-tampa-and-lakeland-to-support-police/,,,,,,,,,,,,,,,,,,,,
Walhalla,Confederate statue,Oconee,SC,US,2020-06-13,five,5,,5,,,general protesters,in defense of Confederate monument and Confederate flag,2,demonstration,0,0,0,0,1,1,,https://www.thestate.com/news/article243514827.html,,,one man tied himself to monument,,,,,,,,,,,,,,,,,,
Walker,DeltaPlex Arena,Kent,MI,US,2020-06-13,,,,,,,general protesters,"against absentee voting, for President Trump",2,demonstration,0,0,0,0,1,1,,https://www.washingtontimes.com/news/2020/jun/14/operation-incinerator-trump-supporters-torch-absen/,,,burned absentee ballots,,,,,,,,,,,,,,,,,,
West Chester Township,Tylersville Rd and Cox Rd,,OH,US,2020-06-13,more than 40,40,,40,,,Free Ohio Now,"against state coronavirus mandates, against Governor DeWine, for freedom, for patriotism, for reopening schools",2,demonstration,0,0,0,0,1,1,,https://www.journal-news.com/news/local/demonstrators-call-for-return-school-with-restrictions/JJHxTWqEQDkvyDWDxstAWN/,,,,,,,,,,,,,,,,,,,,,
Washington,National Mall to National Law Enforcement Officers Memorial,,DC,US,2020-06-13,about two dozen,24,,24,,,general protesters,in support of police,2,rally; march,0,0,0,0,1,1,,https://www.washingtonpost.com/politics/third-consecutive-weekend-of-anti-racism-protests-expands-to-suburbs-as-blue-lives-matter-demonstrators-push-back/2020/06/13/81ef674a-ada7-11ea-94d2-d7bc43b26bf9_story.html?,,,We Back Blue,,,,,,,,,,,,,,,,,,
Allentown,Lehigh County Courthouse,Lehigh,PA,US,2020-06-14,more than two dozen,24,,24,,,Syrian Americans,against sanctions on Syria,0,protest,0,0,0,0,1,1,,https://www.mcall.com/news/local/allentown/mc-nws-allentown-syrian-protest-sanctions-20200614-vot6ttxtgfcbtdxn76daj6luui-story.html,,,,,,,,,,,,,,,,,,,,,
Bethel,Plane St,Clermont,OH,US,2020-06-14,some 700,700,,700,,,general protesters,"against Black Lives Matter protesters, in support of police, for President Trump",2,counter-protest,0,unspecified,0,0,1,1,20200614-bethel-blm,https://www.washingtonpost.com/nation/2020/06/16/bethel-ohio-black-lives-counter-protest/,https://www.oregonlive.com/nation/2020/06/a-tiny-ohio-town-had-a-black-lives-matter-protest-hundreds-of-armed-counter-protesters-showed-up.html,https://www.fox19.com/2021/01/27/bethel-police-chief-leave-departmental-review-faults-his-handling-protests/,,,,,,,,,,,,,,,,,,,
Colorado Springs,Palmer statue,El Paso,CO,US,2020-06-14,count pic,50,,50,,,general protesters,"for patriotism, in defense of local monuments associated with colonization and racism",2,rally,0,0,0,0,1,1,,https://www.fox21news.com/top-stories/defend-our-monuments-rally-hosted-in-downtown-colorado-springs/,,,,,,,,,,,,,,,,,,,,,
Helena,Montana State Capitol,Lewis and Clark ,MT,US,2020-06-14,,,,,,,general protesters,"against Black Lives Matter protesters, for President Trump",2,counter-protest,1,0,0,0,1,1,20200614-helena-blm,https://helenair.com/news/local/george-floyd-protest-at-montana-capitol-was-mostly-peaceful-but-heated-at-times/article_e00dedc0-6a81-522a-8016-cbbd863c0add.html,https://www.kbzk.com/news/crime-and-courts/only-one-arrest-at-montana-capitol-george-floyd-protest-man-accused-of-impersonating-police,https://www.kbzk.com/news/helena-news/protesters-gather-at-state-capitol-for-george-floyd-black-lives-matter-protest,scuffled with protesters,https://www.ktvh.com/news/helena-news/protesters-gather-at-state-capitol-for-george-floyd-black-lives-matter-protest,,,,,,,,,,,,,,,,,
Ionia,Ionia County Sheriff's Office,Ionia,MI,US,2020-06-14,a little more than a dozen,12,,12,,,Bible Believers Grace Church of Pewamo,"in support of law enforcement, for patriotism, for Christian values, against Black Lives Matter, against homosexuality",2,rally,0,0,0,0,1,1,,https://www.sentinel-standard.com/news/20200615/group-gathers-for-police-lives-matter-demonstration,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Los Angeles City Hall,Los Angeles,CA,US,2020-06-14,several hundred,300,,300,,,general protesters,against US immigration policies,1,protest,0,0,0,0,1,1,,https://www.dailynews.com/2020/06/14/thousands-gather-for-hollywood-march-as-protesters-return-to-streets-across-southern-california/,https://abc7.com/politics/free-our-kids-in-cages-march-held-in-la/6247744/,,,,,,,,,,,,,,,,,,,,
Miami,79th St and Court St,Miami-Dade,FL,US,2020-06-14,more than 100,100,,100,,,Law Abiding Citizens Coalition,for President Trump,2,rally,0,0,0,0,1,1,,https://wsvn.com/news/local/miami-dade/miami-coalition-to-hold-patriotism-rally-in-bayfront-park/,https://www.miamiherald.com/news/local/community/miami-dade/downtown-miami/article243489411.html,,,,,,,,,,,,,,,,,,,,
Norman ,Andrews Park,Cleveland,OK,US,2020-06-14,about 250,250,,250,,,general protesters,"in support of Norman Police Department, against defunding police",2,rally,0,0,0,0,1,1,,https://www.woodwardnews.net/oklahoma/news/standing-up-for-npd-rally-draws-crowd/article_a84592a5-3e42-59a8-98c0-7580a20f4f4a.html,https://www.normantranscript.com/news/courts_crime_police/standing-up-for-npd-rally-draws-crowd/article_1275f1ca-aea3-11ea-81e7-2f9a2e649897.html,,,,,,,,,,,,,,,,,,,,
North Kingstown,Allie's Donuts,,RI,US,2020-06-14,,,,,,,Never Forget,against removal of veteran discount,0,protest,0,0,0,0,1,1,,https://www.ricentral.com/nk_standard_times/news/local_news/veterans-protest-outside-allies-donuts/article_a8052a4c-b17a-11ea-816f-cf869dfcb97d.html,,,,,,,,,,,,,,,,,,,,,
Prineville,Prineville City Hall,Crook,OR,US,2020-06-14,dozens,24,,24,,,general protesters,"against Black Lives Matter protesters, go back to Portland, All Lives Matter",2,counter-protest,unspecified,0,0,0,1,1,20200614-prineville-blm,https://ktvz.com/news/government-politics/2020/06/13/prineville-black-lives-matter-rally-brings-counter-protest-police-make-4-arrests/?minutetv=true,,,verbally confronted protesters; scuffled with protesters,,,,,,,,,,,,,,,,,,
San Diego,San Diego Bay,San Diego,CA,US,2020-06-14,thousands,2000,,2000,,,general protesters,for President Trump,2,boat parade,0,0,0,0,1,1,,https://www.kpbs.org/news/2020/jun/28/la-mesa-protest-riots-fires-police-george-floyd/,,,,,,,,,,,,,,,,,,,,,
San Francisco,Market St and Powell St.,,CA,US,2020-06-14,,,,,,,general protesters,against President Trump,1,protest,,,,,1,1,,https://sf.funcheap.com/give-trump-birthday-remember-protest/,,,,,,,,,,,,,,,,,,,,,
Somerset,Somerset County Courthouse,Somerset,PA,US,2020-06-14,count pic,12,,12,,,general protesters,"against Black Lives Matter protesters, All Lives Matter, for President Trump, Jesus died for all lives, we back and honor our police force",2,counter-protest,0,0,0,0,1,1,20200614-somerset-blm,https://www.tribdem.com/news/somerset-police-organizer-cancels-local-all-lives-matter-and-confederate-flag-march/article_08e01c54-bfa0-11ea-bfed-d75934ec9154.html,,,,,,,,,,,,,,,,,,,,,
West Palm Beach,,Palm Beach,FL,US,2020-06-14,,,,,,,general protesters,for President Trump,2,boat parade; caravan,0,0,0,0,1,1,,https://www.wane.com/news/trump-supporters-hold-boat-rally-for-presidents-74th-birthday/,,,,,,,,,,,,,,,,,,,,,
Albuquerque,Albuquerque Museum,Bernalillo,NM,US,2020-06-15,,,,,,,armed white gunmen,in defense of statue of conquistador,2,counter-protest,1,0,0,1,0,1,20200615-abq-conquistador,https://www.currentargus.com/story/news/2020/06/17/police-tactics-criticized-locals-following-juan-de-onate-protest/3207979001/,https://www.kob.com/albuquerque-news/man-arrested-for-onate-protest-shooting-faces-more-battery-charges/5762612/?cat=500,https://www.kob.com/albuquerque-news/juan-de-onate-monday-protest-a-timeline/5762131/?cat=500,tactical gear; openly carried firearms; scuffled with protesters; shot one protester,,,,,,,,,,,,,,,,,,
Bellingham,Holly St and Railroad Ave,Whatcom,WA,US,2020-06-15,two or so,2,,2,,,general protesters,"against Black Lives Matter protesters, Blue Lives Matter, Back the Blue",2,counter-protest,0,0,0,0,1,1,20200615-bellingham-blm,https://twitter.com/DenverPratt/status/1272605419836334081,,,,,,,,,,,,,,,,,,,,,
Bethel,Plane St,Clermont,OH,US,2020-06-15,100-150,100,,150,,,general protesters,against Black Lives Matter protesters,2,counter-protest,unspecified,unspecified,0,0,1,1,20200615-bethel-blm,https://www.washingtonpost.com/nation/2020/06/16/bethel-ohio-black-lives-counter-protest/,https://www.fox19.com/2020/06/15/heated-confrontations-continue-second-day-protests-bethel-ohio/,,,,,,,,,,,,,,,,,,,,
Boca Raton,Glades and State Road 7,Palm Beach,FL,US,2020-06-15,,,,,,,general protesters,"against Black Lives Matter protesters, for President Trump",2,counter-protest,0,0,0,0,1,1,20200615-boca-blm,https://www.upressonline.com/2020/06/column-i-went-to-a-black-lives-matter-protest/,,,in truck; argued with protesters,,,,,,,,,,,,,,,,,,
