CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,,,,,,,,,,,,,,,
Boise,Idaho State Capitol,Ada,ID,US,2020-06-02,,,,,,,general protesters,"for President Trump, for white supremacy, for patriotism",2,counter-protest,0,0,0,0,1,1,20200602-boise-blm,https://www.idahopress.com/boiseweekly/news/local_and_state/massive-peaceful-vigil-in-boise-followed-by-protests-and-intimidation/article_7942d42c-2883-5167-a7ba-bb24dc3c5996.html,https://magicvalley.com/opinion/columnists/idaho-view-protesting-against-the-black-lives-matter-vigil-in-boise-is-the-wrong-side/article_f4d8077c-fc2c-549b-8c62-5bbfbdc779c9.html,https://twitter.com/AFriendlyDad/status/1422688310456029186,"No crowd size estimate, but report makes it sound like there were more counter-protesters than police (of which there were many), and the counter-protesters were heavily armed.",https://twitter.com/AFriendlyDad/status/1422685733320466433,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Casper,David St,Natrona,WY,US,2020-06-02,three different trucks,3,,3,,,general protesters,against anti-racism protesters,2,counter-protest,0,0,0,0,1,1,20200602-casper-blm,https://trib.com/news/local/casper/a-look-back-at-police-brutality-protests-in-casper/article_e8b5b195-e402-515e-8539-8000e0b23237.html,https://trib.com/news/local/crime-and-courts/watch-now-demonstrators-march-in-downtown-casper-in-protest-against-police-brutality/article_8860cdfd-e636-539f-9fcd-865d4c37ba8f.html,,Trucks rolled coal on protesters.,,,,,,,,,,,,,,,,,,
Coeur d'Alene,,Kootenai,ID,US,2020-06-02,dozen or so,12,,12,,,general protesters,"against property destruction, for Second Amendment rights",2,counter-protest,0,0,0,0,0,1,20200602-coeurdalene-blm,https://www.spokesman.com/stories/2020/jun/02/demonstrators-and-armed-citizens-co-exist-peaceful/,,,wore tactical gear and carried rifles and other firearms; shook hands with protesters,,,,,,,,,,,,,,,,,,
Coquille,Coos County Courthouse,Coos,OR,US,2020-06-02,nearly 200,200,,200,,,general protesters,against antifa,2,demonstration,0,0,0,0,1,1,,https://theworldlink.com/news/local/coquille-citizens-rally-in-anticipation-of-antifa-threat/collection_71a9dfac-a562-11ea-b81d-1f2184b2b90b.html#3,,,turned out over false rumors of busloads of Antifa coming to town; many heavily armed,,,,,,,,,,,,,,,,,,
Dickinson,Third Ave,Stark,ND,US,2020-06-02,hundreds,200,,200,,,Yellowstone Militia of Montana,"against antifa, for protection of property, against Black Lives Matter protesters",2,counter-protest,0,0,0,0,1,1,20200602-dickinson-blm,https://www.kfyrtv.com/content/news/Dickinson-protest-stays-peaceful-with-help-of-biker-gang-570985441.html,https://twitter.com/RedoubtAFA/status/1437951072706785280,,,,,,,,,,,,,,,,,,,,
Merrick,Merrick Rd,Nassau,NY,US,2020-06-02,,,,,,,residents,against Black Lives Matter protest,2,counter-protest,0,0,0,0,1,1,20200602-merrick-blm,"https://www.liherald.com/eastmeadow/stories/tense-protest-ends-peacefully-in-merrick,125554",https://www.longislandpress.com/2020/06/03/merrick-residents-try-to-block-anti-police-brutality-protesters/,,counter-protesters verbally confronted marchers and attempted to block their path; police intervened,,,,,,,,,,,,,,,,,,
New York,"Cross Island Parkway & Clintonville St, Whitestone, Queens",Queens,NY,US,2020-06-02,a man,1,,1,,,general protesters,against anti-racism protesters,2,counter-protest,1,0,0,0,1,1,20200602-queens-blm,https://www.henryherald.com/news/world_nation/new-yorker-who-allegedly-waved-a-four-bladed-glove-at-black-lives-matter-protesters-indicted/article_016df768-be4a-5f59-b75c-911cf9126809.html,https://qns.com/2021/04/whitestone-wolverine-indicted-on-attempted-murder-charges-after-threatening-blm-demonstrators/,,"Yelled ""I will kill you!"" and threatened protesters with bladed glove, then drove his SUV at them.",,,,,,,,,,,,,,,,,,
Newark,Licking County Courthouse,Licking,OH,US,2020-06-02,dozens,24,,24,,,general protesters,All Lives Matter,2,counter-protest,0,0,0,0,1,1,20200602-newark-blm,https://www.newarkadvocate.com/story/news/2020/06/03/newark-peaceful-protest-against-racism-turns-into-dance-party/5316947002/,,,,,,,,,,,,,,,,,,,,,
Newark,Licking County Courthouse,Licking,OH,US,2020-06-02,,,,,,,Ohio Patriots,"against antifa, against rioting",2,counter-protest,0,0,0,0,0,1,20200602-newark-blm,https://www.newarkadvocate.com/story/news/2020/06/03/newark-peaceful-protest-against-racism-turns-into-dance-party/5316947002/,https://www.100daysinappalachia.com/2020/06/small-cities-and-towns-join-national-police-violence-protests/,,"armed militia, had cordial interactions with protesters",,,,,,,,,,,,,,,,,,
Rapid City,,Pennington ,SD,US,2020-06-02,about two dozen,24,,24,,,general protesters,against anti-racism protestors; pro-Trump,2,counter-protest,0,0,0,0,0,1,20200602-rapidcity-blm,https://rapidcityjournal.com/news/local/rapid-city-police-arrest-five-on-tuesday-night-say-counter-protesters-are-agitating/article_3722ceae-3bd4-5d63-b2e3-896cf266d52d.html,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
