id,date,url,headline,abstract,lead_paragraph,type_of_material,section_name,blm,black lives matter,police brutality,defund police,blue lives matter,George Floyd,Breonna Taylor,Tyre Nichols,Eric Garner,Ahmaud Arbery,Tamir Rice
ive/77b8eed3-d200-5b8d-9d46-79bad23ea2a1,2022-02-09,https://www.nytimes.com/interactive/2022/02/09/us/ahmaud-arbery-hate-crime-jury.html,The Latest From the Arbery Hate Crimes Trial,"After a plea deal was rejected, a federal hate crimes trial in the death of Ahmaud Arbery is set to begin.","After a plea deal was rejected, a federal hate crimes trial in the death of Ahmaud Arbery is set to begin.",Interactive Feature,U.S.,False,False,False,False,False,False,False,False,False,True,False
ive/a3ba7e11-7df5-5e29-945a-787d8a7cd7e2,2022-02-23,https://www.nytimes.com/interactive/2022/02/23/us/ahmaud-arbery-day-georgia.html,In Georgia for Ahmaud Arbery Day,"Two years after his death, and just a day after three men were convicted in a hate crimes trial, Georgia honored his memory.","Two years after his death, and just a day after three men were convicted in a hate crimes trial, Georgia honored his memory.",Interactive Feature,U.S.,False,False,False,False,False,False,False,False,False,True,False
c3da70c2-177f-5179-b747-7d2e96ecb543,2022-09-28,https://www.nytimes.com/2022/09/28/business/cfpb-suit-american-bankers-association.html,Banks Accuse Consumer Regulator of Abuse of Power,"Several banking trade groups have sued the Consumer Financial Protection Bureau, claiming it has exceeded its authority with anti-discrimination enforcement.","Since George Floyd’s murder by the police in 2020 refocused public attention on racism in the United States, regulators — including those appointed by President Biden to oversee financial institutions — have vowed to prioritize the task of rooting out discrimination. But banks are now accusing one of them of going too far.",News,Business Day,False,False,False,False,False,True,False,False,False,False,False
dbb068d9-8f09-50f4-98ce-724b9d4f1f4a,2022-09-09,https://www.nytimes.com/2022/09/09/books/review/third-reconstruction-peniel-joseph.html,A Premature Victory Lap for Black Lives Matter,"While compellingly readable, Peniel E. Joseph’s “The Third Reconstruction” overstates the impact of the recent reckoning over racial justice.","If racial progress in America tends to arrive in waves, much of it has come in the form of two crashing breakers: the First Reconstruction, which ended slavery after the Civil War, and the Second, which ended Jim Crow segregation a century later. The historian Peniel E. Joseph believes we have just witnessed a third such moment, bracketed by Barack Obama’s election in 2008 and the wake of George Floyd’s murder in 2020.",Review,Books,False,True,False,False,False,True,False,False,False,False,False
e3d7a618-2fe1-5b46-9a69-6dc30cfe5524,2022-09-21,https://www.nytimes.com/2022/09/21/us/george-floyd-thomas-lane-minneapolis.html,Former Minneapolis Officer Sentenced to Three Years in George Floyd Case,Thomas Lane pleaded guilty in May to a charge of second-degree manslaughter. He is already serving a federal sentence for violating Mr. Floyd’s civil rights.,"A former Minneapolis police officer, Thomas Lane, was sentenced to three years in prison on Wednesday for his role in the killing of George Floyd in 2020.",News,U.S.,False,False,False,False,False,True,False,False,False,False,False
08dcd45c-02a5-53ba-8fcc-90714a0030e9,2022-10-13,https://www.nytimes.com/2022/10/13/magazine/black-literature-representation-trap.html,Can Black Literature Escape the Representation Trap?,A crop of recent novels strains against the expectations of a publishing industry attempting to embrace diversity.,"When I first read Raven Leilani’s 2020 debut novel, “Luster,” it struck me as both more middling and more strange than many of its reviews made it out to be. In a post-Sally Rooney, post-Black Lives Matter landscape, it scanned as a savvy fusion of millennial economic anxiety and the roiling racial tensions that had lately become of such interest to the publishing industry. Its protagonist, Edie, is a 23-year-old painter and low-level employee at a New York publisher. She is fired and stumbles into an affair with Eric, a married older white man whose family she winds up living with, perversely, at the behest of Eric’s wife, Rebecca. This isn’t an act of selfless charity — the couple’s adopted daughter, Akila, is a Black girl who they worry is having a tough time in their white world. They won’t say it explicitly, but maybe Edie can help her, their both being Black and all.",News,Magazine,False,True,False,False,False,False,False,False,False,False,False
09cb6014-fc8e-53fa-bcef-ab961e8b5dd4,2022-10-03,https://www.nytimes.com/2022/10/03/arts/television/cop-shows-after-george-floyd.html,The Cop Show Enters the ‘Defund’ Era,Widespread concerns over policing after the killing of George Floyd did not end the police drama as we know it. But shows are evolving to reflect the new climate.,In 2020 the police killings of George Floyd and other Black people spurred many Americans to take a hard look at the police. Including the police on TV.,News,Arts,False,False,False,False,False,True,False,False,False,False,False
1bb7e191-1891-5746-ae6f-f47a6014a000,2022-10-20,https://www.nytimes.com/2022/10/20/arts/design/denver-art-museum-colonialism.html,How the Denver Art Museum Kicked Columbus Out the Door,The museum removed all references to the canceled hero from its collections and developed a new frame for exhibiting Latin American art.,"The flailing legacy of Christopher Columbus suffered two pernicious blows in Denver in 2020. The first happened in public view when protesters, fired up by the anticolonial furor of that spring’s Black Lives Matter movement, tied a rope around a 15-foot statue honoring the explorer and toppled it inside the city’s Civic Center Park.",News,Arts,False,True,False,False,False,False,False,False,False,False,False
6257f742-ba7c-5d3b-bef1-6be76c8d6112,2022-10-24,https://www.nytimes.com/2022/10/24/us/george-floyd-officer-kueng-thao.html,Officer Pleads Guilty to Manslaughter in George Floyd’s Death,J. Alexander Kueng was a rookie Minneapolis police officer when he held Mr. Floyd down while a fellow officer fatally knelt on his neck.,"A former Minneapolis police officer who helped to pin George Floyd down as he gasped for air under the knee of another officer pleaded guilty to manslaughter on Monday, forgoing a trial in exchange for an agreement to drop a more serious murder charge.",News,U.S.,False,False,False,False,False,True,False,False,False,False,False
658b474f-cf73-576c-a3e9-423394fa93ec,2022-10-06,https://www.nytimes.com/2022/10/06/us/politics/crime-republicans-democrats.html,A New Democratic Rallying Cry Is to Fund the Police,"Violent crime in cities has become a central talking point of Republican campaigns. It’s hurting many Democratic candidates, but not all.","In one of the more unusual television advertisements of this year’s midterm election campaigns, Senator John Kennedy, Republican of Louisiana, accuses Democrats of wanting to defund police departments.",News,U.S.,False,False,False,True,False,False,False,False,False,False,False
