id,type,section,date,headline,url,category,lead_paragraph,Black Lives Matter,BLM,Police Brutality,George Floyd,Breonna Taylor,Tyrel Nichols,Ahmaud Abery,Blue Lives Matter
now-is-the-time-londons-black-lives-matter-rally-looks-like-a-turning-point,article,us-news,2020-06-06,‘now is the time’: london’s black lives matter rally looks like a turning point,https://www.theguardian.com/us-news/2020/jun/06/now-is-the-time-londons-black-lives-matter-rally-looks-like-a-turning-point,News,"it was always likely that the months of lockdown would demand some kind of emotional catharsis. you imagined it would involve the usual british excesses of lager and sunshine. in fact, in the past week its primary expression has been a coming together of mostly young people in our cities under the banner of  black lives matter.",True,False,False,False,False,False,False,False
they-wanted-to-kill-me-the-lawyer-taking-on-police-brutality-in-kenya,article,global-development,2021-10-05,‘they wanted to kill me’: the lawyer taking on police brutality in kenya,https://www.theguardian.com/global-development/2021/oct/05/they-wanted-to-kill-me-the-lawyer-taking-on-police-brutality-in-kenya,News,"when the police started shooting at david makara in his home town of nyahururu, in kenya, he ran before quickly collapsing. two bullets had hit him – one in his right arm, one in his hip – but he only realised when he looked down and saw his hand dangling from his wrist and blood pouring out.",False,False,False,False,False,False,False,False
black-lives-matter-meets-animal-crossing-how-protesters-take-their-activism-into-video-games,article,games,2020-08-07,black lives matter meets animal crossing: how protesters take their activism into video games,https://www.theguardian.com/games/2020/aug/07/black-lives-matter-meets-animal-crossing-how-protesters-take-their-activism-into-video-games,Arts,"as street protests against anti-black racism erupted across the globe, animal crossing: new horizons players were taking their own stand.  adelle, a software engineer from new york, decided to create a memorial on her in-game island, decorated with flowers and pixel art portraits of  george floyd, breonna taylor and other black victims of police brutality.",True,False,False,False,False,False,False,False
on-these-grounds-documentary-police-brutality-us-schools,article,film,2021-09-21,on these grounds: a shocking film about police brutality within us schools,https://www.theguardian.com/film/2021/sep/21/on-these-grounds-documentary-police-brutality-us-schools,Arts,"in on these grounds, an expansive, insightful and infuriating documentary about police brutality in the public education system, former school resource officer ben fields makes his case. fields, a hulking and defensive white cop, meekly looks at the camera, clinically explaining away his actions when confronting a 16-year-old black student identified as shakara at spring valley high in south carolina. the violent incident caught on multiple videos  immediately went viral and led to his dismissal.",False,False,False,False,False,False,False,False
capitol-mob-police-trump-george-floyd-protests-photos,article,us-news,2021-01-07,maga v blm: how police handled the capitol mob and george floyd activists – in pictures,https://www.theguardian.com/us-news/2021/jan/06/capitol-mob-police-trump-george-floyd-protests-photos,News,the contrast between the law enforcement reaction to the storming of the capitol on wednesday and the suppression of peaceful protests in the summer is not just stark – it is black and white.,False,True,False,True,False,False,False,False
johnny-damon-dui-arrest-florida-blue-lives-matter-donald-trump-support-baseball,article,sport,2021-03-11,'blue lives matter': ex-yankee damon cites support for trump during dui arrest,https://www.theguardian.com/sport/2021/mar/11/johnny-damon-dui-arrest-florida-blue-lives-matter-donald-trump-support-baseball,Sport,two-time world series champion johnny damon suggested he has been targeted for his political views during video of his arrest for dui.,False,False,False,False,False,False,False,True
colombians-mourn-after-deadly-protests-as-amnesty-cites-unlawful-repression,article,global-development,2021-08-02,amnesty condemns colombia police brutality after scores of protesters killed,https://www.theguardian.com/global-development/2021/aug/02/colombians-mourn-after-deadly-protests-as-amnesty-cites-unlawful-repression,News,"nicolás guerrero, a 26-year-old artist from the colombian city of cali, took to the streets on 2 may to protest against the lack of opportunities he saw in his country. he had a family in spain that he had hoped one day to bring to south america. but later that night, after riot police launched a brutal crackdown, he was found lying on the pavement, seriously wounded. he died hours later in hospital.",False,False,False,False,False,False,False,False
black-lives-matter-protests-george-floyd-donald-trump-live,liveblog,world,2020-06-11,"trump to hold first rally in months in tulsa, a city with history of deadly racial violence – as it happened",https://www.theguardian.com/us-news/live/2020/jun/10/black-lives-matter-protests-george-floyd-donald-trump-live,News,"class=""block-time published-time""> ime datetime=""2020-06-11t01:43:41.602z"">2.43am pan class=""timezone"">bstpan>ime>",False,False,False,False,False,False,False,False
derek-chauvin-trial-key-moments-george-floyd,article,us-news,2021-04-20,tearful testimony and defense’s own goal: key moments in the chauvin trial,https://www.theguardian.com/us-news/2021/apr/20/derek-chauvin-trial-key-moments-george-floyd,News,the trial of the white former police officer derek chauvin for the killing of george floyd has been one of the most high-profile cases in america’s recent history and cast a spotlight on racist policing in the united states.,False,False,False,False,False,False,False,False
education-department-to-review-schools-guidance-on-anti-capitalist-groups,article,education,2020-12-15,education department to review english schools guidance on anti-capitalist groups,https://www.theguardian.com/education/2020/dec/15/education-department-to-review-schools-guidance-on-anti-capitalist-groups,News,guidance warning schools against using resources from organisations that have expressed a desire to end capitalism will be reviewed by the department for education (dfe) following the threat of legal action.,False,False,False,False,False,False,False,False
george-floyd-family-reaction-guilty-verdict,article,us-news,2021-04-21,‘my brother got justice’: george floyd’s family praises guilty verdict,https://www.theguardian.com/us-news/2021/apr/20/george-floyd-family-reaction-guilty-verdict,News,"latonya floyd watched in anxious silence, her hands pressed together in front of her face, as the judge prepared to read the verdict in the trial of the former minneapolis police officer who had killed her brother last year.",False,False,False,True,False,False,False,False
guardian-readers-why-joined-george-floyd-us-racism-protests,article,world,2020-06-17,'it gives me hope': guardian readers on why they joined us racism protests,https://www.theguardian.com/world/2020/jun/17/guardian-readers-why-joined-george-floyd-us-racism-protests,News,"as protests continue throughout the us in reaction to the death of george floyd, the african american man who died under the knee of a white police officer in minneapolis, the guardian has spoken to readers about why they have taken part in demonstrations – and what needs to change.",False,False,False,False,False,False,False,False
australias-acting-pm-says-capitol-attack-unfortunate-and-condemns-twitter-censorship-of-trump,article,australia-news,2021-01-11,australia's acting pm says capitol attack 'unfortunate' and condemns twitter 'censorship' of trump,https://www.theguardian.com/australia-news/2021/jan/11/australias-acting-pm-says-capitol-attack-unfortunate-and-condemns-twitter-censorship-of-trump,News,"australia’s acting prime minister, michael mccormack, has described donald trump’s refusal to concede defeat in the presidential election, his inflammatory tweets and the deadly storming of the us capitol building by rioters as “unfortunate”.",False,False,False,False,False,False,False,False
trump-hollywood-walk-of-fame-star-defaced-protests,article,us-news,2020-06-08,trump's hollywood walk of fame star defaced in support of black lives matter,https://www.theguardian.com/us-news/2020/jun/08/trump-hollywood-walk-of-fame-star-defaced-protests,News,"donald trump’s star on the hollywood walk of fame has been defaced yet again, this time in support of the black lives matter movement.",True,False,False,False,False,False,False,False
george-floyd-protests-latest-at-a-glance-white-house,article,us-news,2020-05-30,george floyd killing sparks protests across us: at a glance guide,https://www.theguardian.com/us-news/2020/may/30/george-floyd-protests-latest-at-a-glance-white-house,News,protests against police brutality have spread across the us overnight and into saturday morning. here are the key developments:,False,False,False,True,False,False,False,False
